state,year,district,block,block_no,gram_panchayat,gp_no,ward_no,seat_no,seat_id_raw,seat_from_image,tier,tier_local,reservation,caste_reservation,woman_reserved,winner,vacant,reservation_raw,script,source_path,source_page,source_pdf
Jharkhand,2015,Jamtara,,,,,,0,शा जामताडा / (0),,zp_member,zila_parishad,BC Woman,BC,1,रूखसाना खातुन ्‌ सदस्य अन्य,0,पिछड़ा वर्ग | महिला,devanagari,data/jharkhand/2015/13. JAMTARA MUKHIYA PSS/JAMTARA ZP MUKHIYA PSS GPS.pdf,2,JAMTARA ZP MUKHIYA PSS GPS.pdf
Jharkhand,2015,Jamtara,,,,,,02,शा जामताडा / (02),,zp_member,zila_parishad,BC Other than Woman,BC,0,उमा चरण साव ्‌ सदस्य अन्य,0,पिछड़ा वर्ग | अन्य,devanagari,data/jharkhand/2015/13. JAMTARA MUKHIYA PSS/JAMTARA ZP MUKHIYA PSS GPS.pdf,2,JAMTARA ZP MUKHIYA PSS GPS.pdf
Jharkhand,2015,Jamtara,,,,,,03,#7 जामताडा / (03),,zp_member,zila_parishad,ST Woman,ST,1,दिपीका बेसरा ्‌ सदस्य,0,अनुसूचित जनजाति | महिला,devanagari,data/jharkhand/2015/13. JAMTARA MUKHIYA PSS/JAMTARA ZP MUKHIYA PSS GPS.pdf,2,JAMTARA ZP MUKHIYA PSS GPS.pdf
Jharkhand,2015,Jamtara,,,,,,04,"श[[ जामताडा ,/ (04)",,zp_member,zila_parishad,BC Woman,BC,1,सायरा बानु ्‌ सदस्य अन्य,0,पिछड़ा वर्ग | महिला,devanagari,data/jharkhand/2015/13. JAMTARA MUKHIYA PSS/JAMTARA ZP MUKHIYA PSS GPS.pdf,2,JAMTARA ZP MUKHIYA PSS GPS.pdf
Jharkhand,2015,Jamtara,,,,,,05,"#[[ जामताडा ,/ (05)",,zp_member,zila_parishad,Woman,NONE,1,रूकसाना बेगम ्‌ सदस्य,0,अनारक्षित | महिला,devanagari,data/jharkhand/2015/13. JAMTARA MUKHIYA PSS/JAMTARA ZP MUKHIYA PSS GPS.pdf,2,JAMTARA ZP MUKHIYA PSS GPS.pdf
Jharkhand,2015,Jamtara,,,,,,06,"#77[ जामताडा ,/ (06)",,zp_member,zila_parishad,ST Woman,ST,1,जिमोली बास्की ्‌ सदस्य,0,अनुसूचित जनजाति | महिला,devanagari,data/jharkhand/2015/13. JAMTARA MUKHIYA PSS/JAMTARA ZP MUKHIYA PSS GPS.pdf,2,JAMTARA ZP MUKHIYA PSS GPS.pdf
Jharkhand,2015,Jamtara,,,,,,07,#]7[ जामताडा / (07),,zp_member,zila_parishad,ST Woman,ST,1,अमिता टुडू ्‌ सदस्य,0,अनुसूचित जनजाति | महिला,devanagari,data/jharkhand/2015/13. JAMTARA MUKHIYA PSS/JAMTARA ZP MUKHIYA PSS GPS.pdf,2,JAMTARA ZP MUKHIYA PSS GPS.pdf
Jharkhand,2015,Jamtara,,,,,,08,"श7[ जामताडा ,/ (08)",,zp_member,zila_parishad,ST Woman,ST,1,सावित्री मुर्मू ्‌ सदस्य,0,अनुसूचित जनजाति | महिला,devanagari,data/jharkhand/2015/13. JAMTARA MUKHIYA PSS/JAMTARA ZP MUKHIYA PSS GPS.pdf,2,JAMTARA ZP MUKHIYA PSS GPS.pdf
Jharkhand,2015,Jamtara,,,,,,09,#7[ जामताडा / (09),,zp_member,zila_parishad,ST Other than Woman,ST,0,भुलु कोल ्‌ सदस्य,0,अनुसूचित जनजाति | अन्य,devanagari,data/jharkhand/2015/13. JAMTARA MUKHIYA PSS/JAMTARA ZP MUKHIYA PSS GPS.pdf,2,JAMTARA ZP MUKHIYA PSS GPS.pdf
Jharkhand,2015,Jamtara,,,,,,0,श77[ जामताडा / (0),,zp_member,zila_parishad,Other than Woman,NONE,0,नित्यानंद सिंह ्‌ सदस्य,0,अनारक्षित | अन्य,devanagari,data/jharkhand/2015/13. JAMTARA MUKHIYA PSS/JAMTARA ZP MUKHIYA PSS GPS.pdf,2,JAMTARA ZP MUKHIYA PSS GPS.pdf
Jharkhand,2015,Jamtara,,,,,,7,शा जामताडा / (7),,zp_member,zila_parishad,ST Other than Woman,ST,0,प्रभात कुमार टुडू ्‌ सदस्य,0,अनुसूचित जनजाति | अन्य,devanagari,data/jharkhand/2015/13. JAMTARA MUKHIYA PSS/JAMTARA ZP MUKHIYA PSS GPS.pdf,2,JAMTARA ZP MUKHIYA PSS GPS.pdf
Jharkhand,2015,Jamtara,,,,,,2,#7[ जामताडा / (2),,zp_member,zila_parishad,ST Other than Woman,ST,0,सुकमुनी हेम्ब्रम ्‌ सदस्य,0,अनुसूचित जनजाति | अन्य,devanagari,data/jharkhand/2015/13. JAMTARA MUKHIYA PSS/JAMTARA ZP MUKHIYA PSS GPS.pdf,2,JAMTARA ZP MUKHIYA PSS GPS.pdf
Jharkhand,2015,Jamtara,,,,,,3,#77 जामताडा / (3),,zp_member,zila_parishad,SC Other than Woman,SC,0,भजहरि मंडल ्‌ सदस्य,0,अनुसूचित जाति | अन्य,devanagari,data/jharkhand/2015/13. JAMTARA MUKHIYA PSS/JAMTARA ZP MUKHIYA PSS GPS.pdf,2,JAMTARA ZP MUKHIYA PSS GPS.pdf
Jharkhand,2015,Jamtara,,,,,,4,"#[77[ जामताडा ,/ (4)",,zp_member,zila_parishad,Woman,NONE,1,सुभद्रा बाउरी ्‌ सदस्य,0,अनारक्षित | महिला,devanagari,data/jharkhand/2015/13. JAMTARA MUKHIYA PSS/JAMTARA ZP MUKHIYA PSS GPS.pdf,2,JAMTARA ZP MUKHIYA PSS GPS.pdf
Jharkhand,2015,Dhanbad,,,,,,1,XIV /kuckn & ¼ 1 ½,,zp_member,zila_parishad,Other than Woman,NONE,0,fgjkeu uk;d,0,vukjf{kr | vU;,devanagari,data/jharkhand/2015/14. DHANBAD MUKHIYA PSS/DHANBAD ZP PSS MUKHIYA GPS.pdf,1,DHANBAD ZP PSS MUKHIYA GPS.pdf
Jharkhand,2015,Dhanbad,,,,,,2,XIV /kuckn & ¼ 2 ½,,zp_member,zila_parishad,BC Woman,BC,1,papyk nsoh,0,vU; fiNM+k oxZ | efgyk,devanagari,data/jharkhand/2015/14. DHANBAD MUKHIYA PSS/DHANBAD ZP PSS MUKHIYA GPS.pdf,1,DHANBAD ZP PSS MUKHIYA GPS.pdf
Jharkhand,2015,Dhanbad,,,,,,3,XIV /kuckn & ¼ 3 ½,,zp_member,zila_parishad,BC Woman,BC,1,lhrk nsoh,0,vU; fiNM+k oxZ | efgyk,devanagari,data/jharkhand/2015/14. DHANBAD MUKHIYA PSS/DHANBAD ZP PSS MUKHIYA GPS.pdf,1,DHANBAD ZP PSS MUKHIYA GPS.pdf
Jharkhand,2015,Dhanbad,,,,,,4,XIV /kuckn & ¼ 4 ½,,zp_member,zila_parishad,ST Woman,ST,1,jk;equh nsoh,0,vuqlwfpr tutkfr | efgyk,devanagari,data/jharkhand/2015/14. DHANBAD MUKHIYA PSS/DHANBAD ZP PSS MUKHIYA GPS.pdf,1,DHANBAD ZP PSS MUKHIYA GPS.pdf
Jharkhand,2015,Dhanbad,,,,,,5,XIV /kuckn & ¼ 5 ½,,zp_member,zila_parishad,ST Other than Woman,ST,0,xq#pj.k okldh,0,vuqlwfpr tutkfr | vU;,devanagari,data/jharkhand/2015/14. DHANBAD MUKHIYA PSS/DHANBAD ZP PSS MUKHIYA GPS.pdf,1,DHANBAD ZP PSS MUKHIYA GPS.pdf
Jharkhand,2015,Dhanbad,,,,,,6,XIV /kuckn & ¼ 6 ½,,zp_member,zila_parishad,ST Other than Woman,ST,0,lquhy deq kj eeq wZ,0,vuqlwfpr tutkfr | vU;,devanagari,data/jharkhand/2015/14. DHANBAD MUKHIYA PSS/DHANBAD ZP PSS MUKHIYA GPS.pdf,1,DHANBAD ZP PSS MUKHIYA GPS.pdf
Jharkhand,2015,Dhanbad,,,,,,8,XIV /kuckn & ¼ 8 ½,,zp_member,zila_parishad,SC Other than Woman,SC,0,feFkuq jksfgnkl,0,vuqlwfpr tkfr | vU;,devanagari,data/jharkhand/2015/14. DHANBAD MUKHIYA PSS/DHANBAD ZP PSS MUKHIYA GPS.pdf,1,DHANBAD ZP PSS MUKHIYA GPS.pdf
Jharkhand,2015,Dhanbad,,,,,,9,XIV /kuckn & ¼ 9 ½,,zp_member,zila_parishad,Woman,NONE,1,nqxkZ nkl,0,vukjf{kr | efgyk,devanagari,data/jharkhand/2015/14. DHANBAD MUKHIYA PSS/DHANBAD ZP PSS MUKHIYA GPS.pdf,1,DHANBAD ZP PSS MUKHIYA GPS.pdf
Jharkhand,2015,Dhanbad,,,,,,10,XIV /kuckn & ¼ 10 ½,,zp_member,zila_parishad,BC Woman,BC,1,lfgLrk izohu,0,vU; fiNM+k oxZ | efgyk,devanagari,data/jharkhand/2015/14. DHANBAD MUKHIYA PSS/DHANBAD ZP PSS MUKHIYA GPS.pdf,1,DHANBAD ZP PSS MUKHIYA GPS.pdf
Jharkhand,2015,Dhanbad,,,,,,11,XIV /kuckn & ¼ 11 ½,,zp_member,zila_parishad,Woman,NONE,1,gfluk [kkrqu,0,vukjf{kr | efgyk,devanagari,data/jharkhand/2015/14. DHANBAD MUKHIYA PSS/DHANBAD ZP PSS MUKHIYA GPS.pdf,1,DHANBAD ZP PSS MUKHIYA GPS.pdf
