row_id,column,value
97c840cae498,serial,1
97c840cae498,wards_parsed,0
97c840cae498,printings,1
97c840cae498,ocr_repaired,0
97c840cae498,text_source,ocr
97c840cae498,source_pdf,atp_res_gp.pdf
72d6946051dd,serial,2
72d6946051dd,wards_parsed,10
72d6946051dd,printings,2
72d6946051dd,printings_agree,1
72d6946051dd,ocr_repaired,0
72d6946051dd,text_source,ocr
72d6946051dd,source_pdf,atp_res_gp.pdf
9a40d610230f,serial,4
9a40d610230f,wards_parsed,12
9a40d610230f,printings,2
9a40d610230f,printings_agree,1
9a40d610230f,ocr_repaired,0
9a40d610230f,text_source,ocr
9a40d610230f,source_pdf,atp_res_gp.pdf
6721f50464f3,serial,6
6721f50464f3,wards_parsed,12
6721f50464f3,printings,2
6721f50464f3,printings_agree,1
6721f50464f3,ocr_repaired,0
6721f50464f3,text_source,ocr
6721f50464f3,source_pdf,atp_res_gp.pdf
14218a0a7387,serial,7
14218a0a7387,wards_parsed,10
14218a0a7387,printings,2
14218a0a7387,printings_agree,1
14218a0a7387,ocr_repaired,0
14218a0a7387,text_source,ocr
14218a0a7387,source_pdf,atp_res_gp.pdf
88e825f9bc1c,serial,8
88e825f9bc1c,wards_parsed,12
88e825f9bc1c,printings,2
88e825f9bc1c,printings_agree,1
88e825f9bc1c,ocr_repaired,1
88e825f9bc1c,text_source,ocr
88e825f9bc1c,source_pdf,atp_res_gp.pdf
e9e199b79d27,serial,9
e9e199b79d27,wards_parsed,12
e9e199b79d27,printings,2
e9e199b79d27,printings_agree,1
e9e199b79d27,ocr_repaired,0
e9e199b79d27,text_source,ocr
e9e199b79d27,source_pdf,atp_res_gp.pdf
fca61aecc020,serial,10
fca61aecc020,wards_parsed,10
fca61aecc020,printings,2
fca61aecc020,printings_agree,1
fca61aecc020,ocr_repaired,0
fca61aecc020,text_source,ocr
fca61aecc020,source_pdf,atp_res_gp.pdf
c6ab0098c91a,serial,12
c6ab0098c91a,wards_parsed,10
c6ab0098c91a,printings,2
c6ab0098c91a,printings_agree,1
c6ab0098c91a,ocr_repaired,0
c6ab0098c91a,text_source,ocr
c6ab0098c91a,source_pdf,atp_res_gp.pdf
b33a0a41070c,serial,14
b33a0a41070c,wards_parsed,0
b33a0a41070c,printings,1
b33a0a41070c,ocr_repaired,0
b33a0a41070c,text_source,ocr
b33a0a41070c,source_pdf,atp_res_gp.pdf
a3caef60f340,serial,2
a3caef60f340,wards_parsed,10
a3caef60f340,printings,2
a3caef60f340,printings_agree,1
a3caef60f340,ocr_repaired,0
a3caef60f340,text_source,ocr
a3caef60f340,source_pdf,atp_res_gp.pdf
3bf430b5e217,serial,3
3bf430b5e217,wards_parsed,12
3bf430b5e217,printings,2
3bf430b5e217,printings_agree,1
3bf430b5e217,ocr_repaired,0
3bf430b5e217,text_source,ocr
3bf430b5e217,source_pdf,atp_res_gp.pdf
1e76f4ee5cbd,serial,4
1e76f4ee5cbd,wards_parsed,10
1e76f4ee5cbd,printings,2
1e76f4ee5cbd,printings_agree,1
1e76f4ee5cbd,ocr_repaired,0
1e76f4ee5cbd,text_source,ocr
