dataset_id,row_id,seat_key,seat_key_unique,state,year,district,block,gram_panchayat,gp_term,ward_no,ward_name,seat_no,tier,tier_local,caste_reservation,caste_reservation_local,caste_scheme,woman_reserved,reservation,reservation_raw,listing_scope,unit_of_observation,seat_candidates,winner,winner_basis,votes,vacant,unopposed,script,source_repo,source_commit,source_path,source_page,provenance_level,quality_flags
rajasthan/gp_head/2005,a5b8ac79d51f,Rajasthan|2005|gp_head|AJMER|ARAIN|akodiya||,1,Rajasthan,2005,AJMER,ARAIN,akodiya,gram_panchayat,,,,gp_head,sarpanch,BC,OBC,sc_st_obc,0,BC Other than Woman,OBC,all_seats,seat,,GAJMAL,published,,,,latin,quota_raj,c6900d110517,data/raj/source_2005_std.parquet,,dataset,
rajasthan/gp_head/2005,70c62cbb9efc,Rajasthan|2005|gp_head|AJMER|ARAIN|ajgara||,1,Rajasthan,2005,AJMER,ARAIN,ajgara,gram_panchayat,,,,gp_head,sarpanch,SC,SC,sc_st_obc,0,SC Other than Woman,SC,all_seats,seat,,LADU,published,,,,latin,quota_raj,c6900d110517,data/raj/source_2005_std.parquet,,dataset,
rajasthan/gp_head/2005,bf47c40b2e7e,Rajasthan|2005|gp_head|AJMER|ARAIN|arai||,1,Rajasthan,2005,AJMER,ARAIN,arai,gram_panchayat,,,,gp_head,sarpanch,ST,ST,sc_st_obc,0,ST Other than Woman,ST,all_seats,seat,,KANHIYA LAL,published,,,,latin,quota_raj,c6900d110517,data/raj/source_2005_std.parquet,,dataset,
rajasthan/gp_head/2005,d347fae6f982,Rajasthan|2005|gp_head|AJMER|ARAIN|bhagwanpura||,1,Rajasthan,2005,AJMER,ARAIN,bhagwanpura,gram_panchayat,,,,gp_head,sarpanch,NONE,GEN,sc_st_obc,0,Other than Woman,GEN,all_seats,seat,,HAGAMI LAL,published,,,,latin,quota_raj,c6900d110517,data/raj/source_2005_std.parquet,,dataset,
rajasthan/gp_head/2005,d7cab09b15eb,Rajasthan|2005|gp_head|AJMER|ARAIN|bhamolaw||,1,Rajasthan,2005,AJMER,ARAIN,bhamolaw,gram_panchayat,,,,gp_head,sarpanch,NONE,GEN,sc_st_obc,0,Other than Woman,GEN,all_seats,seat,,RAM SINGH,published,,,,latin,quota_raj,c6900d110517,data/raj/source_2005_std.parquet,,dataset,
rajasthan/gp_head/2005,d0b500aca227,Rajasthan|2005|gp_head|AJMER|ARAIN|bhogadeet||,1,Rajasthan,2005,AJMER,ARAIN,bhogadeet,gram_panchayat,,,,gp_head,sarpanch,NONE,GEN,sc_st_obc,0,Other than Woman,GEN,all_seats,seat,,AMBA LAL,published,,,,latin,quota_raj,c6900d110517,data/raj/source_2005_std.parquet,,dataset,
rajasthan/gp_head/2005,0e858a63ee63,Rajasthan|2005|gp_head|AJMER|ARAIN|birla||,1,Rajasthan,2005,AJMER,ARAIN,birla,gram_panchayat,,,,gp_head,sarpanch,SC,SC,sc_st_obc,1,SC Woman,SC W,all_seats,seat,,AYODHYA DEVI,published,,,,latin,quota_raj,c6900d110517,data/raj/source_2005_std.parquet,,dataset,
rajasthan/gp_head/2005,c4c960f5f26a,Rajasthan|2005|gp_head|AJMER|ARAIN|borada||,1,Rajasthan,2005,AJMER,ARAIN,borada,gram_panchayat,,,,gp_head,sarpanch,NONE,GEN,sc_st_obc,0,Other than Woman,GEN,all_seats,seat,,SHRIDHAR,published,,,,latin,quota_raj,c6900d110517,data/raj/source_2005_std.parquet,,dataset,
rajasthan/gp_head/2005,d326894c82ba,Rajasthan|2005|gp_head|AJMER|ARAIN|dadiya||,1,Rajasthan,2005,AJMER,ARAIN,dadiya,gram_panchayat,,,,gp_head,sarpanch,NONE,GEN,sc_st_obc,0,Other than Woman,GEN,all_seats,seat,,BIRDICHAND,published,,,,latin,quota_raj,c6900d110517,data/raj/source_2005_std.parquet,,dataset,
rajasthan/gp_head/2005,cac8e00a3f9f,Rajasthan|2005|gp_head|AJMER|ARAIN|devpuri||,1,Rajasthan,2005,AJMER,ARAIN,devpuri,gram_panchayat,,,,gp_head,sarpanch,SC,SC,sc_st_obc,0,SC Other than Woman,SC,all_seats,seat,,PANNA LAL,published,,,,latin,quota_raj,c6900d110517,data/raj/source_2005_std.parquet,,dataset,
