dataset_id,row_id,seat_key,seat_key_unique,state,year,district,block,gram_panchayat,gp_term,ward_no,ward_name,seat_no,tier,tier_local,caste_reservation,caste_reservation_local,caste_scheme,woman_reserved,reservation,reservation_raw,listing_scope,unit_of_observation,seat_candidates,winner,winner_basis,votes,vacant,unopposed,script,source_repo,source_commit,source_path,source_page,provenance_level,quality_flags
andhra_pradesh/gp_head/2020,97c840cae498,Andhra Pradesh|2020|gp_head|Anantapur|Agali|Agali||,1,Andhra Pradesh,2020,Anantapur,Agali,Agali,gram_panchayat,,,,gp_head,sarpanch,SC,SC,sc_st_bc,1,SC Woman,SC(W),all_seats,seat,,,,,,,latin,local_elections,b48c48b73973-dirty,data/ap/2020_res_gp/atp_res_gp.pdf,3,page,
andhra_pradesh/gp_head/2020,72d6946051dd,Andhra Pradesh|2020|gp_head|Anantapur|Agali|H.D.Halli||,1,Andhra Pradesh,2020,Anantapur,Agali,H.D.Halli,gram_panchayat,,,,gp_head,sarpanch,NONE,NONE,sc_st_bc,0,Other than Woman,UR(G),all_seats,seat,,,,,,,latin,local_elections,b48c48b73973-dirty,data/ap/2020_res_gp/atp_res_gp.pdf,27,page,
andhra_pradesh/gp_head/2020,9a40d610230f,Andhra Pradesh|2020|gp_head|Anantapur|Agali|Inagalore||,1,Andhra Pradesh,2020,Anantapur,Agali,Inagalore,gram_panchayat,,,,gp_head,sarpanch,BC,BC,sc_st_bc,1,BC Woman,Bc(w),all_seats,seat,,,,,,,latin,local_elections,b48c48b73973-dirty,data/ap/2020_res_gp/atp_res_gp.pdf,27,page,
andhra_pradesh/gp_head/2020,6721f50464f3,Andhra Pradesh|2020|gp_head|Anantapur|Agali|Kodipalli||,1,Andhra Pradesh,2020,Anantapur,Agali,Kodipalli,gram_panchayat,,,,gp_head,sarpanch,BC,BC,sc_st_bc,0,BC Other than Woman,BC(G),all_seats,seat,,,,,,,latin,local_elections,b48c48b73973-dirty,data/ap/2020_res_gp/atp_res_gp.pdf,27,page,
andhra_pradesh/gp_head/2020,14218a0a7387,Andhra Pradesh|2020|gp_head|Anantapur|Agali|Komarepalli||,1,Andhra Pradesh,2020,Anantapur,Agali,Komarepalli,gram_panchayat,,,,gp_head,sarpanch,NONE,NONE,sc_st_bc,1,Woman,UR(W),all_seats,seat,,,,,,,latin,local_elections,b48c48b73973-dirty,data/ap/2020_res_gp/atp_res_gp.pdf,27,page,
andhra_pradesh/gp_head/2020,88e825f9bc1c,Andhra Pradesh|2020|gp_head|Anantapur|Agali|Madhudi||,1,Andhra Pradesh,2020,Anantapur,Agali,Madhudi,gram_panchayat,,,,gp_head,sarpanch,SC,SC,sc_st_bc,0,SC Other than Woman,sc(c),all_seats,seat,,,,,,,latin,local_elections,b48c48b73973-dirty,data/ap/2020_res_gp/atp_res_gp.pdf,27,page,ocr_repaired;gender_not_stated
andhra_pradesh/gp_head/2020,e9e199b79d27,Andhra Pradesh|2020|gp_head|Anantapur|Agali|Narasambudi||,1,Andhra Pradesh,2020,Anantapur,Agali,Narasambudi,gram_panchayat,,,,gp_head,sarpanch,NONE,NONE,sc_st_bc,1,Woman,UR(W),all_seats,seat,,,,,,,latin,local_elections,b48c48b73973-dirty,data/ap/2020_res_gp/atp_res_gp.pdf,27,page,
andhra_pradesh/gp_head/2020,fca61aecc020,Andhra Pradesh|2020|gp_head|Anantapur|Agali|P.Byadigera||,1,Andhra Pradesh,2020,Anantapur,Agali,P.Byadigera,gram_panchayat,,,,gp_head,sarpanch,SC,SC,sc_st_bc,1,SC Woman,sc(w),all_seats,seat,,,,,,,latin,local_elections,b48c48b73973-dirty,data/ap/2020_res_gp/atp_res_gp.pdf,27,page,
andhra_pradesh/gp_head/2020,c6ab0098c91a,Andhra Pradesh|2020|gp_head|Anantapur|Agali|Ramanapalli||,1,Andhra Pradesh,2020,Anantapur,Agali,Ramanapalli,gram_panchayat,,,,gp_head,sarpanch,NONE,NONE,sc_st_bc,0,Other than Woman,UR(G),all_seats,seat,,,,,,,latin,local_elections,b48c48b73973-dirty,data/ap/2020_res_gp/atp_res_gp.pdf,27,page,
andhra_pradesh/gp_head/2020,b33a0a41070c,Andhra Pradesh|2020|gp_head|Anantapur|AMADAGUR|AMADAGUR||,1,Andhra Pradesh,2020,Anantapur,AMADAGUR,AMADAGUR,gram_panchayat,,,,gp_head,sarpanch,BC,BC,sc_st_bc,0,BC Other than Woman,BC (G),all_seats,seat,,,,,,,latin,local_elections,b48c48b73973-dirty,data/ap/2020_res_gp/atp_res_gp.pdf,3,page,
