Election Program Name,LocalBody Name,Division,District,Name of Contesting Candidate,constituency,Total Votes Secured,Party Name,Rank
BruhanMumbai Mahanagar Palika,BruhanMumbai Mahanagar Palika,Konkan,Mumbai,TEJASVEE ABHISHEK GHOSALKAR,1,4913,Shivsena,1
BruhanMumbai Mahanagar Palika,BruhanMumbai Mahanagar Palika,Konkan,Mumbai,REKHA RAMPRAKASH YADAV,1,3089,Independent,2
BruhanMumbai Mahanagar Palika,BruhanMumbai Mahanagar Palika,Konkan,Mumbai,Sheetal Ashok Mhatre,1,2719,Indian National Congress,3
BruhanMumbai Mahanagar Palika,BruhanMumbai Mahanagar Palika,Konkan,Mumbai,Suchi Dinbandhu Yadav,1,2584,Bhartiya Janata Party,4
BruhanMumbai Mahanagar Palika,BruhanMumbai Mahanagar Palika,Konkan,Mumbai,KIRAN RAMPRATAP CHAUDHARY,1,283,Independent,5
BruhanMumbai Mahanagar Palika,BruhanMumbai Mahanagar Palika,Konkan,Mumbai,jyoti baban wadekar,1,179,Maharashtra Navnirman Sena,6
BruhanMumbai Mahanagar Palika,BruhanMumbai Mahanagar Palika,Konkan,Mumbai,LAXMI SHANKAR KUNCHIKORVE,1,130,Bahujan Samaj Party,7
BruhanMumbai Mahanagar Palika,BruhanMumbai Mahanagar Palika,Konkan,Mumbai,NISHA CHANDRAKANT MISHRA,1,127,Independent,8
BruhanMumbai Mahanagar Palika,BruhanMumbai Mahanagar Palika,Konkan,Mumbai,KAMRUNISHA ABDUL QUREISHI,1,101,Samajwadi Party,9
BruhanMumbai Mahanagar Palika,BruhanMumbai Mahanagar Palika,Konkan,Mumbai,Sangeeta Raviraj Salve,1,84,Independent,10
BruhanMumbai Mahanagar Palika,BruhanMumbai Mahanagar Palika,Konkan,Mumbai,saritadevi vijay pandey,1,29,Nationalist Congress Party,11
BruhanMumbai Mahanagar Palika,BruhanMumbai Mahanagar Palika,Konkan,Mumbai,NOTA,1,207,,
BruhanMumbai Mahanagar Palika,BruhanMumbai Mahanagar Palika,Konkan,Mumbai,JAGDISH KARUNASHANKAR OZA,2,10719,Bhartiya Janata Party,1
BruhanMumbai Mahanagar Palika,BruhanMumbai Mahanagar Palika,Konkan,Mumbai,BHALCHANDRA CHINTAMAN MHATRE,2,7924,Shivsena,2
BruhanMumbai Mahanagar Palika,BruhanMumbai Mahanagar Palika,Konkan,Mumbai,JAGMOHAN KUMAWAT BHAWAR,2,1768,Indian National Congress,3
BruhanMumbai Mahanagar Palika,BruhanMumbai Mahanagar Palika,Konkan,Mumbai,Shailesh Krishna Utekar,2,814,Maharashtra Navnirman Sena,4
BruhanMumbai Mahanagar Palika,BruhanMumbai Mahanagar Palika,Konkan,Mumbai,Dattaram Govind Naik,2,164,Independent,5
BruhanMumbai Mahanagar Palika,BruhanMumbai Mahanagar Palika,Konkan,Mumbai,hemendra parmanand Ashar,2,129,Independent,6
BruhanMumbai Mahanagar Palika,BruhanMumbai Mahanagar Palika,Konkan,Mumbai,SURENDRA VINAY TIWARI,2,123,Republican Party of India (A),7
BruhanMumbai Mahanagar Palika,BruhanMumbai Mahanagar Palika,Konkan,Mumbai,Girish Jagannath Sawant,2,92,Nationalist Congress Party,8
BruhanMumbai Mahanagar Palika,BruhanMumbai Mahanagar Palika,Konkan,Mumbai,somjee anugrah prasad,2,51,Bahujan Samaj Party,9
BruhanMumbai Mahanagar Palika,BruhanMumbai Mahanagar Palika,Konkan,Mumbai,mahesh chandrakant vakode,2,30,Independent,10
