state,year,district,block,gram_panchayat,ward_no,tier,reservation,caste_reservation,woman_reserved,winner,votes,reservation_raw,script,source_pdf,source_path,source_page
Goa,2017,North Goa,Bardez,Siolim­Sodiem,I,ward,Other than Woman,NONE,0,,,General,latin,bardez.pdf,data/goa/2017/bardez.pdf,1
Goa,2017,North Goa,Bardez,Siolim­Sodiem,II,ward,BC Other than Woman,BC,0,,,OBC,latin,bardez.pdf,data/goa/2017/bardez.pdf,1
Goa,2017,North Goa,Bardez,Siolim­Sodiem,III,ward,Woman,NONE,1,,,Women,latin,bardez.pdf,data/goa/2017/bardez.pdf,1
Goa,2017,North Goa,Bardez,Siolim­Marna,I,ward,Other than Woman,NONE,0,,,General,latin,bardez.pdf,data/goa/2017/bardez.pdf,2
Goa,2017,North Goa,Bardez,Siolim­Marna,II,ward,Other than Woman,NONE,0,,,General,latin,bardez.pdf,data/goa/2017/bardez.pdf,2
Goa,2017,North Goa,Bardez,Siolim­Marna,V,ward,Woman,NONE,1,,,Women,latin,bardez.pdf,data/goa/2017/bardez.pdf,3
Goa,2017,North Goa,Bardez,Camurlim,I,ward,Other than Woman,NONE,0,,,General,latin,bardez.pdf,data/goa/2017/bardez.pdf,4
Goa,2017,North Goa,Bardez,Camurlim,II,ward,Other than Woman,NONE,0,,,General,latin,bardez.pdf,data/goa/2017/bardez.pdf,4
Goa,2017,North Goa,Bardez,Camurlim,V,ward,Other than Woman,NONE,0,,,General,latin,bardez.pdf,data/goa/2017/bardez.pdf,4
Goa,2017,North Goa,Bardez,Oxel,I,ward,Other than Woman,NONE,0,,,General,latin,bardez.pdf,data/goa/2017/bardez.pdf,5
Goa,2017,North Goa,Bardez,Colvale,I,ward,Other than Woman,NONE,0,,,General,latin,bardez.pdf,data/goa/2017/bardez.pdf,6
Goa,2017,North Goa,Bardez,Colvale,II,ward,Other than Woman,NONE,0,,,General,latin,bardez.pdf,data/goa/2017/bardez.pdf,6
Goa,2017,North Goa,Bardez,Colvale,III,ward,Woman,NONE,1,,,Women,latin,bardez.pdf,data/goa/2017/bardez.pdf,6
Goa,2017,North Goa,Bardez,Colvale,VI,ward,Other than Woman,NONE,0,,,General,latin,bardez.pdf,data/goa/2017/bardez.pdf,6
Goa,2017,North Goa,Bardez,Assonora,I,ward,Other than Woman,NONE,0,,,General,latin,bardez.pdf,data/goa/2017/bardez.pdf,7
