state,year,district,block,gram_panchayat,ward_no,tier,tier_local,reservation,caste_reservation,woman_reserved,winner,votes,reservation_raw,script,source_pdf,source_path,source_page
Goa,2022,South Goa,Quepem,Balli- Adnem,I,gp_ward,ward,ST Woman,ST,1,,,ST Women,latin,list-of-validly-niminated-candidates-quepemvp_2022.pdf,data/goa/2022/list-of-validly-niminated-candidates-quepemvp_2022.pdf,1
Goa,2022,South Goa,Quepem,Balli- Adnem,II,gp_ward,ward,Other than Woman,NONE,0,,,General,latin,list-of-validly-niminated-candidates-quepemvp_2022.pdf,data/goa/2022/list-of-validly-niminated-candidates-quepemvp_2022.pdf,1
Goa,2022,South Goa,Quepem,Balli- Adnem,III,gp_ward,ward,Other than Woman,NONE,0,,,General,latin,list-of-validly-niminated-candidates-quepemvp_2022.pdf,data/goa/2022/list-of-validly-niminated-candidates-quepemvp_2022.pdf,1
Goa,2022,South Goa,Quepem,Balli- Adnem,IV,gp_ward,ward,Other than Woman,NONE,0,,,General,latin,list-of-validly-niminated-candidates-quepemvp_2022.pdf,data/goa/2022/list-of-validly-niminated-candidates-quepemvp_2022.pdf,2
Goa,2022,South Goa,Quepem,Balli- Adnem,V,gp_ward,ward,Other than Woman,NONE,0,,,General,latin,list-of-validly-niminated-candidates-quepemvp_2022.pdf,data/goa/2022/list-of-validly-niminated-candidates-quepemvp_2022.pdf,2
Goa,2022,South Goa,Quepem,Balli- Adnem,VI,gp_ward,ward,Woman,NONE,1,,,Women,latin,list-of-validly-niminated-candidates-quepemvp_2022.pdf,data/goa/2022/list-of-validly-niminated-candidates-quepemvp_2022.pdf,2
Goa,2022,South Goa,Quepem,Balli- Adnem,VII,gp_ward,ward,ST Woman,ST,1,,,ST Women,latin,list-of-validly-niminated-candidates-quepemvp_2022.pdf,data/goa/2022/list-of-validly-niminated-candidates-quepemvp_2022.pdf,2
Goa,2022,South Goa,Quepem,Balli- Adnem,VIII,gp_ward,ward,ST Other than Woman,ST,0,,,ST,latin,list-of-validly-niminated-candidates-quepemvp_2022.pdf,data/goa/2022/list-of-validly-niminated-candidates-quepemvp_2022.pdf,2
Goa,2022,South Goa,Quepem,Balli- Adnem,IX,gp_ward,ward,ST Other than Woman,ST,0,,,ST,latin,list-of-validly-niminated-candidates-quepemvp_2022.pdf,data/goa/2022/list-of-validly-niminated-candidates-quepemvp_2022.pdf,3
Goa,2022,South Goa,Quepem,Ambaulim,I,gp_ward,ward,ST Woman,ST,1,,,ST Women,latin,list-of-validly-niminated-candidates-quepemvp_2022.pdf,data/goa/2022/list-of-validly-niminated-candidates-quepemvp_2022.pdf,3
Goa,2022,South Goa,Quepem,Ambaulim,II,gp_ward,ward,ST Other than Woman,ST,0,,,ST,latin,list-of-validly-niminated-candidates-quepemvp_2022.pdf,data/goa/2022/list-of-validly-niminated-candidates-quepemvp_2022.pdf,3
Goa,2022,South Goa,Quepem,Ambaulim,III,gp_ward,ward,ST Other than Woman,ST,0,,,ST,latin,list-of-validly-niminated-candidates-quepemvp_2022.pdf,data/goa/2022/list-of-validly-niminated-candidates-quepemvp_2022.pdf,3
Goa,2022,South Goa,Quepem,Ambaulim,IV,gp_ward,ward,Other than Woman,NONE,0,,,General,latin,list-of-validly-niminated-candidates-quepemvp_2022.pdf,data/goa/2022/list-of-validly-niminated-candidates-quepemvp_2022.pdf,3
Goa,2022,South Goa,Quepem,Ambaulim,V,gp_ward,ward,Woman,NONE,1,,,Women,latin,list-of-validly-niminated-candidates-quepemvp_2022.pdf,data/goa/2022/list-of-validly-niminated-candidates-quepemvp_2022.pdf,3
Goa,2022,South Goa,Quepem,Ambaulim,VI,gp_ward,ward,Woman,NONE,1,,,Women,latin,list-of-validly-niminated-candidates-quepemvp_2022.pdf,data/goa/2022/list-of-validly-niminated-candidates-quepemvp_2022.pdf,4
Goa,2022,South Goa,Quepem,Ambaulim,VII,gp_ward,ward,Other than Woman,NONE,0,,,General,latin,list-of-validly-niminated-candidates-quepemvp_2022.pdf,data/goa/2022/list-of-validly-niminated-candidates-quepemvp_2022.pdf,4
Goa,2022,South Goa,Quepem,Xeldem,I,gp_ward,ward,Other than Woman,NONE,0,,,General,latin,list-of-validly-niminated-candidates-quepemvp_2022.pdf,data/goa/2022/list-of-validly-niminated-candidates-quepemvp_2022.pdf,4
Goa,2022,South Goa,Quepem,Xeldem,II,gp_ward,ward,BC Other than Woman,BC,0,,,OBC,latin,list-of-validly-niminated-candidates-quepemvp_2022.pdf,data/goa/2022/list-of-validly-niminated-candidates-quepemvp_2022.pdf,4
Goa,2022,South Goa,Quepem,Xeldem,III,gp_ward,ward,Other than Woman,NONE,0,,,General,latin,list-of-validly-niminated-candidates-quepemvp_2022.pdf,data/goa/2022/list-of-validly-niminated-candidates-quepemvp_2022.pdf,4
Goa,2022,South Goa,Quepem,Xeldem,IV,gp_ward,ward,Other than Woman,NONE,0,,,General,latin,list-of-validly-niminated-candidates-quepemvp_2022.pdf,data/goa/2022/list-of-validly-niminated-candidates-quepemvp_2022.pdf,5
Goa,2022,South Goa,Quepem,Xeldem,V,gp_ward,ward,ST Other than Woman,ST,0,,,ST,latin,list-of-validly-niminated-candidates-quepemvp_2022.pdf,data/goa/2022/list-of-validly-niminated-candidates-quepemvp_2022.pdf,5
Goa,2022,South Goa,Quepem,Xeldem,VI,gp_ward,ward,Other than Woman,NONE,0,,,General,latin,list-of-validly-niminated-candidates-quepemvp_2022.pdf,data/goa/2022/list-of-validly-niminated-candidates-quepemvp_2022.pdf,5
Goa,2022,South Goa,Quepem,Xeldem,VIII,gp_ward,ward,Other than Woman,NONE,0,,,General,latin,list-of-validly-niminated-candidates-quepemvp_2022.pdf,data/goa/2022/list-of-validly-niminated-candidates-quepemvp_2022.pdf,6
Goa,2022,South Goa,Quepem,Xeldem,IX,gp_ward,ward,BC Woman,BC,1,,,OBC Women,latin,list-of-validly-niminated-candidates-quepemvp_2022.pdf,data/goa/2022/list-of-validly-niminated-candidates-quepemvp_2022.pdf,6
Goa,2022,South Goa,Quepem,Xeldem,X,gp_ward,ward,ST Woman,ST,1,,,ST Women,latin,list-of-validly-niminated-candidates-quepemvp_2022.pdf,data/goa/2022/list-of-validly-niminated-candidates-quepemvp_2022.pdf,6
Goa,2022,South Goa,Quepem,Xeldem,XI,gp_ward,ward,Woman,NONE,1,,,Women,latin,list-of-validly-niminated-candidates-quepemvp_2022.pdf,data/goa/2022/list-of-validly-niminated-candidates-quepemvp_2022.pdf,6
Goa,2022,South Goa,Quepem,Assolda,I,gp_ward,ward,ST Other than Woman,ST,0,,,ST,latin,list-of-validly-niminated-candidates-quepemvp_2022.pdf,data/goa/2022/list-of-validly-niminated-candidates-quepemvp_2022.pdf,7
Goa,2022,South Goa,Quepem,Assolda,II,gp_ward,ward,BC Other than Woman,BC,0,,,OBC,latin,list-of-validly-niminated-candidates-quepemvp_2022.pdf,data/goa/2022/list-of-validly-niminated-candidates-quepemvp_2022.pdf,7
Goa,2022,South Goa,Quepem,Assolda,III,gp_ward,ward,Other than Woman,NONE,0,,,General,latin,list-of-validly-niminated-candidates-quepemvp_2022.pdf,data/goa/2022/list-of-validly-niminated-candidates-quepemvp_2022.pdf,7
Goa,2022,South Goa,Quepem,Assolda,IV,gp_ward,ward,Other than Woman,NONE,0,,,General,latin,list-of-validly-niminated-candidates-quepemvp_2022.pdf,data/goa/2022/list-of-validly-niminated-candidates-quepemvp_2022.pdf,7
Goa,2022,South Goa,Quepem,Assolda,VI,gp_ward,ward,Woman,NONE,1,,,Women,latin,list-of-validly-niminated-candidates-quepemvp_2022.pdf,data/goa/2022/list-of-validly-niminated-candidates-quepemvp_2022.pdf,8
