DISTRICT,DISTRICT CODE,BLOCK,BLOCK CODE,PANCHAYAT NAME,PANCHAYAT CODE,Total_Pop,Sc_Pop,St_Pop,Obc_Pop,Reserved_2010,caste_reserved_2010,sc_reserved_2010,st_reserved_2010,obc_reserved_2010,female_reserved_2010
GARHWA,1,KANDI,4,BALIYARI,10403,5318,751,0,2860,1,1,0,0,1,1
GARHWA,1,KANDI,4,GAADA KHURD,10404,5437,654,0,2887,0,0,0,0,0,0
GARHWA,1,KANDI,4,KHARAUNDHA,10405,6255,1303,0,3058,1,1,0,0,1,1
GARHWA,1,KANDI,4,PATILA,10406,4971,1150,0,2309,1,0,0,0,0,1
GARHWA,1,KANDI,4,SARKONI,10407,3936,1288,5,1644,1,0,0,0,0,1
GARHWA,1,KANDI,4,GHTUHUA KALA,10408,3292,1332,0,1079,1,0,0,0,0,1
GARHWA,1,KANDI,4,CHATNIYA,10409,5083,1653,102,3053,1,1,0,0,1,0
GARHWA,1,KANDI,4,LAMARIKALA,10410,4837,1301,11,2585,0,0,0,0,0,0
GARHWA,1,KANDI,4,KHUTHERIYA,10411,5002,1679,11,2218,1,1,1,0,0,1
GARHWA,1,KANDI,4,SHIVPUR,10412,5476,1488,0,2532,1,1,1,0,0,0
GARHWA,1,KANDI,4,RANADIH,10413,5192,1263,0,1814,1,1,1,0,0,1
GARHWA,1,BARDIHA,5,BARDIHA,10501,4876,1479,264,2914,0,0,0,0,0,0
GARHWA,1,BARDIHA,5,SALGA,10502,4314,1282,0,2379,1,0,0,0,0,1
GARHWA,1,BARDIHA,5,OBRA,10503,5183,2092,523,2096,1,1,1,0,0,0
GARHWA,1,BARDIHA,5,SUKHNADI,10504,5041,2154,115,2567,1,1,1,0,0,1
GARHWA,1,BARDIHA,5,JATRO BANJAARI,10505,4370,1464,334,2572,1,0,0,0,0,1
GARHWA,1,BARDIHA,5,AADAR,10506,5394,963,642,3695,1,1,0,0,1,1
GARHWA,1,MAJHIAVA,6,PURHE,10601,4075,2005,0,1344,1,1,1,0,0,1
GARHWA,1,MAJHIAVA,6,TARAHE,10602,4766,1503,0,2243,1,0,0,0,0,1
GARHWA,1,MAJHIAVA,6,RAMPUR,10603,4979,1632,1437,1586,1,1,1,0,0,0
GARHWA,1,MAJHIAVA,6,SONPURVA,10604,4953,889,140,2165,0,0,0,0,0,0
GARHWA,1,MAJHIAVA,6,BODRA,10605,3510,1322,0,1147,0,0,0,0,0,0
GARHWA,1,MAJHIAVA,6,TALASBARIYA,10606,4496,995,0,1312,1,0,0,0,0,1
GARHWA,1,MAJHIAVA,6,KHARSOTA,10607,4944,1609,123,3212,1,1,1,0,0,1
GARHWA,1,MAJHIAVA,6,MORBE,10608,5410,1402,220,3402,1,1,0,0,1,1
GARHWA,1,MAJHIAVA,6,KARAMDIH,10609,4724,1218,0,1870,1,0,0,0,0,1
GARHWA,1,VISHUNPUR,7,PATIHARI,10701,5123,1139,240,3638,1,1,0,0,1,1
GARHWA,1,VISHUNPUR,7,SARAANG,10702,3163,1161,402,1181,1,0,0,0,0,1
GARHWA,1,VISHUNPUR,7,PIPARI KALA,10703,5900,1375,697,3122,0,0,0,0,0,0
GARHWA,1,VISHUNPUR,7,VISUNPURA,10704,6149,1762,6,4210,1,1,1,0,0,1
GARHWA,1,VISHUNPUR,7,AMHAR KHAAS,10705,5675,1356,19,2849,1,0,0,0,0,1
GARHWA,1,RAMNA,8,BAHIYAAR KALA,10801,5159,1233,1253,2122,0,0,0,0,0,0
GARHWA,1,RAMNA,8,BAHIYAAR KHURD,10802,4664,1822,372,2293,1,1,1,0,0,0
GARHWA,1,RAMNA,8,TANDVA,10803,5404,1571,1215,2102,1,0,0,0,0,1
GARHWA,1,RAMNA,8,RAMNA,10804,6502,1950,47,3283,1,1,1,0,0,1
GARHWA,1,RAMNA,8,KARNPURA,10805,4862,1007,0,3043,0,0,0,0,0,0
GARHWA,1,RAMNA,8,MADVANIYA,10806,5051,1430,133,2668,1,0,0,0,0,1
GARHWA,1,RAMNA,8,SILIDAAG,10807,5144,1233,479,2687,1,0,0,0,0,1
GARHWA,1,RAMNA,8,GAMHARIYA,10808,4816,1739,1130,1510,1,1,1,0,0,1
GARHWA,1,RAMNA,8,BULKA,10809,4098,1249,1498,1080,1,1,0,1,0,1
GARHWA,1,RAMNA,8,BHAGODIH,10810,5752,1210,294,3662,1,1,0,0,1,1
GARHWA,1,RAMNA,8,HARADAAG KALA,10811,4948,966,409,3573,0,0,0,0,0,0
GARHWA,1,NAGAR UNTARI,9,KUMBA KHURD,10901,5247,2172,2039,878,1,1,0,1,0,1
GARHWA,1,NAGAR UNTARI,9,BILAASPUR,10902,4064,1357,41,2326,1,1,1,0,0,0
GARHWA,1,NAGAR UNTARI,9,HALIVANTA KALA,10903,5301,1714,447,1212,0,0,0,0,0,0
GARHWA,1,NAGAR UNTARI,9,PIPARDIH,10904,4507,1826,1,1453,1,1,1,0,0,1
GARHWA,1,NAGAR UNTARI,9,PURAINI,10905,5516,778,146,3578,0,0,0,0,0,0
GARHWA,1,NAGAR UNTARI,9,CHITVISRAM,10906,5887,1261,19,4173,1,1,0,0,1,1
GARHWA,1,NAGAR UNTARI,9,NARHI,10907,5186,990,29,2189,1,0,0,0,0,1
GARHWA,1,NAGAR UNTARI,9,NAGAR UNTARI,10908,5784,927,21,4454,1,1,0,0,1,1
GARHWA,1,NAGAR UNTARI,9,CHECHRIYA,10909,4830,511,7,4002,0,0,0,0,0,0
GARHWA,1,NAGAR UNTARI,9,GARBANDH,10910,5749,1430,1802,1222,1,1,0,1,0,0
GARHWA,1,NAGAR UNTARI,9,AHIRPURWA,10911,4110,1188,980,394,1,0,0,0,0,1
GARHWA,1,NAGAR UNTARI,9,JANGIPUR,10912,4861,552,1105,2418,1,0,0,0,0,1
GARHWA,1,NAGAR UNTARI,9,KUSHDAND,10913,5219,1564,551,2035,1,1,1,0,0,1
GARHWA,1,NAGAR UNTARI,9,PALHEKALA,10914,5382,1798,301,2250,1,1,1,0,0,0
GARHWA,1,NAGAR UNTARI,9,BHOJPUR,10915,5443,1332,797,3024,1,0,0,0,0,1
GARHWA,1,NAGAR UNTARI,9,KOLJHINKI,10916,3710,978,88,2600,0,0,0,0,0,0
GARHWA,1,SAGAMA,10,GHAGHRI,11001,4720,2120,94,2330,1,1,1,0,0,0
GARHWA,1,SAGAMA,10,BIRBAL,11002,5436,762,138,3887,1,0,0,0,0,1
GARHWA,1,SAGAMA,10,SONDIHA,11003,5742,2245,251,3034,1,1,1,0,0,1
GARHWA,1,SAGAMA,10,SAGAMA,11004,4642,1522,376,2580,0,0,0,0,0,0
GARHWA,1,SAGAMA,10,KATHAR KALA,11005,3503,873,1263,1259,1,0,0,0,0,1
GARHWA,1,GHURAKI,11,RAKSI,11101,6139,2051,1058,2916,1,1,1,0,0,1
GARHWA,1,GHURAKI,11,KHUTIYA,11102,4300,333,2164,1361,1,0,0,0,0,1
GARHWA,1,GHURAKI,11,KHAALA,11103,4667,1096,385,3126,1,0,0,0,0,1,,,,
GARHWA,1,GHURAKI,11,GHURAKI,11104,4744,1258,407,2977,0,0,0,0,0,0,,,,
GARHWA,1,GHURAKI,11,GANIYARI KALA,11105,6282,1110,2701,2438,1,1,0,1,0,0,,,,
GARHWA,1,GHURAKI,11,TATIDIRI,11106,5632,1574,1034,2795,1,1,1,0,0,0,,,,
GARHWA,1,GHURAKI,11,AMBAKHOREYA,11107,5531,676,3970,842,1,1,0,1,0,1,,,,
GARHWA,1,GHURAKI,11,BHANDAAR,11108,4969,997,1908,2009,0,0,0,0,0,0,,,,
GARHWA,1,DANDAI,12,SONEHARA,11201,6076,2564,502,2478,1,1,1,0,0,1,,,,
GARHWA,1,DANDAI,12,KARKE,11202,5399,1627,176,3118,0,0,0,0,0,0,,,,
GARHWA,1,DANDAI,12,DANDAI,11203,7539,1660,1003,4298,1,1,0,0,1,1,,,,
GARHWA,1,DANDAI,12,LAVAHIKALA,11204,5374,1530,77,3660,0,0,0,0,0,0,,,,
GARHWA,1,DANDAI,12,RARO,11205,6036,760,2045,2449,1,0,0,0,0,1,,,,
GARHWA,1,DANDAI,12,PACHAUR,11206,5146,1328,2717,978,1,1,0,1,0,1,,,,
GARHWA,1,DANDAI,12,JARHI,11207,5639,1860,93,3365,1,1,1,0,0,0,,,,
GARHWA,1,DANDAI,12,JHOTAR,11208,3702,973,232,2415,1,0,0,0,0,1,,,,
GARHWA,1,DANDAI,12,TASRAR,11209,4893,1500,1327,1814,1,0,0,0,0,1,,,,
GARHWA,1,CHINIYA,13,KUNDIL URAF DOL,11301,4540,1016,1498,1170,1,0,0,0,0,1,,,,
GARHWA,1,CHINIYA,13,KHURRI,11302,4063,910,1331,1682,0,0,0,0,0,0
GARHWA,1,CHINIYA,13,BILAITIKHAIR,11303,5081,420,3012,1340,1,1,0,1,0,1
GARHWA,1,CHINIYA,13,BELRI URAF CHINIYA,11304,4807,1179,2007,1062,1,1,1,0,0,1
GARHWA,1,CHINIYA,13,CHETA URAF BETA,11305,0,0,0,0,1,0,0,0,0,1
GARHWA,1,CHINIYA,13,HETARKALA,11306,3909,294,2873,551,1,1,0,1,0,0
GARHWA,1,CHINIYA,13,BARVADIH,11307,4285,763,1741,1447,0,0,0,0,0,0
GARHWA,1,MERAL,14,PADUA,11401,5413,1279,0,3124,0,0,0,0,0,0
GARHWA,1,MERAL,14,LOVADAAG,11402,5089,754,0,3466,1,0,0,0,0,1
GARHWA,1,MERAL,14,TENAAR,11403,5247,1194,773,2624,0,0,0,0,0,0
GARHWA,1,MERAL,14,SANGBARIYA,11404,4320,2244,818,900,1,1,1,0,0,1
GARHWA,1,MERAL,14,CHECHRIYA,11405,4982,790,0,2354,1,0,0,0,0,1
GARHWA,1,MERAL,14,KHORIDIH,11406,3759,1014,0,2191,1,0,0,0,0,1
GARHWA,1,MERAL,14,BIKTAAM,11407,4461,1740,181,1987,1,1,1,0,0,0
GARHWA,1,MERAL,14,OKHARGAADA WEST,11408,4540,663,260,2176,0,0,0,0,0,0
GARHWA,1,MERAL,14,OKHARGAADA EAST,11409,3901,826,610,2450,0,0,0,0,0,0
GARHWA,1,MERAL,14,ARANGI,11410,4962,1624,244,2225,1,1,1,0,0,0
GARHWA,1,MERAL,14,MERAL EAST,11411,4655,994,87,3517,1,0,0,0,0,1
GARHWA,1,MERAL,14,MERAL WEST,11412,4331,1078,164,2862,0,0,0,0,0,0
GARHWA,1,MERAL,14,GONDHA,11413,6531,1638,849,2662,1,1,1,0,0,1
GARHWA,1,MERAL,14,BAANA,11414,4655,1340,1149,1963,1,1,0,1,0,1
GARHWA,1,MERAL,14,GERUA,11415,5800,934,273,3838,1,1,0,0,1,1
GARHWA,1,MERAL,14,HASANDAAG,11416,5533,814,0,3780,1,1,0,0,1,0
GARHWA,1,MERAL,14,KARKOMA,11417,4751,1240,0,2142,1,0,0,0,0,1
GARHWA,1,MERAL,14,TISARTETUKA,11418,5320,1555,446,2848,1,1,1,0,0,1
GARHWA,1,MERAL,14,DULDULVA,11419,6388,1127,75,3863,1,1,0,0,1,0
GARHWA,1,MERAL,14,CHAAMA,11420,5654,467,570,4587,1,1,0,0,1,1
GARHWA,1,GARHAWA,15,KORVADIH,11501,4770,834,2,3189,1,0,0,0,0,1
GARHWA,1,GARHAWA,15,KALYANPUR,11502,5223,826,89,3126,1,0,0,0,0,1
GARHWA,1,GARHAWA,15,CHHATARPUR,11503,5128,614,30,3363,1,1,0,0,1,0
GARHWA,1,GARHAWA,15,CHIRAUNJIYA,11504,3533,955,132,2188,0,0,0,0,0,0
GARHWA,1,GARHAWA,15,NAVADA,11505,5431,1372,44,3049,1,1,1,0,0,1
GARHWA,1,GARHAWA,15,UARSURGI,11506,4985,470,1882,1645,1,1,0,1,0,1
GARHWA,1,GARHAWA,15,SANGRAHE KHURD,11507,5943,1016,158,3493,1,1,0,0,1,1
GARHWA,1,GARHAWA,15,PRATAPPUR,11508,4764,766,308,1646,0,0,0,0,0,0
GARHWA,1,GARHAWA,15,BELCHAMPA,11509,4832,2286,0,1396,1,1,1,0,0,0
GARHWA,1,GARHAWA,15,FARHIYA,11510,5150,564,560,3897,1,1,0,0,1,0
GARHWA,1,GARHAWA,15,MADHEYA,11511,5782,1483,48,1879,0,0,0,0,0,0
GARHWA,1,GARHAWA,15,ACHALA,11512,5703,1554,1,2874,1,1,1,0,0,0
GARHWA,1,GARHAWA,15,JAATA,11513,5889,1618,0,3926,1,1,0,0,1,1
GARHWA,1,GARHAWA,15,MAHULIYA,11514,5859,2052,73,3255,1,1,1,0,0,1
GARHWA,1,GARHAWA,15,OBRA,11515,5929,1242,1550,2892,1,0,0,0,0,1
GARHWA,1,GARHAWA,15,VEERBANDHA,11516,5857,991,728,2958,0,0,0,0,0,0
GARHWA,1,GARHAWA,15,PARIHARA,11517,5986,2534,720,2113,1,1,1,0,0,1
GARHWA,1,GARHAWA,15,DUBE MARHATIYA,11518,5587,838,671,3295,1,1,0,0,1,1
GARHWA,1,GARHAWA,15,TILDAAG,11519,5657,724,166,2549,1,0,0,0,0,1
GARHWA,1,GARHAWA,15,KARUAKALA,11520,4885,915,1,1505,0,0,0,0,0,0
GARHWA,1,GARHAWA,15,PIPRA,11521,4909,758,0,1711,1,0,0,0,0,1
GARHWA,1,GARHAWA,15,RANKA,11522,5586,1088,1,1853,1,0,0,0,0,1
GARHWA,1,DANDA ,16,DANDA ,11601,5631,749,27,4242,1,1,0,0,1,1
GARHWA,1,DANDA ,16,BHIKHAHI,11602,4229,55,0,3981,0,0,0,0,0,0
GARHWA,1,DANDA ,16,CHHAPARDAGA,11603,4392,489,0,3441,1,0,0,0,0,1
GARHWA,1,RANKA,17,SIROIKHURD,11701,5744,1144,2753,1807,1,1,0,1,0,0
GARHWA,1,RANKA,17,KATRA,11702,5116,449,3070,1550,1,1,0,1,0,0
GARHWA,1,RANKA,17,DUDHWAL,11703,5409,306,2035,3058,1,0,0,0,0,1
GARHWA,1,RANKA,17,CHUTARU,11704,5545,1049,1729,2727,0,0,0,0,0,0
GARHWA,1,RANKA,17,CHUTIYA,11705,5266,332,1067,3746,1,0,0,0,0,1
GARHWA,1,RANKA,17,VISHRAMPUR,11706,4835,635,2992,1064,1,1,0,1,0,1
GARHWA,1,RANKA,17,SONDAAG,11707,5335,2809,1393,1075,1,1,1,0,0,1
GARHWA,1,RANKA,17,RANKA KALA,11708,5837,914,32,3894,1,0,0,0,0,1
GARHWA,1,RANKA,17,KANCHANPUR,11709,5518,2328,581,2058,1,1,1,0,0,0
GARHWA,1,RANKA,17,KHARDIHA,11710,4325,1275,1250,1267,0,0,0,0,0,0
GARHWA,1,RANKA,17,KHAJRO,11711,4396,833,55,2725,1,0,0,0,0,1
GARHWA,1,RANKA,17,MAANPUR,11712,4693,732,300,2605,0,0,0,0,0,0
GARHWA,1,RANKA,17,TAMGEKALA,11713,5841,1523,3261,842,1,1,0,1,0,1
GARHWA,1,RANKA,17,BAHAHAARA,11714,4903,1760,1485,1343,1,1,1,0,0,1
GARHWA,1,RAMKANDA,18,BALIGARH,11801,4332,1163,1912,1152,1,1,0,1,0,0
GARHWA,1,RAMKANDA,18,VIRAJPUR,11802,4518,623,2658,1202,1,1,0,1,0,1
GARHWA,1,RAMKANDA,18,RAMKANDA,11803,5364,2003,837,2451,1,1,1,0,0,1
GARHWA,1,RAMKANDA,18,HARAHE,11804,5251,1892,1885,1382,1,0,0,0,0,1
GARHWA,1,RAMKANDA,18,CHETE,11805,3783,550,2084,961,1,0,0,0,0,1
GARHWA,1,RAMKANDA,18,UDAYPUR,11806,5283,1965,1289,1959,0,0,0,0,0,0
GARHWA,1,RAMKANDA,18,RAKSI,11807,5286,1875,1635,1677,0,0,0,0,0,0
GARHWA,1,BHANDARIYA,19,JANEVA,11901,5608,628,4131,749,1,1,0,1,0,1
GARHWA,1,BHANDARIYA,19,MADGARI(K),11902,5191,1753,1546,1620,1,1,0,1,0,0
GARHWA,1,BHANDARIYA,19,KARCHAALI,11903,4927,407,3191,1176,1,1,0,1,0,1
GARHWA,1,BHANDARIYA,19,BHANDARIYA,11904,5034,372,2959,1471,1,1,0,1,0,0
GARHWA,1,BHANDARIYA,19,BIJKA,11905,5327,263,4358,541,1,1,0,1,0,1
GARHWA,1,BHANDARIYA,19,FAKIRADIH,11906,5074,1055,2300,1391,1,1,0,1,0,0
GARHWA,1,BHANDARIYA,19,MADGARI(CHA),11907,5448,355,2860,1061,1,1,0,1,0,1
GARHWA,1,BHANDARIYA,19,BADGAD,11908,4816,153,2975,1427,1,1,0,1,0,0
GARHWA,1,BHANDARIYA,19,PARASVAAR,11909,4999,164,2851,1155,1,1,0,1,0,1
GARHWA,1,BHANDARIYA,19,TEHARI,11910,5064,179,2939,840,1,1,0,1,0,0
PALAMU,2,MOHMMADGANJ,1,PANSHA,20101,5379,1313,0,2970,1,1,0,0,1,1
PALAMU,2,MOHMMADGANJ,1,RAMBANDH,20102,5454,1349,0,2238,0,0,0,0,0,0
PALAMU,2,MOHMMADGANJ,1,LATPAURI,20103,5321,2185,0,1678,1,1,1,0,0,1
PALAMU,2,MOHMMADGANJ,1,KOLHUA SONBARSA,20104,5019,1571,0,1610,1,1,1,0,0,1
PALAMU,2,MOHMMADGANJ,1,BHAJNIYA,20105,4514,1440,0,2761,1,1,0,0,1,1
PALAMU,2,MOHMMADGANJ,1,GODADIH,20106,4667,1322,3,2179,1,0,0,0,0,1
PALAMU,2,MOHMMADGANJ,1,MOHMMADGANJ,20107,5818,1803,84,1993,1,0,0,0,0,1
PALAMU,2,MOHMMADGANJ,1,KADALKURMI,20108,3587,1389,146,1739,0,0,0,0,0,0
PALAMU,2,HAIDARNAGAR,2,PARTA,20201,4876,1379,0,2233,0,0,0,0,0,0
PALAMU,2,HAIDARNAGAR,2,KHARGARA,20202,4526,1168,0,2557,0,0,0,0,0,0
PALAMU,2,HAIDARNAGAR,2,CHAUKARI,20203,4966,1987,0,2641,1,1,1,0,0,1
PALAMU,2,HAIDARNAGAR,2,HAIDARNAGAR EAST,20204,5080,1198,8,1293,0,0,0,0,0,0
PALAMU,2,HAIDARNAGAR,2,HAIDARNAGAR WEST,20205,5400,544,0,1340,1,0,0,0,0,1
PALAMU,2,HAIDARNAGAR,2,BABHANDIH,20206,4528,1340,7,2110,1,0,0,0,0,1
PALAMU,2,HAIDARNAGAR,2,BARDANDA,20207,4635,1543,31,1352,1,1,1,0,0,0
PALAMU,2,HAIDARNAGAR,2,MOKAHARKALA,20208,5276,1396,0,1376,1,0,0,0,0,1
PALAMU,2,HAIDARNAGAR,2,EMAMNAGAR BAREVA,20209,4788,1792,0,2817,1,1,0,0,1,0
PALAMU,2,HAIDARNAGAR,2,SADEYA,20210,4849,2739,0,1068,1,1,1,0,0,1
PALAMU,2,HAIDARNAGAR,2,BILASPUR,20211,4674,2205,0,1183,1,1,1,0,0,0
PALAMU,2,HAIDARNAGAR,2,KUKAHI,20212,5259,841,0,3607,1,1,0,0,1,1
PALAMU,2,HUSAINABAAD,3,DEVARI KHURD,20301,4517,844,0,3603,1,1,0,0,1,0
PALAMU,2,HUSAINABAAD,3,DEVARI KALA,20302,5479,1848,0,1295,0,0,0,0,0,0
PALAMU,2,HUSAINABAAD,3,BADEPUR,20303,5396,2226,5,1474,0,0,0,0,0,0
PALAMU,2,HUSAINABAAD,3,BANIYADIH BARAHI,20304,4781,1804,277,2020,0,0,0,0,0,0
PALAMU,2,HUSAINABAAD,3,DANGVAAR,20305,5312,978,0,3806,1,1,0,0,1,1
PALAMU,2,HUSAINABAAD,3,BELBIGAHA,20306,5179,1185,4,2831,1,1,0,0,1,1
PALAMU,2,HUSAINABAAD,3,LOTNIYA,20307,5430,1608,0,2622,1,0,0,0,0,1
PALAMU,2,HUSAINABAAD,3,MAHUARI,20308,4996,1944,0,1323,1,0,0,0,0,1
PALAMU,2,HUSAINABAAD,3,DARUABENI,20309,4554,1198,0,1825,1,0,0,0,0,1
PALAMU,2,HUSAINABAAD,3,UAPARIKALA,20310,5451,1306,0,1660,1,0,0,0,0,1
PALAMU,2,HUSAINABAAD,3,BENIKALA,20311,4829,1235,0,2203,0,0,0,0,0,0
PALAMU,2,HUSAINABAAD,3,PATHARA,20312,4698,2283,1,1542,1,1,1,0,0,0
PALAMU,2,HUSAINABAAD,3,POLDIH,20313,4900,1788,0,1524,0,0,0,0,0,0
PALAMU,2,HUSAINABAAD,3,URDVAAR MANJURAHA,20314,4560,2446,0,1401,1,1,1,0,0,0
PALAMU,2,HUSAINABAAD,3,JHARGARA,20315,4727,2360,0,1869,1,1,1,0,0,0
PALAMU,2,HUSAINABAAD,3,PARTA KHURD,20316,5190,2306,0,2359,1,1,1,0,0,1
PALAMU,2,HUSAINABAAD,3,KOSHI,20317,4531,2073,0,1208,1,1,1,0,0,0
PALAMU,2,HUSAINABAAD,3,KURMIPUR,20318,5193,2229,0,1901,1,1,1,0,0,1
PALAMU,2,HUSAINABAAD,3,BAIRAVA,20319,4521,939,33,1870,1,0,0,0,0,1
PALAMU,2,HUSAINABAAD,3,JAMUA,20320,4792,2651,9,1556,1,1,1,0,0,1
PALAMU,2,HUSAINABAAD,3,DANDILA,20321,4481,2421,0,1398,1,1,1,0,0,1
PALAMU,2,HUSAINABAAD,3,MAHUDAND,20322,5304,1590,1464,1794,1,0,0,0,0,1
PALAMU,2,PIPRA,4,SARAIYA,20401,4888,1924,1,1940,1,0,0,0,0,1
PALAMU,2,PIPRA,4,TENDUI,20402,4522,1618,258,876,1,0,0,0,0,1
PALAMU,2,PIPRA,4,MADHUBANA,20403,4606,1954,90,1518,1,1,1,0,0,0
PALAMU,2,PIPRA,4,PIPRA,20404,5470,2247,7,2813,1,1,1,0,0,1
PALAMU,2,PIPRA,4,DALPATPUR,20405,5204,1574,0,2848,1,1,0,0,1,1
PALAMU,2,PIPRA,4,BABHANDI,20406,4986,1746,41,2155,0,0,0,0,0,0
PALAMU,2,HARIHARGANJ,5,KULHIYA,20501,4608,2161,0,2152,1,1,1,0,0,0
PALAMU,2,HARIHARGANJ,5,SEMARVAAR,20502,5486,3231,33,2150,1,1,1,0,0,1
PALAMU,2,HARIHARGANJ,5,KATAIYA,20503,5547,1514,2,2485,1,0,0,0,0,1
PALAMU,2,HARIHARGANJ,5,BELODAR,20504,4643,1874,0,2007,0,0,0,0,0,0
PALAMU,2,HARIHARGANJ,5,ARRUA KHURD,20505,5456,2283,4,2885,1,1,1,0,0,1
PALAMU,2,HARIHARGANJ,5,SATGAVA URAF HARIHARGANJ PA.,20506,5026,539,37,3139,0,0,0,0,0,0
PALAMU,2,HARIHARGANJ,5,SATGAVA URAF HARIHARGANJ PU.,20507,4885,490,0,3806,1,1,0,0,1,1
PALAMU,2,HARIHARGANJ,5,DEMA,20508,4919,1241,0,3326,1,1,0,0,1,0
PALAMU,2,HARIHARGANJ,5,KHARAGPUR,20509,5384,2115,0,2580,1,0,0,0,0,1
PALAMU,2,HARIHARGANJ,5,SARSOTA,20510,5510,2411,0,2017,1,1,1,0,0,0
PALAMU,2,HARIHARGANJ,5,SALAIYA,20511,4082,856,0,3070,0,0,0,0,0,0
PALAMU,2,HARIHARGANJ,5,DHAKCHA,20512,2845,1604,0,775,1,0,0,0,0,1
PALAMU,2,NAVADIH,6,LAXMIPUR,20601,4665,1409,0,2547,0,0,0,0,0,0
PALAMU,2,NAVADIH,6,VISHUNPUR,20602,5097,2186,0,2053,1,1,1,0,0,1
PALAMU,2,NAVADIH,6,NAVATANK,20603,4817,1371,9,2772,1,0,0,0,0,1
PALAMU,2,NAVADIH,6,CHERAI-2,20604,4715,2130,117,1805,1,1,1,0,0,1
PALAMU,2,NAVADIH,6,NAAMUDAAG,20605,5389,2175,0,2875,1,1,1,0,0,0
PALAMU,2,NAVADIH,6,TARIDIH,20606,4768,1908,7,2331,0,0,0,0,0,0
PALAMU,2,NAVADIH,6,KHAIRADOHAR,20607,5000,2012,914,1981,1,1,1,0,0,0
PALAMU,2,NAVADIH,6,SARAIDIH,20608,4711,1234,0,3416,1,1,0,0,1,1
PALAMU,2,NAVADIH,6,SHAAHPUR,20609,4602,1113,655,2588,1,0,0,0,0,1
PALAMU,2,NAVADIH,6,KARKATA,20610,3832,1351,1168,1209,0,0,0,0,0,0
