DISTRICT,DISTRICT CODE,BLOCK,BLOCK CODE,PANCHAYAT NAME,PANCHAYAT CODE,Total_Pop,Sc_Pop,St_Pop,Obc_Pop,Reserved_2010,caste_reserved_2010,sc_reserved_2010,st_reserved_2010,obc_reserved_2010,female_reserved_2010
GARHWA,1,KHARAUNDHI,1,SUNDI,10101,3817,570,1119,1761,0,0,0,0,0,0
GARHWA,1,KHARAUNDHI,1,RAAJI,10102,4249,1228,1266,1725,1,1,1,0,0,1
GARHWA,1,KHARAUNDHI,1,KHARAUNDHI,10103,5585,2302,52,3137,1,1,1,0,0,1
GARHWA,1,KHARAUNDHI,1,MAJHIGAWA(AMRORA),10104,5103,1783,738,1986,1,0,0,0,0,1
GARHWA,1,KHARAUNDHI,1,CHANDANI,10105,4048,1143,217,2451,0,0,0,0,0,0
GARHWA,1,KHARAUNDHI,1,KARIVADIH,10106,3817,1026,491,2087,1,0,0,0,0,1
GARHWA,1,KHARAUNDHI,1,SISARI,10107,4364,675,803,2752,1,0,0,0,0,1
GARHWA,1,KHARAUNDHI,1,ARANGI,10108,5191,1076,690,3215,1,1,0,0,1,1
GARHWA,1,KHARAUNDHI,1,KOOPA,10109,4534,1316,242,2866,1,1,1,0,0,0
GARHWA,1,KETAR,2,PARTI KUSHVANI,10201,5517,514,2358,2228,1,1,0,1,0,1
GARHWA,1,KETAR,2,BALIGARH,10202,5823,1384,958,2683,1,0,0,0,0,1
GARHWA,1,KETAR,2,KETAR,10203,5691,1534,513,3159,0,0,0,0,0,0
GARHWA,1,KETAR,2,PACHADUMAR,10204,5937,1826,647,3151,1,1,1,0,0,0
GARHWA,1,KETAR,2,MUKUNDPUR,10205,5333,647,390,2920,1,0,0,0,0,1
GARHWA,1,KETAR,2,PARSODIH,10206,5269,2054,23,2782,1,1,1,0,0,1
GARHWA,1,KETAR,2,LOHARGARA,10207,5264,1536,1,2609,0,0,0,0,0,0
GARHWA,1,BHAVNATHPUR,3,BANSAANI,10301,7312,2356,936,3607,1,1,1,0,0,0
GARHWA,1,BHAVNATHPUR,3,MAKARI,10302,8255,1956,1535,4646,1,1,0,0,1,1
GARHWA,1,BHAVNATHPUR,3,CHAPRI,10303,5035,1482,114,2634,0,0,0,0,0,0
GARHWA,1,BHAVNATHPUR,3,PANDARIYA,10304,4687,305,778,3097,1,0,0,0,0,1
GARHWA,1,BHAVNATHPUR,3,SINDURIYA,10305,5953,1429,521,939,1,0,0,0,0,1
GARHWA,1,BHAVNATHPUR,3,BHAVNATHPUR,10306,6505,2118,235,2900,1,1,1,0,0,1
GARHWA,1,BHAVNATHPUR,3,ARSALI SOUTH,10307,5511,1308,1158,3034,0,0,0,0,0,0
GARHWA,1,BHAVNATHPUR,3,ARSALI NORTH,10308,4500,775,250,1175,0,0,0,0,0,0
GARHWA,1,BHAVNATHPUR,3,KAILAAN,10309,4831,819,1905,1785,1,1,0,1,0,1
GARHWA,1,BHAVNATHPUR,3,HARIHARPUR,10310,5442,1211,223,2737,1,0,0,0,0,1
GARHWA,1,BHAVNATHPUR,3,DUMARSOTA,10311,4844,481,0,3509,1,1,0,0,1,0
GARHWA,1,BHAVNATHPUR,3,MAJHIGAWA  ,10312,6128,3022,148,534,1,1,1,0,0,1
GARHWA,1,KANDI,4,KANDI,10401,5028,1557,1,2618,0,0,0,0,0,0
GARHWA,1,KANDI,4,PATRIYA,10402,4766,1506,0,2528,1,0,0,0,0,1
