severity,file,scope,column,rule,count,share,examples,first_source,first_page
info,jharkhand/mukhiya_reservation_2015.csv,column,ward_no,not present in this source (entirely blank),1,0.0004,,data/jharkhand/2015/1. GARHWA MUKHIYA PSS/GARHWA MUKHIYA.pdf,1
info,jharkhand/panchayat_samiti_reservation_2015.csv,column,ward_no,not present in this source (entirely blank),1,0.0003,,data/jharkhand/2015/1. GARHWA MUKHIYA PSS/GARHWA PSS.pdf,1
info,jharkhand/ward_member_reservation_2015.csv,column,seat_no,not present in this source (entirely blank),1,0.0002,,data/jharkhand/2015/15. BOKARO ZP PSS MUKHIYA GPS/Bermo_GPS_GPM & GPVM.pdf,1
info,jharkhand/zila_parishad_reservation_2015.csv,column,block,not present in this source (entirely blank),1,0.0102,,data/jharkhand/2015/14. DHANBAD MUKHIYA PSS/DHANBAD ZP PSS MUKHIYA GPS.pdf,1
info,jharkhand/zila_parishad_reservation_2015.csv,column,block_no,not present in this source (entirely blank),1,0.0102,,data/jharkhand/2015/14. DHANBAD MUKHIYA PSS/DHANBAD ZP PSS MUKHIYA GPS.pdf,1
info,jharkhand/zila_parishad_reservation_2015.csv,column,gram_panchayat,not present in this source (entirely blank),1,0.0102,,data/jharkhand/2015/14. DHANBAD MUKHIYA PSS/DHANBAD ZP PSS MUKHIYA GPS.pdf,1
info,jharkhand/zila_parishad_reservation_2015.csv,column,gp_no,not present in this source (entirely blank),1,0.0102,,data/jharkhand/2015/14. DHANBAD MUKHIYA PSS/DHANBAD ZP PSS MUKHIYA GPS.pdf,1
info,jharkhand/zila_parishad_reservation_2015.csv,column,ward_no,not present in this source (entirely blank),1,0.0102,,data/jharkhand/2015/14. DHANBAD MUKHIYA PSS/DHANBAD ZP PSS MUKHIYA GPS.pdf,1
info,jk/sarpanch_reservation_2016.csv,column,ward_no,not present in this source (entirely blank),1,0.0024,,data/jk/2016/Annex A Doda.pdf,1
info,jk/sarpanch_reservation_2016.csv,column,ward_name,not present in this source (entirely blank),1,0.0024,,data/jk/2016/Annex A Doda.pdf,1
info,jk/ward_reservation_2010.csv,column,pop_sc,not present in this source (entirely blank),1,0.0001,,data/jk/2010/(Mahore).pdf,1
info,jk/ward_reservation_2010.csv,column,pop_st,not present in this source (entirely blank),1,0.0001,,data/jk/2010/(Mahore).pdf,1
info,jk/ward_reservation_2010.csv,column,pop_oc,not present in this source (entirely blank),1,0.0001,,data/jk/2010/(Mahore).pdf,1
info,jk/ward_reservation_2010.csv,column,pop_total,not present in this source (entirely blank),1,0.0001,,data/jk/2010/(Mahore).pdf,1
info,jk/ward_reservation_2018.csv,column,pop_sc,not present in this source (entirely blank),1,0.0007,,data/jk/2018/2018_Anantnag.pdf,1
info,jk/ward_reservation_2018.csv,column,pop_st,not present in this source (entirely blank),1,0.0007,,data/jk/2018/2018_Anantnag.pdf,1
info,jk/ward_reservation_2018.csv,column,pop_oc,not present in this source (entirely blank),1,0.0007,,data/jk/2018/2018_Anantnag.pdf,1
info,jk/ward_reservation_2018.csv,column,pop_total,not present in this source (entirely blank),1,0.0007,,data/jk/2018/2018_Anantnag.pdf,1
