S.No,DISTRICT,PANCHAYAT SAMITI,CATEGORY,ELECTED MEMBERS,PARTY,VOTE SECURED,NEAREST RIVAL,PARTY,VOTE SECURED,MARGIN,REMARKS
,,GADI,ST W,SMT.HANTOK,INC,17,SMT. KANTA GARASIA,IND,12,5,
,,GHATOL,ST W,KANYA KUMARI,BJP,15,KANKU,INC,12,3,
,,KUSHALGARH,ST,VIJAY SINGH,JD(U),,,,,,UNCONTESTED
,,PIPALKHUT,ST,RADHEY SHYAM,INC,10,SHAMBHU,JD (U),7,3,
,,SAJJANGARH,ST,RAMAN LAL,INC,13,SMT. VANITA,JD (U),4,9,
4,BARAN,ANTA,GEN W,KALAWATI BAI,BJP,11,NELA DEVI,INC,8,3,
,,ATRU,SC,PANA CHAND,INC,11,JAGANNATH,IND,6,5,
,,BARAN,GEN,SATYA NARAYAN PARETA,BJP,7,MAN SINGH,INC,7,,BY LOTTERY
,,CHABRA,ST W,VISHAKHA DEVI,BJP,11,KALA BAI,INC,4,7,
,,CHHIPABAROD,ST,UDA LAL,BJP,15,RAMKARAN,INC,4,11,
,,KISHANGANJ,GEN,MANOJ KUMAR,INC,10,RAMESHWAR PRASAD,IND,7,3,
,,SHAHBAD,OBC W,INDER LAL,INC,,,,,,UNCONTESTED
5,BARMER,BALOTRA,GEN W,SMT. KRISHANA KUMARI,INC,16,SMT. KAILASH KANWAR,BJP,13,3,
,,BARMER,GEN,MOOLA RAM BENIWAL,INC,16,KAN SINGH,IND,9,7,
,,BAYATU,GEN W,SMT. CHANANI DEVI,INC,13,SMT. SIGRATI DEVI,BJP,10,3,
,,CHOUHTAN,OBC W,BUX KHAN,INC,14,RAJU RAM,BJP,11,3,
,,DHORIMANNA,GEN,TAJA RAM,INC,19,HEMA RAM,BJP,8,11,
,,SHIV,OBC W,SMT. KAMLA,INC,,,,,,UNCONTESTED
,,SHIVANA,SC,OMA RAM MEGHWAL,INC,16,SUKHDEV JINGAR,BJP,9,7,
,,SINDHARI,GEN,SOHAN LAL,INC,,,,,,UNCONTESTED
6,BHARATPUR,BAIR,OBC W,MEETA SINGH,IND,16,URMILA,INC,8,8,
,,BAYANA,GEN,DR.JITENDRA SINGH,BJP,15,PREETAM SINGH,IND,6,9,
,,DEEG,GEN,YADHU VEER SINGH,IND,,,,,,UNCONTESTED
,,KAMAN,GEN W,JAHIDHA,INC,,,,,,UNCONTESTED
,,KUMHER,GEN W,OM WATI,INC,,,,,,UNCONTESTED
,,NADBAI,OBC,SWRAJ DEVI,IND,10,GHAMANDI SINGH,BJP,9,1,
,,NAGPAHARI (NAGAR),GEN,RAJENDRA SINGH,IND,14,MUVEEN AHMAD,IND,12,2,
,,ROOPWAS,SC,BHAGWAT,BJP,14,OM PRAKASH,INC,10,4,
,,SAWER,SC,SONA DEVI,INC,,,,,,UNCONTESTED
7,BHILWARA,ASINDH,GEN,CHANDRA VEER SINGH,BJP,12,CHHOGA LAL,INC,11,1,
,,BANERA,GEN,PRAKARM SINGH,BJP,,,,,,UNCONTESTED
,,HURDA,GEN,MADHO LAL GUJAR,INC,11,LAXMI NARAYAN,IND,4,7,
,,JAHAJPUR,SC W,TULSHI DEVI,INC,,,,,,UNCONTESTED
,,KOTRI,SC,MOHAN LAL,INC,10,DEVI LAL,BJP,9,1,
,,MANDAL,GEN,SAMPAT LAL TAK,INC,15,SAMUNDRA NATH,BJP,10,5,
,,MANDALGARH,ST,KAILASH CHAND,INC,16,JAGDISH CHANDRA,BJP,9,7,
,,RAIPUR,GEN W,GAYATRI DEVI TRIVEDI,INC,,,,,,UNCONTESTED
,,SAHARDA,GEN W,KANCHAN DEVI UPADHAYA,INC,10,KAMLA JAT,BJP,5,5,
,,SHAHPURA,OBC,LADU RAM,INC,11,RANG LAL,BJP,8,3,
,,SUWANA,OBC W,LADU,INC,,,,,,UNCONTESTED
8,BIKANER,BIKANER,GEN,BHUM RAJ ARYA,INC,22,RAGHUVEER SINGH,BJP,13,9,
,,KOLAYAT,SC,BHIKHA RAM,INC,11,OM PRAKASH,BJP,10,1,
,,LUNKARANSAR,GEN W,SMT. DEEPA,INC,19,KALA DEVI PAREEK,BJP,3,16,
,,NOKHA,OBC,SAHI RAM,BJP,12,MAHI RAM,IND,11,1,
9,BUNDI,HINDOLI,GEN,RAM DHAN SOMANI,IND,13,DURGA SHANKAR,INC,7,6,
,,KESHAURAIPATAN,SC W,SANTOSH MEGHWAL,INC,14,SHAKUNTLA,BJP,9,5,
,,NAINVA,OBC,JAGAN NATH GUJAR,INC,15,SITA,BJP,4,11,
,,TALERA,ST,JAI KISHAN,INC,19,RAMPAL,BJP,11,8,
10,CHITTORGARH,ARNOD,ST W,MANGUDI,BJP,9,KANCHAN,INC,6,3,
,,BADI SADARI,GEN,HEERA LAL JAT,INC,,,,,,UNCONTESTED
,,BEGU,GEN,RAGHU NATH GUJAR,BJP,11,GEETA,INC,4,7,
,,BHADESAR,GEN,GOVIND SINGH,INC,7,KANHAYALAL,BJP,6,1,
,,BHESRODGARH,ST,BHEMA RAM,INC,10,HEMRAJ,BJP,5,5,
,,BHOPAL SAGAR,GEN,BHAGWATI LAL HINGAR,INC,11,ROOP SINGH,BJP,4,7,
,,CHITTORGARH,SC,R.L.KHATIK,INC,,,,,,UNCONTESTED
,,CHHOTI SADARI,GEN W,NANDU BAI ANJANA,INC,,,,,,UNCONTESTED
,,DUNGLA,GEN W,NARAYANI,INC,8,SOHANI,BJP,7,1,
,,GANGRAR,SC W,SUMITRA DEVI,BJP,8,MULI DEVI,INC,7,1,
,,KAPASAN,GEN,MOHABBAT SINGH,BJP,9,DEVI LAL,INC,6,3,
,,NIMBAHERA,OBC,MEGH RAJ JAT,INC,9,PAYAR CHAND,BJP,8,1,
,,PRATAP GARH,ST,LACHI RAM,BJP,15,NAND LAL,INC,7,8,
,,RASHMI,OBC W,SMT.DEU AHIR,BJP,,,,,,UNCONTESTED
11,CHURU,CHURU,OBC,ANNA KORY,BJP,10,KHIWANI,INC,9,1,
,,RAJGARH,OBC,KAMLA,BJP,,,,,,UNCONTESTED
,,RATAN GARH,GEN,PURNA RAM,BJP,10,BHURA RAM,INC,9,1,
,,SARDAR SAHAR,SC,RAM KUMAR,INC,20,KAMLA DEVI,BJP,4,16,
,,DUNGARGARH,GEN,DANA RAM BHAMBHO,INC,14,PRABHU RAM,BJP,7,7,
,,SUJANGARH,GEN W,NANI DEVI,INC,21,GEETA DEVI,BJP,6,15,
,,TARA NAGAR,GEN,KUNDAN MAL,INC,11,LEKH RAM,BJP,8,3,
12,DAUSA,BANDIKUI,GEN,HARI KISHAN,INC,16,RAM LAL,BJP,9,7,
,,DAUSA,ST,RAM PRATAP MEENA,INC,16,BHORI LAL,BJP,14,2,
,,LALSOT,OBC W,SAVITRI DEVI,INC,16,INDU DEVI,BJP,10,6,
,,MAHUWA,GEN W,SMT. SHARDA DEVI,INC,12,SMT. RAMPATI,BJP,11,1,
,,SIKRAI,SC,GEETA VERMA,BJP,15,CHAGAN LAL,INC,10,5,
13,DHOLPUR,BARI,GEN,SALIGRAM,IND,,,,,,UNCONTESTED
,,BASERI,SC,BADRI PRASAD,IND,13,USHA SAGAR,IND,10,3,
,,DHOLPUR,GEN W,MINAKSHI SHARMA,INC,16,BHAGGO,BJP,13,3,
,,RAJAKHERA,OBC,VIJAY SINGH,INC,15,RAMBATI,BJP,9,6,
14,DUNGARPUR,ASPUR,ST,SMT.DHULI,INC,,,,,,UNCONTESTED
,,BICHIWARA,ST,LAL SHANKAR GHATIA,INC,20,TARUN KUMAR,IND,7,13,
,,DUNGARPUR,ST,PUNJI LAL,INC,16,KAMLA KATRA,BJP,5,11,
,,SAGWARA,ST,ROOP LAL,BJP,13,NANU RAM,INC,12,1,
,,SIMBALWARA,ST,SMT.BASANTI BAGDIA,INC,19,CHANDRA LEKHA,BJP,10,9,
15,GANGANAGAR,ANUPGARH,GEN W,SMT.RAGHU VEER KAUR,INC,,,,,,UNCONTESTED
,,KARANPUR,GEN,YUVRENDER SINGH,INC,12,HARBANS SINGH,IND,3,9,
,,PADAMPUR,SC,MAHENDRA SINGH,INC,9,PRAHALAD,BJP,8,1,
,,RAISINGH NAGAR,GEN,GURU MEET SINGH,IND,12,GAJENDER SINGH,INC,7,5,
,,SADUL SAHAR,SC,MODU RAM,BJP,10,HEMANT KUMAR,INC,9,1,
,,S.GANGANAGAR,SC W,SMT.CHANDRA KALA INDORA,INC,16,SMT. ANITA MAHENDRA,BJP,8,8,
,,SURATGARH,OBC,MAMRAJ,INC,12,RAMJI LAL,BJP,10,2,
16,HANUMANGARH,BHADRA,GEN,LAL CHAND DUDI,BJP,15,RAJO,IND,12,3,
,,HANUMANGARH,OBC W,SMT.KRISHNA DEVI,INC,36,SAROJ,IND,35,1,
,,NOHAR,SC,JAGDISH PRASAD,IND,20,SULTAN,IND,20,,BY LOTTERY
17,JAIPUR,AMER,GEN,RAM SINGH YADAV,INC,14,CHHITAR MAL,IND,12,2,
,,BASSI,SC W,SHANTI DEVI,INC,14,ASHA BAIRWA,BJP,11,3,
,,CHAKSU,ST,PRHALAD MEENA,INC,12,RAMU LAL,BJP,7,5,
,,DUDU,SC,MOHAN LAL SAMWARIA,INC,20,KESHAR BACHAR,BJP,13,7,
,,GOVIND GARH,GEN,BHAGWAN SAHAI,INC,18,MADAN LAL,BJP,13,5,
,,JAMVARAMGARH,GEN W,MANJU,BJP,14,SUMITRA,INC,14,,BY LOTTERY
,,JHOTWARA,OBC W,SMT. SANTOSH CHOUDHARY,BJP,,,,,,UNCONTESTED
,,KOTPUTLI,GEN,RAM CHAND YADAV,IND,11,CHIRANJI LAL,INC,9,2,
,,PHAGI,OBC,ARJUN LAL,INC,13,MAHEDEV,BJP,8,5,
,,SAMBHAR,GEN,RANVEER SINGH,BJP,15,SHITAL DAS,INC,8,7,
,,SANGANER,ST W,PUSHPA DEVI KAROL,BJP,8,SALOCHANA,INC,7,1,
,,SHAHPURA,GEN,SH. HANUMAN SAHAI VYAS,INC,13,RAM CHANDRA,BJP,10,3,
,,VIRATNAGAR,OBC,SH. SUWALAL YADAV,INC,14,HARSAHAY,BJP,8,6,
18,JAISALMER,JAISALMER,GEN,SHALE MOHAMMED,INC,10,ONKAR RAM,IND,5,5,
,,SANKRA,GEN W,SUNITA,INC,,,,,,UNCONTESTED
,,SUM,OBC,CHUTRA RAM,BJP,10,JAMAT,INC,5,5,
19,JALORE,AHORE,ST,DUNGA RAM,INC,17,TIKMA RAM,IND,6,11,
,,BHINMAL,OBC,DERAM VISHNOI,INC,15,VARDA RAM,BJP,8,7,
,,JALORE,SC,PADMA RAM,INC,14,MULA RAM,BJP,3,11,
,,JASWANTPURA,GEN,KHANGAR SINGH,INC,,,,,,UNCONTESTED
,,RANIWARA,GEN W,SMT.MALI DEVI,INC,10,SMT. JAI KANWAR,BJP,9,1,
,,SANCHOR,GEN,SUKH RAM VISHNOI,INC,23,SHAMSHER ALI,IND,14,9,
,,SAYALA,GEN W,SMT. PUSHP KANWAR,INC,15,SMT. SARIYA,BJP,10,5,
20,JHALAWAR,BAKANI,OBC,BRIJ MOHAN GUJAR,BJP,14,GHANSHYAM PATIDAR,INC,5,9,
,,DUG,GEN W,BHAGAT KANWAR,INC,13,MANORAMA DEVI,BJP,8,5,
,,JHALARA PATAN,OBC W,KOSHALIYA BAI,BJP,15,RAM KANNYA BAI,INC,10,5,
