Sr. No.,DISTRICT,MUNICIP ALITY,WARD NO.,WARD CATEG.,NAME,PARTY,ELECTED CANDIDATE (MALE/ FEMALE),"ELECTED CANDIDATE BELONGS WHICH CATEG. WHETHER GEN, SC, ST, OBC"
906,JHUNJHUNU,JHUNJHUNU,14,GENW,RAHAMAT BANO,INC,FEMALE,OBCW
907,JHUNJHUNU,JHUNJHUNU,15,GENW,SHAKILA,INC,FEMALE,GENW
908,JHUNJHUNU,JHUNJHUNU,16,GEN,MUMTAJ,INC,MALE,OBC
909,JHUNJHUNU,JHUNJHUNU,17,SC,DALEEP,INC,MALE,SC
910,JHUNJHUNU,JHUNJHUNU,18,GEN,AJAMAT ALI,INC,MALE,OBC
911,JHUNJHUNU,JHUNJHUNU,19,GEN,MATADEEN TEEBRA,BJP,MALE,GEN
912,JHUNJHUNU,JHUNJHUNU,20,SC,MAHESH,BJP,MALE,SC
913,JHUNJHUNU,JHUNJHUNU,21,OBC,MAKBUL HUSSAIN,INC,MALE,OBC
914,JHUNJHUNU,JHUNJHUNU,22,GEN,MD. SAFIK,INC,MALE,OBC
915,JHUNJHUNU,JHUNJHUNU,23,SCW,BHANWARI DEVI,INC,FEMALE,SCW
916,JHUNJHUNU,JHUNJHUNU,24,GEN,SUDHA PANWAR,BJP,FEMALE,OBCW
917,JHUNJHUNU,JHUNJHUNU,25,OBC,TARACHAND,INC,MALE,OBC
918,JHUNJHUNU,JHUNJHUNU,26,OBCW,ANITA,BJP,FEMALE,OBCW
919,JHUNJHUNU,JHUNJHUNU,27,GENW,SAMREEN BANO,INC,FEMALE,OBCW
920,JHUNJHUNU,JHUNJHUNU,28,GENW,ULFAT,INC,FEMALE,OBCW
921,JHUNJHUNU,JHUNJHUNU,29,GEN,JULFIKAR KHOKHAR,IND,MALE,GEN
922,JHUNJHUNU,JHUNJHUNU,30,OBC,JAHID ALI KHOKHAR,IND,MALE,OBC
923,JHUNJHUNU,JHUNJHUNU,31,GEN,TAIYAB ALI,INC,MALE,OBC
924,JHUNJHUNU,JHUNJHUNU,32,GENW,IRAMNAJ,INC,FEMALE,OBCW
925,JHUNJHUNU,JHUNJHUNU,33,GEN,AYUB ALI,INC,MALE,OBC
926,JHUNJHUNU,JHUNJHUNU,34,GEN,MD. IKRAM,IND,MALE,OBC
927,JHUNJHUNU,JHUNJHUNU,35,OBCW,NAZMEEN,INC,FEMALE,OBCW
928,JHUNJHUNU,JHUNJHUNU,36,GEN,KANHAIYA LAL VERMA,IND,MALE,OBC
929,JHUNJHUNU,JHUNJHUNU,37,SC,LAXMAN,BJP,MALE,SC
930,JHUNJHUNU,JHUNJHUNU,38,GENW,USHA DEVI,IND,FEMALE,GENW
931,JHUNJHUNU,JHUNJHUNU,39,GEN,AJAY TIWARI,BJP,MALE,GEN
932,JHUNJHUNU,JHUNJHUNU,40,GEN,CHANDRABHAN,INC,MALE,GEN
933,JHUNJHUNU,JHUNJHUNU,41,GEN,PRADEEP KUMAR,BSP,MALE,OBC
934,JHUNJHUNU,JHUNJHUNU,42,OBC,BAJRANG LAL,BJP,MALE,OBC
935,JHUNJHUNU,JHUNJHUNU,43,GENW,MUNNI,BJP,FEMALE,OBCW
936,JHUNJHUNU,JHUNJHUNU,44,GENW,RAJKUMARI PANDEY,BJP,FEMALE,GENW
937,JHUNJHUNU,JHUNJHUNU,45,OBCW,AMEENA,INC,FEMALE,OBCW
938,JHUNJHUNU,PILANI,1,OBC,JAGMAL SINGH,BJP,MALE,OBC
939,JHUNJHUNU,PILANI,2,OBCW,MUNNI,INC,FEMALE,OBCW
940,JHUNJHUNU,PILANI,3,GENW,KHATUN,IND,FEMALE,GENW
941,JHUNJHUNU,PILANI,4,OBC,SUMER SINGH SWAMI,IND,MALE,OBC
942,JHUNJHUNU,PILANI,5,SCW,MANI DEVI,IND,FEMALE,SCW
943,JHUNJHUNU,PILANI,6,GEN,VIKAS RUNTHALA,IND,MALE,GEN
944,JHUNJHUNU,PILANI,7,GEN,KISHAN BHOMIYA,IND,MALE,GEN
945,JHUNJHUNU,PILANI,8,OBCW,YASHODA,IND,FEMALE,OBCW
946,JHUNJHUNU,PILANI,9,GENW,DURGA DEVI,IND,FEMALE,GENW
947,JHUNJHUNU,PILANI,10,SC,PRADEEP,IND,MALE,SC
948,JHUNJHUNU,PILANI,11,GENW,URMILA,IND,FEMALE,GENW
949,JHUNJHUNU,PILANI,12,GENW,KAUSHALYA,IND,FEMALE,GENW
950,JHUNJHUNU,PILANI,13,GEN,SUGAN SINGH,IND,MALE,GEN
951,JHUNJHUNU,PILANI,14,GENW,SULOCHANA DEVI,IND,FEMALE,GENW
952,JHUNJHUNU,PILANI,15,GEN,PRADEEP KUMAR,IND,MALE,GEN
953,JHUNJHUNU,PILANI,16,GEN,RAJESH,IND,MALE,GEN
954,JHUNJHUNU,PILANI,17,GEN,KSHAMA,IND,FEMALE,GENW
955,JHUNJHUNU,PILANI,18,GEN,RATAN,IND,MALE,OBC
956,JHUNJHUNU,PILANI,19,SC,DEEPAK VERMA,IND,MALE,SC
957,JHUNJHUNU,PILANI,20,SCW,MAYA,IND,FEMALE,SCW
958,JHUNJHUNU,PILANI,21,GEN,MUKESH,IND,MALE,GEN
959,JHUNJHUNU,PILANI,22,GENW,VEENA DEVI,IND,FEMALE,GENW
960,JHUNJHUNU,PILANI,23,GENW,SHANTI,IND,FEMALE,GENW
961,JHUNJHUNU,PILANI,24,SC,KAILASH CHANDRA,INC,MALE,SC
962,JHUNJHUNU,PILANI,25,OBC,TARACHAND,IND,MALE,OBC
963,JODHPUR,JODHPUR,1,GEN,KHOOM SINGH,BJP,MALE,GEN
964,JODHPUR,JODHPUR,2,GEN,SURENDRA KUMAR,INC,MALE,OBC
965,JODHPUR,JODHPUR,3,GEN,RAM SINGH,IND,MALE,GEN
966,JODHPUR,JODHPUR,4,ST,CHAND,INC,MALE,ST
967,JODHPUR,JODHPUR,5,GEN,GOVIND PARIHAR,IND,MALE,OBC
968,JODHPUR,JODHPUR,6,GEN,RAJENDRA,BJP,MALE,GEN
969,JODHPUR,JODHPUR,7,GENW,SUNITA,BJP,FEMALE,GENW
970,JODHPUR,JODHPUR,8,GEN,SATYA NARAYAN,BJP,MALE,GEN
971,JODHPUR,JODHPUR,9,OBCW,MEEMA DEVI,INC,FEMALE,OBCW
972,JODHPUR,JODHPUR,10,GENW,ANJU,BJP,FEMALE,GENW
973,JODHPUR,JODHPUR,11,GENW,NIRMALA DEVI,BJP,FEMALE,GENW
974,JODHPUR,JODHPUR,12,SCW,POONAM,INC,FEMALE,SCW
975,JODHPUR,JODHPUR,13,SC,LEELADHAR,INC,MALE,SC
976,JODHPUR,JODHPUR,14,GENW,AMITA,BJP,FEMALE,GENW
977,JODHPUR,JODHPUR,15,GEN,NISAR AHMAD,IND,MALE,OBC
978,JODHPUR,JODHPUR,16,OBC,SAHABUDIN,INC,MALE,OBC
979,JODHPUR,JODHPUR,17,OBC,GANESH BIJANI,BJP,MALE,OBC
980,JODHPUR,JODHPUR,18,SC,CHHAGAN LAL,INC,MALE,SC
981,JODHPUR,JODHPUR,19,GENW,SAJIDA,INC,FEMALE,GENW
982,JODHPUR,JODHPUR,20,SCW,SUSHILA DEVI,BJP,FEMALE,SCW
983,JODHPUR,JODHPUR,21,OBCW,SANTOSH,INC,FEMALE,OBCW
984,JODHPUR,JODHPUR,22,OBCW,TAPASYA,INC,FEMALE,OBCW
985,JODHPUR,JODHPUR,23,GENW,DEEPMALA SINGHVI,BJP,FEMALE,GENW
986,JODHPUR,JODHPUR,24,GEN,OMKAR,INC,MALE,GEN
987,JODHPUR,JODHPUR,25,GENW,VIMALA,INC,FEMALE,OBCW
988,JODHPUR,JODHPUR,26,GENW,MATHURA DEVI,BJP,FEMALE,GENW
989,JODHPUR,JODHPUR,27,GENW,SANGEETA BENIWAL,INC,FEMALE,GENW
990,JODHPUR,JODHPUR,28,GENW,KANCHAN SOLANKI,BJP,FEMALE,OBCW
991,JODHPUR,JODHPUR,29,GEN,ROSHAN,INC,MALE,OBC
992,JODHPUR,JODHPUR,30,GENW,SUBH LAXMI,INC,FEMALE,GENW
993,JODHPUR,JODHPUR,31,GENW,RAMA DEVI,BJP,FEMALE,GENW
994,JODHPUR,JODHPUR,32,GENW,GEETA,BJP,FEMALE,GENW
995,JODHPUR,JODHPUR,33,OBC,SANJAY DAIYA,BJP,MALE,OBC
996,JODHPUR,JODHPUR,34,OBC,KRIPARAM,BJP,MALE,OBC
997,JODHPUR,JODHPUR,35,GEN,NYAJ MOHAMMAD,INC,MALE,GEN
998,JODHPUR,JODHPUR,36,GEN,NIRMAL,BJP,MALE,GEN
999,JODHPUR,JODHPUR,37,GENW,FARJANA CHOUHAN,INC,FEMALE,OBCW
1000,JODHPUR,JODHPUR,38,GENW,SMITA,BJP,FEMALE,GENW
1001,JODHPUR,JODHPUR,39,GEN,VIRENDRA,IND,MALE,GEN
1002,JODHPUR,JODHPUR,40,GENW,SURENDRA KANWAR,INC,FEMALE,OBCW
1003,JODHPUR,JODHPUR,41,OBC,PARDEEP,BJP,MALE,OBC
1004,JODHPUR,JODHPUR,42,SC,LAXMAN,INC,MALE,SC
1005,JODHPUR,JODHPUR,43,GEN,RAJ KUMAR,INC,MALE,GEN
1006,JODHPUR,JODHPUR,44,OBCW,SALJA,INC,FEMALE,OBCW
1007,JODHPUR,JODHPUR,45,OBCW,RASIDA BANO,BJP,FEMALE,OBCW
1008,JODHPUR,JODHPUR,46,OBCW,JUBEDA,BJP,FEMALE,OBCW
1009,JODHPUR,JODHPUR,47,GEN,IRSAAD ALI,INC,MALE,GEN
1010,JODHPUR,JODHPUR,48,OBCW,SAMEEM,INC,FEMALE,OBCW
1011,JODHPUR,JODHPUR,49,GEN,SHAR MO.,IND,MALE,OBC
1012,JODHPUR,JODHPUR,50,GEN,ABDUL KAREEM,INC,MALE,OBC
1013,JODHPUR,JODHPUR,51,GENW,ANJU CHOUHAN,INC,FEMALE,GENW
1014,JODHPUR,JODHPUR,52,SC,THAVER DAS,INC,MALE,SC
1015,JODHPUR,JODHPUR,53,SCW,SAYARI DEVI,INC,FEMALE,SCW
1016,JODHPUR,JODHPUR,54,SCW,BEBY,INC,FEMALE,SCW
1017,JODHPUR,JODHPUR,55,GEN,NAINSINGH GEHLOT,INC,MALE,GEN
1018,JODHPUR,JODHPUR,56,GEN,RAM SINGH,INC,MALE,GEN
1019,JODHPUR,JODHPUR,57,GEN,AIDANRAM,INC,MALE,OBC
1020,JODHPUR,JODHPUR,58,GENW,NAINKANWAR,BJP,FEMALE,GENW
1021,JODHPUR,JODHPUR,59,GENW,PURNIMA PURI,INC,FEMALE,OBCW
1022,JODHPUR,JODHPUR,60,OBC,SHAKUR GORI,INC,MALE,OBC
1023,JODHPUR,JODHPUR,61,OBC,NARSINGH,INC,MALE,OBC
1024,JODHPUR,JODHPUR,62,GEN,KISHOR SINGH,IND,MALE,GEN
1025,JODHPUR,JODHPUR,63,GENW,SHASHIKALA,INC,FEMALE,OBCW
1026,JODHPUR,JODHPUR,64,GEN,MAYANK DEORA,INC,MALE,OBC
1027,JODHPUR,JODHPUR,65,GENW,JYOTI SOLANKI,INC,FEMALE,OBCW
1028,JODHPUR,PHALODI,1,GEN,SHRIGOPAL,INC,MALE,GEN
1029,JODHPUR,PHALODI,2,SC,SANTOSH,IND,FEMALE,SCW
1030,JODHPUR,PHALODI,3,GEN,GANGADASS,BJP,MALE,OBC
1031,JODHPUR,PHALODI,4,GENW,PUSHPA DEVI,BJP,FEMALE,OBCW
1032,JODHPUR,PHALODI,5,GEN,PANNALAL,IND,MALE,GEN
1033,JODHPUR,PHALODI,6,GENW,BHGAWATI VYAS,BJP,FEMALE,GENW
1034,JODHPUR,PHALODI,7,GENW,ARUNA DEVI,BJP,FEMALE,GENW
1035,JODHPUR,PHALODI,8,OBC,NAVNARAYAN SONI,BJP,MALE,OBC
1036,JODHPUR,PHALODI,9,OBCW,BALIYA DEVI,BJP,FEMALE,OBCW
1037,JODHPUR,PHALODI,10,GENW,ARATI,BJP,FEMALE,GENW
1038,JODHPUR,PHALODI,11,GEN,SANTILAL,IND,MALE,GEN
1039,JODHPUR,PHALODI,12,OBCW,MAN KANWAR,BJP,FEMALE,OBCW
1040,JODHPUR,PHALODI,13,GENW,KASHTOORI,BJP,FEMALE,GENW
1041,JODHPUR,PHALODI,14,GENW,SOBHA,BJP,FEMALE,GENW
1042,JODHPUR,PHALODI,15,GENW,MEENA,BJP,FEMALE,GENW
1043,JODHPUR,PHALODI,16,SCW,PUSHPA,INC,FEMALE,SCW
1044,JODHPUR,PHALODI,17,GEN,ASHOK KUMAR,INC,MALE,GEN
1045,JODHPUR,PHALODI,18,GEN,RAMESH KUMAR,INC,MALE,GEN
1046,JODHPUR,PHALODI,19,OBC,MANAKLAL,BJP,MALE,OBC
1047,JODHPUR,PHALODI,20,GENW,TARADEVI,BJP,FEMALE,GENW
1048,JODHPUR,PHALODI,21,GEN,OM PRAKASH,BJP,MALE,GEN
1049,JODHPUR,PHALODI,22,OBCW,SARSWATI,BJP,FEMALE,OBCW
1050,JODHPUR,PHALODI,23,GEN,GOPAL SINGH,INC,MALE,OBC
1051,JODHPUR,PHALODI,24,GEN,JANKILAL,INC,MALE,GEN
1052,JODHPUR,PHALODI,25,GEN,SIKANDAR,BJP,MALE,OBC
1053,JODHPUR,PHALODI,26,OBC,HAMID HAJI,IND,MALE,OBC
1054,JODHPUR,PHALODI,27,SCW,KAMLA,INC,FEMALE,SCW
1055,JODHPUR,PHALODI,28,SC,MANGILAL,INC,MALE,SC
1056,JODHPUR,PHALODI,29,GENW,MANJU,BJP,FEMALE,GENW
1057,JODHPUR,PHALODI,30,GENW,HEERON,IND,FEMALE,OBCW
1058,KOT A,KAITHOON,1,SCW,JASODA BAI,IND,FEMALE,SCW
1059,KOT A,KAITHOON,2,OBC,NASEEM AKHTAR,BJP,FEMALE,OBCW
1060,KOT A,KAITHOON,3,GEN,NASIR HUSSAIN,INC,MALE,OBC
1061,KOT A,KAITHOON,4,GENW,MUNSHAD BANO,BJP,FEMALE,GENW
1062,KOT A,KAITHOON,5,GEN,ASGAR HUSAIN,INC,MALE,OBC
1063,KOT A,KAITHOON,6,OBCW,FIROZA BEGAM,INC,FEMALE,OBCW
1064,KOT A,KAITHOON,7,GENW,SAIDA BANO,IND,FEMALE,OBCW
1065,KOT A,KAITHOON,8,OBC,MOHD. ILIYAS,BJP,MALE,OBC
1066,KOT A,KAITHOON,9,GENW,MOBIN,INC,FEMALE,GENW
1067,KOT A,KAITHOON,10,SC,RAM GOPAL,INC,MALE,SC
1068,KOT A,KAITHOON,11,OBCW,KANTI BAI,BJP,FEMALE,OBCW
1069,KOT A,KAITHOON,12,GEN,SANJAY,BJP,MALE,GEN
1070,KOT A,KAITHOON,13,GEN,AKHTAR HUSSAIN,BJP,MALE,GEN
1071,KOT A,KAITHOON,14,GENW,RAZIYA BANO,INC,FEMALE,OBCW
1072,KOT A,KAITHOON,15,GENW,KAUSHALYA BAI,BJP,FEMALE,GENW
1073,KOT A,KAITHOON,16,GEN,DEEN DAYAL SONI,INC,MALE,GEN
1074,KOT A,KAITHOON,17,GENW,URMILA SONI,INC,FEMALE,OBCW
1075,KOT A,KAITHOON,18,GEN,GHANSHYAM,INC,MALE,SC
1076,KOT A,KAITHOON,19,GENW,AAINA MAHAK,INC,FEMALE,GENW
1077,KOT A,KAITHOON,20,GEN,ABDUL SATTAR,IND,MALE,GEN
1078,KOT A,KOT A,1,GENW,RANI BAI VYAS,INC,FEMALE,GENW
1079,KOT A,KOT A,2,GENW,SHEELU VIJAYVARGIYA,INC,FEMALE,GENW
1080,KOT A,KOT A,3,OBCW,AYODHYA,INC,FEMALE,OBCW
1081,KOT A,KOT A,4,STW,ASHA MEENA,INC,FEMALE,STW
1082,KOT A,KOT A,5,ST,PAWAN KUMAR MEENA,INC,MALE,ST
1083,KOT A,KOT A,6,GEN,JITENDRA SINGH,IND,MALE,GEN
1084,KOT A,KOT A,7,GENW,RAKHI GAUTAM,INC,FEMALE,GENW
1085,KOT A,KOT A,8,SCW,GHISI BAI,INC,FEMALE,SCW
1086,KOT A,KOT A,9,GENW,RAJIYA PATHAN,IND,FEMALE,GENW
1087,KOT A,KOT A,10,GEN,BHUPENDRA DHAKAR,INC,MALE,GEN
1088,KOT A,KOT A,11,OBC,GOPAL RAM MANDA,IND,MALE,OBC
1089,KOT A,KOT A,12,GENW,GEETA SHARMA,INC,FEMALE,GENW
1090,KOT A,KOT A,13,OBC,BRIJ MOHAN SEN,BJP,MALE,OBC
1091,KOT A,KOT A,14,OBC,DEVENDRA CHAUDHARI (MAMA),INC,MALE,OBC
1092,KOT A,KOT A,15,GENW,KUSUM SHARMA,BJP,FEMALE,GENW
1093,KOT A,KOT A,16,SC,ROHIT,INC,MALE,SC
1094,KOT A,KOT A,17,GENW,POOJA RAJVANSHI,IND,FEMALE,GENW
1095,KOT A,KOT A,18,OBC,AMOLAK DEVI,INC,FEMALE,OBCW
1096,KOT A,KOT A,19,OBCW,RIA CHAURASIA,BJP,FEMALE,OBCW
1097,KOT A,KOT A,20,OBC,GYAN YADAV,INC,MALE,OBC
1098,KOT A,KOT A,21,GEN,HAZI A.SHARIF,INC,MALE,GEN
1099,KOT A,KOT A,22,OBCW,SURAJ KALA,INC,FEMALE,OBCW
1100,KOT A,KOT A,23,OBCW,JAMNA BAI,INC,FEMALE,OBCW
1101,KOT A,KOT A,24,GEN,JASPAL ARORA (BITTU),IND,MALE,GEN
1102,KOT A,KOT A,25,GEN,SABIR BHATI,BJP,MALE,GEN
1103,KOT A,KOT A,26,GEN,ISHWAR GAMBHIR,INC,MALE,GEN
1104,KOT A,KOT A,27,GENW,REHANA,INC,FEMALE,GENW
1105,KOT A,KOT A,28,OBC,MAHIPAL SINGH,INC,MALE,OBC
1106,KOT A,KOT A,29,GEN,JIGNESH SHAH,INC,MALE,GEN
1107,KOT A,KOT A,30,SC,NARENDRA,INC,MALE,SC
1108,KOT A,KOT A,31,SCW,RAM MURTI,INC,FEMALE,SCW
1109,KOT A,KOT A,32,SC,DEEPAK BANSHIWAL,INC,MALE,SC
1110,KOT A,KOT A,33,SC,GIRIRAJ,BJP,MALE,SC
1111,KOT A,KOT A,34,GENW,MANJU AGRWAL,INC,FEMALE,GENW
1112,KOT A,KOT A,35,GENW,SHARANJEET KAUR,BJP,FEMALE,GENW
1113,KOT A,KOT A,36,OBCW,SHAKILA ANSARI,INC,FEMALE,OBCW
1114,KOT A,KOT A,37,GEN,MUKESH GAMBHIR (MUKKU),INC,MALE,GEN
1115,KOT A,KOT A,38,OBCW,PADMA DEVI,BJP,FEMALE,OBCW
1116,KOT A,KOT A,39,GENW,GAYATRI,INC,FEMALE,GENW
1117,KOT A,KOT A,40,GEN,ROOP CHAND,INC,MALE,OBC
1118,KOT A,KOT A,41,SCW,VIMALA BAI,IND,FEMALE,SCW
1119,KOT A,KOT A,42,GEN,LAXMI NARAYAN MALAV,INC,MALE,GEN
1120,KOT A,KOT A,43,GENW,NEETU SAXENA,INC,FEMALE,GENW
1121,KOT A,KOT A,44,SC,BADARI LAL,INC,MALE,SC
1122,KOT A,KOT A,45,OBC,MOHAMMAD BASHEER,INC,MALE,OBC
1123,KOT A,KOT A,46,GEN,RAM MOHAN MITRA,IND,MALE,GEN
1124,KOT A,KOT A,47,GENW,DHAN KANWAR,IND,FEMALE,SCW
1125,KOT A,KOT A,48,GEN,ASHISH JAIN,INC,MALE,GEN
1126,KOT A,KOT A,49,GEN,OM PRAKASH,INC,MALE,GEN
1127,KOT A,KOT A,50,GEN,MOHAMMAD IMRAN,INC,MALE,GEN
1128,KOT A,KOT A,51,GENW,RUKHSANA,INC,FEMALE,GENW
1129,KOT A,KOT A,52,GENW,MANJU LATA MEHRA,INC,FEMALE,SCW
1130,KOT A,KOT A,53,GENW,LALITA JAIN,BJP,FEMALE,GENW
1131,KOT A,KOT A,54,GEN,ANAND PATNI,INC,MALE,GEN
1132,KOT A,KOT A,55,SCW,RENU NARWARA,INC,FEMALE,SCW
1133,KOT A,KOT A,56,GENW,USHA THAKUR,INC,FEMALE,GENW
1134,KOT A,KOT A,57,GENW,ASHA CHATURVEDI,BJP,FEMALE,GENW
1135,KOT A,KOT A,58,GEN,RAKESH SORAL,INC,MALE,GEN
1136,KOT A,KOT A,59,GEN,HARI SINGH,INC,MALE,GEN
1137,KOT A,KOT A,60,GEN,RAJESH CHATURVEDI (TINNU),INC,MALE,GEN
1138,KOT A,SANGOD,1,GEN,DINESH KUMAR,INC,MALE,OBC
1139,KOT A,SANGOD,2,GEN,ASHFAQ AHMED,INC,MALE,OBC
1140,KOT A,SANGOD,3,GENW,RUKSANA BEGAM MIRZA,INC,FEMALE,OBCW
1141,KOT A,SANGOD,4,GEN,MOHAMMAD SHAHID,INC,MALE,OBC
1142,KOT A,SANGOD,5,GEN,ABDUL KADEER,BJP,MALE,OBC
1143,KOT A,SANGOD,6,OBCW,NISHA SONI,BJP,FEMALE,OBCW
1144,KOT A,SANGOD,7,GEN,BRIJBIHARI,BJP,MALE,OBC
1145,KOT A,SANGOD,8,GEN,KRISHAN KUMAR,BJP,MALE,GEN
1146,KOT A,SANGOD,9,GENW,RUBINA BEGAM,IND,FEMALE,GENW
1147,KOT A,SANGOD,10,GENW,LAXMI BAI,BJP,FEMALE,SCW
1148,KOT A,SANGOD,11,GEN,ARVIND CHAURASIA,BJP,MALE,OBC
1149,KOT A,SANGOD,12,GENW,KANIZA,INC,FEMALE,GENW
1150,KOT A,SANGOD,13,GENW,BHUVNESWARI,INC,FEMALE,GENW
1151,KOT A,SANGOD,14,GENW,SHABNAM,INC,FEMALE,GENW
1152,KOT A,SANGOD,15,OBC,SURESH,BJP,MALE,OBC
1153,KOT A,SANGOD,16,OBC,CHATURBHUJ,INC,MALE,OBC
1154,KOT A,SANGOD,17,OBCW,LAXMI BAI,BJP,FEMALE,OBCW
1155,KOT A,SANGOD,18,SC,PREM BAI,IND,FEMALE,SCW
1156,KOT A,SANGOD,19,ST,RAGHUVEER MEENA,INC,MALE,ST
1157,KOT A,SANGOD,20,SCW,LAD BAI,BJP,FEMALE,SCW
1158,NAGAUR,DIDWANA,1,OBCW,GALOO DEVI,INC,FEMALE,OBCW
1159,NAGAUR,DIDWANA,2,OBCW,JANAT BANO,BJP,FEMALE,OBCW
1160,NAGAUR,DIDWANA,3,GENW,SAROJ,INC,FEMALE,GENW
1161,NAGAUR,DIDWANA,4,OBC,MAHMOOD,INC,MALE,OBC
1162,NAGAUR,DIDWANA,5,GENW,NIRMALA,BJP,FEMALE,GENW
1163,NAGAUR,DIDWANA,6,OBC,BHANWROO KHAN,IND,MALE,OBC
1164,NAGAUR,DIDWANA,7,GEN,MO. SHARIF,INC,MALE,OBC
1165,NAGAUR,DIDWANA,8,OBCW,ABIDA,IND,FEMALE,OBCW
1166,NAGAUR,DIDWANA,9,OBC,SURESH CHANDRA,IND,MALE,OBC
1167,NAGAUR,DIDWANA,10,GEN,JAICHAND,BJP,MALE,GEN
1168,NAGAUR,DIDWANA,11,GEN,NITESH,BJP,MALE,GEN
1169,NAGAUR,DIDWANA,12,SC,DHAN RAJ,INC,MALE,SC
1170,NAGAUR,DIDWANA,13,GENW,AMARI,INC,FEMALE,OBCW
1171,NAGAUR,DIDWANA,14,GEN,MO. AYOOB,INC,MALE,OBC
1172,NAGAUR,DIDWANA,15,GENW,MEERA,INC,FEMALE,GENW
1173,NAGAUR,DIDWANA,16,GENW,TARA,INC,FEMALE,GENW
1174,NAGAUR,DIDWANA,17,GEN,KISHORE,INC,MALE,GEN
1175,NAGAUR,DIDWANA,18,SCW,MOHANI,INC,FEMALE,SCW
1176,NAGAUR,DIDWANA,19,GEN,NASEER,INC,MALE,GEN
1177,NAGAUR,DIDWANA,20,GEN,UMMED HASAN,INC,MALE,GEN
1178,NAGAUR,DIDWANA,21,GENW,NILAM,BJP,FEMALE,GENW
1179,NAGAUR,DIDWANA,22,GENW,JARINA,INC,FEMALE,OBCW
1180,NAGAUR,DIDWANA,23,SC,RAMNIWAS,INC,MALE,SC
1181,NAGAUR,DIDWANA,24,GEN,CHHAGAN LAL,IND,MALE,OBC
1182,NAGAUR,DIDWANA,25,GEN,NASHIR,IND,MALE,OBC
1183,NAGAUR,DIDWANA,26,GENW,AAMANA KHATUN,IND,FEMALE,OBCW
1184,NAGAUR,DIDWANA,27,GEN,AMAR CHAND,IND,MALE,OBC
1185,NAGAUR,DIDWANA,28,GEN,MANIRAM,IND,MALE,OBC
1186,NAGAUR,DIDWANA,29,GENW,GUDI,INC,FEMALE,OBCW
1187,NAGAUR,DIDWANA,30,GENW,ANU,INC,FEMALE,OBCW
1188,NAGAUR,MAKRANA,1,GENW,SHARIFAN,IND,FEMALE,OBCW
1189,NAGAUR,MAKRANA,2,SCW,RAJU,INC,FEMALE,SCW
1190,NAGAUR,MAKRANA,3,SCW,SAROJ,IND,FEMALE,SCW
1191,NAGAUR,MAKRANA,4,GENW,BAYALA,INC,FEMALE,OBCW
1192,NAGAUR,MAKRANA,5,SC,OM PRAKASH,IND,MALE,SC
1193,NAGAUR,MAKRANA,6,OBCW,RADHA DEVI,INC,FEMALE,OBCW
1194,NAGAUR,MAKRANA,7,GEN,MANSOOR AKHTAR,IND,MALE,OBC
1195,NAGAUR,MAKRANA,8,OBC,ABDUL REHMAN,IND,MALE,OBC
1196,NAGAUR,MAKRANA,9,GENW,KALPANA,IND,FEMALE,OBCW
1197,NAGAUR,MAKRANA,10,GEN,HAZI AHMED A.,IND,MALE,GEN
1198,NAGAUR,MAKRANA,11,GEN,NOOR HASAN,IND,MALE,OBC
1199,NAGAUR,MAKRANA,12,GENW,KHARUNISHA,BJP,FEMALE,GENW
1200,NAGAUR,MAKRANA,13,GEN,ALTAF AHMED,IND,MALE,OBC
1201,NAGAUR,MAKRANA,14,GEN,SHOUKAT ALI,INC,MALE,OBC
1202,NAGAUR,MAKRANA,15,GEN,MOHD. SALIM,IND,MALE,OBC
1203,NAGAUR,MAKRANA,16,OBC,NYAZ MOHAMMED,IND,MALE,OBC
1204,NAGAUR,MAKRANA,17,GENW,FIROZA,IND,FEMALE,GENW
1205,NAGAUR,MAKRANA,18,OBCW,JAMEELA BEGUM,IND,FEMALE,OBCW
1206,NAGAUR,MAKRANA,19,GENW,KHATOON,INC,FEMALE,GENW
1207,NAGAUR,MAKRANA,20,SC,HANUMAN RAM,INC,MALE,SC
1208,NAGAUR,MAKRANA,21,GEN,FAROOQ,IND,MALE,GEN
1209,NAGAUR,MAKRANA,22,GEN,ZAHEER AHMAD,IND,MALE,GEN
1210,NAGAUR,MAKRANA,23,OBCW,SHAHINA,IND,FEMALE,OBCW
1211,NAGAUR,MAKRANA,24,GEN,RAMZAN,IND,MALE,GEN
1212,NAGAUR,MAKRANA,25,GEN,GHANSHYAM,BJP,MALE,GEN
1213,NAGAUR,MAKRANA,26,GENW,MANJU KANWAR,BJP,FEMALE,GENW
1214,NAGAUR,MAKRANA,27,GENW,AAIYSHA,INC,FEMALE,GENW
1215,NAGAUR,MAKRANA,28,OBCW,SHAYADA,INC,FEMALE,OBCW
1216,NAGAUR,MAKRANA,29,GENW,FIROZA,INC,FEMALE,GENW
1217,NAGAUR,MAKRANA,30,GENW,GULSHAN,IND,FEMALE,GENW
1218,NAGAUR,MAKRANA,31,GEN,FIROZ ALAM,IND,MALE,GEN
1219,NAGAUR,MAKRANA,32,OBC,LIYAKAT ALI,IND,MALE,OBC
1220,NAGAUR,MAKRANA,33,GENW,ZUBEDA,IND,FEMALE,GENW
1221,NAGAUR,MAKRANA,34,GEN,AZIZ,IND,MALE,GEN
