SR. NO.,DISTRICT,NAME OF PANCHAYAT SAMITI,NAME OF GRAM PANCHAYAT,WARD CATEGORY,NAME OF ELECTED SARP ANCH,WINNING CANDIDAES CATEGORY
1,AJMER,ARAI,AKODIYA,SC,SHABNUM BANNO,SC
2,AJMER,ARAI,ARAI,General (Woman),DHARM PAL,OBC (Woman)
3,AJMER,ARAI,BHAMOLAW,OBC,MOOL CHAND,OBC
4,AJMER,ARAI,BHOGADEET,General,SUNIT A,General
5,AJMER,ARAI,BORADA,General (Woman),LALITA,General (Woman)
6,AJMER,ARAI,CHHOTA LAMBA,General,RAJNI,OBC
7,AJMER,ARAI,DEVPURI,OBC (Woman),SARITA,OBC (Woman)
8,AJMER,ARAI,DHASUK,General,SURENDER SINGH,OBC
9,AJMER,ARAI,GOTHIYANA,SC,SULTANA,SC
10,AJMER,ARAI,JHEEROT A,OBC (Woman),NIRMALA DEVI,OBC (Woman)
11,AJMER,ARAI,KALANADA,SC (Woman),ROHIT ASH,SC (Woman)
12,AJMER,ARAI,KASEER,General,GOPAL RAM,OBC
13,AJMER,ARAI,KATSURA,SC,MONIKA CHOUDHARY,SC
14,AJMER,ARAI,MANDAWARIYA,SC (Woman),SAROJ,SC (Woman)
15,AJMER,ARAI,MANOHARPURA,General (Woman),ARTI BENIWAL,General (Woman)
16,AJMER,ARAI,SANDOLIYA,General,DAYA JANGID,OBC
17,AJMER,ARAI,SIRONJ,General (Woman),FARJANA BANO,OBC (Woman)
18,AJMER,ARAI,BAROL,General,POONUM,General
19,AJMER,ARAI,BHAGW ANTPURA,OBC (Woman),AMMI LAL,OBC (Woman)
20,AJMER,ARAI,DABRELA,OBC,DAYA SINGH,OBC
21,AJMER,BHINAY,BADALI,General,SURESH KUMAR,OBC
22,AJMER,BHINAY,BADGAON,ST,SURESH BHAMU,ST
23,AJMER,BHINAY,BANDANW ARA,General,SUDESH,OBC
24,AJMER,BHINAY,BHINAY,OBC (Woman),FARIYAZ BANU,OBC (Woman)
25,AJMER,BHINAY,BOOBKIYA,OBC,MAHIP AL,OBC
26,AJMER,BHINAY,CHACHUNDRA,General (Woman),SAVITRI ROLAN,OBC (Woman)
27,AJMER,BHINAY,CHAP ANERI,General (Woman),BHISMILLAH,General (Woman)
28,AJMER,BHINAY,DEVLIYAKALAN,General,MANISHA,General
29,AJMER,BHINAY,DHANTOL,General,MANOJ KUMAR,OBC
30,AJMER,BHINAY,EKALSINHA,General,SOHAN LAL,OBC
31,AJMER,BHINAY,GUDHAKHURD,General (Woman),RINKU KANWAR,General (Woman)
32,AJMER,BHINAY,KANEIKALAN,General,SEEM AKUMARI,OBC (Woman)
33,AJMER,BHINAY,KARANTI,SC,JAGDEESH PRASAD,SC (Woman)
34,AJMER,BHINAY,KEROT,OBC,PANA MEGHWAL,OBC
35,AJMER,BHINAY,KUMHARIYA,SC,BHAGCHAND,SC
36,AJMER,BHINAY,LAMGARA,General,SATYANARAYAN,OBC
37,AJMER,BHINAY,NAGOLA,OBC,RANGLAL,OBC
38,AJMER,BHINAY,NANDSI,OBC (Woman),MAYA KUMAWAT,OBC (Woman)
39,AJMER,BHINAY,P ADANGA,General (Woman),MEERA JAT,OBC (Woman)
40,AJMER,BHINAY,PADLIYA,SC (Woman),SAMPATI DEVI,SC (Woman)
41,AJMER,BHINAY,RAMMALIYA,SC,PANCHU LAL,SC
42,AJMER,BHINAY,RATAKOT,SC,PUKHRAJ BHAMBI,SC
43,AJMER,BHINAY,SINGAWAL,General (Woman),BEBI KANWAR,General (Woman)
44,AJMER,BHINAY,SOBARI,General,P ARMESHW AR,OBC
45,AJMER,JAWAJA,AASAN,General (Woman),SUSHIL A,OBC (Woman)
46,AJMER,JAWAJA,A TEETMAND,General,RATAN SINGH,OBC
47,AJMER,JAWAJA,BADAKHEDA @ KHERAKALAN,OBC (Woman),NIRMALA DEVI,OBC (Woman)
48,AJMER,JAWAJA,BADKHOCHRA,General (Woman),MEERA DEVI,OBC (Woman)
49,AJMER,JAWAJA,BALAD,General (Woman),GEET A,OBC (Woman)
50,AJMER,JAWAJA,BAMANHEDA,OBC,MAHIPAL SINGH,OBC
51,AJMER,JAWAJA,BANJARI,OBC (Woman),ROSHANA DEVI,OBC (Woman)
52,AJMER,JAWAJA,BARAKHED,General,DOLLY CHOUHAN,OBC (Woman)
53,AJMER,JAWAJA,BEAWARKHAS,General,VIJENDRA SINGH,OBC
54,AJMER,JAWAJA,DELWARA,General (Woman),KIRAN,OBC (Woman)
55,AJMER,JAWAJA,DEWATA,General (Woman),INDRA DEVI,OBC (Woman)
56,AJMER,JAWAJA,DURGAWAS,General,GANPAT SINGH,OBC
57,AJMER,JAWAJA,GOHANA,General,SHRAWAN LAL SAIN,OBC
58,AJMER,JAWAJA,JALIYA FIRST,General,TAJ MOHAMMAD,OBC
59,AJMER,JAWAJA,JAWAJA,General (Woman),VIJAY LAXMI,SC (Woman)
60,AJMER,JAWAJA,KABRA,General (Woman),PARWAT,OBC (Woman)
61,AJMER,JAWAJA,KISHANPURA,General (Woman),YOGIT A,OBC (Woman)
62,AJMER,JAWAJA,KOTRA,General,GEETA DEVI,OBC (Woman)
63,AJMER,JAWAJA,LOTIYANA,OBC,DUNGER SINGH,OBC
64,AJMER,JAWAJA,MALATON KI BAIR,OBC,NIRMALA DEVI,OBC (Woman)
65,AJMER,JAWAJA,MALPURA,General,JASWANT SINGH,OBC
66,AJMER,JAWAJA,NAIKALAN,General (Woman),CHAGGANI DEVI,OBC (Woman)
67,AJMER,JAWAJA,NARBADKHERA,General (Woman),SHARVANI DEVI,OBC (Woman)
68,AJMER,JAWAJA,NUNDRI MALDEV,General,KAANA,OBC
69,AJMER,JAWAJA,NUNDRIMEDRA T AN,General (Woman),BATUL BANO,OBC (Woman)
70,AJMER,JAWAJA,RAJIYAWAS,SC,RAMESH LAL,SC
71,AJMER,JAWAJA,RAWATMAL,OBC,GIRDHARI SINGH,OBC
72,AJMER,JAWAJA,ROOPNAGAR,General,NABABUDDIN,OBC
73,AJMER,JAWAJA,SARMALIYA,General,RAMESH CHAND JAT,OBC
74,AJMER,JAWAJA,SARWEENA,General (Woman),MUNNI DEVI,OBC (Woman)
75,AJMER,JAWAJA,SUHAWA,SC,KAILASH CHANDRA,SC
76,AJMER,JAWAJA,SURAJPURA,General (Woman),RADHA DEVI,OBC (Woman)
77,AJMER,JAWAJA,SURDIYA,SC (Woman),MEERA,SC (Woman)
78,AJMER,JAWAJA,T ARAGARH,General,PREM SINGH,OBC
79,AJMER,JAWAJA,TATGARH,OBC (Woman),RAKHA KANWAR,OBC (Woman)
80,AJMER,JAWAJA,Mediya,SC,SANGEETA RATORE,SC
81,AJMER,KEKRI,ALOLI,OBC (Woman),MATHURA DEVI,OBC (Woman)
82,AJMER,KEKRI,BAGHERA,General,SHYOJI RAM GURJAR,OBC
83,AJMER,KEKRI,BAJTA,General,RAJVEER,General
84,AJMER,KEKRI,BHARAI,ST (Woman),CHANDRESH,ST (Woman)
85,AJMER,KEKRI,BHEEMDAWAS,General (Woman),USHA KANWAR,General (Woman)
86,AJMER,KEKRI,CHITIW AS,SC (Woman),LALITA BARETH,SC (Woman)
87,AJMER,KEKRI,DEVGAON,General (Woman),GAUTAM DEVI,OBC (Woman)
88,AJMER,KEKRI,DHOONDHARI,SC,LOKESH BALAI,SC
89,AJMER,KEKRI,GHATIYALI,ST,KALU RAM,ST
90,AJMER,KEKRI,GORDHA,OBC,JAGDISH PRASAD,OBC
91,AJMER,KEKRI,GULGAON,SC (Woman),CHANDA DEVI,SC (Woman)
92,AJMER,KEKRI,JUNIYA,General (Woman),PREM DEVI,General (Woman)
93,AJMER,KEKRI,KADERA,OBC,ASHARAM VAISHNAV,OBC
94,AJMER,KEKRI,KALERA KANWARJI,SC,RATAN LAL DHOBI,SC
95,AJMER,KEKRI,KALERA KRISHNA GOPAL,General (Woman),BABLI PAREEK,General (Woman)
96,AJMER,KEKRI,KANOJ,General (Woman),MONIKA VYAS,General (Woman)
97,AJMER,KEKRI,KHAWAS,OBC (Woman),NEELAM SAHU,OBC (Woman)
98,AJMER,KEKRI,KUSHAYATA,SC,KISHAN LAL,SC
99,AJMER,KEKRI,LASADIYA,General (Woman),RAJ KANWAR,General (Woman)
100,AJMER,KEKRI,MEHROONKALAN,ST (Woman),BARMA MEENA,ST (Woman)
101,AJMER,KEKRI,MEWDAKALAN,General,RAMDHAN JAT,OBC
102,AJMER,KEKRI,MOLKIYA,SC (Woman),REENA DHOLI,SC (Woman)
103,AJMER,KEKRI,NAPAKHERA/ GIRWARPURA,General (Woman),MANJU,ST (Woman)
104,AJMER,KEKRI,P ARA,General (Woman),GOVIND KANWAR,General (Woman)
105,AJMER,KEKRI,PEEPLAJ,General,SAMARVEER SINGH,General
106,AJMER,KEKRI,PRANHEDA,General,NUTAN CHOTIYA,General
107,AJMER,KEKRI,SADARA,SC,SAMPATI,SC (Woman)
108,AJMER,KEKRI,SALARI,General,RAMESH CHAND,OBC
109,AJMER,KEKRI,SARSADI,General,ARJUN LAL,OBC
110,AJMER,KEKRI,SAWAR,ST,RANG LAL BHIL,ST
111,AJMER,KEKRI,TANKAWAS,General,SURAJ KARAN MEENA,ST
112,AJMER,KISHANGARH,AMARPURA,SC,BADRI LAL,SC
113,AJMER,KISHANGARH,BANDARSINDRI,General (Woman),SOHANI DEVI,OBC (Woman)
114,AJMER,KISHANGARH,BARNA,General (Woman),RAJU KUNWAR,OBC (Woman)
115,AJMER,KISHANGARH,BHADUN,General,NARESH KUMAR,General
116,AJMER,KISHANGARH,BUHARU,General (Woman),INDRA JAT,OBC (Woman)
117,AJMER,KISHANGARH,DEEDW ARA,General (Woman),RINA GURJAR,OBC (Woman)
118,AJMER,KISHANGARH,HARMADA,OBC,KISHAN LAL,OBC
119,AJMER,KISHANGARH,JAJOTA,General (Woman),REENA KUNWAR,General (Woman)
120,AJMER,KISHANGARH,KADHA,General (Woman),LAXMI KUNWAR,General (Woman)
121,AJMER,KISHANGARH,KARKERI,General,UGMA RAM JAT,OBC
122,AJMER,KISHANGARH,KHATOLI,SC (Woman),SUNIT A,SC (Woman)
123,AJMER,KISHANGARH,KOTDI,General,BANWARI LAL,General
124,AJMER,KISHANGARH,KUCHEEL,SC (Woman),SAROJ DEVI,SC (Woman)
125,AJMER,KISHANGARH,MALIYON KI BARI,General,PAPPU SINGH,OBC
126,AJMER,KISHANGARH,NALOO,General,SUKHVEER,OBC
127,AJMER,KISHANGARH,NOSAL,General (Woman),SUMAN KUNWAR,General (Woman)
128,AJMER,KISHANGARH,NW AN,OBC (Woman),SARWANI DEVI,OBC (Woman)
129,AJMER,KISHANGARH,P ANER,General,MUKESH KUNWAR,General (Woman)
130,AJMER,KISHANGARH,PATAN,OBC,GANPAT,OBC
131,AJMER,KISHANGARH,PEENGLOD,OBC (Woman),NEERAJ,OBC (Woman)
132,AJMER,KISHANGARH,RALAWATA,General,MOOLCHAND MALI,OBC
133,AJMER,KISHANGARH,ROOP ANGARH,SC,BHAGWAN DAS,SC
134,AJMER,KISHANGARH,SALEMABAD,General,DHARANIDHAR,General
135,AJMER,KISHANGARH,SARGAON,General (Woman),PRIYA RAJPUROHIT,General (Woman)
136,AJMER,KISHANGARH,SILORA,SC (Woman),SANJU DEVI,SC (Woman)
137,AJMER,KISHANGARH,SINODIYA,General,MASTRAM,OBC
138,AJMER,KISHANGARH,SURSURA,SC,RAMESHW AR,SC
139,AJMER,KISHANGARH,THAL,OBC,NAND LAL,OBC
140,AJMER,KISHANGARH,TIKAWADA,OBC,BODU RAM,OBC
141,AJMER,KISHANGARH,TILONIYA,General,MANGLA RAM JAT,OBC
142,AJMER,KISHANGARH,TYOD,OBC (Woman),PRIYANKA GURJAR,OBC (Woman)
143,AJMER,MASUDA,ANDHERI DEVRI,General (Woman),MADHU KUNWAR,OBC (Woman)
144,AJMER,MASUDA,BADI,ST,SEEMA,ST
145,AJMER,MASUDA,BARAL -II,OBC,NIKITA MAHESHWARI,OBC
146,AJMER,MASUDA,BEGLIYABAS,SC (Woman),CHANDRAP AL,SC (Woman)
147,AJMER,MASUDA,DAULATPURA - I,General (Woman),RANVEER SINGH,General (Woman)
148,AJMER,MASUDA,DAULATPURA - II,General (Woman),REKHA NAYAK,OBC
149,AJMER,MASUDA,DEVMALI,SC,SURENDRA SINGH,SC
150,AJMER,MASUDA,DEW AS,General,BAJRANG LAL,OBC
151,AJMER,MASUDA,DHOLADANT A,General,HANJA GURJAR,OBC
152,AJMER,MASUDA,HANUTIYA,General,GOPAL LAL JAT,OBC
153,AJMER,MASUDA,HARRAJPURA,OBC,JITENDRA KUMAR MEWADA,OBC
154,AJMER,MASUDA,JALIYA - II,General (Woman),PUSHPENDRA KUNWAR,General (Woman)
155,AJMER,MASUDA,JAMOLA,General (Woman),KAMLESH GURJAR,General (Woman)
156,AJMER,MASUDA,JEEW ANA,General,CHANDRAVEER SINGH,General
157,AJMER,MASUDA,JHAK,General (Woman),RAM KISHAN BHEEL,OBC
158,AJMER,MASUDA,KANAKHERA,General,GIRDHAR GOPAL,OBC
159,AJMER,MASUDA,KHARWA,OBC,BADRILAL BAIRWA,OBC
160,AJMER,MASUDA,KIRAP,SC,SANGITA BAIRWA,SC
161,AJMER,MASUDA,LODIYANA,General,MANTHRA,OBC
162,AJMER,MASUDA,LOOLWA,General,JAIDEEP,OBC
163,AJMER,MASUDA,MASUDA,General (Woman),PUNCHILAL,OBC (Woman)
164,AJMER,MASUDA,MAYLA,General (Woman),KANTA,OBC (Woman)
165,AJMER,MASUDA,MOYANA,General,MAYA,OBC
166,AJMER,MASUDA,NANDW ADA,OBC (Woman),NRAYAN,OBC (Woman)
167,AJMER,MASUDA,PEEPLAJ,SC (Woman),CHET AN,SC (Woman)
168,AJMER,MASUDA,RAMGARH,General,SHRIMATI GANGA,General
169,AJMER,MASUDA,SATAWADIYA,General (Woman),KALU RAM,OBC (Woman)
170,AJMER,MASUDA,SA THANA,General,PUSHPA DEVI,OBC
171,AJMER,MASUDA,SHERGARH,General (Woman),GOVIND,General (Woman)
172,AJMER,MASUDA,SHIKHRANI,General,KAMLA,General
173,AJMER,MASUDA,SHYAMGARH,General,SHARDA,OBC
174,AJMER,MASUDA,Devpura,OBC (Woman),SHRIMATI BHAGWATI,OBC (Woman)
175,AJMER,MASUDA,Nayagaon,General (Woman),MOHANLAL,General (Woman)
176,AJMER,MASUDA,Nadi,OBC (Woman),PUSHP A,OBC (Woman)
177,AJMER,PEESANGAN,BAGHSURI,OBC (Woman),KADVU,OBC (Woman)
178,AJMER,PEESANGAN,BHAGW ANPURA,General (Woman),KESHURAM,OBC (Woman)
179,AJMER,PEESANGAN,BHANWT A,General (Woman),JEEVADEVU,General (Woman)
180,AJMER,PEESANGAN,BHA TSURI,OBC (Woman),GUDDI,OBC (Woman)
181,AJMER,PEESANGAN,BHAWANIKHERA,General,PRA VEEN,OBC
182,AJMER,PEESANGAN,BIDKCHIY A W AS,General,GANGADEVI,OBC
183,AJMER,PEESANGAN,BITHUR,General (Woman),VENEET A,OBC (Woman)
184,AJMER,PEESANGAN,BUDHW ARA,General,ASHA,General
185,AJMER,PEESANGAN,DANT ADA,General,SANTOSH,General
186,AJMER,PEESANGAN,DEVNAGAR,SC,RISHA,SC
187,AJMER,PEESANGAN,DODIYANA,SC,GOP AL,SC
188,AJMER,PEESANGAN,DUMARA,SC,DEVANAND,SC
189,AJMER,PEESANGAN,GANAHERA,SC (Woman),MOTILAL,SC (Woman)
190,AJMER,PEESANGAN,GOL A,General,ANIT A,OBC
191,AJMER,PEESANGAN,GOVINDGARH,General (Woman),KANJI,General (Woman)
192,AJMER,PEESANGAN,HATUNDI,General (Woman),SHRIMATI JHAMKU,OBC (Woman)
193,AJMER,PEESANGAN,JETHANA,General,SHRI CHHAGAN LAL,OBC
194,AJMER,PEESANGAN,KADEIL,General,RAMEELA,General
195,AJMER,PEESANGAN,KALESARA,OBC (Woman),GAL,OBC (Woman)
196,AJMER,PEESANGAN,KARNOS,SC (Woman),KANTA,SC (Woman)
197,AJMER,PEESANGAN,KESARPURA,General,MANSINGH,OBC
198,AJMER,PEESANGAN,KHORI,SC (Woman),SUMITRA,SC (Woman)
199,AJMER,PEESANGAN,LAMANA,General,SUSHEEL A,OBC
200,AJMER,PEESANGAN,LEEDI,General (Woman),MOHIT,General (Woman)
201,AJMER,PEESANGAN,MAKRERA,General (Woman),DEEP AK,OBC (Woman)
202,AJMER,PEESANGAN,MANGLIYAWAS,General (Woman),LAXMAN,OBC (Woman)
203,AJMER,PEESANGAN,MIYANPUR,General (Woman),SHANTI,General (Woman)
204,AJMER,PEESANGAN,NAGELAV,General,AMARSINGH,OBC
205,AJMER,PEESANGAN,NAND,General,SHILP A,General
206,AJMER,PEESANGAN,NANDLA,General,RAMAN LAL,OBC
207,AJMER,PEESANGAN,NYARA,General (Woman),DOLATRAM,OBC (Woman)
208,AJMER,PEESANGAN,P AGARA,OBC,SONALI,OBC
209,AJMER,PEESANGAN,PEESANGAN,General,HUKKI,OBC
210,AJMER,PEESANGAN,PICHOLIYA,General,LALITA,General
211,AJMER,PEESANGAN,RAJGARH,OBC,CHANDRIKA,OBC
212,AJMER,PEESANGAN,RAJOSI,OBC,SHUBHASH,OBC
213,AJMER,PEESANGAN,RAMPURA DABLA,General (Woman),NAANI,General (Woman)
214,AJMER,PEESANGAN,SARADHANA,General (Woman),PRAKASH,OBC (Woman)
215,AJMER,PEESANGAN,TILORA,General (Woman),MAGUDDA,General (Woman)
216,AJMER,PEESANGAN,Jaswantpura,OBC,MAYA,OBC
217,AJMER,PEESANGAN,Kanas,OBC (Woman),VILASH,OBC (Woman)
218,AJMER,SRINAGAR,BHATIYANI,OBC,MOHAN LAL,OBC
219,AJMER,SRINAGAR,DERA THU,OBC (Woman),P ARMANAND,OBC (Woman)
220,AJMER,SRINAGAR,JHADW ASA,OBC,T ARKESHW AR,OBC
221,AJMER,SRINAGAR,AJA YSAR,OBC (Woman),NEETU,OBC (Woman)
222,AJMER,SRINAGAR,ARADKA,General,SHYAMSUNDAR MEENA,General
223,AJMER,SRINAGAR,BABAYACHA,General (Woman),BHAWANI SHANKAR,OBC (Woman)
224,AJMER,SRINAGAR,BADLYA,General (Woman),GIRIRAJ,General (Woman)
225,AJMER,SRINAGAR,BEER,General,RAJESH KUMARI,OBC
226,AJMER,SRINAGAR,BHUDOL,General (Woman),KALULAL/GOVIND KUMAR,OBC (Woman)
227,AJMER,SRINAGAR,BUBANI,General (Woman),REENA,OBC (Woman)
228,AJMER,SRINAGAR,CHACHIYAWAS,General,USHA KUMARI,OBC
229,AJMER,SRINAGAR,DANTA,SC,INDRA BAI,SC
230,AJMER,SRINAGAR,DHAL,General,USHA DEVI,General
231,AJMER,SRINAGAR,DILWARA,General,BASANTI BAI,OBC
232,AJMER,SRINAGAR,GAGW ANA,OBC (Woman),KOSHALYA BAI,OBC (Woman)
233,AJMER,SRINAGAR,GEGAL,General (Woman),RAMNARAYAN,OBC (Woman)
234,AJMER,SRINAGAR,GODIYAWAS,General (Woman),DEVISHANKAR,OBC (Woman)
235,AJMER,SRINAGAR,KANAKHERI,General,LAWLI BAI,General
236,AJMER,SRINAGAR,KANPURA,General (Woman),BHAWANI SHANKAR GUJAR,OBC (Woman)
237,AJMER,SRINAGAR,KAYAMPURA,General,RRJENT A,OBC
238,AJMER,SRINAGAR,LAVERA,General,KAVITA,General
239,AJMER,SRINAGAR,LOHARW ARA,General,MUKUT BIHARI,General
240,AJMER,SRINAGAR,MAWASHIYA,SC,CHHOTHMAL MEENA,SC
241,AJMER,SRINAGAR,NARW AR,General (Woman),RUKHMANNI BAI,OBC (Woman)
242,AJMER,SRINAGAR,P ALRA,OBC,TOLARAM,OBC
243,AJMER,SRINAGAR,PHARKIYA,General,DEV KISHAN,OBC (Woman)
244,AJMER,SRINAGAR,RAMNER DHANI,General,SANTOSH BAI,OBC
245,AJMER,SRINAGAR,RAMSAR,ST,JOGENDRA SINGH,ST
246,AJMER,SRINAGAR,SAMPRODA,OBC,KU. MEERA,OBC
247,AJMER,SRINAGAR,SANOD,General (Woman),SABBA,General (Woman)
248,AJMER,SRINAGAR,SRINAGAR,General (Woman),RAMJI LAL,General (Woman)
249,AJMER,SRINAGAR,TIHARI,OBC (Woman),SUNIT A,OBC (Woman)
250,AJMER,SRINAGAR,TILANA,SC (Woman),MATHURA DAAS,SC (Woman)
251,AJMER,SRINAGAR,UNTADA,General (Woman),HANEEF KHA,General (Woman)
252,AJMER,SRINAGAR,RASULPURA,General,T AHEERA,General
253,AJMER,SARW AD,AJGARA,General (Woman),MUKESH,General (Woman)
254,AJMER,SARW AD,BHAGW ANPURA,General (Woman),ISLAAM,OBC (Woman)
255,AJMER,SARW AD,BIRLA,General (Woman),MADAN MOHAN,General (Woman)
256,AJMER,SARW AD,FATEHGARH,General,RAMESHW AR,OBC
257,AJMER,SARW AD,HARPURA,General,RAJESH,General
258,AJMER,SARW AD,HINGONIYA,SC (Woman),ASSRI,SC (Woman)
259,AJMER,SARW AD,KHEERIYA,General,RATI MOHEMMED,General
260,AJMER,SARW AD,LALLAI,SC,RAHILLA,SC
261,AJMER,SARW AD,RAMP ALI,OBC (Woman),SUREYYA,OBC (Woman)
262,AJMER,SARW AD,SANPLA,General,DHANRAJ SINGH,OBC
263,AJMER,SARW AD,SOONP A,OBC,AASMEENA,OBC
264,AJMER,SARW AD,SYAR,General (Woman),ASHWINI KUMAR,General (Woman)
265,AJMER,SARW AD,GOYALA,General (Woman),PREETAM SINGH,OBC (Woman)
266,AJMER,SARW AD,JOTAYA,General,MHRUNISHA,General
267,AJMER,SARW AD,KEBANIYA,General,DHARMVEER,ST
268,AJMER,SARW AD,SARANA,OBC,MISSKEENA,OBC
269,AJMER,SARW AD,SATOLAV,SC,NEERAJ,SC
270,AJMER,SARW AD,SHERGARH,SC (Woman),ANJU SINGH,SC (Woman)
271,AJMER,SARW AD,SHOKALIYA,OBC (Woman),SAKKRUDEEN,OBC
272,AJMER,SARW AD,T ANTOTI,General,SAMSAAD BANNO,General
273,ALWAR,BANSUR,ALAMPURA,General,P ARMEENA,General
274,ALWAR,BANSUR,BABEDI,OBC,ANIL,OBC
275,ALWAR,BANSUR,BALAWAS,SC,BABU LAL BHEEL,SC
276,ALWAR,BANSUR,BAMANW AS,General,BHAGWATI LAL,OBC
277,ALWAR,BANSUR,BANSUR,ST,KAILASH CHAND,ST
278,ALWAR,BANSUR,BASDAYAL,OBC (Woman),RENA,OBC (Woman)
279,ALWAR,BANSUR,BAWARIA,General,BHERU LAL,OBC
280,ALWAR,BANSUR,BHAGGU KA BAS,General,LAXMI DEVI,OBC
281,ALWAR,BANSUR,BHUPSEDA,General,MOSSUM,General
282,ALWAR,BANSUR,BHUTERI,SC,PUSHPA KANWAR BHATI,SC
283,ALWAR,BANSUR,BILALI,OBC,RAJDEVI,OBC
284,ALWAR,BANSUR,CHA TERPURA,General,SHAMBHU LAL,General
285,ALWAR,BANSUR,CHHIND,General,KAILASH DEVI,OBC
286,ALWAR,BANSUR,CHUL A,General,NIRANJAN SINGH,General
287,ALWAR,BANSUR,DEVSAN,General (Woman),CHANDMAL,OBC (Woman)
288,ALWAR,BANSUR,GIRUDI,ST (Woman),HEMRAJ GAADRI,ST (Woman)
289,ALWAR,BANSUR,GUNT A,General (Woman),DESHRAJ GUJAR,OBC (Woman)
290,ALWAR,BANSUR,GYANPURA,General (Woman),CHETANA SUTHAR,General (Woman)
291,ALWAR,BANSUR,HAMIRPUR,General (Woman),JASHODA,OBC (Woman)
292,ALWAR,BANSUR,HARSAURA,General,VISHNU,OBC (Woman)
293,ALWAR,BANSUR,HAZIPUR,SC (Woman),NARAYAN LAL,SC (Woman)
294,ALWAR,BANSUR,HOLABAS,General (Woman),MANJU DEVI,OBC (Woman)
295,ALWAR,BANSUR,KHEDA,General,NARAYAN LAL AAHEER,OBC
296,ALWAR,BANSUR,KOHARI,OBC,KESAR DEVI,OBC
297,ALWAR,BANSUR,LAKEDI,General (Woman),MUKESH KUMAR,General (Woman)
298,ALWAR,BANSUR,LOYATI,OBC (Woman),SOPHAN LAL,OBC (Woman)
299,ALWAR,BANSUR,MAJRA AHIR,General (Woman),KALU RAM,General (Woman)
300,ALWAR,BANSUR,MEHANPUR,SC (Woman),NIRMALA SAALVI,SC (Woman)
301,ALWAR,BANSUR,MOTHUKA,OBC (Woman),KALU LAL,OBC (Woman)
302,ALWAR,BANSUR,NANGAL LAKHA,General,KRISHNA KANWAR,OBC
303,ALWAR,BANSUR,NAYABAS,General (Woman),SHANTA BAI,General (Woman)
304,ALWAR,BANSUR,NIMUCHANA,General (Woman),PAPPU LAL,General (Woman)
305,ALWAR,BANSUR,RAMPUR,General (Woman),BADRI LAL,OBC (Woman)
306,ALWAR,BANSUR,RATANPURA URF KARANA,General (Woman),SHENLATAN MANDOWARA,OBC (Woman)
307,ALWAR,BANSUR,SHAHPUR,General (Woman),BALU RAM JAAT,OBC (Woman)
308,ALWAR,BANSUR,SHYAMPURA,General,KAMLA DEVI,OBC
309,ALWAR,BANSUR,Sabalpura,OBC,MADAN LAL,OBC
310,ALWAR,BANSUR,Bharam ka bas,OBC (Woman),NARBEDA DEVI,OBC (Woman)
311,ALWAR,BANSUR,Babera,SC,PARWATI MALI,SC
312,ALWAR,BANSUR,Rasnali,SC (Woman),SEEMA,SC (Woman)
313,ALWAR,BEHROR,ANANTPURA,General,BADRI LAL,OBC
314,ALWAR,BEHROR,BAROD,General,KISHOR JAAT,General
315,ALWAR,BEHROR,BASAI,ST,SUNDER BHEEL,ST
316,ALWAR,BEHROR,BHAGWADI KHURD,OBC (Woman),SUGNA DHAKAD,OBC (Woman)
317,ALWAR,BEHROR,BUDHW AL,General (Woman),SURESH CHAND,OBC (Woman)
318,ALWAR,BEHROR,DHUNDHARIA,General,MUMTA JATIYA,OBC
319,ALWAR,BEHROR,GADOJ,OBC (Woman),BALWANT SINGH,OBC (Woman)
320,ALWAR,BEHROR,GANDALA,SC,TARA CHAND BAIRWA,SC
321,ALWAR,BEHROR,GUNTI,General (Woman),NARAYAN LAL,OBC (Woman)
322,ALWAR,BEHROR,GURJARVAS,OBC (Woman),SANGEETA DHAKAD,OBC (Woman)
323,ALWAR,BEHROR,HAMIDPUR,General,NISHAGUJAR,General
324,ALWAR,BEHROR,JAGUVAS,OBC (Woman),BAGDI RAM DHAKAD,OBC (Woman)
325,ALWAR,BEHROR,JAKHRANAKALAN,OBC,KRISHNA MEHTA,OBC
326,ALWAR,BEHROR,JANPURBAS,General (Woman),KOMAL DEVI,OBC (Woman)
327,ALWAR,BEHROR,JATGAVEDA,SC (Woman),GOPAL DHAKAD,SC (Woman)
328,ALWAR,BEHROR,KAKARDOP A,General,SHIV NARAYAN,OBC
329,ALWAR,BEHROR,KARODA,General,UNKAR LAL,OBC
330,ALWAR,BEHROR,KHOHER,General (Woman),SHAMBHU LAL,General (Woman)
331,ALWAR,BEHROR,KOHARI,OBC,DEEPIKA,OBC
332,ALWAR,BEHROR,KOHRANA,OBC (Woman),REKHA KUMARI,OBC (Woman)
333,ALWAR,BEHROR,MAHARAJAVAS,General (Woman),MAAN SINGH,OBC (Woman)
334,ALWAR,BEHROR,MANCHAL,General (Woman),JAIMALA SHARMA,OBC (Woman)
335,ALWAR,BEHROR,MOHAMMEDPUR,OBC,PARWATI DHAKAD,OBC
336,ALWAR,BEHROR,NANGAL KHODIYA,General (Woman),SUNITA CHOUDHARY,OBC (Woman)
337,ALWAR,BEHROR,P AHADI,General,RINKU KUMARI,OBC (Woman)
338,ALWAR,BEHROR,RAMSINGHPURA,General,KAILASH TELLI,OBC
