sr_no,district,municipal_board_council_corp,name,ward_no,elected_member_name,elected_member_educ
68,AJMER,NAGARP ALIKA,NASIRABAD,8,NAGMA ARA,POST GRADUATION
69,AJMER,NAGARP ALIKA,NASIRABAD,9,CHHAGAN LAL JAT,10th
70,AJMER,NAGARP ALIKA,NASIRABAD,10,SAROJ BISSA,POST GRADUATION
71,AJMER,NAGARP ALIKA,NASIRABAD,11,HRITUKA SONI,POST GRADUATION
72,AJMER,NAGARP ALIKA,NASIRABAD,12,LALIT,9th
73,AJMER,NAGARP ALIKA,NASIRABAD,13,SATYANARYAN SHARMA,9th
74,AJMER,NAGARP ALIKA,NASIRABAD,14,SANDEEP KUMAR,GRADUATE
75,AJMER,NAGARP ALIKA,NASIRABAD,15,PRASHANT KUMAR MEHRA,GRADUATE
76,AJMER,NAGARP ALIKA,NASIRABAD,16,SUBHASH SAKHALA,POST GRADUATION
77,AJMER,NAGARP ALIKA,NASIRABAD,17,POONAM,POST GRADUATION
78,AJMER,NAGARP ALIKA,NASIRABAD,18,ANITA MITTAL,POST GRADUATION
79,AJMER,NAGARP ALIKA,NASIRABAD,19,SHAMBHU SAHU,10th
80,AJMER,NAGARP ALIKA,NASIRABAD,20,PRADEEP SINGH RATHORE,GRADUATE
81,AJMER,NAGARP ALIKA,PUSHKAR,1,SHIMBHU,7th
82,AJMER,NAGARP ALIKA,PUSHKAR,2,PINKI DEVI,5TH
83,AJMER,NAGARP ALIKA,PUSHKAR,3,RAJENDRA BAKOLIYA,BA Bed
84,AJMER,NAGARP ALIKA,PUSHKAR,4,KAMAL KISHORE,10th
85,AJMER,NAGARP ALIKA,PUSHKAR,5,SAROJ,8TH
86,AJMER,NAGARP ALIKA,PUSHKAR,6,VANDANA PARASHAR,10th
87,AJMER,NAGARP ALIKA,PUSHKAR,7,UMA DEVI,5TH
88,AJMER,NAGARP ALIKA,PUSHKAR,8,TIKAM,GRADUATE
89,AJMER,NAGARP ALIKA,PUSHKAR,9,SAMARTA,GRADUATE
90,AJMER,NAGARP ALIKA,PUSHKAR,10,GOPAL KRISHAN,POST GRADUATION
91,AJMER,NAGARP ALIKA,PUSHKAR,11,DHARMENDRA,10th
92,AJMER,NAGARP ALIKA,PUSHKAR,12,RAVI KANT,GRADUATE
93,AJMER,NAGARP ALIKA,PUSHKAR,13,LAXMI,10th
94,AJMER,NAGARP ALIKA,PUSHKAR,14,JAI NARAYAN DAGDI,LITERATE
95,AJMER,NAGARP ALIKA,PUSHKAR,15,OM PRAKASH DOLIYA,10th
96,AJMER,NAGARP ALIKA,PUSHKAR,16,SHIV SWAROOP MAHARSHI,10th
97,AJMER,NAGARP ALIKA,PUSHKAR,17,MAHENDRA SINGH,8TH
98,AJMER,NAGARP ALIKA,PUSHKAR,18,KAMAL KISHORE,GRADUATE
99,AJMER,NAGARP ALIKA,PUSHKAR,19,BHAGWATI BHATI,5TH
100,AJMER,NAGARP ALIKA,PUSHKAR,20,DHEERAJ,GRADUATE
101,AJMER,NAGARP ALIKA,PUSHKAR,21,UMA DAGDI,10th
102,AJMER,NAGARP ALIKA,PUSHKAR,22,VISHNU PRASAD,10th
103,AJMER,NAGARP ALIKA,PUSHKAR,23,MUKESH,10th
104,AJMER,NAGARP ALIKA,PUSHKAR,24,KAILASH CHAND SHRESHTHI,10th
105,AJMER,NAGARP ALIKA,PUSHKAR,25,PUSHPA DEVI CHOUDHARY,5TH
106,ALW AR,NAGARP ARISHAD,ALWAR,1,DURGA SINGH,10th
107,ALW AR,NAGARP ARISHAD,ALWAR,2,JITENDRA SAINI,12th
108,ALW AR,NAGARP ARISHAD,ALWAR,3,RAMESH CHAND SAINI,8th
109,ALW AR,NAGARP ARISHAD,ALWAR,4,JYOTI,LITERATE
110,ALW AR,NAGARP ARISHAD,ALWAR,5,BIMLA,LITERATE
111,ALW AR,NAGARP ARISHAD,ALWAR,6,MUKESH KUMAR,8th
112,ALW AR,NAGARP ARISHAD,ALWAR,7,SHALINI SHARMA,LITERATE
113,ALW AR,NAGARP ARISHAD,ALWAR,8,SUNIL CHOUDHARY,GRADUATE
114,ALW AR,NAGARP ARISHAD,ALWAR,9,VIKRAM YADAV,GRADUATE
115,ALW AR,NAGARP ARISHAD,ALWAR,10,MAHESH KUMAR,12th
116,ALW AR,NAGARP ARISHAD,ALWAR,11,DEVENDRA KUMAR,12th
117,ALW AR,NAGARP ARISHAD,ALWAR,12,NARAYAN SINGH,10th
118,ALW AR,NAGARP ARISHAD,ALWAR,13,GHANSHYAM SONI,GRADUATE
119,ALW AR,NAGARP ARISHAD,ALWAR,14,DHARAMPAL SINGH,LITERATE
120,ALW AR,NAGARP ARISHAD,ALWAR,15,KAILASH,GRADUATE
121,ALW AR,NAGARP ARISHAD,ALWAR,16,KAILASH CHAND SAINI,12th
122,ALW AR,NAGARP ARISHAD,ALWAR,17,AVINASH KHANDALWAL,GRADUATE
123,ALW AR,NAGARP ARISHAD,ALWAR,18,VIMAL KUMAR JAIN,12th
124,ALW AR,NAGARP ARISHAD,ALWAR,19,GHANSHYAM,12th
125,ALW AR,NAGARP ARISHAD,ALWAR,20,BEENA GUPTA,GRADUATE
126,ALW AR,NAGARP ARISHAD,ALWAR,21,RAMAKANT,12th
127,ALW AR,NAGARP ARISHAD,ALWAR,22,SOMOTI DEVI,LITERATE
128,ALW AR,NAGARP ARISHAD,ALWAR,23,SUMAN,GRADUATE
129,ALW AR,NAGARP ARISHAD,ALWAR,24,ANGOORI YADAV,10th
130,ALW AR,NAGARP ARISHAD,ALWAR,25,LOCHAN YADAV,GRADUATE
131,ALW AR,NAGARP ARISHAD,ALWAR,26,MAHENDRA KUMAR VERMA,10th
132,ALW AR,NAGARP ARISHAD,ALWAR,27,SURESH CHAND,8th
133,ALW AR,NAGARP ARISHAD,ALWAR,28,PINKI RANI,POST GRADUATION
134,ALW AR,NAGARP ARISHAD,ALWAR,29,SEETA RAM,12th
135,ALW AR,NAGARP ARISHAD,ALWAR,30,NARENDRA KUMAR,BA. LLB
136,ALW AR,NAGARP ARISHAD,ALWAR,31,DHEERAJ JAIN,12th
137,ALW AR,NAGARP ARISHAD,ALWAR,32,BINA,BA. Bed
138,ALW AR,NAGARP ARISHAD,ALWAR,33,SANJAY,12th
139,ALW AR,NAGARP ARISHAD,ALWAR,34,RAVINDRA KUMAR MEENA,GRADUATE
140,ALW AR,NAGARP ARISHAD,ALWAR,35,ANSHUL KUMAR SAINI,12th
141,ALW AR,NAGARP ARISHAD,ALWAR,36,RAVINDRA KUMAR JAIN,12th
142,ALW AR,NAGARP ARISHAD,ALWAR,37,SANDHYA MINA,GRADUATE
143,ALW AR,NAGARP ARISHAD,ALWAR,38,ARUN JAIN,GRADUATE
144,ALW AR,NAGARP ARISHAD,ALWAR,39,VISHNU SHANKAR SHARMA,10th
145,ALW AR,NAGARP ARISHAD,ALWAR,40,SUKHVINDER KAUR,9th
146,ALW AR,NAGARP ARISHAD,ALWAR,41,ANJALI KUMARI,12th
147,ALW AR,NAGARP ARISHAD,ALWAR,42,MURTI,LITERATE
148,ALW AR,NAGARP ARISHAD,ALWAR,43,MITHLESH SHARMA,10th
149,ALW AR,NAGARP ARISHAD,ALWAR,44,RAJESH KUMAR SAINI,12th
150,ALW AR,NAGARP ARISHAD,ALWAR,45,TARO KAUR,LITERATE
151,ALW AR,NAGARP ARISHAD,ALWAR,46,SHASHI KALA,LITERATE
152,ALW AR,NAGARP ARISHAD,ALWAR,47,KUSUM LATA,LITERATE
153,ALW AR,NAGARP ARISHAD,ALWAR,48,AJAY KUMAR,GRADUATE
154,ALW AR,NAGARP ARISHAD,ALWAR,49,KAMLA SAINI,10th
155,ALW AR,NAGARP ARISHAD,ALWAR,50,NEHA GUPTA,12th
156,ALW AR,NAGARP ARISHAD,ALWAR,51,PREETAM SINGH,12th
157,ALW AR,NAGARP ARISHAD,ALWAR,52,POOJA ARODA,LITERATE
158,ALW AR,NAGARP ARISHAD,ALWAR,53,NARENDRA KUMAR SHARMA,9th
159,ALW AR,NAGARP ARISHAD,ALWAR,54,RAM AVATAR SHARMA,GRADUATE
160,ALW AR,NAGARP ARISHAD,ALWAR,55,DULI CHAND SAIN,8th
161,ALW AR,NAGARP ARISHAD,ALWAR,56,HETRAM YADAV,GRADUATE
162,ALW AR,NAGARP ARISHAD,ALWAR,57,SHEELA,LITERATE
163,ALW AR,NAGARP ARISHAD,ALWAR,58,DEVENDRA KAUR,GRADUATE
164,ALW AR,NAGARP ARISHAD,ALWAR,59,AJAY METHI,10th
165,ALW AR,NAGARP ARISHAD,ALWAR,60,DR. ASHOK PATHAK,PROFESSIONAL
166,ALW AR,NAGARP ARISHAD,ALWAR,61,SATISH YADAV,GRADUATE
167,ALW AR,NAGARP ARISHAD,ALWAR,62,SUNITA,LITERATE
168,ALW AR,NAGARP ARISHAD,ALWAR,63,DHARA SINGH,LITERATE
169,ALW AR,NAGARP ARISHAD,ALWAR,64,ANJU,10th
170,ALW AR,NAGARP ARISHAD,ALWAR,65,SONU CHOUDHARY,12th
171,ALW AR,NAGARP ARISHAD,BHIWADI,1,HAWA SINGH,GRADUATE
172,ALW AR,NAGARP ARISHAD,BHIWADI,2,AMIT,GRADUATE
173,ALW AR,NAGARP ARISHAD,BHIWADI,3,MUNNI,10th
174,ALW AR,NAGARP ARISHAD,BHIWADI,4,JAGPAL SINGH,12th
175,ALW AR,NAGARP ARISHAD,BHIWADI,5,OMAL DEVI,10th
176,ALW AR,NAGARP ARISHAD,BHIWADI,6,NA VEEN,10th
177,ALW AR,NAGARP ARISHAD,BHIWADI,7,RAMCHANDRA,10th
178,ALW AR,NAGARP ARISHAD,BHIWADI,8,ASHLAM KHAN,10th
179,ALW AR,NAGARP ARISHAD,BHIWADI,9,ANIT A,10th
180,ALW AR,NAGARP ARISHAD,BHIWADI,10,VINOD DEVI,10th
181,ALW AR,NAGARP ARISHAD,BHIWADI,11,BATTI LAL,10th
182,ALW AR,NAGARP ARISHAD,BHIWADI,12,MITHELESH DEVI,10th
183,ALW AR,NAGARP ARISHAD,BHIWADI,13,INDRAPAL DAYAMA,12th
184,ALW AR,NAGARP ARISHAD,BHIWADI,14,MOHINI VIJAY SINGH,GRADUATE
185,ALW AR,NAGARP ARISHAD,BHIWADI,15,POONAM,10th
186,ALW AR,NAGARP ARISHAD,BHIWADI,16,MAMTA,POST GRADUATION
187,ALW AR,NAGARP ARISHAD,BHIWADI,17,NIHAL SINGH,10th
188,ALW AR,NAGARP ARISHAD,BHIWADI,18,BALJEET SINGH,12th
189,ALW AR,NAGARP ARISHAD,BHIWADI,19,BABITA,12th
190,ALW AR,NAGARP ARISHAD,BHIWADI,20,RAJKUMAR DAYAMA,12th
191,ALW AR,NAGARP ARISHAD,BHIWADI,21,MAYA,10th
192,ALW AR,NAGARP ARISHAD,BHIWADI,22,BALA,10th
193,ALW AR,NAGARP ARISHAD,BHIWADI,23,KISHAN LAL,12th
194,ALW AR,NAGARP ARISHAD,BHIWADI,24,JEET SINGH,10th
195,ALW AR,NAGARP ARISHAD,BHIWADI,25,BHAGYAVATI,POST GRADUATION
196,ALW AR,NAGARP ARISHAD,BHIWADI,26,RAMCHANDRA,10th
197,ALW AR,NAGARP ARISHAD,BHIWADI,27,SANJAY KARHANA,12th
198,ALW AR,NAGARP ARISHAD,BHIWADI,28,MITHELESH DEVI,10th
199,ALW AR,NAGARP ARISHAD,BHIWADI,29,VEERPAL CHANDELA,GRADUATE
200,ALW AR,NAGARP ARISHAD,BHIWADI,30,SHVETA,10th
201,ALW AR,NAGARP ARISHAD,BHIWADI,31,MOHAN LAL,10th
202,ALW AR,NAGARP ARISHAD,BHIWADI,32,VINOD KUMAR,POST GRADUATION
203,ALW AR,NAGARP ARISHAD,BHIWADI,33,JITENDRA TANWAR,POST GRADUATION
204,ALW AR,NAGARP ARISHAD,BHIWADI,34,MANISH KUMAR,GRADUATE
205,ALW AR,NAGARP ARISHAD,BHIWADI,35,SHEESHRAM TANWAR,10th
206,ALW AR,NAGARP ARISHAD,BHIWADI,36,KHEMCHAND,10th
207,ALW AR,NAGARP ARISHAD,BHIWADI,37,NARENDRA PATEL,GRADUATE
208,ALW AR,NAGARP ARISHAD,BHIWADI,38,PARVEEN TANWAR,10th
209,ALW AR,NAGARP ARISHAD,BHIWADI,39,MAMTA,12th
210,ALW AR,NAGARP ARISHAD,BHIWADI,40,SURENDRA SINGH,GRADUATE
211,ALW AR,NAGARP ARISHAD,BHIWADI,41,MUSTKEEM,12th
212,ALW AR,NAGARP ARISHAD,BHIWADI,42,HEMCHAND,10th
213,ALW AR,NAGARP ARISHAD,BHIWADI,43,BHIM SINGH BHIDOODI,POST GRADUATION
214,ALW AR,NAGARP ARISHAD,BHIWADI,44,POONAM,GRADUATE
215,ALW AR,NAGARP ARISHAD,BHIWADI,45,SUBE SINGH,GRADUATE
216,ALW AR,NAGARP ARISHAD,BHIWADI,46,TEJ PRATAP TANWAR,GRADUATE
217,ALW AR,NAGARP ARISHAD,BHIWADI,47,RAMDAYAL,12th
218,ALW AR,NAGARP ARISHAD,BHIWADI,48,RISHIPAL,12th
219,ALW AR,NAGARP ARISHAD,BHIWADI,49,AASIYA,10th
220,ALW AR,NAGARP ARISHAD,BHIWADI,50,FIRDOSH,10th
221,ALW AR,NAGARP ARISHAD,BHIWADI,51,SARITA,10th
222,ALW AR,NAGARP ARISHAD,BHIWADI,52,RAVITA,10th
223,ALW AR,NAGARP ARISHAD,BHIWADI,53,LALARAM,10th
224,ALW AR,NAGARP ARISHAD,BHIWADI,54,NARENDRA,GRADUATE
225,ALW AR,NAGARP ARISHAD,BHIWADI,55,SAVITA,10th
226,ALW AR,NAGARP ARISHAD,BHIWADI,56,NAVNEET KUMAR,10th
227,ALW AR,NAGARP ARISHAD,BHIWADI,57,SAHEEB,10th
228,ALW AR,NAGARP ARISHAD,BHIWADI,58,KISHANSHAY,10th
229,ALW AR,NAGARP ARISHAD,BHIWADI,59,SUNEEL KUMAR,12th
230,ALW AR,NAGARP ARISHAD,BHIWADI,60,SAROJ,10th
231,ALW AR,NAGAR PALIKA,THANAGAZI,1,KAPIL KUMAR,GRADUATE
232,ALW AR,NAGAR PALIKA,THANAGAZI,2,KRISHANA DEVI,LITERATE
233,ALW AR,NAGAR PALIKA,THANAGAZI,3,KAMLESH SHARMA,12th
234,ALW AR,NAGAR PALIKA,THANAGAZI,4,SHAYAR YOGI,GRADUATE
235,ALW AR,NAGAR PALIKA,THANAGAZI,5,MADHU,12th
236,ALW AR,NAGAR PALIKA,THANAGAZI,6,MAHENDRA KUMAR,GRADUATE
237,ALW AR,NAGAR PALIKA,THANAGAZI,7,SUMITRA RAIGAR,12th
238,ALW AR,NAGAR PALIKA,THANAGAZI,8,DAYARAM,LITERATE
239,ALW AR,NAGAR PALIKA,THANAGAZI,9,RAKESH,12th
240,ALW AR,NAGAR PALIKA,THANAGAZI,10,ROHITASHA KUMAR,8 th
241,ALW AR,NAGAR PALIKA,THANAGAZI,11,REENA SHARMA,8 th
242,ALW AR,NAGAR PALIKA,THANAGAZI,12,KAMLESH DEVI,POST GRADUATION
243,ALW AR,NAGAR PALIKA,THANAGAZI,13,BABULAL,GRADUATE
244,ALW AR,NAGAR PALIKA,THANAGAZI,14,MOHAN LAL,12th
245,ALW AR,NAGAR PALIKA,THANAGAZI,15,RAJENDRA,GRADUATE
246,ALW AR,NAGAR PALIKA,THANAGAZI,16,CHOUTHMAL,LITERATE
247,ALW AR,NAGAR PALIKA,THANAGAZI,17,ANIL KUMAR,GRADUATE
248,ALW AR,NAGAR PALIKA,THANAGAZI,18,KIRAN,LITERATE
249,ALW AR,NAGAR PALIKA,THANAGAZI,19,KAMLA,LITERATE
250,ALW AR,NAGAR PALIKA,THANAGAZI,20,SA VITREE,5 th
251,ALW AR,NAGAR PALIKA,THANAGAZI,21,RAGHUVEER,LITERATE
252,ALW AR,NAGAR PALIKA,THANAGAZI,22,SURESH CHAND SHARMA,GRADUATE
253,ALW AR,NAGAR PALIKA,THANAGAZI,23,PREETAM SINGH,LITERATE
254,ALW AR,NAGAR PALIKA,THANAGAZI,24,BHUPENDRA KUMZR SAINI,NDDY Diploma
255,ALW AR,NAGAR PALIKA,THANAGAZI,25,PUSHPENDRA KUMAR,GRADUATE
256,BANSW ARA,NAGAR PARISHAD,BANSWARA,1,HEMANT KUMAR RANA,GRADUATE
257,BANSW ARA,NAGAR PARISHAD,BANSWARA,2,DHANESH RAWAT,GRADUATE
258,BANSW ARA,NAGAR PARISHAD,BANSWARA,3,GOVIND GURJAR,GRADUATE
259,BANSW ARA,NAGAR PARISHAD,BANSWARA,4,VICKY SINGHANI,9th
260,BANSW ARA,NAGAR PARISHAD,BANSWARA,5,SURESH CHANDRA KALAL,8th
261,BANSW ARA,NAGAR PARISHAD,BANSWARA,6,PRAHLAD SINGH,10th
262,BANSW ARA,NAGAR PARISHAD,BANSWARA,7,SAJJAN SINGH,12th
263,BANSW ARA,NAGAR PARISHAD,BANSWARA,8,DEEPAK JOSHI,POST GRADUATION
264,BANSW ARA,NAGAR PARISHAD,BANSWARA,9,YOGESH JOSHI,POST GRADUATION
265,BANSWARA,NAGAR PARISHAD,BANSWARA,10,YUGAL,MBBS
266,BANSWARA,NAGAR PARISHAD,BANSWARA,11,SONIYA,8th
267,BANSWARA,NAGAR PARISHAD,BANSWARA,12,MUKESH JOSHI,GRADUATE
268,BANSWARA,NAGAR PARISHAD,BANSWARA,13,BHARAT YADAV,8th
269,BANSWARA,NAGAR PARISHAD,BANSWARA,14,DEVBALA,12th
270,BANSWARA,NAGAR PARISHAD,BANSWARA,15,GOVINDA SONI,POST GRADUATION
271,BANSWARA,NAGAR PARISHAD,BANSWARA,16,KIRAN RATHORE,12th
272,BANSWARA,NAGAR PARISHAD,BANSWARA,17,GOKUL JAIN,10th
273,BANSWARA,NAGAR PARISHAD,BANSWARA,18,PREMLATA JOSHI,10th
274,BANSWARA,NAGAR PARISHAD,BANSWARA,19,SHYAMA RANA,8th
275,BANSWARA,NAGAR PARISHAD,BANSWARA,20,MAHA VEER BOHRA,GRADUATE
276,BANSWARA,NAGAR PARISHAD,BANSWARA,21,DIPIKA BHAVSAR,10th
277,BANSWARA,NAGAR PARISHAD,BANSWARA,22,OM PRAKASH PALIWAL,12th
278,BANSWARA,NAGAR PARISHAD,BANSWARA,23,KALPESH,GRADUATE
279,BANSWARA,NAGAR PARISHAD,BANSWARA,24,SHALINI JAIN,POST GRADUATION
280,BANSWARA,NAGAR PARISHAD,BANSWARA,25,AASHISH KUMAR JAIN,PRIMARY
281,BANSWARA,NAGAR PARISHAD,BANSWARA,26,SEVALAL,PRIMARY
282,BANSWARA,NAGAR PARISHAD,BANSWARA,27,ASHOK SHARMA,8th
283,BANSWARA,NAGAR PARISHAD,BANSWARA,28,GEETA,8th
284,BANSWARA,NAGAR PARISHAD,BANSWARA,29,CHANKY SHAH,8th
285,BANSWARA,NAGAR PARISHAD,BANSWARA,30,JULEKHA,8th
286,BANSWARA,NAGAR PARISHAD,BANSWARA,31,JAHID AHAMAD,GRADUATE
287,BANSWARA,NAGAR PARISHAD,BANSWARA,32,MEHBUB KHAN,10th
288,BANSWARA,NAGAR PARISHAD,BANSWARA,33,SAMIR AHMAD,8th
289,BANSWARA,NAGAR PARISHAD,BANSWARA,34,DILSHAD BI,8th
290,BANSWARA,NAGAR PARISHAD,BANSWARA,35,AAMNA BI,PRIMARY
291,BANSWARA,NAGAR PARISHAD,BANSWARA,36,MAHESH CHANDRA,12th
292,BANSWARA,NAGAR PARISHAD,BANSWARA,37,TARANNUM BI,10th
293,BANSWARA,NAGAR PARISHAD,BANSWARA,38,MAHENDRA SINGH,8th
294,BANSWARA,NAGAR PARISHAD,BANSWARA,39,JENENDRA TRIVEDI,10th
295,BANSWARA,NAGAR PARISHAD,BANSWARA,40,DEEPESH JOSHI,GRADUATE
296,BANSWARA,NAGAR PARISHAD,BANSWARA,41,DIPALI,GRADUATE
297,BANSWARA,NAGAR PARISHAD,BANSWARA,42,BHARAT JOSHI,GRADUATE
298,BANSWARA,NAGAR PARISHAD,BANSWARA,43,DHIRAJ MEHTA,12th
299,BANSWARA,NAGAR PARISHAD,BANSWARA,44,NILESH SONI,10th
300,BANSW ARA,NAGAR PARISHAD,BANSWARA,45,RAJENDRA GAHLOT,10th
301,BANSW ARA,NAGAR PARISHAD,BANSWARA,46,RASIDA BEE,PRIMARY
302,BANSW ARA,NAGAR PARISHAD,BANSWARA,47,SANTOSH DARJI,8th
303,BANSW ARA,NAGAR PARISHAD,BANSWARA,48,CHANDA DAMOR,8th
304,BANSW ARA,NAGAR PARISHAD,BANSWARA,49,PUNAM CHAND,PRIMARY
305,BANSW ARA,NAGAR PARISHAD,BANSWARA,50,DHARMENDRA TELI,10th
306,BANSW ARA,NAGAR PARISHAD,BANSWARA,51,JAYDA KHATUN,PRIMARY
307,BANSW ARA,NAGAR PARISHAD,BANSWARA,52,HUSAIN TATIWALA,GRADUATE
308,BANSW ARA,NAGAR PARISHAD,BANSWARA,53,RAKESH JAIN,POST GRADUATION
309,BANSW ARA,NAGAR PARISHAD,BANSWARA,54,FATEMA RATLAM WALA,12th
310,BANSW ARA,NAGAR PARISHAD,BANSWARA,55,NATWARLAL,8th
311,BANSW ARA,NAGAR PARISHAD,BANSWARA,56,MAHAJVEEN,12th
312,BANSW ARA,NAGAR PARISHAD,BANSWARA,57,HETAL GARASIYA,10th
313,BANSW ARA,NAGAR PARISHAD,BANSWARA,58,KAMRUN NISA,PRIMARY
314,BANSW ARA,NAGAR PARISHAD,BANSWARA,59,SULTANA,8th
315,BANSW ARA,NAGAR PARISHAD,BANSWARA,60,SNEHAL JON,8th
