sr_no,district,municipal_board_council_corp,name,ward_no,elected_member_name,elected_member_educ
1,AJMER,NAGARP ARISHAD,BEAWAR,1,NARESH KUMAR,POST GRADUATION
2,AJMER,NAGARP ARISHAD,BEAWAR,2,MUNNI DEVI,5th
3,AJMER,NAGARP ARISHAD,BEAWAR,3,SUNITA BHATI,GRADUATE
4,AJMER,NAGARP ARISHAD,BEAWAR,4,KAMLA DAGDI,LITERATE
5,AJMER,NAGARP ARISHAD,BEAWAR,5,GIRDHARI LAL,12th
6,AJMER,NAGARP ARISHAD,BEAWAR,6,MANOJ RAJ TANWAR,10th
7,AJMER,NAGARP ARISHAD,BEAWAR,7,VIRENDRA SINGH,GRADUATE
8,AJMER,NAGARP ARISHAD,BEAWAR,8,VEDRAJ,10th
9,AJMER,NAGARP ARISHAD,BEAWAR,9,MANGAT SINGH,10th
10,AJMER,NAGARP ARISHAD,BEAWAR,10,KARUNA,GRADUATE
11,AJMER,NAGARP ARISHAD,BEAWAR,11,SANTOSH SHARMA,10th
12,AJMER,NAGARP ARISHAD,BEAWAR,12,RA VI KUMAR,10th
13,AJMER,NAGARP ARISHAD,BEAWAR,13,ANGAD RAM AJMERA,10th
14,AJMER,NAGARP ARISHAD,BEAWAR,14,TRILOK SHARMA,12th
15,AJMER,NAGARP ARISHAD,BEAWAR,15,BHUVNESH SHARMA,POST GRADUATION
16,AJMER,NAGARP ARISHAD,BEAWAR,16,ABDUL MAJID,5th
17,AJMER,NAGARP ARISHAD,BEAWAR,17,PREETI,10th
18,AJMER,NAGARP ARISHAD,BEAWAR,18,BHARAT BHAGMAR,POST GRADUATION
19,AJMER,NAGARP ARISHAD,BEAWAR,19,SURENDRA SONI,10th
20,AJMER,NAGARP ARISHAD,BEAWAR,20,VIKAS DAGDI,10th
21,AJMER,NAGARP ARISHAD,BEAWAR,21,RAJENDRA TUNGARIYA,10th
22,AJMER,NAGARP ARISHAD,BEAWAR,22,SWATI PHULWARI,GRADUATE
23,AJMER,NAGARP ARISHAD,BEAWAR,23,GOVIND PADITAN,8th
24,AJMER,NAGARP ARISHAD,BEAWAR,24,BHARAT KUMAR BANDHIW AL,10th
25,AJMER,NAGARP ARISHAD,BEAWAR,25,RAMNIWAS SEN,10th
26,AJMER,NAGARP ARISHAD,BEAWAR,26,RAKESH SAHU,10th
27,AJMER,NAGARP ARISHAD,BEAWAR,27,GHANSHYAM PHULWARI,GRADUATE
28,AJMER,NAGARP ARISHAD,BEAWAR,28,SANTOSH,5th
29,AJMER,NAGARP ARISHAD,BEAWAR,29,REKHA KUMAWAT,8th
30,AJMER,NAGARP ARISHAD,BEAWAR,30,HEMANT KUMAWAT,GRADUATE
31,AJMER,NAGARP ARISHAD,BEAWAR,31,LALITA SINGARIYA,8th
32,AJMER,NAGARP ARISHAD,BEAWAR,32,DINESH KUMAR BAIRWA,8th
33,AJMER,NAGARP ARISHAD,BEAWAR,33,BHAGCHAND PHULWARI,8th
34,AJMER,NAGARP ARISHAD,BEAWAR,34,NAINARAM DEVRA,5th
35,AJMER,NAGARP ARISHAD,BEAWAR,35,JITENDRA SINGH RATHOD,GRADUATE
36,AJMER,NAGARP ARISHAD,BEAWAR,36,PINKI KUMAWAT,10th
37,AJMER,NAGARP ARISHAD,BEAWAR,37,JAY SINGH,10th
38,AJMER,NAGARP ARISHAD,BEAWAR,38,SARASWATI SHARMA,10th
39,AJMER,NAGARP ARISHAD,BEAWAR,39,BEENA JHANWAR,8th
40,AJMER,NAGARP ARISHAD,BEAWAR,40,VISHNU GOPAL HEDA,10th
41,AJMER,NAGARP ARISHAD,BEAWAR,41,DALPAT RAJ MEWADA,8th
42,AJMER,NAGARP ARISHAD,BEAWAR,42,RAJESH KUMAR,12th
43,AJMER,NAGARP ARISHAD,BEAWAR,43,VIKRAM SONI,POST GRADUATION
44,AJMER,NAGARP ARISHAD,BEAWAR,44,RIKHABCHAND KHATOD,12th
45,AJMER,NAGARP ARISHAD,BEAWAR,45,SHREE RAJ SINGH,12th
46,AJMER,NAGARP ARISHAD,BEAWAR,46,SHANTI DEVI,5th
47,AJMER,NAGARP ARISHAD,BEAWAR,47,GOPAL SINGH,GRADUATE
48,AJMER,NAGARP ARISHAD,BEAWAR,48,JASHODA,LITERATE
49,AJMER,NAGARP ARISHAD,BEAWAR,49,SUSHILA DEVI,LITERATE
50,AJMER,NAGARP ARISHAD,BEAWAR,50,NEERU CHAUHAN,10th
51,AJMER,NAGARP ARISHAD,BEAWAR,51,HANSRAJ SHARMA,12th
52,AJMER,NAGARP ARISHAD,BEAWAR,52,MOTI SINGH SAKHLA,10th
53,AJMER,NAGARP ARISHAD,BEAWAR,53,NIRMAL KUMAR,POST GRADUATION
54,AJMER,NAGARP ARISHAD,BEAWAR,54,MAMTA,LITERATE
55,AJMER,NAGARP ARISHAD,BEAWAR,55,SARLA KANWAR,GRADUATE
56,AJMER,NAGARP ARISHAD,BEAWAR,56,ANIL CHAUDHARY,8th
57,AJMER,NAGARP ARISHAD,BEAWAR,57,KULDEEP SINGH BOHARA,10th
58,AJMER,NAGARP ARISHAD,BEAWAR,58,MAYA,5th
59,AJMER,NAGARP ARISHAD,BEAWAR,59,HARISH KUMAR SAKHLA,POST GRADUATION
60,AJMER,NAGARP ARISHAD,BEAWAR,60,BHUPENDRA JEET BHOJAK,GRADUATE
61,AJMER,NAGARP ALIKA,NASIRABAD,1,BHAGWAN DAS,10th
62,AJMER,NAGARP ALIKA,NASIRABAD,2,AFSANA,LITERATE
63,AJMER,NAGARP ALIKA,NASIRABAD,3,MAHAVEER PRASAD TAK,POST GRADUATION
64,AJMER,NAGARP ALIKA,NASIRABAD,4,SHARDA MITALWAL,GRADUATE
65,AJMER,NAGARP ALIKA,NASIRABAD,5,ANKUSH CHOUDHARY,12th
66,AJMER,NAGARP ALIKA,NASIRABAD,6,MAHENDRA DABI,10th
67,AJMER,NAGARP ALIKA,NASIRABAD,7,DEEPAK SAHU,GRADUATE
