state,year,district,block,body,gram_panchayat,ward_no,ward_name,tier,tier_local,reservation,caste_reservation,woman_reserved,reservation_raw,listing_scope,script,sc_reserved_ward_count,st_reserved_ward_count,women_reserved_ward_count,source_path,source_page,source_pdf,source_url,source_capture
Assam,2025,Charaideo,Sapekhati,Ahukhat,Ahukhat,,,gp_head,Gaon Panchayat President,Woman,NONE,1,Reserved for Women,all_seats,latin,0,0,5,data/assam/2025_reservation/charaideo_reservation.pdf,7,charaideo_reservation.pdf,https://sec.assam.gov.in/pdf/panchayat-election/reservation/charaideo-reservation.pdf,
Assam,2025,Charaideo,Sapekhati,Borguri,Borguri,,,gp_head,Gaon Panchayat President,Other than Woman,NONE,0,,all_seats,latin,0,0,5,data/assam/2025_reservation/charaideo_reservation.pdf,7,charaideo_reservation.pdf,https://sec.assam.gov.in/pdf/panchayat-election/reservation/charaideo-reservation.pdf,
Assam,2025,Charaideo,Sapekhati,Milonjyoti,Milonjyoti,,,gp_head,Gaon Panchayat President,Woman,NONE,1,Reserved for Women,all_seats,latin,0,1,5,data/assam/2025_reservation/charaideo_reservation.pdf,7,charaideo_reservation.pdf,https://sec.assam.gov.in/pdf/panchayat-election/reservation/charaideo-reservation.pdf,
Assam,2025,Charaideo,Sapekhati,Rahan,Rahan,,,gp_head,Gaon Panchayat President,Woman,NONE,1,Reserved for Women,all_seats,latin,0,0,5,data/assam/2025_reservation/charaideo_reservation.pdf,7,charaideo_reservation.pdf,https://sec.assam.gov.in/pdf/panchayat-election/reservation/charaideo-reservation.pdf,
Assam,2025,Charaideo,Sapekhati,Sapekhati,Sapekhati,,,gp_head,Gaon Panchayat President,Other than Woman,NONE,0,,all_seats,latin,1,0,5,data/assam/2025_reservation/charaideo_reservation.pdf,7,charaideo_reservation.pdf,https://sec.assam.gov.in/pdf/panchayat-election/reservation/charaideo-reservation.pdf,
Assam,2025,Charaideo,Sapekhati,Udayshree,Udayshree,,,gp_head,Gaon Panchayat President,Other than Woman,NONE,0,,all_seats,latin,0,0,5,data/assam/2025_reservation/charaideo_reservation.pdf,7,charaideo_reservation.pdf,https://sec.assam.gov.in/pdf/panchayat-election/reservation/charaideo-reservation.pdf,
Assam,2025,Charaideo,Sapekhati,Bhuyakhat,Bhuyakhat,,,gp_head,Gaon Panchayat President,Other than Woman,NONE,0,,all_seats,latin,0,0,5,data/assam/2025_reservation/charaideo_reservation.pdf,7,charaideo_reservation.pdf,https://sec.assam.gov.in/pdf/panchayat-election/reservation/charaideo-reservation.pdf,
Assam,2025,Charaideo,Sapekhati,Borhat,Borhat,,,gp_head,Gaon Panchayat President,Woman,NONE,1,Reserved for Women,all_seats,latin,0,0,5,data/assam/2025_reservation/charaideo_reservation.pdf,7,charaideo_reservation.pdf,https://sec.assam.gov.in/pdf/panchayat-election/reservation/charaideo-reservation.pdf,
Assam,2025,Charaideo,Sapekhati,Nahorpukhuri,Nahorpukhuri,,,gp_head,Gaon Panchayat President,Other than Woman,NONE,0,,all_seats,latin,0,0,5,data/assam/2025_reservation/charaideo_reservation.pdf,7,charaideo_reservation.pdf,https://sec.assam.gov.in/pdf/panchayat-election/reservation/charaideo-reservation.pdf,
Assam,2025,Charaideo,Sapekhati,Purbanchal,Purbanchal,,,gp_head,Gaon Panchayat President,Woman,NONE,1,Reserved for Women,all_seats,latin,0,0,5,data/assam/2025_reservation/charaideo_reservation.pdf,7,charaideo_reservation.pdf,https://sec.assam.gov.in/pdf/panchayat-election/reservation/charaideo-reservation.pdf,
Assam,2025,Charaideo,Sapekhati,Sonali,Sonali,,,gp_head,Gaon Panchayat President,Other than Woman,NONE,0,,all_seats,latin,0,0,5,data/assam/2025_reservation/charaideo_reservation.pdf,7,charaideo_reservation.pdf,https://sec.assam.gov.in/pdf/panchayat-election/reservation/charaideo-reservation.pdf,
Assam,2025,Charaideo,Sonari,Bhojo,Bhojo,,,gp_head,Gaon Panchayat President,Woman,NONE,1,Reserved for Women,all_seats,latin,0,0,5,data/assam/2025_reservation/charaideo_reservation.pdf,7,charaideo_reservation.pdf,https://sec.assam.gov.in/pdf/panchayat-election/reservation/charaideo-reservation.pdf,
Assam,2025,Charaideo,Sonari,Sonari,Sonari,,,gp_head,Gaon Panchayat President,Other than Woman,NONE,0,,all_seats,latin,0,0,5,data/assam/2025_reservation/charaideo_reservation.pdf,7,charaideo_reservation.pdf,https://sec.assam.gov.in/pdf/panchayat-election/reservation/charaideo-reservation.pdf,
Assam,2025,Charaideo,Sonari,Rajapukhuri,Rajapukhuri,,,gp_head,Gaon Panchayat President,Woman,NONE,1,Reserved for Women,all_seats,latin,0,0,5,data/assam/2025_reservation/charaideo_reservation.pdf,7,charaideo_reservation.pdf,https://sec.assam.gov.in/pdf/panchayat-election/reservation/charaideo-reservation.pdf,
Assam,2025,Charaideo,Sonari,Towkak,Towkak,,,gp_head,Gaon Panchayat President,Woman,NONE,1,Reserved for Women,all_seats,latin,0,0,5,data/assam/2025_reservation/charaideo_reservation.pdf,7,charaideo_reservation.pdf,https://sec.assam.gov.in/pdf/panchayat-election/reservation/charaideo-reservation.pdf,
Assam,2025,Charaideo,Sonari,Bengenabari,Bengenabari,,,gp_head,Gaon Panchayat President,Other than Woman,NONE,0,,all_seats,latin,0,1,5,data/assam/2025_reservation/charaideo_reservation.pdf,7,charaideo_reservation.pdf,https://sec.assam.gov.in/pdf/panchayat-election/reservation/charaideo-reservation.pdf,
Assam,2025,Charaideo,Sonari,Haridev,Haridev,,,gp_head,Gaon Panchayat President,Woman,NONE,1,Reserved for Women,all_seats,latin,0,0,5,data/assam/2025_reservation/charaideo_reservation.pdf,7,charaideo_reservation.pdf,https://sec.assam.gov.in/pdf/panchayat-election/reservation/charaideo-reservation.pdf,
Assam,2025,Charaideo,Sonari,Longpotia,Longpotia,,,gp_head,Gaon Panchayat President,Other than Woman,NONE,0,,all_seats,latin,0,1,5,data/assam/2025_reservation/charaideo_reservation.pdf,7,charaideo_reservation.pdf,https://sec.assam.gov.in/pdf/panchayat-election/reservation/charaideo-reservation.pdf,
Assam,2025,Charaideo,Sonari,Sarupather,Sarupather,,,gp_head,Gaon Panchayat President,Other than Woman,NONE,0,,all_seats,latin,0,1,5,data/assam/2025_reservation/charaideo_reservation.pdf,7,charaideo_reservation.pdf,https://sec.assam.gov.in/pdf/panchayat-election/reservation/charaideo-reservation.pdf,
Assam,2025,Charaideo,Lakwa,Charaideo,Charaideo,,,gp_head,Gaon Panchayat President,Other than Woman,NONE,0,,all_seats,latin,0,0,5,data/assam/2025_reservation/charaideo_reservation.pdf,7,charaideo_reservation.pdf,https://sec.assam.gov.in/pdf/panchayat-election/reservation/charaideo-reservation.pdf,
Assam,2025,Charaideo,Lakwa,Hollowphukan,Hollowphukan,,,gp_head,Gaon Panchayat President,Woman,NONE,1,Reserved for Women,all_seats,latin,0,0,5,data/assam/2025_reservation/charaideo_reservation.pdf,7,charaideo_reservation.pdf,https://sec.assam.gov.in/pdf/panchayat-election/reservation/charaideo-reservation.pdf,
Assam,2025,Charaideo,Lakwa,Nimonagarh,Nimonagarh,,,gp_head,Gaon Panchayat President,Other than Woman,NONE,0,,all_seats,latin,0,0,5,data/assam/2025_reservation/charaideo_reservation.pdf,7,charaideo_reservation.pdf,https://sec.assam.gov.in/pdf/panchayat-election/reservation/charaideo-reservation.pdf,
Assam,2025,Charaideo,Lakwa,Abhoipur,Abhoipur,,,gp_head,Gaon Panchayat President,Other than Woman,NONE,0,,all_seats,latin,0,0,5,data/assam/2025_reservation/charaideo_reservation.pdf,7,charaideo_reservation.pdf,https://sec.assam.gov.in/pdf/panchayat-election/reservation/charaideo-reservation.pdf,
Assam,2025,Charaideo,Lakwa,Chalapathar,Chalapathar,,,gp_head,Gaon Panchayat President,Woman,NONE,1,Reserved for Women,all_seats,latin,0,0,5,data/assam/2025_reservation/charaideo_reservation.pdf,7,charaideo_reservation.pdf,https://sec.assam.gov.in/pdf/panchayat-election/reservation/charaideo-reservation.pdf,
Assam,2025,Charaideo,Lakwa,Suffry,Suffry,,,gp_head,Gaon Panchayat President,SC Woman,SC,1,Reserved for SC Women,all_seats,latin,2,0,5,data/assam/2025_reservation/charaideo_reservation.pdf,7,charaideo_reservation.pdf,https://sec.assam.gov.in/pdf/panchayat-election/reservation/charaideo-reservation.pdf,
Assam,2025,Charaideo,Mahmora,Bordoba,Bordoba,,,gp_head,Gaon Panchayat President,Other than Woman,NONE,0,,all_seats,latin,0,0,5,data/assam/2025_reservation/charaideo_reservation.pdf,7,charaideo_reservation.pdf,https://sec.assam.gov.in/pdf/panchayat-election/reservation/charaideo-reservation.pdf,
Assam,2025,Charaideo,Mahmora,Desangpani,Desangpani,,,gp_head,Gaon Panchayat President,Woman,NONE,1,Reserved for Women,all_seats,latin,0,0,5,data/assam/2025_reservation/charaideo_reservation.pdf,7,charaideo_reservation.pdf,https://sec.assam.gov.in/pdf/panchayat-election/reservation/charaideo-reservation.pdf,
Assam,2025,Charaideo,Mahmora,Doba,Doba,,,gp_head,Gaon Panchayat President,Other than Woman,NONE,0,,all_seats,latin,0,0,5,data/assam/2025_reservation/charaideo_reservation.pdf,7,charaideo_reservation.pdf,https://sec.assam.gov.in/pdf/panchayat-election/reservation/charaideo-reservation.pdf,
Assam,2025,Charaideo,Mahmora,Nizkhaloighugura,Nizkhaloighugura,,,gp_head,Gaon Panchayat President,Woman,NONE,1,Reserved for Women,all_seats,latin,0,0,5,data/assam/2025_reservation/charaideo_reservation.pdf,7,charaideo_reservation.pdf,https://sec.assam.gov.in/pdf/panchayat-election/reservation/charaideo-reservation.pdf,
Assam,2025,Charaideo,Mahmora,Milon,Milon,,,gp_head,Gaon Panchayat President,Woman,NONE,1,Reserved for Women,all_seats,latin,0,1,5,data/assam/2025_reservation/charaideo_reservation.pdf,7,charaideo_reservation.pdf,https://sec.assam.gov.in/pdf/panchayat-election/reservation/charaideo-reservation.pdf,
Assam,2025,Charaideo,Mahmora,Sepon,Sepon,,,gp_head,Gaon Panchayat President,Woman,NONE,1,Reserved for Women,all_seats,latin,0,0,5,data/assam/2025_reservation/charaideo_reservation.pdf,7,charaideo_reservation.pdf,https://sec.assam.gov.in/pdf/panchayat-election/reservation/charaideo-reservation.pdf,
Assam,2025,Charaideo,Mahmora,Bhoralipukhuri,Bhoralipukhuri,,,gp_head,Gaon Panchayat President,Other than Woman,NONE,0,,all_seats,latin,0,0,5,data/assam/2025_reservation/charaideo_reservation.pdf,7,charaideo_reservation.pdf,https://sec.assam.gov.in/pdf/panchayat-election/reservation/charaideo-reservation.pdf,
Assam,2025,Charaideo,Mahmora,Kakotibari,Kakotibari,,,gp_head,Gaon Panchayat President,Other than Woman,NONE,0,,all_seats,latin,0,0,5,data/assam/2025_reservation/charaideo_reservation.pdf,7,charaideo_reservation.pdf,https://sec.assam.gov.in/pdf/panchayat-election/reservation/charaideo-reservation.pdf,
Assam,2025,Charaideo,Mahmora,Khumtai,Khumtai,,,gp_head,Gaon Panchayat President,Woman,NONE,1,Reserved for Women,all_seats,latin,0,0,5,data/assam/2025_reservation/charaideo_reservation.pdf,7,charaideo_reservation.pdf,https://sec.assam.gov.in/pdf/panchayat-election/reservation/charaideo-reservation.pdf,
Assam,2025,Charaideo,Mahmora,Sarbudoi,Sarbudoi,,,gp_head,Gaon Panchayat President,Other than Woman,NONE,0,,all_seats,latin,0,0,5,data/assam/2025_reservation/charaideo_reservation.pdf,7,charaideo_reservation.pdf,https://sec.assam.gov.in/pdf/panchayat-election/reservation/charaideo-reservation.pdf,
Assam,2025,Charaideo,Mahmora,Udoipur,Udoipur,,,gp_head,Gaon Panchayat President,ST Woman,ST,1,Reserved for ST Women,all_seats,latin,0,2,5,data/assam/2025_reservation/charaideo_reservation.pdf,7,charaideo_reservation.pdf,https://sec.assam.gov.in/pdf/panchayat-election/reservation/charaideo-reservation.pdf,
Assam,2025,Kamrup Metropolitan,Ramcharani,Majirgaon,Majirgaon,,,gp_head,Gaon Panchayat President,Other than Woman,NONE,0,Unreserved,all_seats,latin,,,,data/assam/2025_reservation/reservation_kamrup_m.pdf,2,reservation_kamrup_m.pdf,https://sec.assam.gov.in/pdf/panchayat-election/reservation/reservation-kamrup-m.pdf,
Assam,2025,Kamrup Metropolitan,Ramcharani,Garal,Garal,,,gp_head,Gaon Panchayat President,Woman,NONE,1,Women,all_seats,latin,,,,data/assam/2025_reservation/reservation_kamrup_m.pdf,2,reservation_kamrup_m.pdf,https://sec.assam.gov.in/pdf/panchayat-election/reservation/reservation-kamrup-m.pdf,
Assam,2025,Kamrup Metropolitan,Ramcharani,Kahikuchi,Kahikuchi,,,gp_head,Gaon Panchayat President,Woman,NONE,1,Women,all_seats,latin,,,,data/assam/2025_reservation/reservation_kamrup_m.pdf,2,reservation_kamrup_m.pdf,https://sec.assam.gov.in/pdf/panchayat-election/reservation/reservation-kamrup-m.pdf,
Assam,2025,Kamrup Metropolitan,Ramcharani,Dharapur,Dharapur,,,gp_head,Gaon Panchayat President,Woman,NONE,1,Women,all_seats,latin,,,,data/assam/2025_reservation/reservation_kamrup_m.pdf,2,reservation_kamrup_m.pdf,https://sec.assam.gov.in/pdf/panchayat-election/reservation/reservation-kamrup-m.pdf,
Assam,2025,Kamrup Metropolitan,Ramcharani,Azara,Azara,,,gp_head,Gaon Panchayat President,Other than Woman,NONE,0,Unreserved,all_seats,latin,,,,data/assam/2025_reservation/reservation_kamrup_m.pdf,2,reservation_kamrup_m.pdf,https://sec.assam.gov.in/pdf/panchayat-election/reservation/reservation-kamrup-m.pdf,
Assam,2025,Kamrup Metropolitan,Chandrapur,Panikhaiti,Panikhaiti,,,gp_head,Gaon Panchayat President,Other than Woman,NONE,0,Unreserved,all_seats,latin,,,,data/assam/2025_reservation/reservation_kamrup_m.pdf,2,reservation_kamrup_m.pdf,https://sec.assam.gov.in/pdf/panchayat-election/reservation/reservation-kamrup-m.pdf,
Assam,2025,Kamrup Metropolitan,Chandrapur,Amsing,Amsing,,,gp_head,Gaon Panchayat President,Woman,NONE,1,Women,all_seats,latin,,,,data/assam/2025_reservation/reservation_kamrup_m.pdf,2,reservation_kamrup_m.pdf,https://sec.assam.gov.in/pdf/panchayat-election/reservation/reservation-kamrup-m.pdf,
