state,year,district,block,zilla_parishad_constituency,gram_panchayat,serial,ward_count,sc_reserved_ward_count,st_reserved_ward_count,women_reserved_ward_count,women_reserved_wards,sc_women_wards,st_women_wards,sc_open_wards,st_open_wards,count_basis,script,source_path,source_page,source_pdf,source_url,source_capture
Assam,2025,Hailakandi,Katlicherra,,Harishnagar,23,,2,0,5,"1,3,4,5,9",1,,2,,derived_from_printed_reserved_rows_only,latin,data/assam/2025_reservation/notification_reservation_hailakandi.pdf,12,notification_reservation_hailakandi.pdf,https://sec.assam.gov.in/pdf/panchayat-election/reservation/Notification reservation hailakandi.pdf,
Assam,2025,Hailakandi,South Hailakandi,,Niskar,24,,3,0,5,"3,4,5,8,9","3,9",,10,,derived_from_printed_reserved_rows_only,latin,data/assam/2025_reservation/notification_reservation_hailakandi.pdf,12,notification_reservation_hailakandi.pdf,https://sec.assam.gov.in/pdf/panchayat-election/reservation/Notification reservation hailakandi.pdf,
Assam,2025,Hailakandi,South Hailakandi,,Monipur,25,,1,0,5,"1,6,7,8,10",7,,,,derived_from_printed_reserved_rows_only,latin,data/assam/2025_reservation/notification_reservation_hailakandi.pdf,12,notification_reservation_hailakandi.pdf,https://sec.assam.gov.in/pdf/panchayat-election/reservation/Notification reservation hailakandi.pdf,
Assam,2025,Hailakandi,South Hailakandi,,Dholai Bagan,26,,1,0,5,"5,6,7,9,10",10,,,,derived_from_printed_reserved_rows_only,latin,data/assam/2025_reservation/notification_reservation_hailakandi.pdf,13,notification_reservation_hailakandi.pdf,https://sec.assam.gov.in/pdf/panchayat-election/reservation/Notification reservation hailakandi.pdf,
Assam,2025,Hailakandi,South Hailakandi,,Baruncherra Kukicherra,27,,2,0,5,"1,3,4,5,10",3,,9,,derived_from_printed_reserved_rows_only,latin,data/assam/2025_reservation/notification_reservation_hailakandi.pdf,13,notification_reservation_hailakandi.pdf,https://sec.assam.gov.in/pdf/panchayat-election/reservation/Notification reservation hailakandi.pdf,
Assam,2025,Hailakandi,South Hailakandi,,Madhabpur Rampur,28,,0,0,5,"2,3,5,6,9",,,,,derived_from_printed_reserved_rows_only,latin,data/assam/2025_reservation/notification_reservation_hailakandi.pdf,12,notification_reservation_hailakandi.pdf,https://sec.assam.gov.in/pdf/panchayat-election/reservation/Notification reservation hailakandi.pdf,
Assam,2025,Hailakandi,South Hailakandi,,Gharmura Ramnathpur,29,,5,0,5,"1,3,5,6,7","1,5,6,7",,8,,derived_from_printed_reserved_rows_only,latin,data/assam/2025_reservation/notification_reservation_hailakandi.pdf,12,notification_reservation_hailakandi.pdf,https://sec.assam.gov.in/pdf/panchayat-election/reservation/Notification reservation hailakandi.pdf,
Assam,2025,Hailakandi,South Hailakandi,,Duttapur Bagcherra,30,,1,0,5,"2,4,5,7,9",,,1,,derived_from_printed_reserved_rows_only,latin,data/assam/2025_reservation/notification_reservation_hailakandi.pdf,13,notification_reservation_hailakandi.pdf,https://sec.assam.gov.in/pdf/panchayat-election/reservation/Notification reservation hailakandi.pdf,
Assam,2025,Hailakandi,Algapur,,Narayanpur Bakrihawar,31,,2,0,5,"1,4,5,7,8",7,,2,,derived_from_printed_reserved_rows_only,latin,data/assam/2025_reservation/notification_reservation_hailakandi.pdf,4,notification_reservation_hailakandi.pdf,https://sec.assam.gov.in/pdf/panchayat-election/reservation/Notification reservation hailakandi.pdf,
Assam,2025,Hailakandi,Algapur,,Chiporsangan,32,,0,0,5,"1,2,6,9,10",,,,,derived_from_printed_reserved_rows_only,latin,data/assam/2025_reservation/notification_reservation_hailakandi.pdf,5,notification_reservation_hailakandi.pdf,https://sec.assam.gov.in/pdf/panchayat-election/reservation/Notification reservation hailakandi.pdf,
Assam,2025,Hailakandi,Algapur,,Chandipur,33,,1,0,5,"1,3,6,7,10",,,8,,derived_from_printed_reserved_rows_only,latin,data/assam/2025_reservation/notification_reservation_hailakandi.pdf,5,notification_reservation_hailakandi.pdf,https://sec.assam.gov.in/pdf/panchayat-election/reservation/Notification reservation hailakandi.pdf,
Assam,2025,Hailakandi,Algapur,,Algapur Mohanpur,34,,0,0,5,"5,6,7,8,10",,,,,derived_from_printed_reserved_rows_only,latin,data/assam/2025_reservation/notification_reservation_hailakandi.pdf,6,notification_reservation_hailakandi.pdf,https://sec.assam.gov.in/pdf/panchayat-election/reservation/Notification reservation hailakandi.pdf,
Assam,2025,Hailakandi,Algapur,,Bashbari,35,,0,0,5,"1,3,4,5,6",,,,,derived_from_printed_reserved_rows_only,latin,data/assam/2025_reservation/notification_reservation_hailakandi.pdf,5,notification_reservation_hailakandi.pdf,https://sec.assam.gov.in/pdf/panchayat-election/reservation/Notification reservation hailakandi.pdf,
Assam,2025,Hailakandi,Algapur,,Sayedbond,36,,0,0,5,"3,4,7,9,10",,,,,derived_from_printed_reserved_rows_only,latin,data/assam/2025_reservation/notification_reservation_hailakandi.pdf,5,notification_reservation_hailakandi.pdf,https://sec.assam.gov.in/pdf/panchayat-election/reservation/Notification reservation hailakandi.pdf,
Assam,2025,Hailakandi,Algapur,,Bhatirkupa,37,,0,0,5,"2,3,6,8,10",,,,,derived_from_printed_reserved_rows_only,latin,data/assam/2025_reservation/notification_reservation_hailakandi.pdf,5,notification_reservation_hailakandi.pdf,https://sec.assam.gov.in/pdf/panchayat-election/reservation/Notification reservation hailakandi.pdf,
Assam,2025,Hailakandi,Algapur,,Chandpur Boalipar,38,,0,0,5,"1,2,5,6,10",,,,,derived_from_printed_reserved_rows_only,latin,data/assam/2025_reservation/notification_reservation_hailakandi.pdf,5,notification_reservation_hailakandi.pdf,https://sec.assam.gov.in/pdf/panchayat-election/reservation/Notification reservation hailakandi.pdf,
Assam,2025,Hailakandi,Algapur,,Seriespore,39,,1,0,5,"1,2,4,5,9",1,,,,derived_from_printed_reserved_rows_only,latin,data/assam/2025_reservation/notification_reservation_hailakandi.pdf,5,notification_reservation_hailakandi.pdf,https://sec.assam.gov.in/pdf/panchayat-election/reservation/Notification reservation hailakandi.pdf,
Assam,2025,Hailakandi,Algapur,,Narayanpur,40,,0,0,5,"4,6,7,9,10",,,,,derived_from_printed_reserved_rows_only,latin,data/assam/2025_reservation/notification_reservation_hailakandi.pdf,5,notification_reservation_hailakandi.pdf,https://sec.assam.gov.in/pdf/panchayat-election/reservation/Notification reservation hailakandi.pdf,
Assam,2025,Hailakandi,Algapur,,Nitainagar,41,,0,0,5,"2,3,4,5,9",,,,,derived_from_printed_reserved_rows_only,latin,data/assam/2025_reservation/notification_reservation_hailakandi.pdf,6,notification_reservation_hailakandi.pdf,https://sec.assam.gov.in/pdf/panchayat-election/reservation/Notification reservation hailakandi.pdf,
Assam,2025,Hailakandi,Algapur,,Rangauti,42,,0,0,5,"1,2,6,9,10",,,,,derived_from_printed_reserved_rows_only,latin,data/assam/2025_reservation/notification_reservation_hailakandi.pdf,6,notification_reservation_hailakandi.pdf,https://sec.assam.gov.in/pdf/panchayat-election/reservation/Notification reservation hailakandi.pdf,
Assam,2025,Hailakandi,Algapur,,Bahadurpur,43,,1,0,5,"1,3,6,9,10",,,5,,derived_from_printed_reserved_rows_only,latin,data/assam/2025_reservation/notification_reservation_hailakandi.pdf,6,notification_reservation_hailakandi.pdf,https://sec.assam.gov.in/pdf/panchayat-election/reservation/Notification reservation hailakandi.pdf,
Assam,2025,Hailakandi,Algapur,,Ratanpur,44,,0,0,5,"2,3,5,6,8",,,,,derived_from_printed_reserved_rows_only,latin,data/assam/2025_reservation/notification_reservation_hailakandi.pdf,7,notification_reservation_hailakandi.pdf,https://sec.assam.gov.in/pdf/panchayat-election/reservation/Notification reservation hailakandi.pdf,
Assam,2025,Hailakandi,Algapur,,Bondukmara Bar Hailakandi,45,,0,0,5,"1,2,5,7,9",,,,,derived_from_printed_reserved_rows_only,latin,data/assam/2025_reservation/notification_reservation_hailakandi.pdf,6,notification_reservation_hailakandi.pdf,https://sec.assam.gov.in/pdf/panchayat-election/reservation/Notification reservation hailakandi.pdf,
Assam,2025,Hailakandi,Algapur,,Bowerghat,46,,1,0,5,"1,2,6,7,8",6,,,,derived_from_printed_reserved_rows_only,latin,data/assam/2025_reservation/notification_reservation_hailakandi.pdf,6,notification_reservation_hailakandi.pdf,https://sec.assam.gov.in/pdf/panchayat-election/reservation/Notification reservation hailakandi.pdf,
Assam,2025,Hailakandi,Algapur,,Nimaichandpur,47,,1,0,5,"4,6,8,9,10",4,,,,derived_from_printed_reserved_rows_only,latin,data/assam/2025_reservation/notification_reservation_hailakandi.pdf,6,notification_reservation_hailakandi.pdf,https://sec.assam.gov.in/pdf/panchayat-election/reservation/Notification reservation hailakandi.pdf,
Assam,2025,Hailakandi,Lala,,Kanchanpur,48,,0,0,5,"3,5,6,8,9",,,,,derived_from_printed_reserved_rows_only,latin,data/assam/2025_reservation/notification_reservation_hailakandi.pdf,9,notification_reservation_hailakandi.pdf,https://sec.assam.gov.in/pdf/panchayat-election/reservation/Notification reservation hailakandi.pdf,
Assam,2025,Hailakandi,Lala,,Pachim Kitterbond,49,,0,0,5,"3,4,6,7,10",,,,,derived_from_printed_reserved_rows_only,latin,data/assam/2025_reservation/notification_reservation_hailakandi.pdf,10,notification_reservation_hailakandi.pdf,https://sec.assam.gov.in/pdf/panchayat-election/reservation/Notification reservation hailakandi.pdf,
Assam,2025,Hailakandi,Lala,,Tantoo,50,,0,0,5,"3,5,6,9,10",,,,,derived_from_printed_reserved_rows_only,latin,data/assam/2025_reservation/notification_reservation_hailakandi.pdf,9,notification_reservation_hailakandi.pdf,https://sec.assam.gov.in/pdf/panchayat-election/reservation/Notification reservation hailakandi.pdf,
Assam,2025,Hailakandi,Lala,,Dhanipur Bhabanipur,51,,1,0,5,"1,2,3,6,8",2,,,,derived_from_printed_reserved_rows_only,latin,data/assam/2025_reservation/notification_reservation_hailakandi.pdf,9,notification_reservation_hailakandi.pdf,https://sec.assam.gov.in/pdf/panchayat-election/reservation/Notification reservation hailakandi.pdf,
Assam,2025,Hailakandi,Lala,,Rongpur Ramchandi,52,,0,0,5,"3,4,7,9,10",,,,,derived_from_printed_reserved_rows_only,latin,data/assam/2025_reservation/notification_reservation_hailakandi.pdf,10,notification_reservation_hailakandi.pdf,https://sec.assam.gov.in/pdf/panchayat-election/reservation/Notification reservation hailakandi.pdf,
Assam,2025,Hailakandi,Lala,,Nizvernerpur Sarbanandapur,53,,1,0,5,"2,3,6,8,9",3,,,,derived_from_printed_reserved_rows_only,latin,data/assam/2025_reservation/notification_reservation_hailakandi.pdf,10,notification_reservation_hailakandi.pdf,https://sec.assam.gov.in/pdf/panchayat-election/reservation/Notification reservation hailakandi.pdf,
