state,year,district,block,zilla_parishad_constituency,gram_panchayat,serial,ward_count,sc_reserved_ward_count,st_reserved_ward_count,women_reserved_ward_count,women_reserved_wards,sc_women_wards,st_women_wards,sc_open_wards,st_open_wards,count_basis,script,source_path,source_page,source_pdf,source_url,source_capture
Assam,2025,Kamrup Metropolitan,Chandrapur,,Chandrapur,8,10,0,0,5,"1,3,5,8,9",,,,,derived_from_complete_printed_ward_table,latin,data/assam/2025_reservation/reservation_kamrup_m.pdf,1,reservation_kamrup_m.pdf,https://sec.assam.gov.in/pdf/panchayat-election/reservation/reservation-kamrup-m.pdf,
Assam,2025,Kamrup Metropolitan,Dimoria,,Kamarkuchi,9,10,0,1,5,"1,2,5,7,8",,8,,,derived_from_complete_printed_ward_table,latin,data/assam/2025_reservation/reservation_kamrup_m.pdf,1,reservation_kamrup_m.pdf,https://sec.assam.gov.in/pdf/panchayat-election/reservation/reservation-kamrup-m.pdf,
Assam,2025,Kamrup Metropolitan,Dimoria,,Digaru,10,10,1,3,5,"1,2,4,5,9",,"1,4",8,7,derived_from_complete_printed_ward_table,latin,data/assam/2025_reservation/reservation_kamrup_m.pdf,1,reservation_kamrup_m.pdf,https://sec.assam.gov.in/pdf/panchayat-election/reservation/reservation-kamrup-m.pdf,
Assam,2025,Kamrup Metropolitan,Dimoria,,Barkhat,11,10,0,2,5,"1,2,3,6,9",,1,,5,derived_from_complete_printed_ward_table,latin,data/assam/2025_reservation/reservation_kamrup_m.pdf,1,reservation_kamrup_m.pdf,https://sec.assam.gov.in/pdf/panchayat-election/reservation/reservation-kamrup-m.pdf,
Assam,2025,Kamrup Metropolitan,Dimoria,,Baruabari,12,10,2,0,5,"2,5,7,8,10",7,,3,,derived_from_complete_printed_ward_table,latin,data/assam/2025_reservation/reservation_kamrup_m.pdf,1,reservation_kamrup_m.pdf,https://sec.assam.gov.in/pdf/panchayat-election/reservation/reservation-kamrup-m.pdf,
Assam,2025,Kamrup Metropolitan,Dimoria,,Hahara,13,10,2,1,5,"6,7,8,9,10",9,,3,2,derived_from_complete_printed_ward_table,latin,data/assam/2025_reservation/reservation_kamrup_m.pdf,2,reservation_kamrup_m.pdf,https://sec.assam.gov.in/pdf/panchayat-election/reservation/reservation-kamrup-m.pdf,
Assam,2025,Kamrup Metropolitan,Dimoria,,Sonapur,14,10,0,0,5,"1,3,6,7,10",,,,,derived_from_complete_printed_ward_table,latin,data/assam/2025_reservation/reservation_kamrup_m.pdf,2,reservation_kamrup_m.pdf,https://sec.assam.gov.in/pdf/panchayat-election/reservation/reservation-kamrup-m.pdf,
Assam,2025,Kamrup Metropolitan,Dimoria,,Tetelia,15,10,0,1,5,"4,5,8,9,10",,,,3,derived_from_complete_printed_ward_table,latin,data/assam/2025_reservation/reservation_kamrup_m.pdf,2,reservation_kamrup_m.pdf,https://sec.assam.gov.in/pdf/panchayat-election/reservation/reservation-kamrup-m.pdf,
Assam,2025,Kamrup Metropolitan,Dimoria,,Nartap,16,10,0,1,5,"2,3,5,6,10",,5,,,derived_from_complete_printed_ward_table,latin,data/assam/2025_reservation/reservation_kamrup_m.pdf,2,reservation_kamrup_m.pdf,https://sec.assam.gov.in/pdf/panchayat-election/reservation/reservation-kamrup-m.pdf,
Assam,2025,Kamrup Metropolitan,Dimoria,,Khetri,17,10,1,1,5,"3,4,6,7,10",7,6,,,derived_from_complete_printed_ward_table,latin,data/assam/2025_reservation/reservation_kamrup_m.pdf,2,reservation_kamrup_m.pdf,https://sec.assam.gov.in/pdf/panchayat-election/reservation/reservation-kamrup-m.pdf,
Assam,2025,Kamrup Metropolitan,Dimoria,,Maloibari,18,10,5,0,5,"1,3,7,9,10","1,3,10",,"2,4",,derived_from_complete_printed_ward_table,latin,data/assam/2025_reservation/reservation_kamrup_m.pdf,2,reservation_kamrup_m.pdf,https://sec.assam.gov.in/pdf/panchayat-election/reservation/reservation-kamrup-m.pdf,
Assam,2025,Kamrup Metropolitan,Dimoria,,Dhupguri,19,10,1,2,5,"2,3,6,8,10",,8,5,4,derived_from_complete_printed_ward_table,latin,data/assam/2025_reservation/reservation_kamrup_m.pdf,2,reservation_kamrup_m.pdf,https://sec.assam.gov.in/pdf/panchayat-election/reservation/reservation-kamrup-m.pdf,
Assam,2025,Kamrup Metropolitan,Dimoria,,Topatoli,20,10,4,2,5,"1,2,5,6,7","1,2",5,"3,4",10,derived_from_complete_printed_ward_table,latin,data/assam/2025_reservation/reservation_kamrup_m.pdf,2,reservation_kamrup_m.pdf,https://sec.assam.gov.in/pdf/panchayat-election/reservation/reservation-kamrup-m.pdf,
Assam,2025,Hailakandi,Hailakandi,,Mahadebpur,1,,1,0,5,"2,3,6,7,9",,,5,,derived_from_printed_reserved_rows_only,latin,data/assam/2025_reservation/notification_reservation_hailakandi.pdf,7,notification_reservation_hailakandi.pdf,https://sec.assam.gov.in/pdf/panchayat-election/reservation/Notification reservation hailakandi.pdf,
Assam,2025,Hailakandi,Hailakandi,,Kalinagar,2,,3,0,5,"1,2,7,9,10","1,2",,3,,derived_from_printed_reserved_rows_only,latin,data/assam/2025_reservation/notification_reservation_hailakandi.pdf,7,notification_reservation_hailakandi.pdf,https://sec.assam.gov.in/pdf/panchayat-election/reservation/Notification reservation hailakandi.pdf,
Assam,2025,Hailakandi,Hailakandi,,Uttar Kanchanpur,3,,2,0,7,"2,4,5,7,8,9,10","7,8",,,,derived_from_printed_reserved_rows_only,latin,data/assam/2025_reservation/notification_reservation_hailakandi.pdf,7,notification_reservation_hailakandi.pdf,https://sec.assam.gov.in/pdf/panchayat-election/reservation/Notification reservation hailakandi.pdf,
Assam,2025,Hailakandi,Hailakandi,,Burnie Brease,4,,3,0,5,"1,2,6,8,10","1,8",,4,,derived_from_printed_reserved_rows_only,latin,data/assam/2025_reservation/notification_reservation_hailakandi.pdf,7,notification_reservation_hailakandi.pdf,https://sec.assam.gov.in/pdf/panchayat-election/reservation/Notification reservation hailakandi.pdf,
Assam,2025,Hailakandi,Hailakandi,,Mohanpur,5,,5,0,5,"3,5,7,8,9","7,8,9",,"1,6",,derived_from_printed_reserved_rows_only,latin,data/assam/2025_reservation/notification_reservation_hailakandi.pdf,7,notification_reservation_hailakandi.pdf,https://sec.assam.gov.in/pdf/panchayat-election/reservation/Notification reservation hailakandi.pdf,
Assam,2025,Hailakandi,Hailakandi,,Paikan Tupkhana,6,,3,0,5,"2,3,4,8,10","4,10",,9,,derived_from_printed_reserved_rows_only,latin,data/assam/2025_reservation/notification_reservation_hailakandi.pdf,7,notification_reservation_hailakandi.pdf,https://sec.assam.gov.in/pdf/panchayat-election/reservation/Notification reservation hailakandi.pdf,
Assam,2025,Hailakandi,Hailakandi,,Bashdahar Somarikuna,7,,1,0,5,"2,5,6,9,10",,,8,,derived_from_printed_reserved_rows_only,latin,data/assam/2025_reservation/notification_reservation_hailakandi.pdf,8,notification_reservation_hailakandi.pdf,https://sec.assam.gov.in/pdf/panchayat-election/reservation/Notification reservation hailakandi.pdf,
Assam,2025,Hailakandi,Hailakandi,,Sudarshanpur,8,,1,0,5,"1,2,6,8,9",,,5,,derived_from_printed_reserved_rows_only,latin,data/assam/2025_reservation/notification_reservation_hailakandi.pdf,8,notification_reservation_hailakandi.pdf,https://sec.assam.gov.in/pdf/panchayat-election/reservation/Notification reservation hailakandi.pdf,
Assam,2025,Hailakandi,Hailakandi,,Katagao Nityanandapur,9,,0,0,5,"1,5,7,8,9",,,,,derived_from_printed_reserved_rows_only,latin,data/assam/2025_reservation/notification_reservation_hailakandi.pdf,8,notification_reservation_hailakandi.pdf,https://sec.assam.gov.in/pdf/panchayat-election/reservation/Notification reservation hailakandi.pdf,
Assam,2025,Hailakandi,Hailakandi,,Gaglacherra Joshnabad,10,,2,0,5,"1,4,7,8,10",7,,2,,derived_from_printed_reserved_rows_only,latin,data/assam/2025_reservation/notification_reservation_hailakandi.pdf,8,notification_reservation_hailakandi.pdf,https://sec.assam.gov.in/pdf/panchayat-election/reservation/Notification reservation hailakandi.pdf,
Assam,2025,Hailakandi,Hailakandi,,Lalamukh,11,,1,0,5,"1,3,4,5,8",,,7,,derived_from_printed_reserved_rows_only,latin,data/assam/2025_reservation/notification_reservation_hailakandi.pdf,8,notification_reservation_hailakandi.pdf,https://sec.assam.gov.in/pdf/panchayat-election/reservation/Notification reservation hailakandi.pdf,
Assam,2025,Hailakandi,Hailakandi,,Umednagar Chandrapur,12,,2,0,5,"4,5,6,9,10",9,,8,,derived_from_printed_reserved_rows_only,latin,data/assam/2025_reservation/notification_reservation_hailakandi.pdf,8,notification_reservation_hailakandi.pdf,https://sec.assam.gov.in/pdf/panchayat-election/reservation/Notification reservation hailakandi.pdf,
Assam,2025,Hailakandi,Hailakandi,,Monacherra,13,,2,0,5,"1,3,4,5,10",5,,6,,derived_from_printed_reserved_rows_only,latin,data/assam/2025_reservation/notification_reservation_hailakandi.pdf,8,notification_reservation_hailakandi.pdf,https://sec.assam.gov.in/pdf/panchayat-election/reservation/Notification reservation hailakandi.pdf,
Assam,2025,Hailakandi,Hailakandi,,Rajyeswarpur,14,,2,0,5,"1,5,6,8,10",6,,9,,derived_from_printed_reserved_rows_only,latin,data/assam/2025_reservation/notification_reservation_hailakandi.pdf,9,notification_reservation_hailakandi.pdf,https://sec.assam.gov.in/pdf/panchayat-election/reservation/Notification reservation hailakandi.pdf,
Assam,2025,Hailakandi,Katlicherra,,Ayenakhal,15,,1,0,5,"2,5,7,9,10",7,,,,derived_from_printed_reserved_rows_only,latin,data/assam/2025_reservation/notification_reservation_hailakandi.pdf,11,notification_reservation_hailakandi.pdf,https://sec.assam.gov.in/pdf/panchayat-election/reservation/Notification reservation hailakandi.pdf,
Assam,2025,Hailakandi,Katlicherra,,Koiya,16,,2,0,5,"1,3,8,9,10",8,,4,,derived_from_printed_reserved_rows_only,latin,data/assam/2025_reservation/notification_reservation_hailakandi.pdf,11,notification_reservation_hailakandi.pdf,https://sec.assam.gov.in/pdf/panchayat-election/reservation/Notification reservation hailakandi.pdf,
Assam,2025,Hailakandi,Katlicherra,,Dholcherra,17,,1,0,5,"2,3,6,7,9",3,,,,derived_from_printed_reserved_rows_only,latin,data/assam/2025_reservation/notification_reservation_hailakandi.pdf,11,notification_reservation_hailakandi.pdf,https://sec.assam.gov.in/pdf/panchayat-election/reservation/Notification reservation hailakandi.pdf,
Assam,2025,Hailakandi,Katlicherra,,Lalacherra Vernerpur,18,,2,0,5,"1,3,4,5,8",1,,2,,derived_from_printed_reserved_rows_only,latin,data/assam/2025_reservation/notification_reservation_hailakandi.pdf,11,notification_reservation_hailakandi.pdf,https://sec.assam.gov.in/pdf/panchayat-election/reservation/Notification reservation hailakandi.pdf,
Assam,2025,Hailakandi,Katlicherra,,Lalchorra,19,,2,0,5,"2,4,5,7,10",4,,8,,derived_from_printed_reserved_rows_only,latin,data/assam/2025_reservation/notification_reservation_hailakandi.pdf,11,notification_reservation_hailakandi.pdf,https://sec.assam.gov.in/pdf/panchayat-election/reservation/Notification reservation hailakandi.pdf,
Assam,2025,Hailakandi,Katlicherra,,Sonacherra Ropacherra,20,,4,0,5,"1,3,6,8,10","1,6",,"2,7",,derived_from_printed_reserved_rows_only,latin,data/assam/2025_reservation/notification_reservation_hailakandi.pdf,12,notification_reservation_hailakandi.pdf,https://sec.assam.gov.in/pdf/panchayat-election/reservation/Notification reservation hailakandi.pdf,
Assam,2025,Hailakandi,Katlicherra,,Rangabak,21,,2,0,5,"1,3,5,6,10",3,,7,,derived_from_printed_reserved_rows_only,latin,data/assam/2025_reservation/notification_reservation_hailakandi.pdf,12,notification_reservation_hailakandi.pdf,https://sec.assam.gov.in/pdf/panchayat-election/reservation/Notification reservation hailakandi.pdf,
Assam,2025,Hailakandi,Katlicherra,,Katlicherra,22,,2,0,5,"2,3,6,7,9",7,,8,,derived_from_printed_reserved_rows_only,latin,data/assam/2025_reservation/notification_reservation_hailakandi.pdf,11,notification_reservation_hailakandi.pdf,https://sec.assam.gov.in/pdf/panchayat-election/reservation/Notification reservation hailakandi.pdf,
