state,year,district,block,body,gram_panchayat,ward_no,ward_name,tier,tier_local,reservation,caste_reservation,woman_reserved,reservation_raw,listing_scope,script,sc_reserved_ward_count,st_reserved_ward_count,women_reserved_ward_count,source_path,source_page,source_pdf,source_url,source_capture
Assam,2025,Charaideo,Sapekhati,Ahukhat,Ahukhat,1,,gp_ward,Gaon Panchayat Ward Member,Other than Woman,NONE,0,,all_seats,latin,0,0,5,data/assam/2025_reservation/charaideo_reservation.pdf,9,charaideo_reservation.pdf,https://sec.assam.gov.in/pdf/panchayat-election/reservation/charaideo-reservation.pdf,
Assam,2025,Charaideo,Sapekhati,Ahukhat,Ahukhat,2,,gp_ward,Gaon Panchayat Ward Member,Woman,NONE,1,Reservation for Women,all_seats,latin,0,0,5,data/assam/2025_reservation/charaideo_reservation.pdf,9,charaideo_reservation.pdf,https://sec.assam.gov.in/pdf/panchayat-election/reservation/charaideo-reservation.pdf,
Assam,2025,Charaideo,Sapekhati,Ahukhat,Ahukhat,3,,gp_ward,Gaon Panchayat Ward Member,Other than Woman,NONE,0,,all_seats,latin,0,0,5,data/assam/2025_reservation/charaideo_reservation.pdf,9,charaideo_reservation.pdf,https://sec.assam.gov.in/pdf/panchayat-election/reservation/charaideo-reservation.pdf,
Assam,2025,Charaideo,Sapekhati,Ahukhat,Ahukhat,4,,gp_ward,Gaon Panchayat Ward Member,Woman,NONE,1,Reservation for Women,all_seats,latin,0,0,5,data/assam/2025_reservation/charaideo_reservation.pdf,9,charaideo_reservation.pdf,https://sec.assam.gov.in/pdf/panchayat-election/reservation/charaideo-reservation.pdf,
Assam,2025,Charaideo,Sapekhati,Ahukhat,Ahukhat,5,,gp_ward,Gaon Panchayat Ward Member,Other than Woman,NONE,0,,all_seats,latin,0,0,5,data/assam/2025_reservation/charaideo_reservation.pdf,9,charaideo_reservation.pdf,https://sec.assam.gov.in/pdf/panchayat-election/reservation/charaideo-reservation.pdf,
Assam,2025,Charaideo,Sapekhati,Ahukhat,Ahukhat,6,,gp_ward,Gaon Panchayat Ward Member,Woman,NONE,1,Reservation for Women,all_seats,latin,0,0,5,data/assam/2025_reservation/charaideo_reservation.pdf,9,charaideo_reservation.pdf,https://sec.assam.gov.in/pdf/panchayat-election/reservation/charaideo-reservation.pdf,
Assam,2025,Charaideo,Sapekhati,Ahukhat,Ahukhat,7,,gp_ward,Gaon Panchayat Ward Member,Other than Woman,NONE,0,,all_seats,latin,0,0,5,data/assam/2025_reservation/charaideo_reservation.pdf,9,charaideo_reservation.pdf,https://sec.assam.gov.in/pdf/panchayat-election/reservation/charaideo-reservation.pdf,
Assam,2025,Charaideo,Sapekhati,Ahukhat,Ahukhat,8,,gp_ward,Gaon Panchayat Ward Member,Other than Woman,NONE,0,,all_seats,latin,0,0,5,data/assam/2025_reservation/charaideo_reservation.pdf,9,charaideo_reservation.pdf,https://sec.assam.gov.in/pdf/panchayat-election/reservation/charaideo-reservation.pdf,
Assam,2025,Charaideo,Sapekhati,Ahukhat,Ahukhat,9,,gp_ward,Gaon Panchayat Ward Member,Woman,NONE,1,Reservation for Women,all_seats,latin,0,0,5,data/assam/2025_reservation/charaideo_reservation.pdf,9,charaideo_reservation.pdf,https://sec.assam.gov.in/pdf/panchayat-election/reservation/charaideo-reservation.pdf,
Assam,2025,Charaideo,Sapekhati,Ahukhat,Ahukhat,10,,gp_ward,Gaon Panchayat Ward Member,Woman,NONE,1,Reservation for Women,all_seats,latin,0,0,5,data/assam/2025_reservation/charaideo_reservation.pdf,9,charaideo_reservation.pdf,https://sec.assam.gov.in/pdf/panchayat-election/reservation/charaideo-reservation.pdf,
