state,year,district,block,body,gram_panchayat,ward_no,ward_name,tier,tier_local,reservation,caste_reservation,woman_reserved,reservation_raw,listing_scope,script,sc_reserved_ward_count,st_reserved_ward_count,women_reserved_ward_count,source_path,source_page,source_pdf,source_url,source_capture
Assam,2025,Charaideo,,Charaideo Zilla Parishad,,,Sapekhati,zp_member,Zilla Parishad Member,Woman,NONE,1,Reserved for Women,all_seats,latin,,,,data/assam/2025_reservation/charaideo_reservation.pdf,2,charaideo_reservation.pdf,https://sec.assam.gov.in/pdf/panchayat-election/reservation/charaideo-reservation.pdf,
Assam,2025,Charaideo,,Charaideo Zilla Parishad,,,Baruasali,zp_member,Zilla Parishad Member,Woman,NONE,1,Reserved for Women,all_seats,latin,,,,data/assam/2025_reservation/charaideo_reservation.pdf,2,charaideo_reservation.pdf,https://sec.assam.gov.in/pdf/panchayat-election/reservation/charaideo-reservation.pdf,
Assam,2025,Charaideo,,Charaideo Zilla Parishad,,,Sonari,zp_member,Zilla Parishad Member,Other than Woman,NONE,0,,all_seats,latin,,,,data/assam/2025_reservation/charaideo_reservation.pdf,2,charaideo_reservation.pdf,https://sec.assam.gov.in/pdf/panchayat-election/reservation/charaideo-reservation.pdf,
Assam,2025,Charaideo,,Charaideo Zilla Parishad,,,Haridev,zp_member,Zilla Parishad Member,Other than Woman,NONE,0,,all_seats,latin,,,,data/assam/2025_reservation/charaideo_reservation.pdf,2,charaideo_reservation.pdf,https://sec.assam.gov.in/pdf/panchayat-election/reservation/charaideo-reservation.pdf,
Assam,2025,Charaideo,,Charaideo Zilla Parishad,,,Charaideo,zp_member,Zilla Parishad Member,Other than Woman,NONE,0,,all_seats,latin,,,,data/assam/2025_reservation/charaideo_reservation.pdf,2,charaideo_reservation.pdf,https://sec.assam.gov.in/pdf/panchayat-election/reservation/charaideo-reservation.pdf,
Assam,2025,Charaideo,,Charaideo Zilla Parishad,,,Suffry,zp_member,Zilla Parishad Member,Other than Woman,NONE,0,,all_seats,latin,,,,data/assam/2025_reservation/charaideo_reservation.pdf,2,charaideo_reservation.pdf,https://sec.assam.gov.in/pdf/panchayat-election/reservation/charaideo-reservation.pdf,
Assam,2025,Charaideo,,Charaideo Zilla Parishad,,,Rangoli,zp_member,Zilla Parishad Member,Woman,NONE,1,Reserved for Women,all_seats,latin,,,,data/assam/2025_reservation/charaideo_reservation.pdf,2,charaideo_reservation.pdf,https://sec.assam.gov.in/pdf/panchayat-election/reservation/charaideo-reservation.pdf,
Assam,2025,Charaideo,,Charaideo Zilla Parishad,,,Mahmora,zp_member,Zilla Parishad Member,Woman,NONE,1,Reserved for Women,all_seats,latin,,,,data/assam/2025_reservation/charaideo_reservation.pdf,2,charaideo_reservation.pdf,https://sec.assam.gov.in/pdf/panchayat-election/reservation/charaideo-reservation.pdf,
Assam,2025,Kamrup Metropolitan,,Kamrup Metropolitan Zilla Parishad,,,Rani Chapari,zp_member,Zilla Parishad Member,Other than Woman,NONE,0,Unreserved,all_seats,latin,,,,data/assam/2025_reservation/reservation_kamrup_m.pdf,1,reservation_kamrup_m.pdf,https://sec.assam.gov.in/pdf/panchayat-election/reservation/reservation-kamrup-m.pdf,
Assam,2025,Kamrup Metropolitan,,Kamrup Metropolitan Zilla Parishad,,,Deepor Beel,zp_member,Zilla Parishad Member,Woman,NONE,1,Women,all_seats,latin,,,,data/assam/2025_reservation/reservation_kamrup_m.pdf,1,reservation_kamrup_m.pdf,https://sec.assam.gov.in/pdf/panchayat-election/reservation/reservation-kamrup-m.pdf,
Assam,2025,Kamrup Metropolitan,,Kamrup Metropolitan Zilla Parishad,,,Pragjyotishpur,zp_member,Zilla Parishad Member,Woman,NONE,1,Women,all_seats,latin,,,,data/assam/2025_reservation/reservation_kamrup_m.pdf,1,reservation_kamrup_m.pdf,https://sec.assam.gov.in/pdf/panchayat-election/reservation/reservation-kamrup-m.pdf,
Assam,2025,Kamrup Metropolitan,,Kamrup Metropolitan Zilla Parishad,,,Barkhat,zp_member,Zilla Parishad Member,ST Woman,ST,1,ST(Women),all_seats,latin,,,,data/assam/2025_reservation/reservation_kamrup_m.pdf,1,reservation_kamrup_m.pdf,https://sec.assam.gov.in/pdf/panchayat-election/reservation/reservation-kamrup-m.pdf,
Assam,2025,Kamrup Metropolitan,,Kamrup Metropolitan Zilla Parishad,,,Sonapur,zp_member,Zilla Parishad Member,Other than Woman,NONE,0,Unreserved,all_seats,latin,,,,data/assam/2025_reservation/reservation_kamrup_m.pdf,1,reservation_kamrup_m.pdf,https://sec.assam.gov.in/pdf/panchayat-election/reservation/reservation-kamrup-m.pdf,
Assam,2025,Kamrup Metropolitan,,Kamrup Metropolitan Zilla Parishad,,,Dimoria,zp_member,Zilla Parishad Member,SC Other than Woman,SC,0,SC,all_seats,latin,,,,data/assam/2025_reservation/reservation_kamrup_m.pdf,1,reservation_kamrup_m.pdf,https://sec.assam.gov.in/pdf/panchayat-election/reservation/reservation-kamrup-m.pdf,
Assam,2025,Hailakandi,,Hailakandi Zilla Parishad,,,1 No. Kalinagar- Paikan ZPC,zp_member,Zilla Parishad Member,Woman,NONE,1,Woman,reserved_only,latin,,,,data/assam/2025_reservation/notification_reservation_hailakandi.pdf,1,notification_reservation_hailakandi.pdf,https://sec.assam.gov.in/pdf/panchayat-election/reservation/Notification reservation hailakandi.pdf,
Assam,2025,Hailakandi,,Hailakandi Zilla Parishad,,,4 No. Katlicherra- Bagcherra ZPC,zp_member,Zilla Parishad Member,SC Woman,SC,1,SC (Woman),reserved_only,latin,,,,data/assam/2025_reservation/notification_reservation_hailakandi.pdf,1,notification_reservation_hailakandi.pdf,https://sec.assam.gov.in/pdf/panchayat-election/reservation/Notification reservation hailakandi.pdf,
Assam,2025,Hailakandi,,Hailakandi Zilla Parishad,,,8 No. Jamira- Sahabad ZPC,zp_member,Zilla Parishad Member,Woman,NONE,1,Woman,reserved_only,latin,,,,data/assam/2025_reservation/notification_reservation_hailakandi.pdf,1,notification_reservation_hailakandi.pdf,https://sec.assam.gov.in/pdf/panchayat-election/reservation/Notification reservation hailakandi.pdf,
Assam,2025,Hailakandi,,Hailakandi Zilla Parishad,,,6 No. Narayanpur- Bondukmara ZPC,zp_member,Zilla Parishad Member,Woman,NONE,1,Woman,reserved_only,latin,,,,data/assam/2025_reservation/notification_reservation_hailakandi.pdf,1,notification_reservation_hailakandi.pdf,https://sec.assam.gov.in/pdf/panchayat-election/reservation/Notification reservation hailakandi.pdf,
Assam,2025,South Salmara-Mankachar,,South Salmara-Mankachar Zilla Parishad,,,1 No. ZPC,zp_member,Zilla Parishad Member,Other than Woman,NONE,0,,all_seats,latin,,,,data/assam/2025_reservation/south_salmara_reservation.pdf,1,south_salmara_reservation.pdf,https://sec.assam.gov.in/pdf/panchayat-election/reservation/south-salmara-reservation.pdf,
Assam,2025,South Salmara-Mankachar,,South Salmara-Mankachar Zilla Parishad,,,2 No. Kalapani ZPC,zp_member,Zilla Parishad Member,Woman,NONE,1,Women,all_seats,latin,,,,data/assam/2025_reservation/south_salmara_reservation.pdf,1,south_salmara_reservation.pdf,https://sec.assam.gov.in/pdf/panchayat-election/reservation/south-salmara-reservation.pdf,
Assam,2025,South Salmara-Mankachar,,South Salmara-Mankachar Zilla Parishad,,,3 No. ZPC,zp_member,Zilla Parishad Member,Other than Woman,NONE,0,,all_seats,latin,,,,data/assam/2025_reservation/south_salmara_reservation.pdf,1,south_salmara_reservation.pdf,https://sec.assam.gov.in/pdf/panchayat-election/reservation/south-salmara-reservation.pdf,
Assam,2025,South Salmara-Mankachar,,South Salmara-Mankachar Zilla Parishad,,,4 No. Dakhin Salmara ZPC,zp_member,Zilla Parishad Member,Woman,NONE,1,Women,all_seats,latin,,,,data/assam/2025_reservation/south_salmara_reservation.pdf,1,south_salmara_reservation.pdf,https://sec.assam.gov.in/pdf/panchayat-election/reservation/south-salmara-reservation.pdf,
