state,year,district,block,body,serial,tier,tier_local,reservation,caste_reservation,woman_reserved,reservation_raw,listing_scope,script,source_path,source_page,source_pdf,source_url,source_capture
Assam,2020,Dhemaji,,Silapathar,1,ulb_head,Municipal Board chairperson,ST Other than Woman,ST,0,Scheduled Tribe,reserved_only,latin,data/assam/pdfs/Reservation of Wards and post of Chairperson of Municipal Boards_2020.pdf,7,Reservation of Wards and post of Chairperson of Municipal Boards_2020.pdf,,
Assam,2020,Lakhimpur,,North Lakhimpur,2,ulb_head,Municipal Board chairperson,ST Woman,ST,1,Scheduled Tribe (Woman),reserved_only,latin,data/assam/pdfs/Reservation of Wards and post of Chairperson of Municipal Boards_2020.pdf,7,Reservation of Wards and post of Chairperson of Municipal Boards_2020.pdf,,
Assam,2020,Lakhimpur,Dhakuakhana,Dhakuakhana,3,ulb_head,Municipal Board chairperson,SC Other than Woman,SC,0,Scheduled Caste,reserved_only,latin,data/assam/pdfs/Reservation of Wards and post of Chairperson of Municipal Boards_2020.pdf,7,Reservation of Wards and post of Chairperson of Municipal Boards_2020.pdf,,
Assam,2020,Bongaigaon,,Bongaigaon,4,ulb_head,Municipal Board chairperson,SC Other than Woman,SC,0,Scheduled Caste,reserved_only,latin,data/assam/pdfs/Reservation of Wards and post of Chairperson of Municipal Boards_2020.pdf,7,Reservation of Wards and post of Chairperson of Municipal Boards_2020.pdf,,
Assam,2020,Kamrup (Rural),,North Guwahati,5,ulb_head,Municipal Board chairperson,SC Other than Woman,SC,0,Scheduled Caste,reserved_only,latin,data/assam/pdfs/Reservation of Wards and post of Chairperson of Municipal Boards_2020.pdf,7,Reservation of Wards and post of Chairperson of Municipal Boards_2020.pdf,,
Assam,2020,Barpeta,,Barpeta,6,ulb_head,Municipal Board chairperson,SC Other than Woman,SC,0,Scheduled Caste,reserved_only,latin,data/assam/pdfs/Reservation of Wards and post of Chairperson of Municipal Boards_2020.pdf,7,Reservation of Wards and post of Chairperson of Municipal Boards_2020.pdf,,
Assam,2020,Nagaon,,Raha,7,ulb_head,Municipal Board chairperson,SC Woman,SC,1,Scheduled Caste (Woman),reserved_only,latin,data/assam/pdfs/Reservation of Wards and post of Chairperson of Municipal Boards_2020.pdf,7,Reservation of Wards and post of Chairperson of Municipal Boards_2020.pdf,,
Assam,2020,Dhubri,Bilasipara,Bilasipara,8,ulb_head,Municipal Board chairperson,SC Woman,SC,1,Scheduled Caste (Woman),reserved_only,latin,data/assam/pdfs/Reservation of Wards and post of Chairperson of Municipal Boards_2020.pdf,7,Reservation of Wards and post of Chairperson of Municipal Boards_2020.pdf,,
Assam,2020,Dhubri,Bilasipara,Sapatgram,9,ulb_head,Municipal Board chairperson,SC Woman,SC,1,Scheduled Caste (Woman),reserved_only,latin,data/assam/pdfs/Reservation of Wards and post of Chairperson of Municipal Boards_2020.pdf,7,Reservation of Wards and post of Chairperson of Municipal Boards_2020.pdf,,
Assam,2020,Nalbari,,Tihu,10,ulb_head,Municipal Board chairperson,SC Woman,SC,1,Scheduled Caste (Woman),reserved_only,latin,data/assam/pdfs/Reservation of Wards and post of Chairperson of Municipal Boards_2020.pdf,7,Reservation of Wards and post of Chairperson of Municipal Boards_2020.pdf,,
