ElectionType,ElectionDuration,District,PanchayatSamiti,SrNo,NameOfGramPanchyat,CategoryOfGramPanchyat,TotalNoOfContestingCandidate,ElectedUnoppose,TotalElectorateVotes,TotalPolledVotes,RejectedVotes,TotalValidVotes,PollPercent,WinnerCandidateName,ViewPledge,VoteSecureByWinner,RunnerupCandidateName,VoteSecureByRunnerup,TotalNoOfNOTACount,TenderedVotes
By Election,May 2022,SIKAR,PIPRALI PANCHAYAT SAMITI,1,CHAINPURA,General,6,NO,4160,3507,0,3507,84.3,GAUTAM CHANEJA,https://sec.rajasthan.gov.in/Nominations/225_SARPANCH_EROPIPR1_5K18K202212P28P32PM.pdf,1746,DEVENDRA KUMAR,1209,12,0
By Election,May 2022,TONK,NIWAI PANCHAYAT SAMITI,1,HANOTIYA BUJURG,ST,6,NO,3241,2164,0,2164,66.77,SHANTI,https://sec.rajasthan.gov.in/Nominations/234_SARPANCH_ERONIWA1_5K10K20223P57P00PM.pdf,665,SURESH KUMAR,566,7,0
By Election,May 2022,SIKAR,FATEHPUR PANCHAYAT SAMITI,1,MANDELA BADA,General,4,NO,4513,3639,0,3639,80.63,Ram Prasad,https://sec.rajasthan.gov.in/Nominations/221_SARPANCH_EROFATE1_5K9K202212P32P23PM.pdf,1644,Babulal,1567,18,0
By Election,May 2022,TONK,DEOLI PANCHAYAT SAMITI,1,DUNI,SC,7,NO,7976,5343,0,5343,66.99,MAYA DEVI,https://sec.rajasthan.gov.in/Nominations/232_SARPANCH_ERODEOL1_5K7K20227P28P38PM.pdf,2524,RAKESH KUMAR RAV,1478,25,0
By Election,May 2022,UDAIPUR,KOTDA PANCHAYAT SAMITI,1,Rujiya Khuna,ST (Woman),4,NO,1849,1521,0,1521,82.26,kanya kumai,https://sec.rajasthan.gov.in/Nominations/244_SARPANCH_DEOUDAI1_5K10K202210P35P37AM.pdf,592,LALI,401,44,0
By Election,May 2022,UDAIPUR,KOTDA PANCHAYAT SAMITI,2,TEJA KA WAS,ST (Woman),2,NO,1756,1319,0,1319,75.11,PABALI,https://sec.rajasthan.gov.in/Nominations/244_SARPANCH_DEOUDAI1_5K10K202210P35P16AM.pdf,664,HIMALI BAI,625,30,0
By Election,May 2022,RAJSAMAND,KHAMNOR PANCHAYAT SAMITI,1,BHAISAKMED,SC (Woman),3,NO,4049,2326,0,2326,57.45,HEMLATA MEGHWAL,https://sec.rajasthan.gov.in/Nominations/210_SARPANCH_EROKHAM1_5K20K20221P33P31PM.pdf,1740,MANGI KUMARI BALAI,456,54,0
By Election,May 2022,RAJSAMAND,KHAMNOR PANCHAYAT SAMITI,2,SHISHODA,General,3,NO,4068,2789,0,2789,68.56,BHAGWAN SINGH,https://sec.rajasthan.gov.in/Nominations/210_SARPANCH_EROKHAM1_5K20K20221P30P53PM.pdf,1486,ARJUN SINGH,726,38,0
By Election,May 2022,RAJSAMAND,DELVADA PANCHAYAT SAMITI,1,Negadia,ST,3,NO,4048,2448,0,2448,60.47,DEVI LAL,https://sec.rajasthan.gov.in/Nominations/336_SARPANCH_ERODELWR1_5K20K20221P34P16PM.pdf,1373,TEJRAM,730,44,0
By Election,JUL 2021,BARAN,CHHABRA PANCHAYAT SAMITI,1,BAHARI,General (Woman),3,NO,4292,3614,0,3614,84.2,SHOBHA,https://sec.rajasthan.gov.in/Nominations/34_SARPANCH_EROCHHAB1_3K4K20223P20P43PM.pdf,1878,VINTA NAGAR,1585,25,0
By Election,JUL 2021,BARAN,CHHABRA PANCHAYAT SAMITI,2,KAHAIYAWAN,General,2,NO,3003,2703,0,2703,90.01,BHAGWAN SWAROOP,https://sec.rajasthan.gov.in/Nominations/34_SARPANCH_EROCHHAB1_3K4K20223P20P53PM.pdf,1468,RAMDAYAL,1210,25,1
By Election,NOV 2022,BARMER,RAMSAR PANCHAYAT SAMITI,1,Suvada,SC (Woman),2,NO,1920,1644,0,1644,85.63,JIYA,https://sec.rajasthan.gov.in/Nominations/253_SARPANCH_DEOBARM1_11K30K20221P02P58PM.pdf,1134,PRIYYANKA,478,32,0
