sl_no_2005,dist_name_2005,samiti_name_2005,gp_2005,reservation_2005,name_2005,sex_2005,category_2005,gp_new_2005,dist_name_new_2005,samiti_name_new_2005,dist_2010_2005,key_2005,sl_no_2010,dist_name_2010,samiti_name_2010,gp_2010,reservation_2010,name_2010,sex_2010,category_2010,gp_new_2010,dist_name_new_2010,samiti_name_new_2010,key_2010,dist,nuke
2,AJMER,ARAIN,AJGARA,SC,LADU,MALE,SC,ajgara,AJMER,ARAI,NA,AJMERARAIajgara,1,AJMER,ARAI,AJGARA,GENW,Madhu kanwar,F,GENW,ajgara,AJMER,ARAI,AJMERARAIajgara,0,
1,AJMER,ARAIN,AAKODIYA,OBC,GAJMAL,MALE,OBC,akodiya,AJMER,ARAI,NA,AJMERARAIakodiya,2,AJMER,ARAI,AKODIYA,GENW,lada,F,OBCW,akodiya,AJMER,ARAI,AJMERARAIakodiya,0,
3,AJMER,ARAIN,ARAIN,ST,KANHIYA LAL,MALE,ST,arai,AJMER,ARAI,NA,AJMERARAIarai,3,AJMER,ARAI,ARAI,GEN,Bhanwar Gopal,M,GEN,arai,AJMER,ARAI,AJMERARAIarai,0,
4,AJMER,ARAIN,BHAGWANPURA,GEN,HAGAMI LAL,MALE,OBC,bhagwanpura,AJMER,ARAI,NA,AJMERARAIbhagwanpura,4,AJMER,ARAI,BHAGW ANPURA,SC,Prahalad Balai,M,SC,bhagwanpura,AJMER,ARAI,AJMERARAIbhagwanpura,0,
5,AJMER,ARAIN,BHAMOLAV,GEN,RAM SINGH,MALE,OBC,bhamolaw,AJMER,ARAI,NA,AJMERARAIbhamolaw,5,AJMER,ARAI,BHAMOLAW,GENW,Ajay Durgesh Kanwar,F,GENW,bhamolaw,AJMER,ARAI,AJMERARAIbhamolaw,0,
6,AJMER,ARAIN,BHOGADIT,GEN,AMBA LAL,MALE,GEN,bhogadeet,AJMER,ARAI,NA,AJMERARAIbhogadeet,6,AJMER,ARAI,BHOGADEET,OBC,Ramdev,M,OBC,bhogadeet,AJMER,ARAI,AJMERARAIbhogadeet,0,
7,AJMER,ARAIN,BIRLA,SC W,AYODHYA DEVI,FEMALE,SC,birla,AJMER,ARAI,NA,AJMERARAIbirla,7,AJMER,ARAI,BIRL A,OBCW,Heera Devi,F,OBCW,birla,AJMER,ARAI,AJMERARAIbirla,0,
8,AJMER,ARAIN,BORADA,GEN,SHRIDHAR,MALE,GEN,borada,AJMER,ARAI,NA,AJMERARAIborada,8,AJMER,ARAI,BORADA,GEN,Ram Singh,M,OBC,borada,AJMER,ARAI,AJMERARAIborada,0,
9,AJMER,ARAIN,DADIYA,GEN,BIRDICHAND,MALE,GEN,dadiya,AJMER,ARAI,NA,AJMERARAIdadiya,10,AJMER,ARAI,DADIYA,SCW,Sugni Devi,F,SCW,dadiya,AJMER,ARAI,AJMERARAIdadiya,0,
10,AJMER,ARAIN,DEVPURI,SC,PANNA LAL,MALE,SC,devpuri,AJMER,ARAI,NA,AJMERARAIdevpuri,11,AJMER,ARAI,DEVPURI,ST,Ram ji lal,M,ST,devpuri,AJMER,ARAI,AJMERARAIdevpuri,0,
