sl_no,dist_name,samiti_name,gp,reservation,name,sex,category,gp_new,dist_name_new,samiti_name_new
1,AJMER,ARAI,AJGARA,GENW,Madhu kanwar,F,GENW,ajgara,AJMER,ARAI
2,AJMER,ARAI,AKODIYA,GENW,lada,F,OBCW,akodiya,AJMER,ARAI
3,AJMER,ARAI,ARAI,GEN,Bhanwar Gopal,M,GEN,arai,AJMER,ARAI
4,AJMER,ARAI,BHAGW ANPURA,SC,Prahalad Balai,M,SC,bhagwanpura,AJMER,ARAI
5,AJMER,ARAI,BHAMOLAW,GENW,Ajay Durgesh Kanwar,F,GENW,bhamolaw,AJMER,ARAI
6,AJMER,ARAI,BHOGADEET,OBC,Ramdev,M,OBC,bhogadeet,AJMER,ARAI
7,AJMER,ARAI,BIRL A,OBCW,Heera Devi,F,OBCW,birla,AJMER,ARAI
8,AJMER,ARAI,BORADA,GEN,Ram Singh,M,OBC,borada,AJMER,ARAI
9,AJMER,ARAI,CHHOTA LAMBA,GENW,kamla Bairwa,F,SCW,chhota lamba,AJMER,ARAI
10,AJMER,ARAI,DADIYA,SCW,Sugni Devi,F,SCW,dadiya,AJMER,ARAI
11,AJMER,ARAI,DEVPURI,ST,Ram ji lal,M,ST,devpuri,AJMER,ARAI
12,AJMER,ARAI,DHASUK,OBCW,Norti,F,OBCW,dhasuk,AJMER,ARAI
13,AJMER,ARAI,FATEHGARH,OBCW,Govind kanwar,F,OBCW,fatehgarh,AJMER,ARAI
14,AJMER,ARAI,GOTHIYANA,GEN,Hem Kanwar,F,GENW,gothiyana,AJMER,ARAI
15,AJMER,ARAI,HARPURA,SCW,manju,F,SCW,harpura,AJMER,ARAI
16,AJMER,ARAI,HINGONIY A,GEN,Baby kanwar,F,GENW,hingoniya,AJMER,ARAI
17,AJMER,ARAI,JHEEROT A,GEN,Umrav jain,M,GEN,jheerota,AJMER,ARAI
18,AJMER,ARAI,KALANADA,GEN,Laxman,M,OBC,kalanada,AJMER,ARAI
19,AJMER,ARAI,KASEER,SC,Devi Lal,M,SC,kaseer,AJMER,ARAI
20,AJMER,ARAI,KATSURA,GENW,Kannot,F,OBCW,katsura,AJMER,ARAI
21,AJMER,ARAI,KHEERIY A,GENW,Rekha Toshniwal,F,GENW,kheeriya,AJMER,ARAI
22,AJMER,ARAI,LALLAI,GEN,Shiv raj gurjar,M,OBC,lallai,AJMER,ARAI
23,AJMER,ARAI,MANDAWARIYA,GEN,Suresh,M,GEN,mandawariya,AJMER,ARAI
24,AJMER,ARAI,MANOHARPURA,SC,Rang Lal,M,SC,manoharpura,AJMER,ARAI
25,AJMER,ARAI,RAMP ALI,GEN,Subhash jain,M,GEN,rampali,AJMER,ARAI
26,AJMER,ARAI,SANDOLIY A,SCW,Lada Devi,F,SCW,sandoliya,AJMER,ARAI
27,AJMER,ARAI,SANPLA,GENW,Madhu Devi,F,GENW,sanpla,AJMER,ARAI
28,AJMER,ARAI,SIRONJ,OBC,Hariram,M,OBC,sironj,AJMER,ARAI
29,AJMER,ARAI,SOONP A,GENW,Chandra Kiran,F,GENW,soonpa,AJMER,ARAI
30,AJMER,ARAI,SYAR,OBC,Gheesa Lal,M,OBC,syar,AJMER,ARAI
31,AJMER,BHINAY,BADALI,GENW,Nima Kanwar,F,GENW,badali,AJMER,BHINAY
32,AJMER,BHINAY,BADGAON,SC,Bhim Raj Nayak,M,SC,badgaon,AJMER,BHINAY
33,AJMER,BHINAY,BANDANW ARA,GEN,Vikram Singh,M,GEN,bandanwara,AJMER,BHINAY
34,AJMER,BHINAY,BAROL,SC,Gyanchand Bairwa,M,SC,barol,AJMER,BHINAY
35,AJMER,BHINAY,BHAGW ANTPURA,GEN,Panchi Devi,F,OBCW,bhagwantpura,AJMER,BHINAY
36,AJMER,BHINAY,BHINAY,GEN,Vijay Dhabai,M,OBC,bhinay,AJMER,BHINAY
37,AJMER,BHINAY,BOOBKIY A,SC,Rukama,F,SCW,boobkiya,AJMER,BHINAY
38,AJMER,BHINAY,CHACHUNDRA,OBC,Har Lal Gurjar,M,OBC,chachundra,AJMER,BHINAY
39,AJMER,BHINAY,CHAP ANERI,GEN,Jitendra Jain,M,GEN,chapaneri,AJMER,BHINAY
40,AJMER,BHINAY,DABRELA,SCW,Choti Devi,F,SCW,dabrela,AJMER,BHINAY
41,AJMER,BHINAY,DEVLIYAKALAN,OBC,Ram Swaroop,M,OBC,devliyakalan,AJMER,BHINAY
42,AJMER,BHINAY,DHANTOL,SC,Raju Lal Bairwa,M,SC,dhantol,AJMER,BHINAY
43,AJMER,BHINAY,EKALSINHA,GENW,Chand Kanwar,F,GENW,ekalsinha,AJMER,BHINAY
44,AJMER,BHINAY,GOYALA,GENW,Hemi Devi Gurjar,F,OBCW,goyala,AJMER,BHINAY
45,AJMER,BHINAY,GUDHAKHURD,GEN,Udaram Gujar,M,OBC,gudhakhurd,AJMER,BHINAY
46,AJMER,BHINAY,JOTAYA,OBCW,Jamila Pinara,F,OBCW,jotaya,AJMER,BHINAY
47,AJMER,BHINAY,KANEIKALAN,GEN,Shiv Raj Singh,M,GEN,kaneikalan,AJMER,BHINAY
48,AJMER,BHINAY,KARANTI,OBC,Gyarsi Lal,M,OBC,karanti,AJMER,BHINAY
49,AJMER,BHINAY,KEBANIY A,OBC,Bhala Ram Gujar,M,OBC,kebaniya,AJMER,BHINAY
50,AJMER,BHINAY,KEROT,GENW,Nina Kanwar,F,GENW,kerot,AJMER,BHINAY
51,AJMER,BHINAY,KUMHARIY A,GENW,Lada Devi,F,GENW,kumhariya,AJMER,BHINAY
52,AJMER,BHINAY,LAMGARA,OBCW,Geeta Devi Jat,F,OBCW,lamgara,AJMER,BHINAY
53,AJMER,BHINAY,NAGOLA,ST,Bhagu Bheel,M,ST,nagola,AJMER,BHINAY
54,AJMER,BHINAY,NANDSI,GEN,Paravti Devi,F,GENW,nandsi,AJMER,BHINAY
55,AJMER,BHINAY,PADANGA,SCW,Dhani Devi,F,SCW,padanga,AJMER,BHINAY
56,AJMER,BHINAY,PADLIYA,STW,Chooti Devi,F,STW,padliya,AJMER,BHINAY
57,AJMER,BHINAY,RAMMALIYA,GENW,Indra Devi Jat,F,OBCW,rammaliya,AJMER,BHINAY
58,AJMER,BHINAY,RATAKOT,GEN,Mohammed Rasid,M,GEN,ratakot,AJMER,BHINAY
59,AJMER,BHINAY,SARANA,SCW,Radha Devi,F,SCW,sarana,AJMER,BHINAY
60,AJMER,BHINAY,SATOLAV,GENW,Ramdhani Gujar,F,OBCW,satolav,AJMER,BHINAY
61,AJMER,BHINAY,SHERGARH,GEN,Bhupendra Pratap Singh,M,GEN,shergarh,AJMER,BHINAY
62,AJMER,BHINAY,SHOKALIY A,GEN,Gopal Singh Rathore,M,GEN,shokaliya,AJMER,BHINAY
63,AJMER,BHINAY,SINGAWAL,OBCW,Nosar Devi,F,OBCW,singawal,AJMER,BHINAY
64,AJMER,BHINAY,SOBARI,GENW,Nihali Devi,F,OBCW,sobari,AJMER,BHINAY
65,AJMER,BHINAY,TANTOTI,GENW,Pratap Kanwar,F,GENW,tantoti,AJMER,BHINAY
66,AJMER,JAW AJA,AASAN,GEN,ganpat singh,M,OBC,aasan,AJMER,JAWAJA
67,AJMER,JAW AJA,ATEETMAND,GEN,pratap rawat,M,OBC,ateetmand,AJMER,JAWAJA
68,AJMER,JAW AJA,BADAKHEDA @ KHERAKALAN,SCW,Asha Devi,F,SCW,khedakalan,AJMER,JAWAJA
69,AJMER,JAW AJA,BADKHOCHRA,GENW,keshi Rawa,F,OBCW,badkhochra,AJMER,JAWAJA
70,AJMER,JAW AJA,BALAD,GENW,Meni,F,OBCW,balad,AJMER,JAWAJA
71,AJMER,JAW AJA,BAMANHEDA,GENW,Tara Devi,F,OBCW,bamanheda,AJMER,JAWAJA
72,AJMER,JAW AJA,BANJARI,GEN,Ram singh,M,OBC,banjari,AJMER,JAWAJA
73,AJMER,JAW AJA,BARAKHED,GENW,Doli Chouhan,F,OBCW,barakhed,AJMER,JAWAJA
74,AJMER,JAW AJA,BEAW ARKHAS,GEN,Umrav,M,GEN,beawarkhas,AJMER,JAWAJA
75,AJMER,JAW AJA,DELWARA,GENW,Umra kathat,F,OBCW,delwara,AJMER,JAWAJA
76,AJMER,JAW AJA,DEWATA,OBCW,pani devi,F,OBCW,dewata,AJMER,JAWAJA
77,AJMER,JAW AJA,DURGAWAS,GENW,sneh lata,F,OBCW,durgawas,AJMER,JAWAJA
78,AJMER,JAW AJA,GOHANA,GENW,meera devi,F,OBCW,gohana,AJMER,JAWAJA
79,AJMER,JAW AJA,JALIYA FIRST,OBCW,sartaj,F,OBCW,jaliya first,AJMER,JAWAJA
80,AJMER,JAW AJA,JAW AJA,SC,Vinod Kumar,M,SC,jawaja,AJMER,JAWAJA
81,AJMER,JAW AJA,KABRA,GENW,sohni devi,F,GENW,kabra,AJMER,JAWAJA
82,AJMER,JAW AJA,KISHANPURA,OBC,Badami Devi,F,OBCW,kishanpura,AJMER,JAWAJA
83,AJMER,JAW AJA,KOTRA,GEN,Ladu Singh,M,OBC,kotra,AJMER,JAWAJA
84,AJMER,JAW AJA,LOTIYANA,GENW,Lila Chouhan,F,OBCW,lotiyana,AJMER,JAWAJA
85,AJMER,JAW AJA,MALATON KI BAIR,GEN,Ganpat Singh,M,OBC,malaton ki bair,AJMER,JAWAJA
86,AJMER,JAW AJA,MALPURA,GEN,Narendar Singh,M,OBC,malpura,AJMER,JAWAJA
87,AJMER,JAW AJA,NAIKALAN,OBC,Mangal Singh,M,OBC,naikalan,AJMER,JAWAJA
88,AJMER,JAW AJA,NARBADKHERA,OBCW,Shravani,F,OBCW,narbadkhera,AJMER,JAWAJA
89,AJMER,JAW AJA,NUNDRI MALDEV,SC,Ram lal,M,SC,nundri maldev,AJMER,JAWAJA
90,AJMER,JAW AJA,NUNDRIMEDRATAN,GEN,Mira,F,OBCW,nundrimedratan,AJMER,JAWAJA
91,AJMER,JAW AJA,RAJIYAWAS,GEN,Chagni Devi,F,OBCW,rajiyawas,AJMER,JAWAJA
92,AJMER,JAW AJA,RAWATMAL,GEN,Poonam Singh,M,OBC,rawatmal,AJMER,JAWAJA
93,AJMER,JAW AJA,ROOPNAGAR,GENW,Halimi,F,OBCW,roopnagar,AJMER,JAWAJA
94,AJMER,JAW AJA,SARMALIYA,OBC,Madan Singh,M,OBC,sarmaliya,AJMER,JAWAJA
95,AJMER,JAW AJA,SARWEENA,GENW,Laxmi Devi,F,OBCW,sarweena,AJMER,JAWAJA
96,AJMER,JAW AJA,SUHAWA,OBC,Padam Singh,M,OBC,suhawa,AJMER,JAWAJA
97,AJMER,JAW AJA,SURAJPURA,GEN,Sarla,F,GENW,surajpura,AJMER,JAWAJA
98,AJMER,JAW AJA,SURDIY A,GEN,Badami Devi,F,OBCW,surdiya,AJMER,JAWAJA
99,AJMER,JAW AJA,T ARAGARH,GENW,Priyanka Devi,F,OBCW,taragarh,AJMER,JAWAJA
100,AJMER,JAW AJA,TATGARH,GEN,Bhagwan Singh,M,OBC,tatgarh,AJMER,JAWAJA
101,AJMER,KEKRI,ALOLI,SC,MUKESH,M,SC,aloli,AJMER,KEKRI
102,AJMER,KEKRI,BAGHERA,GENW,SUSHEEL A,F,GENW,baghera,AJMER,KEKRI
103,AJMER,KEKRI,BAJT A,SC,SHAMBHU,M,SC,bajta,AJMER,KEKRI
104,AJMER,KEKRI,BHARAI,GEN,MAHADEO,M,OBC,bharai,AJMER,KEKRI
