sl_no,dist_name,samiti_name,gp,reservation,name,sex,category,gp_new,dist_name_new,samiti_name_new
8928,SIROHI,ABU ROAD,AKARABHA TT A,ST,CHAMPA KUMARI,,ST,akarabhatta,SIROHI,ABUROAD
8929,SIROHI,ABU ROAD,AMTHALA,ST (Woman),BABURI,,ST (Woman),amthala,SIROHI,ABUROAD
8930,SIROHI,ABU ROAD,AVAL,ST,GANESH KUMAR,,ST,aval,SIROHI,ABUROAD
8931,SIROHI,ABU ROAD,BAHADURPURA,ST,GALBA RAM,,ST,bahadurpura,SIROHI,ABUROAD
8932,SIROHI,ABU ROAD,CHANAR,ST,MOHAN LAL,,ST,chanar,SIROHI,ABUROAD
8933,SIROHI,ABU ROAD,CHANDELA,ST,GANESHA RAM,,ST,chandela,SIROHI,ABUROAD
8934,SIROHI,ABU ROAD,DELDAR,ST (Woman),GEET A,,ST (Woman),deldar,SIROHI,ABUROAD
8935,SIROHI,ABU ROAD,DOYT ARA,ST (Woman),MODANI,,ST (Woman),doytara,SIROHI,ABUROAD
8936,SIROHI,ABU ROAD,GIRVAR,ST,KISHAN LAL,,ST,girvar,SIROHI,ABUROAD
8937,SIROHI,ABU ROAD,JAMBUDI,ST,MANA RAM,,ST,jambudi,SIROHI,ABUROAD
8938,SIROHI,ABU ROAD,JAYADARA,ST (Woman),MAMTA,,ST (Woman),jayadara,SIROHI,ABUROAD
8939,SIROHI,ABU ROAD,KHADAT,ST (Woman),KESARI BAI,,ST (Woman),khadat,SIROHI,ABUROAD
8940,SIROHI,ABU ROAD,KIVARLI,ST (Woman),REKHA DEVI,,ST (Woman),kivarli,SIROHI,ABUROAD
8941,SIROHI,ABU ROAD,KYARIYA,ST,RAMESH,,ST,kyariya,SIROHI,ABUROAD
8942,SIROHI,ABU ROAD,MAVAL,ST,CHAINSUKH,,ST,maval,SIROHI,ABUROAD
8943,SIROHI,ABU ROAD,MOONGTHALA,ST (Woman),SANJU,,ST (Woman),moongthala,SIROHI,ABUROAD
8944,SIROHI,ABU ROAD,MORTHALA,ST,LAXMAN RAM,,ST,morthala,SIROHI,ABUROAD
8945,SIROHI,ABU ROAD,NICHALAGARH,ST,SUGA RAM,,ST,nichalagarh,SIROHI,ABUROAD
8946,SIROHI,ABU ROAD,ORE,ST,UMMED RAM,,ST,ore,SIROHI,ABUROAD
8947,SIROHI,ABU ROAD,ORIYA,ST,RAKESH KUMAR,,ST,oriya,SIROHI,ABUROAD
8948,SIROHI,ABU ROAD,SANTPUR,ST,SHANKAR LAL,,ST,santpur,SIROHI,ABUROAD
8949,SIROHI,ABU ROAD,SIYAVA,ST (Woman),LAXMI KUMARI,,ST (Woman),siyava,SIROHI,ABUROAD
8950,SIROHI,ABU ROAD,SURPAGLA,ST,JEEVA RAM,,ST,surpagla,SIROHI,ABUROAD
8951,SIROHI,ABU ROAD,UPALA KHEJARA,ST,SONA RAM,,ST,upala khejara,SIROHI,ABUROAD
8952,SIROHI,ABU ROAD,UP ALAGARH,ST (Woman),HANJA DEVI,,ST (Woman),upalagarh,SIROHI,ABUROAD
8953,SIROHI,ABU ROAD,GANKA,ST (Woman),LALITA DEVI,,ST (Woman),ganka,SIROHI,ABUROAD
8954,SIROHI,ABU ROAD,MADURALA,ST (Woman),LEELA KUMARI,,ST (Woman),madurala,SIROHI,ABUROAD
8955,SIROHI,ABU ROAD,DHAMSARA,ST (Woman),LEELA DEVI,,ST (Woman),dhamsara,SIROHI,ABUROAD
8956,SIROHI,ABU ROAD,TLETI,ST (Woman),JAMNA DEVI,,ST (Woman),tleti,SIROHI,ABUROAD
8957,SIROHI,ABU ROAD,WASDA,ST (Woman),MANJU,,ST (Woman),wasda,SIROHI,ABUROAD
8958,SIROHI,ABU ROAD,BHESASINGH,ST (Woman),LEELA,,ST (Woman),bhesasingh,SIROHI,ABUROAD
8959,SIROHI,ABU ROAD,PABA,ST (Woman),HAJARI BAI,,ST (Woman),paba,SIROHI,ABUROAD
5559,JALORE,AHORE,AGVERI,OBC,SHANTI LAL,,OBC,agveri,JALORE,AHORE
5560,JALORE,AHORE,AHORE,SC (Woman),MANJU,,SC (Woman),ahore,JALORE,AHORE
5561,JALORE,AHORE,AIPURA,General,BHAWANI SINGH,,General,aipura,JALORE,AHORE
5562,JALORE,AHORE,AJITPURA,OBC,NARAYAN LAL,,OBC,ajitpura,JALORE,AHORE
5563,JALORE,AHORE,BALA,SC,MAMTA KUMARI,,SC (Woman),bala,JALORE,AHORE
5564,JALORE,AHORE,BANKLI,General (Woman),DEEPIKA KUMARI,,General (Woman),bankli,JALORE,AHORE
5565,JALORE,AHORE,BAVDI,General (Woman),PINU KANWAR,,General (Woman),bavdi,JALORE,AHORE
5566,JALORE,AHORE,BHADRAJUN,General (Woman),SANTOSH KANWAR,,OBC (Woman),bhadrajun,JALORE,AHORE
5567,JALORE,AHORE,BHAISVADA,General,SHIVPRATAP SINGH,,General,bhaisvada,JALORE,AHORE
5568,JALORE,AHORE,BHA VRANI,General,VIRENDRA SINGH,,General,bha vrani,JALORE,AHORE
5569,JALORE,AHORE,BHORDA,General,BHALA RAM,,OBC,bhorda,JALORE,AHORE
5570,JALORE,AHORE,BHUTI,General (Woman),SUSHEEL KANWAR,,General (Woman),bhuti,JALORE,AHORE
5571,JALORE,AHORE,BITHUDA,General (Woman),PINKY DEVI,,OBC (Woman),bithuda,JALORE,AHORE
5572,JALORE,AHORE,CHANDRAI,SC (Woman),MAMTA KUMARI,,SC (Woman),chandrai,JALORE,AHORE
5573,JALORE,AHORE,CHA VRECHA,General (Woman),URMILA KANWAR,,General (Woman),cha vrecha,JALORE,AHORE
5574,JALORE,AHORE,CHERLI,General (Woman),PURAN KANWAR,,General (Woman),cherli,JALORE,AHORE
5575,JALORE,AHORE,CHUNDA,ST,RATA RAM,,ST,chunda,JALORE,AHORE
5576,JALORE,AHORE,DAYALPURA,ST,SURESH KUMAR,,ST,dayalpura,JALORE,AHORE
5577,JALORE,AHORE,DODIYALI,OBC (Woman),JAMNA BEN,,OBC (Woman),dodiyali,JALORE,AHORE
5578,JALORE,AHORE,GHANANA,General,PRAKASH PATEL,,OBC,ghanana,JALORE,AHORE
5579,JALORE,AHORE,GUDA BALOTAN,ST (Woman),HANJA,,ST (Woman),guda balotan,JALORE,AHORE
5580,JALORE,AHORE,HARJI,General (Woman),NEENA SINGH,,General (Woman),harji,JALORE,AHORE
5581,JALORE,AHORE,KAMBA,General,JASPAL SINGH,,General,kamba,JALORE,AHORE
5582,JALORE,AHORE,KANVLA,OBC,GOPA RAM,,OBC,kanvla,JALORE,AHORE
5583,JALORE,AHORE,KA VRADA,General,CHAMPA LAL,,OBC,ka vrada,JALORE,AHORE
5584,JALORE,AHORE,NIMBLA,General,SURYAVEER SINGH,,General,nimbla,JALORE,AHORE
5585,JALORE,AHORE,NORVA,OBC (Woman),MAMTA,,OBC (Woman),norva,JALORE,AHORE
5586,JALORE,AHORE,NOSERA,ST (Woman),PUSHPA DEVI,,ST (Woman),nosera,JALORE,AHORE
5587,JALORE,AHORE,P ADERLI,SC,MEERA RAM,,SC,p aderli,JALORE,AHORE
5588,JALORE,AHORE,P ANCHOT A,SC,RAJA RAM,,SC,p anchot a,JALORE,AHORE
5589,JALORE,AHORE,PAVTA,General (Woman),SUMAN KANWAR,,General (Woman),pavta,JALORE,AHORE
5590,JALORE,AHORE,RAITHAL,SC,PEERA RAM,,SC,raithal,JALORE,AHORE
5591,JALORE,AHORE,RAMA,SC,RAJA RAM,,SC,rama,JALORE,AHORE
5592,JALORE,AHORE,RODL A,General (Woman),LAXMI KANWAR,,General (Woman),rodl a,JALORE,AHORE
5593,JALORE,AHORE,SEDRIYA BALOTAN,General (Woman),KIRAN KANWAR,,General (Woman),sedriya balotan,JALORE,AHORE
5594,JALORE,AHORE,SHANKHV ALI,SC (Woman),KAMLA DEVI,,SC (Woman),shankhv ali,JALORE,AHORE
5595,JALORE,AHORE,SUGALIYA JODHA,SC (Woman),KAMLA DEVI,,SC (Woman),sugaliya jodha,JALORE,AHORE
5596,JALORE,AHORE,THANVLA,General,JABBAR SINGH,,General,thanvla,JALORE,AHORE
5597,JALORE,AHORE,UMMEDPUR,OBC (Woman),SHARDA,,OBC (Woman),ummedpur,JALORE,AHORE
5598,JALORE,AHORE,VEDIYA,General,GULAB SINGH,,General,vediya,JALORE,AHORE
5599,JALORE,AHORE,VELDRA,ST,CHIMANA RAM,,ST,veldra,JALORE,AHORE
6051,JHALAWAR,AKALERA,AMRITKHEDI,ST,SEEMA KUMARI,,ST (Woman),amritkhedi,JHALAWAR,AKALERA
6052,JHALAWAR,AKALERA,ASALPUR,General (Woman),SUNIT A,,OBC (Woman),asalpur,JHALAWAR,AKALERA
6053,JHALAWAR,AKALERA,BAREKHEDI GUJRAN,SC,SANJU BAI,,SC (Woman),barekhedi gujran,JHALAWAR,AKALERA
6054,JHALAWAR,AKALERA,BASKHEDI LODHAN,General (Woman),RODI BAI,,OBC (Woman),baskhedi lodhan,JHALAWAR,AKALERA
6055,JHALAWAR,AKALERA,BERAGARH,SC,KANWAR LAL,,SC,beragarh,JHALAWAR,AKALERA
6056,JHALAWAR,AKALERA,BHALTA,SC (Woman),ANITA BAI,,SC (Woman),bhalta,JHALAWAR,AKALERA
6057,JHALAWAR,AKALERA,BINDAKHEDA,General,MANOHAR SINGH,,OBC,bindakheda,JHALAWAR,AKALERA
6058,JHALAWAR,AKALERA,BORBAND,General,KANHIRAM,,OBC,borband,JHALAWAR,AKALERA
6059,JHALAWAR,AKALERA,DEVLI,General (Woman),JYOTI KIRAD,,OBC (Woman),devli,JHALAWAR,AKALERA
6060,JHALAWAR,AKALERA,GAHUKHEDI,General (Woman),MAMTA BAI,,OBC (Woman),gahukhedi,JHALAWAR,AKALERA
6061,JHALAWAR,AKALERA,GHATOLI,General,MANGAL SINGH TANWAR,,OBC,ghatoli,JHALAWAR,AKALERA
6062,JHALAWAR,AKALERA,GOP ALPURA,General (Woman),SHAITAN BAI,,OBC (Woman),gop alpura,JHALAWAR,AKALERA
6063,JHALAWAR,AKALERA,GULKHEDI,General,RAMESH CHAND,,OBC,gulkhedi,JHALAWAR,AKALERA
6064,JHALAWAR,AKALERA,KOHDIJHAR,General,BHANWAR LAL,,OBC,kohdijhar,JHALAWAR,AKALERA
6065,JHALAWAR,AKALERA,PACHOLA,ST,TEJRAJ,,ST,pachola,JHALAWAR,AKALERA
6066,JHALAWAR,AKALERA,SERDA,General,SHIVDAYAL PARETA,,OBC,serda,JHALAWAR,AKALERA
6067,JHALAWAR,AKALERA,UMRIYA,General (Woman),REKHA BAI,,OBC (Woman),umriya,JHALAWAR,AKALERA
6068,JHALAWAR,AKALERA,AMETHA,ST,RAMESH CHAND,,ST,ametha,JHALAWAR,AKALERA
6069,JHALAWAR,AKALERA,CHURALIYA,SC (Woman),ANITA BAI DHOBI,,SC,churaliya,JHALAWAR,AKALERA
6070,JHALAWAR,AKALERA,DEVI CHANCHAL,General (Woman),SAITAN BAI,,General (Woman),devi chanchal,JHALAWAR,AKALERA
6071,JHALAWAR,AKALERA,DEVLIKALAN,ST,ANITA MEENA,,ST,devlikalan,JHALAWAR,AKALERA
6072,JHALAWAR,AKALERA,KHARPA,ST (Woman),MAMTA BAI,,ST,kharpa,JHALAWAR,AKALERA
6073,JHALAWAR,AKALERA,LASUDIYA SHAH,General,BHOORI BAI,,ST (Woman),lasudiya shah,JHALAWAR,AKALERA
6074,JHALAWAR,AKALERA,LHAS,ST (Woman),KAMLESH MEENA,,ST (Woman),lhas,JHALAWAR,AKALERA
6075,JHALAWAR,AKALERA,METHUN,ST (Woman),SONU,,ST,methun,JHALAWAR,AKALERA
6076,JHALAWAR,AKALERA,MISHROLI,ST (Woman),NIRMLA BAI,,ST (Woman),mishroli,JHALAWAR,AKALERA
6077,JHALAWAR,AKALERA,NAYAPURA,General,RAMBILASH MEENA,,ST,nayapura,JHALAWAR,AKALERA
6078,JHALAWAR,AKALERA,SERKHADINDYA,General,SUJAN SINGH,,OBC,serkhadindya,JHALAWAR,AKALERA
6079,JHALAWAR,AKALERA,THADOL,ST,PRAKASH MEENA,,ST,thadol,JHALAWAR,AKALERA
6080,JHALAWAR,AKALERA,THNAVAD,OBC,GORDHAN,,OBC,thnavad,JHALAWAR,AKALERA
6081,JHALAWAR,AKALERA,TURKADIYA,ST (Woman),SANTOSH BAI,,ST (Woman),turkadiya,JHALAWAR,AKALERA
6082,JHUNJHUNU,ALSISAR,ALSISAR,General (Woman),SHABNUM BANNO,,OBC (Woman),alsisar,JHUNJHUNU,ALSISAR
6083,JHUNJHUNU,ALSISAR,BADET,General,DHARM PAL,,OBC,badet,JHUNJHUNU,ALSISAR
6084,JHUNJHUNU,ALSISAR,BAJLA,General,MOOL CHAND,,OBC,bajla,JHUNJHUNU,ALSISAR
6085,JHUNJHUNU,ALSISAR,BHEEKHANSAR,General (Woman),SUNIT A,,General (Woman),bheekhansar,JHUNJHUNU,ALSISAR
6086,JHUNJHUNU,ALSISAR,BHUDA KA BAS,General (Woman),LALITA,,OBC (Woman),bhuda ka bas,JHUNJHUNU,ALSISAR
6087,JHUNJHUNU,ALSISAR,BIRMI,General (Woman),RAJNI,,OBC (Woman),birmi,JHUNJHUNU,ALSISAR
6088,JHUNJHUNU,ALSISAR,CHUREL A,OBC (Woman),SARITA,,OBC (Woman),churel a,JHUNJHUNU,ALSISAR
6089,JHUNJHUNU,ALSISAR,DABRI DHEERSINGH,General,SURENDER SINGH,,General,dabri dheersingh,JHUNJHUNU,ALSISAR
6090,JHUNJHUNU,ALSISAR,DHANURI,General (Woman),SULTANA,,OBC (Woman),dhanuri,JHUNJHUNU,ALSISAR
6091,JHUNJHUNU,ALSISAR,DHEELSAR,General (Woman),NIRMALA DEVI,,OBC,dheelsar,JHUNJHUNU,ALSISAR
6092,JHUNJHUNU,ALSISAR,DILOI,SC,ROHIT ASH,,SC,diloi,JHUNJHUNU,ALSISAR
6093,JHUNJHUNU,ALSISAR,GANGIYASAR,SC,GOPAL RAM,,SC,gangiyasar,JHUNJHUNU,ALSISAR
6094,JHUNJHUNU,ALSISAR,GOKHRI,OBC (Woman),MONIKA CHOUDHARY,,OBC (Woman),gokhri,JHUNJHUNU,ALSISAR
6095,JHUNJHUNU,ALSISAR,HAMEERI KALAN,OBC,SAROJ,,OBC (Woman),hameeri kalan,JHUNJHUNU,ALSISAR
6096,JHUNJHUNU,ALSISAR,HANSASAR,OBC (Woman),ARTI BENIWAL,,OBC (Woman),hansasar,JHUNJHUNU,ALSISAR
6097,JHUNJHUNU,ALSISAR,HARIPURA,OBC,DAYA JANGID,,OBC (Woman),haripura,JHUNJHUNU,ALSISAR
6098,JHUNJHUNU,ALSISAR,JABASAR,General (Woman),FARJANA BANO,,OBC (Woman),jabasar,JHUNJHUNU,ALSISAR
6099,JHUNJHUNU,ALSISAR,JHATAWA KHURD,General (Woman),POONUM,,General (Woman),jhatawa khurd,JHUNJHUNU,ALSISAR
6100,JHUNJHUNU,ALSISAR,KAKREU KALAN,ST,AMMI LAL,,ST,kakreu kalan,JHUNJHUNU,ALSISAR
