sl_no,dist_name,samiti_name,gp,reservation,name,sex,category,gp_new,dist_name_new,samiti_name_new,dist_2010
1,AJMER,ARAIN,AAKODIYA,OBC,GAJMAL,MALE,OBC,akodiya,AJMER,ARAI,
2,AJMER,ARAIN,AJGARA,SC,LADU,MALE,SC,ajgara,AJMER,ARAI,
3,AJMER,ARAIN,ARAIN,ST,KANHIYA LAL,MALE,ST,arai,AJMER,ARAI,
4,AJMER,ARAIN,BHAGWANPURA,GEN,HAGAMI LAL,MALE,OBC,bhagwanpura,AJMER,ARAI,
5,AJMER,ARAIN,BHAMOLAV,GEN,RAM SINGH,MALE,OBC,bhamolaw,AJMER,ARAI,
6,AJMER,ARAIN,BHOGADIT,GEN,AMBA LAL,MALE,GEN,bhogadeet,AJMER,ARAI,
7,AJMER,ARAIN,BIRLA,SC W,AYODHYA DEVI,FEMALE,SC,birla,AJMER,ARAI,
8,AJMER,ARAIN,BORADA,GEN,SHRIDHAR,MALE,GEN,borada,AJMER,ARAI,
9,AJMER,ARAIN,DADIYA,GEN,BIRDICHAND,MALE,GEN,dadiya,AJMER,ARAI,
10,AJMER,ARAIN,DEVPURI,SC,PANNA LAL,MALE,SC,devpuri,AJMER,ARAI,
11,AJMER,ARAIN,DHASUK,GEN W,NIMMI DEVI,FEMALE,GEN,dhasuk,AJMER,ARAI,
12,AJMER,ARAIN,FATEHGARH,GEN,VIMLESH,FEMALE,OBC,fatehgarh,AJMER,ARAI,
13,AJMER,ARAIN,GODHIYANA,GEN,RAJESH JAIN,MALE,GEN,gothiyana,AJMER,ARAI,
14,AJMER,ARAIN,HARPURA,OBC W,AARAMI,FEMALE,OBC,harpura,AJMER,ARAI,
15,AJMER,ARAIN,HINGONIYA,GEN,DEVI LAL,MALE,OBC,hingoniya,AJMER,ARAI,
16,AJMER,ARAIN,JHIROTA,SC,HARJI RAM,MALE,SC,jheerota,AJMER,ARAI,
17,AJMER,ARAIN,KALANADA,GEN,RAM KISHAN,MALE,OBC,kalanada,AJMER,ARAI,
18,AJMER,ARAIN,KASHIR,GEN W,PUSI DEVI,FEMALE,OBC,kaseer,AJMER,ARAI,
19,AJMER,ARAIN,KATSURA,GEN W,KOUSHALIYA DEVI,FEMALE,GEN,katsura,AJMER,ARAI,
20,AJMER,ARAIN,KHIRIYAN,OBC,CHHAGAN LAL,MALE,OBC,kheeriya,AJMER,ARAI,
21,AJMER,ARAIN,LALLAI,GEN,HARJI,MALE,OBC,lallai,AJMER,ARAI,
22,AJMER,ARAIN,LAMBA,OBC,RAM GOPAL,MALE,OBC,lamba,AJMER,ARAI,
23,AJMER,ARAIN,MANDAWARIYA,OBC,NATHU LAL,MALE,OBC,mandawariya,AJMER,ARAI,
24,AJMER,ARAIN,MANOHARPURA,GEN W,SAJJAN KANWAR,FEMALE,GEN,manoharpura,AJMER,ARAI,
25,AJMER,ARAIN,RAMPALI,GEN W,BHURI,FEMALE,OBC,rampali,AJMER,ARAI,
26,AJMER,ARAIN,SADOLIYA,OBC W,PREM DEVI,FEMALE,OBC,sandoliya,AJMER,ARAI,
27,AJMER,ARAIN,SANPLA,SC W,KAMLA,FEMALE,SC,sanpla,AJMER,ARAI,
28,AJMER,ARAIN,SIRONJ,SC,MOHAN,MALE,SC,sironj,AJMER,ARAI,
29,AJMER,ARAIN,SUNPA,GEN W,CHANDRA KIRAN,FEMALE,GEN,soonpa,AJMER,ARAI,
30,AJMER,ARAIN,SYAR,GEN,DEVKARAN,MALE,OBC,syar,AJMER,ARAI,
31,AJMER,BHINAI,BADGAON,GEN,VANSH PRADEEP SINGH,MALE,GEN,badgaon,AJMER,BHINAY,
32,AJMER,BHINAI,BADLI,OBC,GHISA LAL,MALE,OBC,badli,AJMER,BHINAY,
33,AJMER,BHINAI,BANDANWADA,GEN W,KAMLENDRA KANWAR,FEMALE,GEN,bandanwara,AJMER,BHINAY,
34,AJMER,BHINAI,BEROL,ST W,SITA DEVI,FEMALE,ST,barol,AJMER,BHINAY,
35,AJMER,BHINAI,BHAGWANT PURA,SC W,RAMESHWARI DEVI,FEMALE,SC,bhagwantpura,AJMER,BHINAY,
36,AJMER,BHINAI,BHINAI,SC,TULSI RAM KHINCHI,MALE,SC,bhinay,AJMER,BHINAY,
37,AJMER,BHINAI,BUBKIYA,GEN,HARIPRASAD JAT,MALE,OBC,boobkiya,AJMER,BHINAY,
38,AJMER,BHINAI,CHANPANERI,GEN,RAKESH SHARMA,MALE,GEN,chapaneri,AJMER,BHINAY,
39,AJMER,BHINAI,CHHACHHUNDRA,GEN W,RAJI DEVI,FEMALE,OBC,chachundra,AJMER,BHINAY,
40,AJMER,BHINAI,DABRELA,GEN,BHADULAL GURJAR,MALE,OBC,dabrela,AJMER,BHINAY,
41,AJMER,BHINAI,DEVLIYA KALAN,GEN,RAMSWAROOP MEWARA,MALE,OBC,devliyakalan,AJMER,BHINAY,
42,AJMER,BHINAI,DHANTOL,OBC W,SANTOK,FEMALE,OBC,dhantol,AJMER,BHINAY,
43,AJMER,BHINAI,EKALSINGA,SC,JAGDISH,MALE,SC,ekalsinha,AJMER,BHINAY,
44,AJMER,BHINAI,GOYALA,GEN W,KAMLA,FEMALE,GEN,goyala,AJMER,BHINAY,
45,AJMER,BHINAI,GUDHA KHURD,GEN,GOPAL SINGH,MALE,GEN,gudhakhurd,AJMER,BHINAY,
46,AJMER,BHINAI,JOTAYA,GEN W,HANSA KANWAR,FEMALE,GEN,jotaya,AJMER,BHINAY,
47,AJMER,BHINAI,KAIROT,OBC W,JETHI DEVI KIR,FEMALE,OBC,kerot,AJMER,BHINAY,
48,AJMER,BHINAI,KANAIKALA,GEN,RAJENDRA SINGH,MALE,GEN,kaneikalan,AJMER,BHINAY,
49,AJMER,BHINAI,KANRATI,GEN,GYARSILAL RAWAT,MALE,OBC,karanti,AJMER,BHINAY,
50,AJMER,BHINAI,KEBNIYA,SC,HARCHAND RAIGAR,MALE,SC,kebaniya,AJMER,BHINAY,
51,AJMER,BHINAI,KUHARIYA,GEN W,RAMPYARI,FEMALE,GEN,kumhariya,AJMER,BHINAY,
52,AJMER,BHINAI,LAMGARA,SC,BHAIRU LAL CHAMAR,MALE,SC,lamgara,AJMER,BHINAY,
53,AJMER,BHINAI,NAGOLA,SC W,SUNDARI DEVI,FEMALE,SC,nagola,AJMER,BHINAY,
54,AJMER,BHINAI,NANDSI,GEN,DILIP SINGH,MALE,GEN,nandsi,AJMER,BHINAY,
55,AJMER,BHINAI,PARLIYA,OBC,SHIVRAJ GUSANAI,MALE,OBC,padliya,AJMER,BHINAY,
56,AJMER,BHINAI,PAUNGA,GEN,BHALA RAM GURJAR,MALE,OBC,padanga,AJMER,BHINAY,
57,AJMER,BHINAI,RAM MALIYA,GEN,GANESH CHOUDHARY,MALE,OBC,rammaliya,AJMER,BHINAY,
58,AJMER,BHINAI,RATAKOT,GEN,SUBHASH UPADHYAY,MALE,GEN,ratakot,AJMER,BHINAY,
59,AJMER,BHINAI,SARANA,OBC,MADAN LAL,MALE,OBC,sarana,AJMER,BHINAY,
60,AJMER,BHINAI,SATOLAV,GEN W,RAMDHANI DEVI,FEMALE,OBC,satolav,AJMER,BHINAY,
61,AJMER,BHINAI,SHERGARH,OBC,LADU RAM,MALE,OBC,shergarh,AJMER,BHINAY,
62,AJMER,BHINAI,SHOKLIYA,GEN W,KESAR BAI,FEMALE,OBC,shokaliya,AJMER,BHINAY,
63,AJMER,BHINAI,SINGAWAL,GEN,SEHDEV GURJAR,MALE,OBC,singawal,AJMER,BHINAY,
64,AJMER,BHINAI,SOBADI,OBC,RAMESH CHANDRA DHABAI,MALE,OBC,sobari,AJMER,BHINAY,
65,AJMER,BHINAI,TANTOTI,SC,TIKAM BHAMBI,MALE,SC,tantoti,AJMER,BHINAY,
66,AJMER,JAWAJA,AASAN,GEN,GANPAT SINGH,MALE,OBC,aasan,AJMER,JAWAJA,
67,AJMER,JAWAJA,ATITMAND,GEN,PRATAP SINGH,MALE,OBC,ateetmand,AJMER,JAWAJA,
68,AJMER,JAWAJA,BADKOCHRA,OBC,KUPSINGH,MALE,OBC,badkhochra,AJMER,JAWAJA,
69,AJMER,JAWAJA,BALAD,GEN,BHIM SINGH,MALE,OBC,balad,AJMER,JAWAJA,
70,AJMER,JAWAJA,BAMANHEDA,GEN W,TARA DEVI,FEMALE,OBC,bamanheda,AJMER,JAWAJA,
71,AJMER,JAWAJA,BANJARI,GEN,SURENDRA SINGH,MALE,OBC,banjari,AJMER,JAWAJA,
72,AJMER,JAWAJA,BARAKHAN,OBC,DOLI,FEMALE,OBC,barakhan,AJMER,JAWAJA,
73,AJMER,JAWAJA,BEAWAR KHAS,OBC,NARAYAN GURJAR,MALE,OBC,beawarkhas,AJMER,JAWAJA,
74,AJMER,JAWAJA,DELWARA,GEN,PAPPU,MALE,OBC,delwara,AJMER,JAWAJA,
75,AJMER,JAWAJA,DEVATA,GEN,SURENDRA SINGH,MALE,OBC,dewata,AJMER,JAWAJA,
76,AJMER,JAWAJA,DURGAWAS,OBC,BAHADUR,MALE,OBC,durgawas,AJMER,JAWAJA,
77,AJMER,JAWAJA,GOHANA,OBC W,MEERA,FEMALE,OBC,gohana,AJMER,JAWAJA,
78,AJMER,JAWAJA,JALIYA FIRST,GEN W,SHABNAM,FEMALE,OBC,jaliya first,AJMER,JAWAJA,
79,AJMER,JAWAJA,JAWAJA,GEN W,MOHAN SINGH,FEMALE,OBC,jawaja,AJMER,JAWAJA,
80,AJMER,JAWAJA,KABRA,GEN,BHAIRUSINGH,MALE,OBC,kabra,AJMER,JAWAJA,
81,AJMER,JAWAJA,KHEDAKALAN,GEN,PRATHVI PAL SINGH,MALE,OBC,khedakalan,AJMER,JAWAJA,
82,AJMER,JAWAJA,KISHANPURA,GEN,HAJARI SINGH,MALE,OBC,kishanpura,AJMER,JAWAJA,
83,AJMER,JAWAJA,KOTRA,OBC,LADU SINGH,MALE,OBC,kotra,AJMER,JAWAJA,
84,AJMER,JAWAJA,LOTIYANA,GEN W,LAXMI DEVI,FEMALE,OBC,lotiyana,AJMER,JAWAJA,
85,AJMER,JAWAJA,MALATA KI BAIR,GEN,GANPAT SINGH,MALE,OBC,malaton ki bair,AJMER,JAWAJA,
86,AJMER,JAWAJA,MALPURA,GEN,MANGLA,MALE,OBC,malpura,AJMER,JAWAJA,
87,AJMER,JAWAJA,NAIKALAN,SC,GOPAL LAL,MALE,SC,naikalan,AJMER,JAWAJA,
88,AJMER,JAWAJA,NARBADKHERA,SC,MADAN LAL,FEMALE,SC,narbadkhera,AJMER,JAWAJA,
89,AJMER,JAWAJA,NUNDRI MALDEVI,GEN,KANARAM GURJAR,MALE,OBC,nundri maldev,AJMER,JAWAJA,
90,AJMER,JAWAJA,RAJIYAWAS,GEN W,GODAWARI,FEMALE,OBC,rajiyawas,AJMER,JAWAJA,
91,AJMER,JAWAJA,RAWATMAL,GEN W,KAMLA DEVI,FEMALE,OBC,rawatmal,AJMER,JAWAJA,
92,AJMER,JAWAJA,ROOP NAGAR,GEN,SAMBHA,MALE,OBC,roopnagar,AJMER,JAWAJA,
93,AJMER,JAWAJA,SERMALIYA,GEN,GANESH GURJAR,MALE,OBC,sarmaliya,AJMER,JAWAJA,
94,AJMER,JAWAJA,SERVANA,GEN W,MUNNI DEVI,FEMALE,OBC,sarweena,AJMER,JAWAJA,
95,AJMER,JAWAJA,SUHAVA,GEN,PADAM SINGH,MALE,OBC,suhawa,AJMER,JAWAJA,
96,AJMER,JAWAJA,SUNDRI BHEDRATAN,SC,JAFRURAM BHATI,MALE,SC,nundrimedratan,AJMER,JAWAJA,
97,AJMER,JAWAJA,SURAJPURA,OBC W,SARLA DEVI,FEMALE,OBC,surajpura,AJMER,JAWAJA,
98,AJMER,JAWAJA,SURDIYA,GEN W,KAMLA DEVI,FEMALE,OBC,surdiya,AJMER,JAWAJA,
99,AJMER,JAWAJA,TANTGARH,SC W,DAKHUDEVI,FEMALE,SC,tatgarh,AJMER,JAWAJA,
100,AJMER,JAWAJA,TARAGARH,GEN W,GULABI,FEMALE,OBC,taragarh,AJMER,JAWAJA,
101,AJMER,KEKRI,AALOLI,GEN,BIRDI CHAND,MALE,OBC,aloli,AJMER,KEKRI,
102,AJMER,KEKRI,BAGHERA,SC,AMAR CHAND,MALE,SC,baghera,AJMER,KEKRI,
103,AJMER,KEKRI,BAJATA,GEN,JAGDISH,MALE,OBC,bajta,AJMER,KEKRI,
104,AJMER,KEKRI,BHARAI,SC,SURAJMAL,MALE,SC,bharai,AJMER,KEKRI,
105,AJMER,KEKRI,BHIBHDAWAS,GEN,CHATURBHUJ SINGH,MALE,GEN,bheemdawas,AJMER,KEKRI,
106,AJMER,KEKRI,CHITIWAS,GEN,HEERA,MALE,ST,chitiwas,AJMER,KEKRI,
107,AJMER,KEKRI,DEVGAON,SC W,MOHINI DEVI,FEMALE,SC,devgaon,AJMER,KEKRI,
108,AJMER,KEKRI,DHUNDHERI,GEN W,JYOTI,FEMALE,GEN,dhoondhari,AJMER,KEKRI,
109,AJMER,KEKRI,GHATIYALI,GEN W,HEMA,FEMALE,GEN,ghatiyali,AJMER,KEKRI,
110,AJMER,KEKRI,GORDA,GEN,RANGLAL,MALE,OBC,gorda,AJMER,KEKRI,
111,AJMER,KEKRI,GULGAON,GEN,NARPAT SINGH,MALE,GEN,gulgaon,AJMER,KEKRI,
112,AJMER,KEKRI,JUNIYA,GEN W,MANJU DEVI SAIN,FEMALE,OBC,juniya,AJMER,KEKRI,
113,AJMER,KEKRI,KADEDA,GEN,SHIVRAJ,MALE,GEN,kadera,AJMER,KEKRI,
114,AJMER,KEKRI,KALEDA,OBC,DEVI LAL,MALE,OBC,kalera krishna gopal,AJMER,KEKRI,
115,AJMER,KEKRI,KALEDA KANWAR JI,GEN,NAND BHANWAR SINGH,MALE,GEN,kalera kanwarji,AJMER,KEKRI,
116,AJMER,KEKRI,KANOJ,SC,KANARAM,MALE,SC,kanoj,AJMER,KEKRI,
117,AJMER,KEKRI,KHAWAS,ST,SHIV DAYAL,MALE,ST,khawas,AJMER,KEKRI,
118,AJMER,KEKRI,KUSHAYATA,OBC W,RASSAL,FEMALE,OBC,kushayata,AJMER,KEKRI,
119,AJMER,KEKRI,LASADIA,GEN W,SITA DEVI,FEMALE,GEN,lasadiya,AJMER,KEKRI,
120,AJMER,KEKRI,MEHRUKALA,OBC W,RUKMA,FEMALE,OBC,mehroonkalan,AJMER,KEKRI,
121,AJMER,KEKRI,MEVDA KALA,ST W,SHIMLA DEVI,FEMALE,ST,mewdakalan,AJMER,KEKRI,
122,AJMER,KEKRI,MOLKIYA,ST,SEWARAM,MALE,ST,molkiya,AJMER,KEKRI,
123,AJMER,KEKRI,NAPAKHEDA,SC,KISHAN LAL,MALE,SC,napakhera/ girwarpura,AJMER,KEKRI,
124,AJMER,KEKRI,PANEHEDA,GEN W,SAJJAN KANWAR,FEMALE,GEN,pranheda,AJMER,KEKRI,
125,AJMER,KEKRI,PARA,ST,NANDLAL,MALE,ST,para,AJMER,KEKRI,
126,AJMER,KEKRI,PIPLAJ,GEN,SHAILENDRA SINGH,MALE,GEN,piplaj,AJMER,KEKRI,
127,AJMER,KEKRI,SADARA,OBC,RATAN LAL JANGID,MALE,OBC,sadara,AJMER,KEKRI,
128,AJMER,KEKRI,SALARI,SC,BANSHI,MALE,SC,salari,AJMER,KEKRI,
129,AJMER,KEKRI,SARSADI,GEN,RAMKUVIR,MALE,OBC,sarsadi,AJMER,KEKRI,
130,AJMER,KEKRI,SAWAR,SC W,KAMLA DEVI,FEMALE,SC,sawar,AJMER,KEKRI,
131,AJMER,KEKRI,TANKAWAS,GEN,VIJAY PRATAP SINGH,MALE,GEN,tankawas,AJMER,KEKRI,
132,AJMER,KISHANGARH,AMARPURA,OBC,MANMOHAN SINGH,MALE,OBC,amarpura,AJMER,KISHANGARH,
133,AJMER,KISHANGARH,BANDAR SINDRI,OBC,BAJRANG LAL MALI,MALE,OBC,bandarsindri,AJMER,KISHANGARH,
134,AJMER,KISHANGARH,BARNA,GEN,GHISA,MALE,SC,barna,AJMER,KISHANGARH,
135,AJMER,KISHANGARH,BHAIN,SC,MADAN,MALE,SC,bhain,AJMER,KISHANGARH,
136,AJMER,KISHANGARH,BUHARU,GEN W,RAMI DEVI,FEMALE,OBC,buharu,AJMER,KISHANGARH,
137,AJMER,KISHANGARH,DIDWADA,OBC,HANUMAN,MALE,OBC,deedwara,AJMER,KISHANGARH,
138,AJMER,KISHANGARH,HARMADA,GEN W,SHARDA DEVI,FEMALE,OBC,harmada,AJMER,KISHANGARH,
139,AJMER,KISHANGARH,JAJOTA,SC W,SUSHILA,FEMALE,SC,jajota,AJMER,KISHANGARH,
140,AJMER,KISHANGARH,KADHA,GEN W,AMRI,FEMALE,OBC,kadha,AJMER,KISHANGARH,
141,AJMER,KISHANGARH,KARKEDI,GEN,LIKHMARAM,MALE,OBC,karkeri,AJMER,KISHANGARH,
142,AJMER,KISHANGARH,KHATOLI,GEN,GOPAL LAL,MALE,OBC,khatoli,AJMER,KISHANGARH,
143,AJMER,KISHANGARH,KOTDI,GEN,BANWARI LAL,MALE,GEN,kotdi,AJMER,KISHANGARH,
144,AJMER,KISHANGARH,KUCHIL,GEN,MOHAN LAL,MALE,OBC,kucheel,AJMER,KISHANGARH,
145,AJMER,KISHANGARH,MALIYON KI BADI,SC,KACHRULAL,MALE,SC,maliyon ki bari,AJMER,KISHANGARH,
146,AJMER,KISHANGARH,NALU,OBC,KISHANLAL,MALE,OBC,naloo,AJMER,KISHANGARH,
147,AJMER,KISHANGARH,NAWA,GEN W,CHHOTI,FEMALE,OBC,nwan,AJMER,KISHANGARH,
148,AJMER,KISHANGARH,NOSAL,GEN,RANJEET SINGH,MALE,GEN,nosal,AJMER,KISHANGARH,
149,AJMER,KISHANGARH,PANER,GEN,RATAN LAL,MALE,SC,paner,AJMER,KISHANGARH,
150,AJMER,KISHANGARH,PATAN,GEN,CHHOTU,MALE,OBC,patan,AJMER,KISHANGARH,
151,AJMER,KISHANGARH,PINGLOD,GEN W,PANI,FEMALE,OBC,peenglod,AJMER,KISHANGARH,
152,AJMER,KISHANGARH,RALAVATA,SC,SHAMBHU PRAKASH BHANBHI,MALE,SC,ralavata,AJMER,KISHANGARH,
153,AJMER,KISHANGARH,ROOPANGARH,GEN,D.C.V. KIRAN,MALE,OBC,roopangarh,AJMER,KISHANGARH,
154,AJMER,KISHANGARH,SALEMABAD,SC W,BHANWARI DEVI,FEMALE,SC,salemabad,AJMER,KISHANGARH,
155,AJMER,KISHANGARH,SARGAON,OBC W,LADI,FEMALE,OBC,sargaon,AJMER,KISHANGARH,
156,AJMER,KISHANGARH,SILORA,GEN,KOUSHALYA,FEMALE,OBC,silora,AJMER,KISHANGARH,
157,AJMER,KISHANGARH,SINODIYA,GEN W,BHANWARI DEVI,FEMALE,OBC,sinodiya,AJMER,KISHANGARH,
158,AJMER,KISHANGARH,SURSURA,GEN,RAM LAL,MALE,OBC,sursura,AJMER,KISHANGARH,
159,AJMER,KISHANGARH,THAL,OBC W,CHANDA DEVI,FEMALE,OBC,thal,AJMER,KISHANGARH,
160,AJMER,KISHANGARH,TIKAVDA,SC,BHAGWAN DAS,MALE,SC,tikawada,AJMER,KISHANGARH,
161,AJMER,KISHANGARH,TILONIA,OBC,KARAN SINGH,MALE,OBC,tiloniya,AJMER,KISHANGARH,
162,AJMER,KISHANGARH,TYOND,GEN,VIRENDRA SINGH,MALE,GEN,tyod,AJMER,KISHANGARH,
163,AJMER,MASUDA,ANDHI DEVRI,GEN,NATHU SINGH,MALE,OBC,andheri devri,AJMER,MASUDA,
164,AJMER,MASUDA,BARAL-II,SC,JAGDISH PRASAD,MALE,SC,baral -ii,AJMER,MASUDA,
165,AJMER,MASUDA,BARI,GEN W,MAGNI GURJAR,FEMALE,OBC,badi,AJMER,MASUDA,
166,AJMER,MASUDA,BEGLIYAWAS,GEN,HAJARI SINGH,MALE,OBC,begliyabas,AJMER,MASUDA,
167,AJMER,MASUDA,DAULATPURA-I,GEN,DESHRAJ,MALE,OBC,daulatpura - i,AJMER,MASUDA,
168,AJMER,MASUDA,DAULATPURA-II,GEN,KARAN SINGH,MALE,OBC,daulatpura - i,AJMER,MASUDA,
169,AJMER,MASUDA,DEVAS,OBC W,RUKMA,FEMALE,OBC,devas,AJMER,MASUDA,
170,AJMER,MASUDA,DEVMALI,OBC W,BHAGI GURJAR,FEMALE,OBC,devmali,AJMER,MASUDA,
171,AJMER,MASUDA,DHOLADATA,OBC,LADU SINGH,MALE,OBC,dholadanta,AJMER,MASUDA,
172,AJMER,MASUDA,HANUTIYA,SC W,MANGI DEVI,FEMALE,SC,hanutiya,AJMER,MASUDA,
173,AJMER,MASUDA,HARRAJPURA,GEN,ASHRAF,MALE,OBC,harrajpura,AJMER,MASUDA,
174,AJMER,MASUDA,JALIYA-II,GEN W,SURAJ KANWAR,FEMALE,GEN,jaliya - ii,AJMER,MASUDA,
175,AJMER,MASUDA,JAMOLA,OBC,MADAN SINGH RAWAT,MALE,OBC,jamola,AJMER,MASUDA,
176,AJMER,MASUDA,JHANK,GEN,SUBHAN,MALE,OBC,jhak,AJMER,MASUDA,
177,AJMER,MASUDA,JIVANA,OBC,KISHAN SINGH,MALE,OBC,jivana,AJMER,MASUDA,
178,AJMER,MASUDA,KANAKHEDA,GEN W,JOOPEE,FEMALE,OBC,kanakheda,AJMER,MASUDA,
179,AJMER,MASUDA,KANIA,GEN W,KANTA JAIN,FEMALE,GEN,kania,AJMER,MASUDA,
180,AJMER,MASUDA,KHARWA,GEN W,MANJU,FEMALE,GEN,kharwa,AJMER,MASUDA,
181,AJMER,MASUDA,KIRAP,GEN,MOOL KANWAR,FEMALE,GEN,kirap,AJMER,MASUDA,
182,AJMER,MASUDA,LODIYANA,SC,RATAN LAL,MALE,SC,lodiyana,AJMER,MASUDA,
183,AJMER,MASUDA,LULWA,GEN,MEWA,MALE,OBC,loolwa,AJMER,MASUDA,
184,AJMER,MASUDA,MASUDA,GEN,PUSHKAR NARAYAN,MALE,GEN,masuda,AJMER,MASUDA,
185,AJMER,MASUDA,MAYLA,GEN,SUWA,MALE,OBC,mayla,AJMER,MASUDA,
186,AJMER,MASUDA,MOINA,GEN W,PARVATI DEVI,FEMALE,OBC,moyana,AJMER,MASUDA,
187,AJMER,MASUDA,NANDWADA,GEN W,PHOOLI DEVI,FEMALE,OBC,nandwada,AJMER,MASUDA,
188,AJMER,MASUDA,PIPLAJ,GEN,NARAYAN LAL,MALE,OBC,piplaj,AJMER,MASUDA,
189,AJMER,MASUDA,RAMGARH,GEN,UGMI GURJAR,FEMALE,OBC,ramgarh,AJMER,MASUDA,
190,AJMER,MASUDA,SATAVADIYA,GEN,HANGAMI LAL GURJAR,MALE,OBC,satawadiya,AJMER,MASUDA,
191,AJMER,MASUDA,SAYANA,ST,PAPPU,MALE,ST,sayana,AJMER,MASUDA,
192,AJMER,MASUDA,SHERGARH,SC W,KAMLA RAIGAR,FEMALE,SC,shergarh,AJMER,MASUDA,
193,AJMER,MASUDA,SHIKHRANI,OBC,DILIP KUMAR,MALE,OBC,shikhrani,AJMER,MASUDA,
194,AJMER,MASUDA,SHYAMGARH,OBC,S.K. MASTANA,MALE,OBC,shyamgarh,AJMER,MASUDA,
195,AJMER,PISANGAN,BAGHSURI,GEN,GOPAL SINGH,MALE,OBC,baghsuri,AJMER,PEESANGAN,
196,AJMER,PISANGAN,BHAGWANPURA,OBC W,KAMLA LOHAR,FEMALE,OBC,bhagwanpura,AJMER,PEESANGAN,
197,AJMER,PISANGAN,BHANVATA,SC,KALU REGAR,MALE,SC,bhanwta,AJMER,PEESANGAN,
198,AJMER,PISANGAN,BHATIYANI,GEN,KAILASH CHAND,MALE,GEN,bhatiyani,AJMER,PEESANGAN,
199,AJMER,PISANGAN,BHATSURI,SC,CHOUTHU,MALE,SC,bhatsuri,AJMER,PEESANGAN,
200,AJMER,PISANGAN,BHAWANIKHEDA,GEN W,JADAV,FEMALE,GEN,bhawanikhera,AJMER,PEESANGAN,
201,AJMER,PISANGAN,BIDAKCHIAWAS,GEN,BHARULAL GURJAR,MALE,OBC,bidkchiyawas,AJMER,PEESANGAN,
202,AJMER,PISANGAN,BITHUR,GEN,BHANWAR,MALE,OBC,bithur,AJMER,PEESANGAN,
203,AJMER,PISANGAN,BUDHWADA,OBC,JETHUDAS SAAD,MALE,OBC,budhwara,AJMER,PEESANGAN,
204,AJMER,PISANGAN,DANTDA,SC,PAPPU LAL SOLANKI,MALE,SC,dantada,AJMER,PEESANGAN,
205,AJMER,PISANGAN,DERATH,GEN,LAXMAN,MALE,OBC,derathu,AJMER,PEESANGAN,
206,AJMER,PISANGAN,DEVNAGAR,GEN,HARENDRA,MALE,GEN,devnagar,AJMER,PEESANGAN,
207,AJMER,PISANGAN,DODIYANA,GEN W,GANESHI,FEMALE,OBC,dodiyana,AJMER,PEESANGAN,
208,AJMER,PISANGAN,DOURAI,GEN,AMAR CHAND,MALE,GEN,dourai,AJMER,PEESANGAN,
209,AJMER,PISANGAN,DUMADA,GEN W,SUGNI GURJAR,FEMALE,OBC,dumara,AJMER,PEESANGAN,
210,AJMER,PISANGAN,GENAHEDA,GEN,VIJAY SINGH,MALE,OBC,ganahera,AJMER,PEESANGAN,
211,AJMER,PISANGAN,GOLA,GEN W,KANCHAN,FEMALE,OBC,gola,AJMER,PEESANGAN,
212,AJMER,PISANGAN,GOVINDGARH,OBC,MEGHSINGH RAWAT,MALE,OBC,govindgarh,AJMER,PEESANGAN,
213,AJMER,PISANGAN,HATUNDI,GEN,ABDUL RAJJAK,MALE,GEN,hatundi,AJMER,PEESANGAN,
214,AJMER,PISANGAN,JETHANA,SC W,MANORAMA,FEMALE,SC,jethana,AJMER,PEESANGAN,
215,AJMER,PISANGAN,JHADWASI,SC,SHAMBHU LAL,MALE,SC,jhadwasa,AJMER,PEESANGAN,
216,AJMER,PISANGAN,KADEL,OBC,ASHOK KUMAR,MALE,OBC,kadeil,AJMER,PEESANGAN,
217,AJMER,PISANGAN,KALESRA,SC,SUWA,MALE,SC,kalesara,AJMER,PEESANGAN,
218,AJMER,PISANGAN,KERNOS,OBC,RAMCHANDRA GURJAR,MALE,OBC,karnos,AJMER,PEESANGAN,
219,AJMER,PISANGAN,KESERPURA,GEN,SHAKTI SINGH,MALE,OBC,keserpura,AJMER,PEESANGAN,
220,AJMER,PISANGAN,KHORI,GEN W,RAMA,FEMALE,GEN,khori,AJMER,PEESANGAN,
221,AJMER,PISANGAN,LAMANA,GEN,SARDAR SINGH,MALE,OBC,lamana,AJMER,PEESANGAN,
222,AJMER,PISANGAN,LIDI,OBC W,CHOUTHI BAI,FEMALE,OBC,leedi,AJMER,PEESANGAN,
223,AJMER,PISANGAN,MAKREDA,GEN,KHYALIRAM,MALE,OBC,makrera,AJMER,PEESANGAN,
224,AJMER,PISANGAN,MANGLIYAWAS,GEN,SURESH KASLIWAL,MALE,GEN,mangliyawas,AJMER,PEESANGAN,
225,AJMER,PISANGAN,MIYANPUR,GEN,JAWAHAR SINGH,MALE,OBC,miyanpur,AJMER,PEESANGAN,
226,AJMER,PISANGAN,NAGELAV,GEN W,CHUKI GURJAR,FEMALE,OBC,nagelav,AJMER,PEESANGAN,
227,AJMER,PISANGAN,NAND,OBC,SHIVJIRAM,MALE,OBC,nand,AJMER,PEESANGAN,
228,AJMER,PISANGAN,NANDLA,GEN W,BHANWARI,FEMALE,OBC,nandla,AJMER,PEESANGAN,
229,AJMER,PISANGAN,NYARA,GEN W,DEU GURJAR,FEMALE,OBC,nyara,AJMER,PEESANGAN,
