sl_no_2015,dist_name_2015,samiti_name_2015,gp_2015,reservation_2015,name_2015,sex_2015,category_2015,dist_name_new_2015,samiti_name_new_2015,key_2015,sl_no_2005,dist_name_2005,samiti_name_2005,gp_2005,reservation_2005,name_2005,sex_2005,category_2005,gp_new_2005,dist_name_new_2005,samiti_name_new_2005,dist_2010_2005,key_2005,sl_no_2010,dist_name_2010,samiti_name_2010,gp_2010,reservation_2010,name_2010,sex_2010,category_2010,gp_new_2015,dist_name_new_2010,samiti_name_new_2010,key_2010,dist_05_10,nuke_05_10,gp_new_2010,dist,nuke
1,AJMER,ARAI,AKODIYA,SC,SHABNUM BANNO,NA,SC,AJMER,ARAI,AJMERARAIakodiya,1,AJMER,ARAIN,AAKODIYA,OBC,GAJMAL,MALE,OBC,akodiya,AJMER,ARAI,NA,AJMERARAIakodiya,2,AJMER,ARAI,AKODIYA,GENW,lada,F,OBCW,akodiya,AJMER,ARAI,AJMERARAIakodiya,0,NA,akodiya,0,0
2,AJMER,ARAI,ARAI,General (Woman),DHARM PAL,NA,OBC (Woman),AJMER,ARAI,AJMERARAIarai,3,AJMER,ARAIN,ARAIN,ST,KANHIYA LAL,MALE,ST,arai,AJMER,ARAI,NA,AJMERARAIarai,3,AJMER,ARAI,ARAI,GEN,Bhanwar Gopal,M,GEN,arai,AJMER,ARAI,AJMERARAIarai,0,NA,arai,0,0
3,AJMER,ARAI,BHAMOLAW,OBC,MOOL CHAND,NA,OBC,AJMER,ARAI,AJMERARAIbhamolaw,5,AJMER,ARAIN,BHAMOLAV,GEN,RAM SINGH,MALE,OBC,bhamolaw,AJMER,ARAI,NA,AJMERARAIbhamolaw,5,AJMER,ARAI,BHAMOLAW,GENW,Ajay Durgesh Kanwar,F,GENW,bhamolaw,AJMER,ARAI,AJMERARAIbhamolaw,0,NA,bhamolaw,0,0
4,AJMER,ARAI,BHOGADEET,General,SUNIT A,NA,General,AJMER,ARAI,AJMERARAIbhogadeet,6,AJMER,ARAIN,BHOGADIT,GEN,AMBA LAL,MALE,GEN,bhogadeet,AJMER,ARAI,NA,AJMERARAIbhogadeet,6,AJMER,ARAI,BHOGADEET,OBC,Ramdev,M,OBC,bhogadeet,AJMER,ARAI,AJMERARAIbhogadeet,0,NA,bhogadeet,0,0
5,AJMER,ARAI,BORADA,General (Woman),LALITA,NA,General (Woman),AJMER,ARAI,AJMERARAIborada,8,AJMER,ARAIN,BORADA,GEN,SHRIDHAR,MALE,GEN,borada,AJMER,ARAI,NA,AJMERARAIborada,8,AJMER,ARAI,BORADA,GEN,Ram Singh,M,OBC,borada,AJMER,ARAI,AJMERARAIborada,0,NA,borada,0,0
7,AJMER,ARAI,DEVPURI,OBC (Woman),SARITA,NA,OBC (Woman),AJMER,ARAI,AJMERARAIdevpuri,10,AJMER,ARAIN,DEVPURI,SC,PANNA LAL,MALE,SC,devpuri,AJMER,ARAI,NA,AJMERARAIdevpuri,11,AJMER,ARAI,DEVPURI,ST,Ram ji lal,M,ST,devpuri,AJMER,ARAI,AJMERARAIdevpuri,0,NA,devpuri,0,0
8,AJMER,ARAI,DHASUK,General,SURENDER SINGH,NA,OBC,AJMER,ARAI,AJMERARAIdhasuk,11,AJMER,ARAIN,DHASUK,GEN W,NIMMI DEVI,FEMALE,GEN,dhasuk,AJMER,ARAI,NA,AJMERARAIdhasuk,12,AJMER,ARAI,DHASUK,OBCW,Norti,F,OBCW,dhasuk,AJMER,ARAI,AJMERARAIdhasuk,0,NA,dhasuk,0,0
9,AJMER,ARAI,GOTHIYANA,SC,SULTANA,NA,SC,AJMER,ARAI,AJMERARAIgothiyana,13,AJMER,ARAIN,GODHIYANA,GEN,RAJESH JAIN,MALE,GEN,gothiyana,AJMER,ARAI,NA,AJMERARAIgothiyana,14,AJMER,ARAI,GOTHIYANA,GEN,Hem Kanwar,F,GENW,gothiyana,AJMER,ARAI,AJMERARAIgothiyana,0,NA,gothiyana,0,0
10,AJMER,ARAI,JHEEROT A,OBC (Woman),NIRMALA DEVI,NA,OBC (Woman),AJMER,ARAI,AJMERARAIjheerota,16,AJMER,ARAIN,JHIROTA,SC,HARJI RAM,MALE,SC,jheerota,AJMER,ARAI,NA,AJMERARAIjheerota,17,AJMER,ARAI,JHEEROT A,GEN,Umrav jain,M,GEN,jheerota,AJMER,ARAI,AJMERARAIjheerota,0,NA,jheerota,0,0
11,AJMER,ARAI,KALANADA,SC (Woman),ROHIT ASH,NA,SC (Woman),AJMER,ARAI,AJMERARAIkalanada,17,AJMER,ARAIN,KALANADA,GEN,RAM KISHAN,MALE,OBC,kalanada,AJMER,ARAI,NA,AJMERARAIkalanada,18,AJMER,ARAI,KALANADA,GEN,Laxman,M,OBC,kalanada,AJMER,ARAI,AJMERARAIkalanada,0,NA,kalanada,0,0
12,AJMER,ARAI,KASEER,General,GOPAL RAM,NA,OBC,AJMER,ARAI,AJMERARAIkaseer,18,AJMER,ARAIN,KASHIR,GEN W,PUSI DEVI,FEMALE,OBC,kaseer,AJMER,ARAI,NA,AJMERARAIkaseer,19,AJMER,ARAI,KASEER,SC,Devi Lal,M,SC,kaseer,AJMER,ARAI,AJMERARAIkaseer,0,NA,kaseer,0,0
13,AJMER,ARAI,KATSURA,SC,MONIKA CHOUDHARY,NA,SC,AJMER,ARAI,AJMERARAIkatsura,19,AJMER,ARAIN,KATSURA,GEN W,KOUSHALIYA DEVI,FEMALE,GEN,katsura,AJMER,ARAI,NA,AJMERARAIkatsura,20,AJMER,ARAI,KATSURA,GENW,Kannot,F,OBCW,katsura,AJMER,ARAI,AJMERARAIkatsura,0,NA,katsura,0,0
14,AJMER,ARAI,MANDAWARIYA,SC (Woman),SAROJ,NA,SC (Woman),AJMER,ARAI,AJMERARAImandawariya,23,AJMER,ARAIN,MANDAWARIYA,OBC,NATHU LAL,MALE,OBC,mandawariya,AJMER,ARAI,NA,AJMERARAImandawariya,23,AJMER,ARAI,MANDAWARIYA,GEN,Suresh,M,GEN,mandawariya,AJMER,ARAI,AJMERARAImandawariya,0,NA,mandawariya,0,0
15,AJMER,ARAI,MANOHARPURA,General (Woman),ARTI BENIWAL,NA,General (Woman),AJMER,ARAI,AJMERARAImanoharpura,24,AJMER,ARAIN,MANOHARPURA,GEN W,SAJJAN KANWAR,FEMALE,GEN,manoharpura,AJMER,ARAI,NA,AJMERARAImanoharpura,24,AJMER,ARAI,MANOHARPURA,SC,Rang Lal,M,SC,manoharpura,AJMER,ARAI,AJMERARAImanoharpura,0,NA,manoharpura,0,0
16,AJMER,ARAI,SANDOLIYA,General,DAYA JANGID,NA,OBC,AJMER,ARAI,AJMERARAIsandoliya,26,AJMER,ARAIN,SADOLIYA,OBC W,PREM DEVI,FEMALE,OBC,sandoliya,AJMER,ARAI,NA,AJMERARAIsandoliya,26,AJMER,ARAI,SANDOLIY A,SCW,Lada Devi,F,SCW,sandoliya,AJMER,ARAI,AJMERARAIsandoliya,0,NA,sandoliya,0,0
17,AJMER,ARAI,SIRONJ,General (Woman),FARJANA BANO,NA,OBC (Woman),AJMER,ARAI,AJMERARAIsironj,28,AJMER,ARAIN,SIRONJ,SC,MOHAN,MALE,SC,sironj,AJMER,ARAI,NA,AJMERARAIsironj,28,AJMER,ARAI,SIRONJ,OBC,Hariram,M,OBC,sironj,AJMER,ARAI,AJMERARAIsironj,0,NA,sironj,0,0
21,AJMER,BHINAY,BADALI,General,SURESH KUMAR,NA,OBC,AJMER,BHINAY,AJMERBHINAYbadali,32,AJMER,BHINAI,BADLI,OBC,GHISA LAL,MALE,OBC,badli,AJMER,BHINAY,NA,AJMERBHINAYbadli,31,AJMER,BHINAY,BADALI,GENW,Nima Kanwar,F,GENW,badali,AJMER,BHINAY,AJMERBHINAYbadali,1,NA,badali,0,0
22,AJMER,BHINAY,BADGAON,ST,SURESH BHAMU,NA,ST,AJMER,BHINAY,AJMERBHINAYbadgaon,31,AJMER,BHINAI,BADGAON,GEN,VANSH PRADEEP SINGH,MALE,GEN,badgaon,AJMER,BHINAY,NA,AJMERBHINAYbadgaon,32,AJMER,BHINAY,BADGAON,SC,Bhim Raj Nayak,M,SC,badgaon,AJMER,BHINAY,AJMERBHINAYbadgaon,0,NA,badgaon,0,0
23,AJMER,BHINAY,BANDANW ARA,General,SUDESH,NA,OBC,AJMER,BHINAY,AJMERBHINAYbandanwara,33,AJMER,BHINAI,BANDANWADA,GEN W,KAMLENDRA KANWAR,FEMALE,GEN,bandanwara,AJMER,BHINAY,NA,AJMERBHINAYbandanwara,33,AJMER,BHINAY,BANDANW ARA,GEN,Vikram Singh,M,GEN,bandanwara,AJMER,BHINAY,AJMERBHINAYbandanwara,0,NA,bandanwara,0,0
24,AJMER,BHINAY,BHINAY,OBC (Woman),FARIYAZ BANU,NA,OBC (Woman),AJMER,BHINAY,AJMERBHINAYbhinay,36,AJMER,BHINAI,BHINAI,SC,TULSI RAM KHINCHI,MALE,SC,bhinay,AJMER,BHINAY,NA,AJMERBHINAYbhinay,36,AJMER,BHINAY,BHINAY,GEN,Vijay Dhabai,M,OBC,bhinay,AJMER,BHINAY,AJMERBHINAYbhinay,0,NA,bhinay,0,0
25,AJMER,BHINAY,BOOBKIYA,OBC,MAHIP AL,NA,OBC,AJMER,BHINAY,AJMERBHINAYboobkiya,37,AJMER,BHINAI,BUBKIYA,GEN,HARIPRASAD JAT,MALE,OBC,boobkiya,AJMER,BHINAY,NA,AJMERBHINAYboobkiya,37,AJMER,BHINAY,BOOBKIY A,SC,Rukama,F,SCW,boobkiya,AJMER,BHINAY,AJMERBHINAYboobkiya,0,NA,boobkiya,0,0
26,AJMER,BHINAY,CHACHUNDRA,General (Woman),SAVITRI ROLAN,NA,OBC (Woman),AJMER,BHINAY,AJMERBHINAYchachundra,39,AJMER,BHINAI,CHHACHHUNDRA,GEN W,RAJI DEVI,FEMALE,OBC,chachundra,AJMER,BHINAY,NA,AJMERBHINAYchachundra,38,AJMER,BHINAY,CHACHUNDRA,OBC,Har Lal Gurjar,M,OBC,chachundra,AJMER,BHINAY,AJMERBHINAYchachundra,0,NA,chachundra,0,0
27,AJMER,BHINAY,CHAP ANERI,General (Woman),BHISMILLAH,NA,General (Woman),AJMER,BHINAY,AJMERBHINAYchapaneri,38,AJMER,BHINAI,CHANPANERI,GEN,RAKESH SHARMA,MALE,GEN,chapaneri,AJMER,BHINAY,NA,AJMERBHINAYchapaneri,39,AJMER,BHINAY,CHAP ANERI,GEN,Jitendra Jain,M,GEN,chapaneri,AJMER,BHINAY,AJMERBHINAYchapaneri,0,NA,chapaneri,0,0
28,AJMER,BHINAY,DEVLIYAKALAN,General,MANISHA,NA,General,AJMER,BHINAY,AJMERBHINAYdevliyakalan,41,AJMER,BHINAI,DEVLIYA KALAN,GEN,RAMSWAROOP MEWARA,MALE,OBC,devliyakalan,AJMER,BHINAY,NA,AJMERBHINAYdevliyakalan,41,AJMER,BHINAY,DEVLIYAKALAN,OBC,Ram Swaroop,M,OBC,devliyakalan,AJMER,BHINAY,AJMERBHINAYdevliyakalan,0,NA,devliyakalan,0,0
29,AJMER,BHINAY,DHANTOL,General,MANOJ KUMAR,NA,OBC,AJMER,BHINAY,AJMERBHINAYdhantol,42,AJMER,BHINAI,DHANTOL,OBC W,SANTOK,FEMALE,OBC,dhantol,AJMER,BHINAY,NA,AJMERBHINAYdhantol,42,AJMER,BHINAY,DHANTOL,SC,Raju Lal Bairwa,M,SC,dhantol,AJMER,BHINAY,AJMERBHINAYdhantol,0,NA,dhantol,0,0
30,AJMER,BHINAY,EKALSINHA,General,SOHAN LAL,NA,OBC,AJMER,BHINAY,AJMERBHINAYekalsinha,43,AJMER,BHINAI,EKALSINGA,SC,JAGDISH,MALE,SC,ekalsinha,AJMER,BHINAY,NA,AJMERBHINAYekalsinha,43,AJMER,BHINAY,EKALSINHA,GENW,Chand Kanwar,F,GENW,ekalsinha,AJMER,BHINAY,AJMERBHINAYekalsinha,0,NA,ekalsinha,0,0
31,AJMER,BHINAY,GUDHAKHURD,General (Woman),RINKU KANWAR,NA,General (Woman),AJMER,BHINAY,AJMERBHINAYgudhakhurd,45,AJMER,BHINAI,GUDHA KHURD,GEN,GOPAL SINGH,MALE,GEN,gudhakhurd,AJMER,BHINAY,NA,AJMERBHINAYgudhakhurd,45,AJMER,BHINAY,GUDHAKHURD,GEN,Udaram Gujar,M,OBC,gudhakhurd,AJMER,BHINAY,AJMERBHINAYgudhakhurd,0,NA,gudhakhurd,0,0
32,AJMER,BHINAY,KANEIKALAN,General,SEEM AKUMARI,NA,OBC (Woman),AJMER,BHINAY,AJMERBHINAYkaneikalan,48,AJMER,BHINAI,KANAIKALA,GEN,RAJENDRA SINGH,MALE,GEN,kaneikalan,AJMER,BHINAY,NA,AJMERBHINAYkaneikalan,47,AJMER,BHINAY,KANEIKALAN,GEN,Shiv Raj Singh,M,GEN,kaneikalan,AJMER,BHINAY,AJMERBHINAYkaneikalan,0,NA,kaneikalan,0,0
33,AJMER,BHINAY,KARANTI,SC,JAGDEESH PRASAD,NA,SC (Woman),AJMER,BHINAY,AJMERBHINAYkaranti,49,AJMER,BHINAI,KANRATI,GEN,GYARSILAL RAWAT,MALE,OBC,karanti,AJMER,BHINAY,NA,AJMERBHINAYkaranti,48,AJMER,BHINAY,KARANTI,OBC,Gyarsi Lal,M,OBC,karanti,AJMER,BHINAY,AJMERBHINAYkaranti,0,NA,karanti,0,0
34,AJMER,BHINAY,KEROT,OBC,PANA MEGHWAL,NA,OBC,AJMER,BHINAY,AJMERBHINAYkerot,47,AJMER,BHINAI,KAIROT,OBC W,JETHI DEVI KIR,FEMALE,OBC,kerot,AJMER,BHINAY,NA,AJMERBHINAYkerot,50,AJMER,BHINAY,KEROT,GENW,Nina Kanwar,F,GENW,kerot,AJMER,BHINAY,AJMERBHINAYkerot,0,NA,kerot,0,0
35,AJMER,BHINAY,KUMHARIYA,SC,BHAGCHAND,NA,SC,AJMER,BHINAY,AJMERBHINAYkumhariya,51,AJMER,BHINAI,KUHARIYA,GEN W,RAMPYARI,FEMALE,GEN,kumhariya,AJMER,BHINAY,NA,AJMERBHINAYkumhariya,51,AJMER,BHINAY,KUMHARIY A,GENW,Lada Devi,F,GENW,kumhariya,AJMER,BHINAY,AJMERBHINAYkumhariya,0,NA,kumhariya,0,0
36,AJMER,BHINAY,LAMGARA,General,SATYANARAYAN,NA,OBC,AJMER,BHINAY,AJMERBHINAYlamgara,52,AJMER,BHINAI,LAMGARA,SC,BHAIRU LAL CHAMAR,MALE,SC,lamgara,AJMER,BHINAY,NA,AJMERBHINAYlamgara,52,AJMER,BHINAY,LAMGARA,OBCW,Geeta Devi Jat,F,OBCW,lamgara,AJMER,BHINAY,AJMERBHINAYlamgara,0,NA,lamgara,0,0
37,AJMER,BHINAY,NAGOLA,OBC,RANGLAL,NA,OBC,AJMER,BHINAY,AJMERBHINAYnagola,53,AJMER,BHINAI,NAGOLA,SC W,SUNDARI DEVI,FEMALE,SC,nagola,AJMER,BHINAY,NA,AJMERBHINAYnagola,53,AJMER,BHINAY,NAGOLA,ST,Bhagu Bheel,M,ST,nagola,AJMER,BHINAY,AJMERBHINAYnagola,0,NA,nagola,0,0
38,AJMER,BHINAY,NANDSI,OBC (Woman),MAYA KUMAWAT,NA,OBC (Woman),AJMER,BHINAY,AJMERBHINAYnandsi,54,AJMER,BHINAI,NANDSI,GEN,DILIP SINGH,MALE,GEN,nandsi,AJMER,BHINAY,NA,AJMERBHINAYnandsi,54,AJMER,BHINAY,NANDSI,GEN,Paravti Devi,F,GENW,nandsi,AJMER,BHINAY,AJMERBHINAYnandsi,0,NA,nandsi,0,0
39,AJMER,BHINAY,P ADANGA,General (Woman),MEERA JAT,NA,OBC (Woman),AJMER,BHINAY,AJMERBHINAYpadanga,56,AJMER,BHINAI,PAUNGA,GEN,BHALA RAM GURJAR,MALE,OBC,padanga,AJMER,BHINAY,NA,AJMERBHINAYpadanga,55,AJMER,BHINAY,PADANGA,SCW,Dhani Devi,F,SCW,padanga,AJMER,BHINAY,AJMERBHINAYpadanga,0,NA,padanga,0,0
40,AJMER,BHINAY,PADLIYA,SC (Woman),SAMPATI DEVI,NA,SC (Woman),AJMER,BHINAY,AJMERBHINAYpadliya,55,AJMER,BHINAI,PARLIYA,OBC,SHIVRAJ GUSANAI,MALE,OBC,padliya,AJMER,BHINAY,NA,AJMERBHINAYpadliya,56,AJMER,BHINAY,PADLIYA,STW,Chooti Devi,F,STW,padliya,AJMER,BHINAY,AJMERBHINAYpadliya,0,NA,padliya,0,0
41,AJMER,BHINAY,RAMMALIYA,SC,PANCHU LAL,NA,SC,AJMER,BHINAY,AJMERBHINAYrammaliya,57,AJMER,BHINAI,RAM MALIYA,GEN,GANESH CHOUDHARY,MALE,OBC,rammaliya,AJMER,BHINAY,NA,AJMERBHINAYrammaliya,57,AJMER,BHINAY,RAMMALIYA,GENW,Indra Devi Jat,F,OBCW,rammaliya,AJMER,BHINAY,AJMERBHINAYrammaliya,0,NA,rammaliya,0,0
42,AJMER,BHINAY,RATAKOT,SC,PUKHRAJ BHAMBI,NA,SC,AJMER,BHINAY,AJMERBHINAYratakot,58,AJMER,BHINAI,RATAKOT,GEN,SUBHASH UPADHYAY,MALE,GEN,ratakot,AJMER,BHINAY,NA,AJMERBHINAYratakot,58,AJMER,BHINAY,RATAKOT,GEN,Mohammed Rasid,M,GEN,ratakot,AJMER,BHINAY,AJMERBHINAYratakot,0,NA,ratakot,0,0
43,AJMER,BHINAY,SINGAWAL,General (Woman),BEBI KANWAR,NA,General (Woman),AJMER,BHINAY,AJMERBHINAYsingawal,63,AJMER,BHINAI,SINGAWAL,GEN,SEHDEV GURJAR,MALE,OBC,singawal,AJMER,BHINAY,NA,AJMERBHINAYsingawal,63,AJMER,BHINAY,SINGAWAL,OBCW,Nosar Devi,F,OBCW,singawal,AJMER,BHINAY,AJMERBHINAYsingawal,0,NA,singawal,0,0
44,AJMER,BHINAY,SOBARI,General,P ARMESHW AR,NA,OBC,AJMER,BHINAY,AJMERBHINAYsobari,64,AJMER,BHINAI,SOBADI,OBC,RAMESH CHANDRA DHABAI,MALE,OBC,sobari,AJMER,BHINAY,NA,AJMERBHINAYsobari,64,AJMER,BHINAY,SOBARI,GENW,Nihali Devi,F,OBCW,sobari,AJMER,BHINAY,AJMERBHINAYsobari,0,NA,sobari,0,0
45,AJMER,JAWAJA,AASAN,General (Woman),SUSHIL A,NA,OBC (Woman),AJMER,JAWAJA,AJMERJAWAJAaasan,66,AJMER,JAWAJA,AASAN,GEN,GANPAT SINGH,MALE,OBC,aasan,AJMER,JAWAJA,NA,AJMERJAWAJAaasan,66,AJMER,JAW AJA,AASAN,GEN,ganpat singh,M,OBC,aasan,AJMER,JAWAJA,AJMERJAWAJAaasan,0,NA,aasan,0,0
46,AJMER,JAWAJA,A TEETMAND,General,RATAN SINGH,NA,OBC,AJMER,JAWAJA,AJMERJAWAJAateetmand,67,AJMER,JAWAJA,ATITMAND,GEN,PRATAP SINGH,MALE,OBC,ateetmand,AJMER,JAWAJA,NA,AJMERJAWAJAateetmand,67,AJMER,JAW AJA,ATEETMAND,GEN,pratap rawat,M,OBC,ateetmand,AJMER,JAWAJA,AJMERJAWAJAateetmand,0,NA,ateetmand,0,0
47,AJMER,JAWAJA,BADAKHEDA @ KHERAKALAN,OBC (Woman),NIRMALA DEVI,NA,OBC (Woman),AJMER,JAWAJA,AJMERJAWAJAkhedakalan,81,AJMER,JAWAJA,KHEDAKALAN,GEN,PRATHVI PAL SINGH,MALE,OBC,khedakalan,AJMER,JAWAJA,NA,AJMERJAWAJAkhedakalan,68,AJMER,JAW AJA,BADAKHEDA @ KHERAKALAN,SCW,Asha Devi,F,SCW,khedakalan,AJMER,JAWAJA,AJMERJAWAJAkhedakalan,0,NA,khedakalan,0,0
48,AJMER,JAWAJA,BADKHOCHRA,General (Woman),MEERA DEVI,NA,OBC (Woman),AJMER,JAWAJA,AJMERJAWAJAbadkhochra,68,AJMER,JAWAJA,BADKOCHRA,OBC,KUPSINGH,MALE,OBC,badkhochra,AJMER,JAWAJA,NA,AJMERJAWAJAbadkhochra,69,AJMER,JAW AJA,BADKHOCHRA,GENW,keshi Rawa,F,OBCW,badkhochra,AJMER,JAWAJA,AJMERJAWAJAbadkhochra,0,NA,badkhochra,0,0
49,AJMER,JAWAJA,BALAD,General (Woman),GEET A,NA,OBC (Woman),AJMER,JAWAJA,AJMERJAWAJAbalad,69,AJMER,JAWAJA,BALAD,GEN,BHIM SINGH,MALE,OBC,balad,AJMER,JAWAJA,NA,AJMERJAWAJAbalad,70,AJMER,JAW AJA,BALAD,GENW,Meni,F,OBCW,balad,AJMER,JAWAJA,AJMERJAWAJAbalad,0,NA,balad,0,0
50,AJMER,JAWAJA,BAMANHEDA,OBC,MAHIPAL SINGH,NA,OBC,AJMER,JAWAJA,AJMERJAWAJAbamanheda,70,AJMER,JAWAJA,BAMANHEDA,GEN W,TARA DEVI,FEMALE,OBC,bamanheda,AJMER,JAWAJA,NA,AJMERJAWAJAbamanheda,71,AJMER,JAW AJA,BAMANHEDA,GENW,Tara Devi,F,OBCW,bamanheda,AJMER,JAWAJA,AJMERJAWAJAbamanheda,0,NA,bamanheda,0,0
51,AJMER,JAWAJA,BANJARI,OBC (Woman),ROSHANA DEVI,NA,OBC (Woman),AJMER,JAWAJA,AJMERJAWAJAbanjari,71,AJMER,JAWAJA,BANJARI,GEN,SURENDRA SINGH,MALE,OBC,banjari,AJMER,JAWAJA,NA,AJMERJAWAJAbanjari,72,AJMER,JAW AJA,BANJARI,GEN,Ram singh,M,OBC,banjari,AJMER,JAWAJA,AJMERJAWAJAbanjari,0,NA,banjari,0,0
53,AJMER,JAWAJA,BEAWARKHAS,General,VIJENDRA SINGH,NA,OBC,AJMER,JAWAJA,AJMERJAWAJAbeawarkhas,73,AJMER,JAWAJA,BEAWAR KHAS,OBC,NARAYAN GURJAR,MALE,OBC,beawarkhas,AJMER,JAWAJA,NA,AJMERJAWAJAbeawarkhas,74,AJMER,JAW AJA,BEAW ARKHAS,GEN,Umrav,M,GEN,beawarkhas,AJMER,JAWAJA,AJMERJAWAJAbeawarkhas,0,NA,beawarkhas,0,0
54,AJMER,JAWAJA,DELWARA,General (Woman),KIRAN,NA,OBC (Woman),AJMER,JAWAJA,AJMERJAWAJAdelwara,74,AJMER,JAWAJA,DELWARA,GEN,PAPPU,MALE,OBC,delwara,AJMER,JAWAJA,NA,AJMERJAWAJAdelwara,75,AJMER,JAW AJA,DELWARA,GENW,Umra kathat,F,OBCW,delwara,AJMER,JAWAJA,AJMERJAWAJAdelwara,0,NA,delwara,0,0
55,AJMER,JAWAJA,DEWATA,General (Woman),INDRA DEVI,NA,OBC (Woman),AJMER,JAWAJA,AJMERJAWAJAdewata,75,AJMER,JAWAJA,DEVATA,GEN,SURENDRA SINGH,MALE,OBC,dewata,AJMER,JAWAJA,NA,AJMERJAWAJAdewata,76,AJMER,JAW AJA,DEWATA,OBCW,pani devi,F,OBCW,dewata,AJMER,JAWAJA,AJMERJAWAJAdewata,0,NA,dewata,0,0
56,AJMER,JAWAJA,DURGAWAS,General,GANPAT SINGH,NA,OBC,AJMER,JAWAJA,AJMERJAWAJAdurgawas,76,AJMER,JAWAJA,DURGAWAS,OBC,BAHADUR,MALE,OBC,durgawas,AJMER,JAWAJA,NA,AJMERJAWAJAdurgawas,77,AJMER,JAW AJA,DURGAWAS,GENW,sneh lata,F,OBCW,durgawas,AJMER,JAWAJA,AJMERJAWAJAdurgawas,0,NA,durgawas,0,0
57,AJMER,JAWAJA,GOHANA,General,SHRAWAN LAL SAIN,NA,OBC,AJMER,JAWAJA,AJMERJAWAJAgohana,77,AJMER,JAWAJA,GOHANA,OBC W,MEERA,FEMALE,OBC,gohana,AJMER,JAWAJA,NA,AJMERJAWAJAgohana,78,AJMER,JAW AJA,GOHANA,GENW,meera devi,F,OBCW,gohana,AJMER,JAWAJA,AJMERJAWAJAgohana,0,NA,gohana,0,0
58,AJMER,JAWAJA,JALIYA FIRST,General,TAJ MOHAMMAD,NA,OBC,AJMER,JAWAJA,AJMERJAWAJAjaliya first,78,AJMER,JAWAJA,JALIYA FIRST,GEN W,SHABNAM,FEMALE,OBC,jaliya first,AJMER,JAWAJA,NA,AJMERJAWAJAjaliya first,79,AJMER,JAW AJA,JALIYA FIRST,OBCW,sartaj,F,OBCW,jaliya first,AJMER,JAWAJA,AJMERJAWAJAjaliya first,0,NA,jaliya first,0,0
59,AJMER,JAWAJA,JAWAJA,General (Woman),VIJAY LAXMI,NA,SC (Woman),AJMER,JAWAJA,AJMERJAWAJAjawaja,79,AJMER,JAWAJA,JAWAJA,GEN W,MOHAN SINGH,FEMALE,OBC,jawaja,AJMER,JAWAJA,NA,AJMERJAWAJAjawaja,80,AJMER,JAW AJA,JAW AJA,SC,Vinod Kumar,M,SC,jawaja,AJMER,JAWAJA,AJMERJAWAJAjawaja,0,NA,jawaja,0,0
60,AJMER,JAWAJA,KABRA,General (Woman),PARWAT,NA,OBC (Woman),AJMER,JAWAJA,AJMERJAWAJAkabra,80,AJMER,JAWAJA,KABRA,GEN,BHAIRUSINGH,MALE,OBC,kabra,AJMER,JAWAJA,NA,AJMERJAWAJAkabra,81,AJMER,JAW AJA,KABRA,GENW,sohni devi,F,GENW,kabra,AJMER,JAWAJA,AJMERJAWAJAkabra,0,NA,kabra,0,0
61,AJMER,JAWAJA,KISHANPURA,General (Woman),YOGIT A,NA,OBC (Woman),AJMER,JAWAJA,AJMERJAWAJAkishanpura,82,AJMER,JAWAJA,KISHANPURA,GEN,HAJARI SINGH,MALE,OBC,kishanpura,AJMER,JAWAJA,NA,AJMERJAWAJAkishanpura,82,AJMER,JAW AJA,KISHANPURA,OBC,Badami Devi,F,OBCW,kishanpura,AJMER,JAWAJA,AJMERJAWAJAkishanpura,0,NA,kishanpura,0,0
62,AJMER,JAWAJA,KOTRA,General,GEETA DEVI,NA,OBC (Woman),AJMER,JAWAJA,AJMERJAWAJAkotra,83,AJMER,JAWAJA,KOTRA,OBC,LADU SINGH,MALE,OBC,kotra,AJMER,JAWAJA,NA,AJMERJAWAJAkotra,83,AJMER,JAW AJA,KOTRA,GEN,Ladu Singh,M,OBC,kotra,AJMER,JAWAJA,AJMERJAWAJAkotra,0,NA,kotra,0,0
63,AJMER,JAWAJA,LOTIYANA,OBC,DUNGER SINGH,NA,OBC,AJMER,JAWAJA,AJMERJAWAJAlotiyana,84,AJMER,JAWAJA,LOTIYANA,GEN W,LAXMI DEVI,FEMALE,OBC,lotiyana,AJMER,JAWAJA,NA,AJMERJAWAJAlotiyana,84,AJMER,JAW AJA,LOTIYANA,GENW,Lila Chouhan,F,OBCW,lotiyana,AJMER,JAWAJA,AJMERJAWAJAlotiyana,0,NA,lotiyana,0,0
64,AJMER,JAWAJA,MALATON KI BAIR,OBC,NIRMALA DEVI,NA,OBC (Woman),AJMER,JAWAJA,AJMERJAWAJAmalaton ki bair,85,AJMER,JAWAJA,MALATA KI BAIR,GEN,GANPAT SINGH,MALE,OBC,malaton ki bair,AJMER,JAWAJA,NA,AJMERJAWAJAmalaton ki bair,85,AJMER,JAW AJA,MALATON KI BAIR,GEN,Ganpat Singh,M,OBC,malaton ki bair,AJMER,JAWAJA,AJMERJAWAJAmalaton ki bair,0,NA,malaton ki bair,0,0
