state,year,district,district_declared,block_no,block,gp_no,halqa,gp_identity_from_page_text,ward_no,ward_name,tier,tier_local,reservation,caste_reservation,woman_reserved,listing_scope,pop_sc,pop_st,pop_oc,pop_total,reservation_raw,script,source_path,source_page,source_pdf,source_url,source_capture
Jammu & Kashmir,2016,Doda,,,1. Assar,1,Assar- Ginota,,I,Assar-A,gp_ward,ward,Other than Woman,NONE,0,all_seats,90,43,186,319,Open,latin,data/jk/2016/Annex A Doda.pdf,1,Annex A Doda.pdf,,
Jammu & Kashmir,2016,Doda,,,1. Assar,1,Assar- Ginota,,II,Assar-B,gp_ward,ward,Woman,NONE,1,all_seats,22,0,199,221,Women,latin,data/jk/2016/Annex A Doda.pdf,1,Annex A Doda.pdf,,
Jammu & Kashmir,2016,Doda,,,1. Assar,1,Assar- Ginota,,III,Bhatta,gp_ward,ward,Other than Woman,NONE,0,all_seats,0,0,192,192,Open,latin,data/jk/2016/Annex A Doda.pdf,1,Annex A Doda.pdf,,
Jammu & Kashmir,2016,Doda,,,1. Assar,1,Assar- Ginota,,IV,Kundari,gp_ward,ward,Other than Woman,NONE,0,all_seats,118,0,188,306,Open,latin,data/jk/2016/Annex A Doda.pdf,1,Annex A Doda.pdf,,
Jammu & Kashmir,2016,Doda,,,1. Assar,1,Assar- Ginota,,V,Nansalla,gp_ward,ward,SC Woman,SC,1,all_seats,120,112,120,352,SC Women,latin,data/jk/2016/Annex A Doda.pdf,1,Annex A Doda.pdf,,
Jammu & Kashmir,2016,Doda,,,1. Assar,1,Assar- Ginota,,VI,Ginota-A,gp_ward,ward,Other than Woman,NONE,0,all_seats,72,0,201,273,Open,latin,data/jk/2016/Annex A Doda.pdf,1,Annex A Doda.pdf,,
Jammu & Kashmir,2016,Doda,,,1. Assar,1,Assar- Ginota,,VII,Ginota-B,gp_ward,ward,Other than Woman,NONE,0,all_seats,24,36,192,252,Open,latin,data/jk/2016/Annex A Doda.pdf,1,Annex A Doda.pdf,,
Jammu & Kashmir,2016,Doda,,,1. Assar,1,Assar- Ginota,,VIII,Neatcha,gp_ward,ward,ST Woman,ST,1,all_seats,38,225,170,433,ST Women,latin,data/jk/2016/Annex A Doda.pdf,1,Annex A Doda.pdf,,
Jammu & Kashmir,2016,Doda,,,1. Assar,2,Bibrota,,I,Bibrota,gp_ward,ward,Other than Woman,NONE,0,all_seats,0,0,362,362,Open,latin,data/jk/2016/Annex A Doda.pdf,1,Annex A Doda.pdf,,
Jammu & Kashmir,2016,Doda,,,1. Assar,2,Bibrota,,II,Bhatta,gp_ward,ward,Woman,NONE,1,all_seats,0,0,389,389,Women,latin,data/jk/2016/Annex A Doda.pdf,1,Annex A Doda.pdf,,
Jammu & Kashmir,2016,Doda,,,1. Assar,2,Bibrota,,III,Batmol,gp_ward,ward,Other than Woman,NONE,0,all_seats,0,0,451,451,Open,latin,data/jk/2016/Annex A Doda.pdf,1,Annex A Doda.pdf,,
Jammu & Kashmir,2016,Doda,,,1. Assar,2,Bibrota,,IV,Assni,gp_ward,ward,Other than Woman,NONE,0,all_seats,0,0,441,441,Open,latin,data/jk/2016/Annex A Doda.pdf,1,Annex A Doda.pdf,,
Jammu & Kashmir,2016,Doda,,,1. Assar,2,Bibrota,,V,Dugga,gp_ward,ward,Woman,NONE,1,all_seats,0,0,368,368,Women,latin,data/jk/2016/Annex A Doda.pdf,2,Annex A Doda.pdf,,
Jammu & Kashmir,2016,Doda,,,1. Assar,2,Bibrota,,VI,Shadani,gp_ward,ward,Other than Woman,NONE,0,all_seats,0,0,562,562,Open,latin,data/jk/2016/Annex A Doda.pdf,2,Annex A Doda.pdf,,
Jammu & Kashmir,2016,Doda,,,1. Assar,3,Blandpur,,I,Blandpur- A,gp_ward,ward,SC Other than Woman,SC,0,all_seats,195,0,151,346,SC,latin,data/jk/2016/Annex A Doda.pdf,2,Annex A Doda.pdf,,
Jammu & Kashmir,2016,Doda,,,1. Assar,3,Blandpur,,II,Blandpur- B,gp_ward,ward,Woman,NONE,1,all_seats,0,0,277,277,Women,latin,data/jk/2016/Annex A Doda.pdf,2,Annex A Doda.pdf,,
Jammu & Kashmir,2016,Doda,,,1. Assar,3,Blandpur,,III,Lilote,gp_ward,ward,SC Other than Woman,SC,0,all_seats,276,0,9,285,SC,latin,data/jk/2016/Annex A Doda.pdf,2,Annex A Doda.pdf,,
Jammu & Kashmir,2016,Doda,,,1. Assar,3,Blandpur,,IV,Regarh,gp_ward,ward,SC Other than Woman,SC,0,all_seats,286,0,3,289,SC,latin,data/jk/2016/Annex A Doda.pdf,2,Annex A Doda.pdf,,
Jammu & Kashmir,2016,Doda,,,1. Assar,3,Blandpur,,V,Thandap ani,gp_ward,ward,ST Woman,ST,1,all_seats,40,370,30,440,ST Women,latin,data/jk/2016/Annex A Doda.pdf,2,Annex A Doda.pdf,,
Jammu & Kashmir,2016,Doda,,,1. Assar,3,Blandpur,,VI,Kharonti,gp_ward,ward,SC Other than Woman,SC,0,all_seats,285,0,187,472,SC,latin,data/jk/2016/Annex A Doda.pdf,2,Annex A Doda.pdf,,
Jammu & Kashmir,2016,Doda,,,1. Assar,4,Chaka- A-1,,I,Chaka-A,gp_ward,ward,SC Other than Woman,SC,0,all_seats,205,50,175,430,SC,latin,data/jk/2016/Annex A Doda.pdf,2,Annex A Doda.pdf,,
Jammu & Kashmir,2016,Doda,,,1. Assar,4,Chaka- A-1,,II,Kundi,gp_ward,ward,Woman,NONE,1,all_seats,120,0,320,440,Women,latin,data/jk/2016/Annex A Doda.pdf,3,Annex A Doda.pdf,,
Jammu & Kashmir,2016,Doda,,,1. Assar,4,Chaka- A-1,,III,Kangatw al,gp_ward,ward,Other than Woman,NONE,0,all_seats,130,0,230,360,Open,latin,data/jk/2016/Annex A Doda.pdf,3,Annex A Doda.pdf,,
Jammu & Kashmir,2016,Doda,,,1. Assar,4,Chaka- A-1,,IV,Goru,gp_ward,ward,Other than Woman,NONE,0,all_seats,80,0,272,352,Open,latin,data/jk/2016/Annex A Doda.pdf,3,Annex A Doda.pdf,,
Jammu & Kashmir,2016,Doda,,,1. Assar,4,Chaka- A-1,,V,Dulla,gp_ward,ward,SC Woman,SC,1,all_seats,175,0,155,330,SC Women,latin,data/jk/2016/Annex A Doda.pdf,3,Annex A Doda.pdf,,
Jammu & Kashmir,2016,Doda,,,1. Assar,4,Chaka- A-1,,VI,Raina,gp_ward,ward,Other than Woman,NONE,0,all_seats,0,0,220,220,Open,latin,data/jk/2016/Annex A Doda.pdf,3,Annex A Doda.pdf,,
Jammu & Kashmir,2016,Doda,,,1. Assar,5,Chaka- A-2,,I,Bhartund,gp_ward,ward,Other than Woman,NONE,0,all_seats,0,0,347,347,Open,latin,data/jk/2016/Annex A Doda.pdf,3,Annex A Doda.pdf,,
Jammu & Kashmir,2016,Doda,,,1. Assar,5,Chaka- A-2,,II,Sarkundi,gp_ward,ward,Woman,NONE,1,all_seats,0,0,316,316,Women,latin,data/jk/2016/Annex A Doda.pdf,3,Annex A Doda.pdf,,
