district_id,district_name,mandal_id,mandal_name,gpcode,gp_name,contestant,votes_received,reserved_for,total_valid_votes,rejected_votes,tendered_votes,NOTA
17,Medak,18,Yeldurthy,27,Yeshwanthraopet,Markanti Yeshoda,311,BC(W),793,15,0,5
17,Medak,18,Yeldurthy,27,Yeshwanthraopet,GUDDAMULLA BAGAMMA,482,BC(W),793,15,0,5
30,Suryapet,4,Maddirala,2,Turpu Thanda,bhukya laxmi,115,ST(W),194,3,0,1
30,Suryapet,4,Maddirala,2,Turpu Thanda,bhukya padma,79,ST(W),194,3,0,1
30,Suryapet,4,Maddirala,13,Reddygudem,ANEPARTHI NARSAIAH,18,SC(G),1265,17,0,2
30,Suryapet,4,Maddirala,13,Reddygudem,BARPATHI UPENDAR,636,SC(G),1265,17,0,2
30,Suryapet,4,Maddirala,13,Reddygudem,BOJJA SAIDULU,611,SC(G),1265,17,0,2
30,Suryapet,4,Maddirala,15,Ramachandrapuram,VELUGU PRASANTH,6,UR(G),447,4,0,1
30,Suryapet,4,Maddirala,15,Ramachandrapuram,VELUGU VENKANNA,242,UR(G),447,4,0,1
30,Suryapet,4,Maddirala,15,Ramachandrapuram,UBANI RAGHUPAHI,199,UR(G),447,4,0,1
30,Suryapet,4,Maddirala,7,Polumalla,BHAVANI CHILIVERU,1298,UR(W),2558,53,0,22
30,Suryapet,4,Maddirala,7,Polumalla,ELETI UMA,1214,UR(W),2558,53,0,22
30,Suryapet,4,Maddirala,7,Polumalla,MALLIKA RESU,46,UR(W),2558,53,0,22
30,Suryapet,4,Maddirala,9,Mukudapuram,akkireddy jyothi,952,UR(W),1733,45,0,7
30,Suryapet,4,Maddirala,9,Mukudapuram,AKKIREDDY JYOTHI,10,UR(W),1733,45,0,7
30,Suryapet,4,Maddirala,9,Mukudapuram,YELLU RAJITHA,771,UR(W),1733,45,0,7
30,Suryapet,4,Maddirala,5,Mamindlamadava,ANGOTHU BUJJI,435,ST(W),935,25,0,5
30,Suryapet,4,Maddirala,5,Mamindlamadava,ANGOTHU KOMALI,500,ST(W),935,25,0,5
30,Suryapet,4,Maddirala,8,Maddirala,ENTIYAZ KHATUN,1752,BC(W),2999,106,0,35
30,Suryapet,4,Maddirala,8,Maddirala,MARTHA ANITHA,1247,BC(W),2999,106,0,35
30,Suryapet,4,Maddirala,3,Kuntapally,kunduru vishnuwardhan reddi,0,UR(G),0,0,0,0
30,Suryapet,4,Maddirala,6,Kukkadam,Vallapu Ramesh,767,UR(G),1713,20,0,5
30,Suryapet,4,Maddirala,6,Kukkadam,gundla komaraiah,946,UR(G),1713,20,0,5
30,Suryapet,4,Maddirala,14,Gummadavelly,gundla upendra,0,BC(G),0,0,0,0
30,Suryapet,4,Maddirala,14,Gummadavelly,modem srilatha,0,BC(G),0,0,0,0
30,Suryapet,4,Maddirala,14,Gummadavelly,MODEM UPENDER,0,BC(G),0,0,0,0
30,Suryapet,4,Maddirala,4,Gorentla,venu palwai,849,SC(G),2156,60,0,8
30,Suryapet,4,Maddirala,4,Gorentla,shivamekala  shankara ravi vara prasanth kumar,14,SC(G),2156,60,0,8
30,Suryapet,4,Maddirala,4,Gorentla,damrla venkanna,1179,SC(G),2156,60,0,8
30,Suryapet,4,Maddirala,4,Gorentla,palwai kavitha,114,SC(G),2156,60,0,8
30,Suryapet,4,Maddirala,4,Gorentla,marikanti mallesh,0,SC(G),2156,60,0,8
30,Suryapet,4,Maddirala,10,Ganjivarikothapally,BOBILI MAMATHA,211,SC(W),944,6,0,4
30,Suryapet,4,Maddirala,10,Ganjivarikothapally,JILAKARA PUSHPALATHA,279,SC(W),944,6,0,4
30,Suryapet,4,Maddirala,10,Ganjivarikothapally,BOBILI NARSAMMA,454,SC(W),944,6,0,4
30,Suryapet,4,Maddirala,1,Choulla Thanda,Lavudya Venkanna,213,ST(G),355,5,0,3
30,Suryapet,4,Maddirala,1,Choulla Thanda,Banothu Sudhakar,142,ST(G),355,5,0,3
30,Suryapet,4,Maddirala,11,Chinna Nemila,surarapu gouthami,965,SC(W),1632,52,0,12
30,Suryapet,4,Maddirala,11,Chinna Nemila,sanchu saileja,667,SC(W),1632,52,0,12
30,Suryapet,4,Maddirala,12,Chandupatla ,bejjanki upendra,622,UR(W),1400,16,0,7
30,Suryapet,4,Maddirala,12,Chandupatla ,kasthuri rani,778,UR(W),1400,16,0,7
31,Khammam,21,Yerrupalem,15,Yerrupalem,APPARAO MOGILI,1216,BC(G),2724,40,0,7
31,Khammam,21,Yerrupalem,15,Yerrupalem,ISMAIL SHAIK,676,BC(G),2724,40,0,7
31,Khammam,21,Yerrupalem,15,Yerrupalem,SRIPALASETTI THIRAPATHI RAO,832,BC(G),2724,40,0,7
31,Khammam,21,Yerrupalem,7,Venkatapuram ,VEMIREDDY ARUNA,267,UR(W),911,8,0,2
31,Khammam,21,Yerrupalem,7,Venkatapuram ,BOGGULA LAXMI,644,UR(W),911,8,0,2
31,Khammam,21,Yerrupalem,31,Thakkellapadu,KURAPATI SUNDHARAMMA,912,SC(W),1452,14,0,10
31,Khammam,21,Yerrupalem,31,Thakkellapadu,PATTHIPATI ISTARAMMA,540,SC(W),1452,14,0,10
31,Khammam,21,Yerrupalem,8,Tellapalem,MERI CHINNAIAH TIPPABATHINA,214,BC(G),738,5,0,2
31,Khammam,21,Yerrupalem,8,Tellapalem,RAMAKRISHNA PERUGU,524,BC(G),738,5,0,2
31,Khammam,21,Yerrupalem,30,Sakhinaveedu,PASUPULETI RADHA,549,UR(G),1243,12,0,1
31,Khammam,21,Yerrupalem,30,Sakhinaveedu,YARAMALA VIJAYA BHASKAR REDDY,694,UR(G),1243,12,0,1
31,Khammam,21,Yerrupalem,29,Remidicherla,RAJESHWARARAO SAMINENI,584,UR(G),1537,11,0,2
31,Khammam,21,Yerrupalem,29,Remidicherla,CHENNAMRAJU PURSHOTHAMRAJU,953,UR(G),1537,11,0,2
31,Khammam,21,Yerrupalem,4,Ramapuram,KOMMURU GOPALARAO,0,BC(G),0,0,0,0
31,Khammam,21,Yerrupalem,14,Rajulapalem,VEMIREDDY KRISHNA REDDY,321,UR(G),686,7,0,2
31,Khammam,21,Yerrupalem,14,Rajulapalem,BUSIPALLI VENKATA REDDY,365,UR(G),686,7,0,2
31,Khammam,21,Yerrupalem,6,Rajuladevarapadu,UPATHALA VENKATANARAYANA,327,UR(G),834,10,0,3
31,Khammam,21,Yerrupalem,6,Rajuladevarapadu,VEMIREDDY  SUDHAKAR REDDY,507,UR(G),834,10,0,3
31,Khammam,21,Yerrupalem,28,Pegallapudu,RAJESWARI SAGGURTHI,473,SC(W),927,5,0,1
31,Khammam,21,Yerrupalem,28,Pegallapudu,SAGGURTHI RANI,454,SC(W),927,5,0,1
31,Khammam,21,Yerrupalem,27,Peddagopavaram,INAPANURI SIVAJI,726,SC(G),1061,16,0,0
31,Khammam,21,Yerrupalem,27,Peddagopavaram,INAPANURI NAGESWARARAO,335,SC(G),1061,16,0,0
31,Khammam,21,Yerrupalem,3,Narasimhapuram,KALAVATHI DANTHALA,266,BC(W),560,7,0,1
31,Khammam,21,Yerrupalem,3,Narasimhapuram,MERUGUMALLA LAKSHMI,294,BC(W),560,7,0,1
31,Khammam,21,Yerrupalem,26,Mulugumadu,Katarapu Brahmaiah,622,SC(G),1168,10,0,0
31,Khammam,21,Yerrupalem,26,Mulugumadu,Juguntla Srinivasarao,4,SC(G),1168,10,0,0
31,Khammam,21,Yerrupalem,26,Mulugumadu,Arigela Nageswara Rao,542,SC(G),1168,10,0,0
31,Khammam,21,Yerrupalem,25,Meenavolu ,NAGESWARAMMA RAMISETTI,1111,UR(W),2358,35,0,0
31,Khammam,21,Yerrupalem,25,Meenavolu ,ANURADHA VEMIREDDY,1247,UR(W),2358,35,0,0
31,Khammam,21,Yerrupalem,13,Mamunuru,DOMANDHULA VEERAIAH,287,SC(G),1253,23,0,0
31,Khammam,21,Yerrupalem,13,Mamunuru,MARABATHULA MOHAN RAO,455,SC(G),1253,23,0,0
31,Khammam,21,Yerrupalem,13,Mamunuru,VARIKUTI RAJESWARARAO,76,SC(G),1253,23,0,0
31,Khammam,21,Yerrupalem,13,Mamunuru,DOKKA SATYAVARHI,435,SC(G),1253,23,0,0
31,Khammam,21,Yerrupalem,5,Laxmipuram,THALLAPUREDDY  PRAVALIKA,211,UR(W),447,5,0,0
31,Khammam,21,Yerrupalem,5,Laxmipuram,SEELAM RADHAMMA,236,UR(W),447,5,0,0
31,Khammam,21,Yerrupalem,12,Kothapalem,KOTAPATI BHUDEVI,324,BC(W),923,12,0,0
31,Khammam,21,Yerrupalem,12,Kothapalem,KATHI NAGAMANI,599,BC(W),923,12,0,0
31,Khammam,21,Yerrupalem,1,Kandrika,BHUKYA NAGAMANI,192,UR(W),318,2,0,0
31,Khammam,21,Yerrupalem,1,Kandrika,VEJANDLA LAKSHMI,113,UR(W),318,2,0,0
31,Khammam,21,Yerrupalem,1,Kandrika,MIRIYALA RENUKA,13,UR(W),318,2,0,0
31,Khammam,21,Yerrupalem,24,Kachavaram,SHAIK FATHIMA BEE,202,BC(W),448,3,0,0
31,Khammam,21,Yerrupalem,24,Kachavaram,DEVARALA LAKSHMI,115,BC(W),448,3,0,0
31,Khammam,21,Yerrupalem,24,Kachavaram,FATHIMA BEE SHAIK,131,BC(W),448,3,0,0
31,Khammam,21,Yerrupalem,23,Jamalapuram,YARRAMREDDY SIVA KUMARI,597,UR(W),1670,31,0,5
31,Khammam,21,Yerrupalem,23,Jamalapuram,SWAPNA MULPURI,1073,UR(W),1670,31,0,5
31,Khammam,21,Yerrupalem,22,Inagali,Vemireddy Venkat Reddy,723,UR(G),1460,8,0,1
31,Khammam,21,Yerrupalem,22,Inagali,Yaramala Venkat Reddy,737,UR(G),1460,8,0,1
31,Khammam,21,Yerrupalem,21,"Guntupalli 
Gopavaram",SAMINENI HANUMANTHARAO,537,UR(G),1234,15,0,2
31,Khammam,21,Yerrupalem,21,"Guntupalli 
Gopavaram",KOTA SRINIVASARAO,697,UR(G),1234,15,0,2
31,Khammam,21,Yerrupalem,20,Gosaveedu ,Nandigam Prabhakara Rao,437,SC(G),1090,9,0,3
31,Khammam,21,Yerrupalem,20,Gosaveedu ,Kothapalli Vidyasagar,653,SC(G),1090,9,0,3
31,Khammam,21,Yerrupalem,19,Gatlagowraram,YERRU NAGESWARARAO,274,BC(G),562,5,0,0
31,Khammam,21,Yerrupalem,19,Gatlagowraram,VENKATRAO YERRU,288,BC(G),562,5,0,0
31,Khammam,21,Yerrupalem,18,Choppakatlapalem,VADLAKUNTA PADMA,592,SC(W),1180,8,0,4
31,Khammam,21,Yerrupalem,18,Choppakatlapalem,PATTIPATI SUNITHA,588,SC(W),1180,8,0,4
31,Khammam,21,Yerrupalem,11,Buchireddypalem,YARAMALA RENUKA,585,UR(W),1148,6,0,4
31,Khammam,21,Yerrupalem,11,Buchireddypalem,KAVITHA YARAMALA,563,UR(W),1148,6,0,4
31,Khammam,21,Yerrupalem,2,Bheemavaram Harijanawada ,KOTA SUJATHA,261,SC(W),554,7,0,1
31,Khammam,21,Yerrupalem,2,Bheemavaram Harijanawada ,KOTA VAJRAMMA,293,SC(W),554,7,0,1
