state,year,district,block,gram_panchayat,ward_no,tier,tier_local,reservation,caste_reservation,woman_reserved,winner,winner_basis,unopposed,reservation_raw,script,source_path,source_page
Telangana,2019,Adilabad,Adilabad Rural,Allikori,,gp_head,sarpanch,ST Other than Woman,ST,0,MESRAM GANGARAM,published,,ST(G),latin,data/telangana/2019_gp_sarpanch.csv,
Telangana,2019,Adilabad,Adilabad Rural,Ankapur,,gp_head,sarpanch,ST Other than Woman,ST,0,PENDUR VILAS,published,,ST(G),latin,data/telangana/2019_gp_sarpanch.csv,
Telangana,2019,Adilabad,Adilabad Rural,Ankoli,,gp_head,sarpanch,ST Woman,ST,1,CHAKATI BHARATHI BAI,published,,ST(W),latin,data/telangana/2019_gp_sarpanch.csv,
Telangana,2019,Adilabad,Adilabad Rural,Arli-B,,gp_head,sarpanch,Other than Woman,NONE,0,AYITI VINOD,published,,UR(G),latin,data/telangana/2019_gp_sarpanch.csv,
Telangana,2019,Adilabad,Adilabad Rural,Ashodha,,gp_head,sarpanch,ST Woman,ST,1,URVETHA BHEEMBAI,published,,ST(W),latin,data/telangana/2019_gp_sarpanch.csv,
Telangana,2019,Adilabad,Adilabad Rural,Bheemsari,,gp_head,sarpanch,Other than Woman,NONE,0,MAYUR CHANDRA JAKATHE,published,,UR(G),latin,data/telangana/2019_gp_sarpanch.csv,
Telangana,2019,Adilabad,Adilabad Rural,Burnur,,gp_head,sarpanch,ST Woman,ST,1,KUMRA BHIMBAI,published,,ST(W),latin,data/telangana/2019_gp_sarpanch.csv,
Telangana,2019,Adilabad,Adilabad Rural,Chanda T,,gp_head,sarpanch,BC Other than Woman,BC,0,BHASKAR DARTLA,published,,BC(G),latin,data/telangana/2019_gp_sarpanch.csv,
Telangana,2019,Adilabad,Adilabad Rural,Chichdhari,,gp_head,sarpanch,ST Woman,ST,1,LAXMI JADHAV,published,,ST(W),latin,data/telangana/2019_gp_sarpanch.csv,
Telangana,2019,Adilabad,Adilabad Rural,Chinchughat,,gp_head,sarpanch,ST Other than Woman,ST,0,KUMRA SHYAM RAO,published,,ST(G),latin,data/telangana/2019_gp_sarpanch.csv,
Telangana,2019,Adilabad,Adilabad Rural,Chityalbori,,gp_head,sarpanch,ST Woman,ST,1,KUMRA LAXMI BAI,published,,ST(W),latin,data/telangana/2019_gp_sarpanch.csv,
Telangana,2019,Adilabad,Adilabad Rural,Dimma,,gp_head,sarpanch,SC Woman,SC,1,KONDA GANGAMMA,published,,SC(W),latin,data/telangana/2019_gp_sarpanch.csv,
Telangana,2019,Adilabad,Adilabad Rural,Hathigutta,,gp_head,sarpanch,ST Other than Woman,ST,0,GEDAM CHANDU,published,,ST(G),latin,data/telangana/2019_gp_sarpanch.csv,
Telangana,2019,Adilabad,Adilabad Rural,Jamdapur,,gp_head,sarpanch,Other than Woman,NONE,0,PASULA GANGADHAR,published,,UR(G),latin,data/telangana/2019_gp_sarpanch.csv,
Telangana,2019,Adilabad,Adilabad Rural,Jamuldhari,,gp_head,sarpanch,ST Woman,ST,1,DURVA LACHU,published,,ST(W),latin,data/telangana/2019_gp_sarpanch.csv,
Telangana,2019,Adilabad,Adilabad Rural,Kachikanti,,gp_head,sarpanch,BC Woman,BC,1,KURRA LAXMI,published,,BC(W),latin,data/telangana/2019_gp_sarpanch.csv,
