source_id,state,year,government_level,tier,language,document_format,district,body,file,url,landing_url,retrieved_at,sha256,bytes
gujarat_sec_taluka_panchayat_rotation_2020,Gujarat,2020,taluka_panchayat,block_member,Gujarati,encoded-text,Bharuch,Bharuch,block_member_bharuch_tps_2020.pdf,https://sec.gujarat.gov.in/images/Bharuch-TPS-2020.pdf,https://sec.gujarat.gov.in/taluka-panchayat-2020.htm,2026-08-26T05:43:33.713415+00:00,4e7597414502b2edb5a496eed45e34de37d3658068dbadd802122961592df94d,212984
gujarat_sec_taluka_panchayat_rotation_2020,Gujarat,2020,taluka_panchayat,block_member,Gujarati,encoded-text,Bhavnagar,Bhavnagar,block_member_bhavnagar_tps_2020.pdf,https://sec.gujarat.gov.in/images/Bhavnagar-TPS-2020.pdf,https://sec.gujarat.gov.in/taluka-panchayat-2020.htm,2026-08-26T05:43:34.766043+00:00,f5a437667425973b7c0f40e97f14cdbe1b50249861638cce4c27726a3f5ad426,174986
gujarat_sec_taluka_panchayat_rotation_2020,Gujarat,2020,taluka_panchayat,block_member,Gujarati,encoded-text,Surat,Choryasi,block_member_choryasi_tps_2020.pdf,https://sec.gujarat.gov.in/images/Choryasi-TPS-2020.pdf,https://sec.gujarat.gov.in/taluka-panchayat-2020.htm,2026-08-26T05:43:35.817395+00:00,fa831e8c7d784ac9134a8c820487b69bbd9dfb7be2522d1125d11e20bf406937,169329
gujarat_sec_taluka_panchayat_rotation_2020,Gujarat,2020,taluka_panchayat,block_member,Gujarati,encoded-text,Surendranagar,Chotila,block_member_chotila_tps_2020.pdf,https://sec.gujarat.gov.in/images/Chotila-TPS-2020.pdf,https://sec.gujarat.gov.in/taluka-panchayat-2020.htm,2026-08-26T05:43:37.085559+00:00,764d95e5d3f6ec51b98c24957df8395e163eecf895f3f9c50827397c9495bd09,181605
gujarat_sec_taluka_panchayat_rotation_2020,Gujarat,2020,taluka_panchayat,block_member,Gujarati,encoded-text,Ahmedabad,Daskroi,block_member_daskroi_tps_2020.pdf,https://sec.gujarat.gov.in/images/Daskroi-TPS-2020.pdf,https://sec.gujarat.gov.in/taluka-panchayat-2020.htm,2026-08-26T05:43:37.910038+00:00,b6d54abc43d7442952b64131991dc8228f37fae240f35d2ff1121b0719e6b298,173275
gujarat_sec_taluka_panchayat_rotation_2020,Gujarat,2020,taluka_panchayat,block_member,Gujarati,encoded-text,Gandhinagar,Gandhinagar,block_member_gandhinagar_tps_2020.pdf,https://sec.gujarat.gov.in/images/Gandhinagar-TPS-2020.pdf,https://sec.gujarat.gov.in/taluka-panchayat-2020.htm,2026-08-26T05:43:38.959805+00:00,9401a62f4e80c813377afc08ff2f7b2964f768aaad0df8a83c231645d3c85379,204620
gujarat_sec_taluka_panchayat_rotation_2020,Gujarat,2020,taluka_panchayat,block_member,Gujarati,encoded-text,Gir Somnath,Gir Gadhada,block_member_girgadhda_tps_2020.pdf,https://sec.gujarat.gov.in/images/Girgadhda-TPS-2020.pdf,https://sec.gujarat.gov.in/taluka-panchayat-2020.htm,2026-08-26T05:43:40.006718+00:00,966d946d2d82491a6e3dcf0a281507276e89c292aa7809cfc19eebb364a512c0,204012
gujarat_sec_taluka_panchayat_rotation_2020,Gujarat,2020,taluka_panchayat,block_member,Gujarati,encoded-text,Bhavnagar,Jesar,block_member_jesar_tps_2020.pdf,https://sec.gujarat.gov.in/images/Jesar-TPS-2020.pdf,https://sec.gujarat.gov.in/taluka-panchayat-2020.htm,2026-08-26T05:43:41.053048+00:00,853c66a5158cad6c7a20ae82390df4570e9495f4d715ef2654e15971ac8ce5db,155349
gujarat_sec_taluka_panchayat_rotation_2020,Gujarat,2020,taluka_panchayat,block_member,Gujarati,encoded-text,Gandhinagar,Kalol,block_member_kalol_tps_2020.pdf,https://sec.gujarat.gov.in/images/Kalol-TPS-2020.pdf,https://sec.gujarat.gov.in/taluka-panchayat-2020.htm,2026-08-26T05:43:42.104072+00:00,485085c09c9df612363ce8d8345957d623bd6e2a2141c961a20be9de9e228573,206602
gujarat_sec_taluka_panchayat_rotation_2020,Gujarat,2020,taluka_panchayat,block_member,Gujarati,encoded-text,Surat,Kamrej,block_member_kamrej_tps_2020.pdf,https://sec.gujarat.gov.in/images/Kamrej-TPS-2020.pdf,https://sec.gujarat.gov.in/taluka-panchayat-2020.htm,2026-08-26T05:43:43.150840+00:00,aaa81f90e5190c4128978a1db4dc42c5952776650decf91d20e3f50cfe727f30,190230
