year,ward_no,candidate,symbol,gender,votes,won,incumbent,source_path
1997,1,Aserkar Prabhakar Shridhar,Ship,M,37,L,0,data/maharashtra/mumbai/BMC 1997.xls
1997,1,Sidhiki Ahmed Faruk,Top,M,7,L,0,data/maharashtra/mumbai/BMC 1997.xls
1997,1,Kasotiya Mohan Sevakram,Conch,M,94,L,0,data/maharashtra/mumbai/BMC 1997.xls
1997,1,Contractor Dara Barjorji,Aeroplane,M,292,L,0,data/maharashtra/mumbai/BMC 1997.xls
1997,1,Gupta Vijaykumar Choudhi,Flaming Torch,M,132,L,0,data/maharashtra/mumbai/BMC 1997.xls
1997,1,Joseph Anthony,Kite,M,76,L,0,data/maharashtra/mumbai/BMC 1997.xls
1997,1,Joviar Pal,Hurricane Lamp,M,422,L,0,data/maharashtra/mumbai/BMC 1997.xls
1997,1,Deshmukh Pyarelal Valdevprasad,Ladder,M,398,L,0,data/maharashtra/mumbai/BMC 1997.xls
1997,1,Doshi Puran Mohanlal,Hand,M,4763,W,0,data/maharashtra/mumbai/BMC 1997.xls
1997,1,Pawar Prakash Shivram,Tow Swords,M,88,L,0,data/maharashtra/mumbai/BMC 1997.xls
1997,1,Vait Arjun Pandurang,Slate,M,5,L,0,data/maharashtra/mumbai/BMC 1997.xls
1997,1,Miya Sayad Vajir Sayad,Boat,M,336,L,0,data/maharashtra/mumbai/BMC 1997.xls
1997,1,Meher Parshuram Kashinath,Bow & Arrow,M,3554,L,0,data/maharashtra/mumbai/BMC 1997.xls
1997,1,Yadav Vikas Rajaram,Railway Enigne,M,14,L,0,data/maharashtra/mumbai/BMC 1997.xls
1997,1,Rathod Kisan Thavaru,Candles,M,86,L,0,data/maharashtra/mumbai/BMC 1997.xls
1997,1,Lobo Pitar Jeviyar,Umbrella,M,734,L,0,data/maharashtra/mumbai/BMC 1997.xls
1997,1,Shekh Makbul Hidaytulla,Star,M,75,L,0,data/maharashtra/mumbai/BMC 1997.xls
1997,1,Sayyad Mohmmad Haditaki,Bicycle,M,1294,L,0,data/maharashtra/mumbai/BMC 1997.xls
1997,1,Sonavane Shidharth Tatyaram,Rising Sun,M,1534,L,0,data/maharashtra/mumbai/BMC 1997.xls
1997,2,Kanojiya Suresh Shivram,Bicycle,M,1223,L,0,data/maharashtra/mumbai/BMC 1997.xls
1997,2,Tandel Damodar Janardhan,Hand,M,1305,L,0,data/maharashtra/mumbai/BMC 1997.xls
1997,2,Narvekar Suresh Murari,Bow & Arrow,M,1965,W,0,data/maharashtra/mumbai/BMC 1997.xls
1997,2,Meher Ramchandra Kamalakar,Star,M,36,L,0,data/maharashtra/mumbai/BMC 1997.xls
1997,3,Umape Kausalya Maruti,Plough,F,720,L,0,data/maharashtra/mumbai/BMC 1997.xls
1997,3,Khaire Rami Ramdas,Electic Bulb,F,26,L,0,data/maharashtra/mumbai/BMC 1997.xls
1997,3,Gaykawad Subhadra Prabhu,Star,F,94,L,0,data/maharashtra/mumbai/BMC 1997.xls
1997,3,Gala Maniben Nensi,Bicycle,F,1049,L,0,data/maharashtra/mumbai/BMC 1997.xls
1997,3,Cheda Manjula Shivaji,Lotus,F,3775,L,0,data/maharashtra/mumbai/BMC 1997.xls
1997,3,Philips Nilophar Anilkumar,Chakra (Wheel),F,91,L,0,data/maharashtra/mumbai/BMC 1997.xls
1997,3,Meshram Antika Ashok,Rising Sun,F,735,L,0,data/maharashtra/mumbai/BMC 1997.xls
1997,3,Shekar Ani Sitambalam,Hand,F,4126,W,0,data/maharashtra/mumbai/BMC 1997.xls
1997,4,Kale Kalpana Arun,Bow & Arrow,F,3100,L,0,data/maharashtra/mumbai/BMC 1997.xls
1997,4,Khaire Rami Ramdas,Electric Bulb,F,29,L,0,data/maharashtra/mumbai/BMC 1997.xls
1997,4,Gurav Shakuntala Dattaram,Brick,F,12,L,0,data/maharashtra/mumbai/BMC 1997.xls
1997,4,Dhulla Vijaya Kantilal,Hand,F,6539,W,1,data/maharashtra/mumbai/BMC 1997.xls
1997,4,Pawar Sanskruti Suresh,Rising Sun,F,641,L,0,data/maharashtra/mumbai/BMC 1997.xls
1997,4,Shah Jyoti Prabhudas,Bicycle,F,1372,L,0,data/maharashtra/mumbai/BMC 1997.xls
1997,4,Shah Panna,Chakra (Wheel),F,140,L,0,data/maharashtra/mumbai/BMC 1997.xls
1997,4,Shekh Amina Kayum,Two Swords,F,75,L,0,data/maharashtra/mumbai/BMC 1997.xls
1997,4,Hate Shila Dilip,Star,F,69,L,0,data/maharashtra/mumbai/BMC 1997.xls
1997,5,Anji V. K.,Car,M,25,L,0,data/maharashtra/mumbai/BMC 1997.xls
1997,5,Kureshi Mohmmad Ekbal Mohmmad Husen,Flaming Torch,M,36,L,0,data/maharashtra/mumbai/BMC 1997.xls
1997,5,Khan Rais Ahmed,Two Swords & Shield,M,60,L,0,data/maharashtra/mumbai/BMC 1997.xls
1997,5,Gujrati Mohmmad Yusuf Suleman,Ladder,M,774,L,0,data/maharashtra/mumbai/BMC 1997.xls
1997,5,Chourasiya Vishnuprasad Baldevran,Aroplane,M,147,L,0,data/maharashtra/mumbai/BMC 1997.xls
1997,5,Dhonde Dattaram Pandurang,Bow & Arrow,M,2351,L,0,data/maharashtra/mumbai/BMC 1997.xls
1997,5,Pawar Balvantray Sonappa,Hand,M,6375,W,0,data/maharashtra/mumbai/BMC 1997.xls
1997,5,Hirji Eqbal Salim,Bicycle,M,5484,L,0,data/maharashtra/mumbai/BMC 1997.xls
1997,6,Athar Abbas Gulam,Car,M,811,L,0,data/maharashtra/mumbai/BMC 1997.xls
1997,6,Abani Yusuf Mohmmad Husen,Bicycle,M,7349,W,0,data/maharashtra/mumbai/BMC 1997.xls
1997,6,Khan Mahmad Aslam Azami,Coconut Tree bearing Fruits,M,20,L,0,data/maharashtra/mumbai/BMC 1997.xls
1997,6,Choudhari Mohmmed Eqbal Elmudin,Hand,M,1535,L,0,data/maharashtra/mumbai/BMC 1997.xls
1997,6,Tarkar Nishakant Govind,Plough,M,122,L,0,data/maharashtra/mumbai/BMC 1997.xls
1997,6,Dhirjivala Tayyavali Ebrahim,Umbrella,M,742,L,0,data/maharashtra/mumbai/BMC 1997.xls
1997,6,Motiwala Ebrahim Abdul Karim,Ladder,M,1180,L,0,data/maharashtra/mumbai/BMC 1997.xls
1997,6,Shekh Salim Abdul Ramad,Chakra (Wheel),M,379,L,0,data/maharashtra/mumbai/BMC 1997.xls
1997,6,Shety Sampat Kadiya,Lotus,M,2014,L,0,data/maharashtra/mumbai/BMC 1997.xls
1997,6,Siraj Husen Ali Vishram,Star,M,54,L,0,data/maharashtra/mumbai/BMC 1997.xls
1997,7,Ansari Vakarunnisa Zahid Husen,Cicycle,F,5436,W,0,data/maharashtra/mumbai/BMC 1997.xls
1997,7,Khojada Femida Ayub,Ladder,F,825,L,0,data/maharashtra/mumbai/BMC 1997.xls
1997,7,Nanjiyani Rafiya Masum,Hand,F,1795,L,0,data/maharashtra/mumbai/BMC 1997.xls
1997,7,Redij Rukhmini Shrikrishna,Tow Swords & Shield,F,397,L,0,data/maharashtra/mumbai/BMC 1997.xls
1997,7,Valavalkar Shubhangi Yashvant,Bow & Arrow,F,2656,L,0,data/maharashtra/mumbai/BMC 1997.xls
1997,7,Sommaiyya Gangaben Rameshchandra,Conch,F,108,L,0,data/maharashtra/mumbai/BMC 1997.xls
1997,8,Irani Sayras Behram,Candles,M,376,L,0,data/maharashtra/mumbai/BMC 1997.xls
1997,8,Jain Nitin Indramalji,Umbrella,M,25,L,0,data/maharashtra/mumbai/BMC 1997.xls
1997,8,Jain Romil Devraj,Railway Engine,M,16,L,0,data/maharashtra/mumbai/BMC 1997.xls
1997,8,Dhuriya Rambahor Ramanand,Lock & Key,M,58,L,0,data/maharashtra/mumbai/BMC 1997.xls
1997,8,Nhiyekar Pravin Vasant,Two Swords & A Shield,M,1990,L,0,data/maharashtra/mumbai/BMC 1997.xls
1997,8,Pande Mataprasad Tulsiram,Ladder,M,607,L,0,data/maharashtra/mumbai/BMC 1997.xls
1997,8,Farnandis Fransis Gilbart Alex,Rising Sun,M,604,L,0,data/maharashtra/mumbai/BMC 1997.xls
1997,8,Bhovad Chandrakant Dhondu,Boy & Girl,M,366,L,0,data/maharashtra/mumbai/BMC 1997.xls
1997,8,Vyas Sushilkumar Deviprakash,Hand,M,3356,L,0,data/maharashtra/mumbai/BMC 1997.xls
1997,8,Shah Jivaraj Sardarmal,Lotus,M,7822,W,0,data/maharashtra/mumbai/BMC 1997.xls
1997,8,Shivani Kadar Ebrahim,Bar,M,74,L,0,data/maharashtra/mumbai/BMC 1997.xls
1997,8,Shukla Rammilan,Star,M,40,L,0,data/maharashtra/mumbai/BMC 1997.xls
1997,8,Salunkhe Bhanudas Hanumant,Spectacles,M,61,L,0,data/maharashtra/mumbai/BMC 1997.xls
1997,8,Solanki Ramnik Gaharilal,Plough,M,48,L,0,data/maharashtra/mumbai/BMC 1997.xls
1997,9,Kashelkar Nilima Jayvant,Bow & Arrow,F,7015,W,0,data/maharashtra/mumbai/BMC 1997.xls
1997,9,Patel Karuna Chiman,Hand,F,5284,L,0,data/maharashtra/mumbai/BMC 1997.xls
1997,10,Choudhari Satyanarayan Motilal,Fire Engine,M,7,L,0,data/maharashtra/mumbai/BMC 1997.xls
1997,10,Joshi Suresh Mangilal,Star,M,16,L,0,data/maharashtra/mumbai/BMC 1997.xls
1997,10,Tiwari Rakesh Shambhai,Chair,M,292,L,0,data/maharashtra/mumbai/BMC 1997.xls
1997,10,Nagi Harjindarsing Gyansing,Two Swords & A Shield,M,981,L,0,data/maharashtra/mumbai/BMC 1997.xls
1997,10,Patel Yakub Musa,Ladder,M,115,L,0,data/maharashtra/mumbai/BMC 1997.xls
1997,10,Meman Abdul Gaffar Mohmmed,Trumpet,M,1,L,0,data/maharashtra/mumbai/BMC 1997.xls
1997,10,Meman Yakub Janmohmmed,Bicycle,M,6895,W,0,data/maharashtra/mumbai/BMC 1997.xls
1997,10,Sharma Vinodkumar Shivcharan,Car,M,19,L,0,data/maharashtra/mumbai/BMC 1997.xls
1997,10,Shah Atul Hasmukhlal,Lotus,M,3659,L,0,data/maharashtra/mumbai/BMC 1997.xls
1997,10,Shekh Salim Muhmmed Yasin,Hand,M,1457,L,0,data/maharashtra/mumbai/BMC 1997.xls
1997,10,Shekh Suleman Daud Malang Sarank,Coconut Tree bearing Fruits,M,152,L,0,data/maharashtra/mumbai/BMC 1997.xls
1997,10,Sidhiki Mohmmed Salim,Aeroplane,M,53,L,0,data/maharashtra/mumbai/BMC 1997.xls
1997,11,Chorat Vijay Haribhau,Two Swords & A Shield,M,2071,L,0,data/maharashtra/mumbai/BMC 1997.xls
1997,11,Patel Pushpaben Dayabhai,Hand,F,3897,L,0,data/maharashtra/mumbai/BMC 1997.xls
1997,11,Parmar Vijay Shankarlal,Charkha,M,213,L,0,data/maharashtra/mumbai/BMC 1997.xls
1997,11,Mansuri Mohmmed Hanif Abbas,Bicycle,M,5314,W,0,data/maharashtra/mumbai/BMC 1997.xls
1997,11,Shiryankar Naresh Raghunath,Bow & Arrow,M,5065,L,0,data/maharashtra/mumbai/BMC 1997.xls
1997,12,Goythale Jaya Madhav,Bow & Arrow,F,7676,W,0,data/maharashtra/mumbai/BMC 1997.xls
1997,12,Gohil Niru Pravin,Charkha,F,281,L,0,data/maharashtra/mumbai/BMC 1997.xls
1997,12,Tupat Vaishali Suresh,Hand,F,3023,L,0,data/maharashtra/mumbai/BMC 1997.xls
1997,12,Navalkar Meena Arun,Coconut Trees bearing Fruits,F,276,L,0,data/maharashtra/mumbai/BMC 1997.xls
1997,12,Mhatre Shailaja Satishchandra,Specticales,F,1556,L,0,data/maharashtra/mumbai/BMC 1997.xls
1997,12,Shroti Sangita Gopinath,Conch,F,518,L,0,data/maharashtra/mumbai/BMC 1997.xls
1997,13,Charla Devji Jethamal,Ladder,M,26,L,0,data/maharashtra/mumbai/BMC 1997.xls
1997,13,Zha Rajesh Bhogendra,TelevisionCharkha,M,34,L,0,data/maharashtra/mumbai/BMC 1997.xls
1997,13,Thakur Suresh Baburao,Charkha,M,147,L,0,data/maharashtra/mumbai/BMC 1997.xls
1997,13,Nerekar Arvind Keshav,Bow & Arrow,M,5585,W,0,data/maharashtra/mumbai/BMC 1997.xls
1997,13,Pujari Mahadev Narayan,Star,M,235,L,0,data/maharashtra/mumbai/BMC 1997.xls
1997,13,Pandit Jayant Bhalchandra,Flaming Torch,M,118,L,0,data/maharashtra/mumbai/BMC 1997.xls
1997,13,Lad Sadanand Shamrao,Two Swords & Shield,M,482,L,0,data/maharashtra/mumbai/BMC 1997.xls
1997,13,Shah Harendra Kantilal,Chakra (Wheel),M,103,L,0,data/maharashtra/mumbai/BMC 1997.xls
1997,13,Sheth Gunvant Hiralal,Hand,M,4906,L,0,data/maharashtra/mumbai/BMC 1997.xls
1997,13,Sawant Surendra Harishchandra,Conch,M,370,L,0,data/maharashtra/mumbai/BMC 1997.xls
1997,14,Kokate Kishor Hanumant,Rising Sun,M,611,L,0,data/maharashtra/mumbai/BMC 1997.xls
1997,14,Khedekar Mahendra Dattatraya,Electric Bulb,M,597,L,0,data/maharashtra/mumbai/BMC 1997.xls
1997,14,Dhanawade Shantaram Balu,Lotus,M,5140,W,0,data/maharashtra/mumbai/BMC 1997.xls
1997,14,Ramane Dilip Narayan,Hand,M,3526,L,0,data/maharashtra/mumbai/BMC 1997.xls
1997,14,Shirke Sanjay Ramchandra,Two Swords & A shelf,M,492,L,0,data/maharashtra/mumbai/BMC 1997.xls
1997,15,Ozha Shekhar Parshuram,Conch,M,303,L,0,data/maharashtra/mumbai/BMC 1997.xls
1997,15,Patel Sanjeev Shantnukumar,Lotus,M,3467,L,0,data/maharashtra/mumbai/BMC 1997.xls
1997,15,Bansode Anusaya Nandu,Rising Sun,F,72,L,0,data/maharashtra/mumbai/BMC 1997.xls
1997,15,Bhatiya Geeta Kishor,Conconut Tree bearing Fruits,F,241,L,0,data/maharashtra/mumbai/BMC 1997.xls
1997,15,Mayekar Subhash Vittal,Hand,M,4489,W,0,data/maharashtra/mumbai/BMC 1997.xls
1997,15,Sawant Sunil Vishnu,Charkha,M,252,L,0,data/maharashtra/mumbai/BMC 1997.xls
1997,16,Jagtap Mahendra Nivruti,Rising Sun,M,36,L,0,data/maharashtra/mumbai/BMC 1997.xls
1997,16,Jadhav Kisan Baburao,Hand,M,7270,W,0,data/maharashtra/mumbai/BMC 1997.xls
1997,16,Jadhav Pandurang Dagadu,Two Swords & A shield,M,447,L,0,data/maharashtra/mumbai/BMC 1997.xls
1997,16,Doradi Saroj Nariman,Star,M,213,L,0,data/maharashtra/mumbai/BMC 1997.xls
1997,16,Naik Ramesh Hanumant,Haldhar within Wheel,M,137,L,0,data/maharashtra/mumbai/BMC 1997.xls
1997,16,Pawar Motiram Lahu,Jeep,M,209,L,0,data/maharashtra/mumbai/BMC 1997.xls
1997,16,Pawar Shirley Motiram,Ship,F,13,L,0,data/maharashtra/mumbai/BMC 1997.xls
1997,16,Pote Harishchandra Mahadev,Bow & Arrow,M,4638,L,0,data/maharashtra/mumbai/BMC 1997.xls
1997,16,Yadav Babulal Haribhai,Charkha,M,136,L,0,data/maharashtra/mumbai/BMC 1997.xls
1997,16,Shivdas Vasant Maruti,Trumpet,M,14,L,0,data/maharashtra/mumbai/BMC 1997.xls
1997,16,Sonavane Shankar Gangadhar,Aeroplane,M,11,L,0,data/maharashtra/mumbai/BMC 1997.xls
1997,17,Koli Bhavana Dhirajlal,Hand,F,6470,W,0,data/maharashtra/mumbai/BMC 1997.xls
1997,17,Kamble Jayshree Sopan,Rising Sun,F,481,L,0,data/maharashtra/mumbai/BMC 1997.xls
1997,17,Chouhan Geeta Pravin,Bicycle,F,389,L,0,data/maharashtra/mumbai/BMC 1997.xls
1997,17,Jogdiya Usha Nanji,Star,F,227,L,0,data/maharashtra/mumbai/BMC 1997.xls
1997,17,Variya Premlata Manoj,Bow & Arrow,F,3308,L,0,data/maharashtra/mumbai/BMC 1997.xls
1997,17,Vinjuda Dhudibai Hamir,Railway Engine,F,114,L,0,data/maharashtra/mumbai/BMC 1997.xls
1997,18,Avhal Shivaji Ramchandra,Trumpet,M,437,L,0,data/maharashtra/mumbai/BMC 1997.xls
1997,18,Kadam Arun Vishnu,Kite,M,108,L,0,data/maharashtra/mumbai/BMC 1997.xls
1997,18,Kadam Satyawan Baliram,Star,M,130,L,0,data/maharashtra/mumbai/BMC 1997.xls
1997,18,Kalsekar Jaywant Govind,Bow & Arrow,M,3262,L,0,data/maharashtra/mumbai/BMC 1997.xls
