wardyear_num,rd_bad_patch_potholes,ws_burst_water_main_lines,bld_change_user_res_comm,strm_cleaning_of_open_swd,drain_cleaning_of_septic_tank,strm_cleaning_water_entrance,strm_cleaning_removal_of_silt,swm_clean_rep_block_channels,swm_collection_pt_not_attend,misc_complaints_miscellenous,ws_contaminated_water_supply,rd_digging_of_roads,drain_drainage_choke_blockage,gdn_fallen_tree_on_road,strm_flooding_during_monsoon,pst_fogging,swm_gbg_lorry_not_report_cove,swm_gbg_not_lifted_gully,swm_gbg_not_lifted_mun_market,swm_gbg_not_lifted_from_road,encr_hawkers,bld_heavy_leakage_from_ceiling,heal_birth_deat_cert_issue,ws_leaks_in_water_lines_meter,gdn_lifting_of_tree_cutting,mun_maint_municipal_property,mun_major_repairs_to_mun_prop,mun_minor_repairs_to_mun_prop,pst_mosquito_nuisance,encr_municipal_colony_slum,encr_municipal_land_foot_swd,encr_municipal_plot,swm_no_attend_public_toilets,swm_non_attend_nuis_detect,ws_non_receipt_water_bills,pst_nuisance_cockroaches,encr_nuisance_due_to_vagrants,pst_nuisance_due_to_white_ants,drain_odour_from_drains,shp_online_renewal_application,shp_open_beyond_permis_hours,bld_other_buildings,misc_others,drain_others_drn,encr_others_ecnr,est_others_estate,lic_others_lic,heal_others_moh,mun_others_rnt,swm_others_swm,ws_others_was,col_others_colony_officer_col,ws_overflow_overhead_tank,drain_overflowing_drn_manhole,bld_perm_temp_monsoon_shed,gdn_perm_for_tree_cutting,encr_private_land_bldg_fact,swm_dustbins,strm_provid_manhole_cover_swd,rd_providing_rd_name_plate,drain_raising_of_manhole,pst_rat_nuisance,rd_reinstatement_of_trenches,rd_relaying_and_repairs_roads,swm_removal_of_dead_animals,swm_removal_of_debris,ws_removal_of_water_meters,strm_repair_damaged_open_swd,rd_repairs_of_road_footpath,drain_repairs_to_pipe_sewers,drain_replacement_manhole,rd_resurfacing_of_road,shp_running_without_license,ws_shortage_of_water_supply,rd_signals,swm_silt_lifted_from_road,rd_speed_breakers,rd_street_lighting,swm_sweeping_of_roads,lic_trade_without_license,gdn_trimming_of_branches,bld_unauth_alteration_bldg,lic_unauth_banners_advt_road,bld_unauth_constr_development,col_unauth_constr_in_slum,est_unauth_constr_reserve_plot,col_unauth_ext_constr,fac_unauth_factory_workshop,lic_unauth_storage_explosives,ws_unauth_tapping_water_conn,pst_unauth_uncov_water_storage,ws_unauth_use_waterchange_user,heal_unauth_food_sell,lic_unauth_stalls_road_foot,lic_unauth_workshop_or_garage,swm_unhygienic_cond_toilets,ws_use_of_booster_pump,castequota_scst,gender_election,genderquota,members,hdi,term,adminward,year,source_path
2013-RN,,7,,,,,,8,,,26.428571,,4.9285714,,,18,4,12.5,,11.714286,22.911765,,18,14.095238,8.3636364,,,,,,,,14,7,35,,,,,,,21,,,28,,,12,,5.25,22,,,5,21,,,16.666667,,,,12,,,,10.7,,,,,,,,9.0588235,,11,,,16.8,,,25,17.9,27.228571,,,,,,19.428571,,,4.4,23,,,7,0.1428571,0,0.5714286,7,0.69,2012,RN,2013,data/maharashtra/mumbai/dataverse_IO9SLQ/fulldata_reshaped.tab
2013-RS,13.352381,25.8,12.8,21.111111,18,16.2,11.333333,16.2,10.166667,24.166667,20.5,,11.702222,16.8,27.333333,17.695652,13.428571,16.096774,4,17.527273,21.796296,13.75,19,19.972222,17.409091,12.5,,5.3333333,21.085714,,19.291139,25.6,14.5,27.846154,5,,,9,23.714286,,,17.333333,15,20.2,22.857143,,35,14.736842,25.09375,16.666667,30.333333,,,13.382353,,14.358209,15,24.5,,6.5,5,14.75,14.666667,,,16.166667,,11.8,15.78125,17.444444,14.060606,,18,15.84,,20.666667,25.636364,18.285714,12.714286,22,14.924324,28.857143,32.510204,15.147541,,,,19,,14.857143,,21,19.444444,35.5,28,,,0.5454546,0,0.4545455,11,0.54,2012,RS,2013,data/maharashtra/mumbai/dataverse_IO9SLQ/fulldata_reshaped.tab
2013-S,14.484848,10.5,,18.8,12.769231,15,28.777778,,33,16.25,11.163265,,12.647059,,13.6,23.0625,,10,,15.75,18.317073,,,13,,,60,,24.470588,,25,16,,6.2,7,64,,66,,,,7,20,17.8,19.7,,,,23.333333,20,8,,12,22.761905,,,29,9,,,,19,,,2,12,5,,27.833333,34.666667,22.375,,24,8.8076923,,4.3333333,40,19.714286,19,7,,17.666667,29,21.775281,,,,12,37.5,11.75,,5,,,38,,,0.4615385,0,0.2307692,13,0.51,2012,S,2013,data/maharashtra/mumbai/dataverse_IO9SLQ/fulldata_reshaped.tab
2013-T,14,7.6666667,,12,11,14.25,13.8,,9,29.230769,7.5,,7.1027397,18,16.75,9,14.333333,12.5,,6.3333333,20.545455,,22.5,11.245614,8.4,18,,,9.65,,16.204545,,,,7.6,,,2,,,7,24,24,,20.5,,39,58,14.8,11.6,8.4444444,,15,9.1875,,,,19.75,,14,,10.111111,,,,19.375,14.5,,13.785714,34,12,,11,10.857143,,15,14,13.25,2.5,45,17.5,,28,15.333333,,,,,49,8.1,,11.333333,,19.333333,22,,17,0.6,0,0.5,6,0.76,2012,T,2013,data/maharashtra/mumbai/dataverse_IO9SLQ/fulldata_reshaped.tab
2014-A,29.207547,7.5,28,,5.3333333,2,,2,3.2592593,25,6.6363636,,3.8922156,53,4.5,39.571429,4.1666667,3.4583333,2.3333333,3.8030303,13.481013,34.125,7.5,10.25,6.5555556,,16,21,31.254237,,20.588235,28,5,3.4615385,7,,,,4.25,,44,28.777778,,5.2,12.125,,8,5.5714286,23.888889,2.95,5.2,,16,4,,34,34,4.106383,,17.5,5,5,,,,2.8965517,5,13,20.575758,7.6666667,6.1428571,,11.333333,6.7179487,46,5.2,19.166667,5.8333333,3.92,22.714286,20.666667,20.956522,19.818182,30.854545,,18,,29,,7.3333333,,,11.666667,20.653846,24.5,,,0.5,0.5,0.5,4,0.58,2012,A,2014,data/maharashtra/mumbai/dataverse_IO9SLQ/fulldata_reshaped.tab
2014-B,34,,17,23,,22,,,13.166667,28.142857,3.9,,26.294118,18,,11.666667,16.090909,13.431034,,15.090909,30.986842,17,2,3.4,13,,33.5,,16.285714,,66.5,,,12.909091,,,,,17.2,,31.666667,14.75,11,16.4,31.666667,,26.166667,,29,11.4,4.2,27.5,5.75,22.289474,39.333333,29,42,9.5714286,,,,22.6,,,,20.736842,7,,,30,34,,11.666667,4.2352941,19,13,,,20,37.555556,28.166667,23,46.5,30.55,,,45.6,,49,3.5454545,,,32,33,,,3.3333333,0.3333333,0.3333333,0.3333333,3,0.71,2012,B,2014,data/maharashtra/mumbai/dataverse_IO9SLQ/fulldata_reshaped.tab
2014-C,26,3,,,,,,10,19,,5.9047619,,20.7,,,,,25.235294,19,17.475,30.2,,24,4.1111111,19,,,,,,28,,53,22.5,,,,,,,26,,,38.5,32,,,18,35,18.571429,5.8571429,,4.6,15.6,,,,25.333333,,,,,,,,30.214286,,,35,,,,21,5.3684211,,26.571429,,9,29.333333,,,,25,,,,,,,6.4,,5,15,,,,8.5,0.3333333,0.5,0.5,4,0.89,2012,C,2014,data/maharashtra/mumbai/dataverse_IO9SLQ/fulldata_reshaped.tab
2014-D,24.522727,10.333333,17,40,32,,16,,30.25,16.30303,3.9666667,,21.964706,18.333333,17,18.119048,44,41.2,,34.870968,17.644928,16.555556,46,5.9545455,,18.6,,29.857143,26.59854,,28.4,16,,34,5,,,,,,,18.227723,21,36.625,30.837838,,26.611111,27.928571,31.192308,24.492424,8.3225806,,4.1666667,24.546875,,,37.666667,50.333333,,,,25.357143,50,,,25.703704,,25,27.693878,31.666667,41.166667,,21.5,4.1320755,,36.5,48,49.5,27.272727,22,18.043478,21.052632,24.521739,21.945946,38,,,,,4,,9,32,16.625,19,,8,0,0.2857143,0.2857143,7,0.96,2012,D,2014,data/maharashtra/mumbai/dataverse_IO9SLQ/fulldata_reshaped.tab
2014-E,,17,,,25,,,,13.666667,24,18.542857,,16.071429,,,18.041667,19,19.956522,34,15.424242,1,,21.2,16.22449,,,,,19.496403,,,,,15,8.75,11,,11,,,40,,32,18,,,,27.166667,,29.705882,14.222222,,13,29.333333,,,,11.666667,,,,16.274194,,,,24.6,,,,,10,,39.6,16.519481,,9,,,24,16,,31,19,23.777778,,,,,18,18.32,,8,25,8,,,33.5,0.25,0.375,0.375,8,0.54,2012,E,2014,data/maharashtra/mumbai/dataverse_IO9SLQ/fulldata_reshaped.tab
2014-FN,27,,30,38.2,32,20,,,,15.5,9,,22.693694,10.5,13.666667,15.96,,,,,37.4,,22.666667,18.25,,,,25,26.68,75,,,,,,,,,28.142857,,,32,,23.5,40,,5,22.058824,,,4.6666667,,40,25.877551,,,42.25,,,,18,44.666667,,,,,,,,42,31.592593,,,16.5,,,33.5,25,,24.5,30.833333,1,24,27.2,36,,,,,16.5,,,37.5,19.75,12,,,0.3333333,0.6,0.6,10,0.41,2012,FN,2014,data/maharashtra/mumbai/dataverse_IO9SLQ/fulldata_reshaped.tab
2014-FS,18.944444,,7.5,,37,,,20,5.5555556,26.285714,17.75,,24.945946,,18.75,15.131579,5.8,10,3.5,9.9032258,27.75,23,9,23.5,25.5,18.5,33,20.75,20.246753,29,31.142857,46.2,4,9.75,,,,19,,,23,18.888889,32.5,23.5,,,,,30.6,6.4444444,6.75,,8.5,22.217391,6,,39,6.9,,,,19.769231,10,,,16.266667,,,16.8,7.5,,,,26.368421,16,8,36,,7.1875,,,18,20.133333,15.638889,42,,,,9,17,,8,,25.666667,,,10,0.4285714,0.5714286,0.5714286,7,0.67,2012,FS,2014,data/maharashtra/mumbai/dataverse_IO9SLQ/fulldata_reshaped.tab
2014-GN,14.263158,,20.5,11.444444,15.285714,17.166667,30,,15.066667,30.307692,9.6666667,,15.32716,,17.2,13.306122,16.3,11.333333,17.4,12.403509,37.548387,10.2,16,5.1176471,17.653846,,,,16.449612,19,23.939394,12,18.375,12.4,4,,,,12.8,,17,17.117647,18.2,15.25,25.833333,12,13.833333,26.111111,10.555556,11.04,7.4166667,,7.1666667,17.281818,7,3,26.785714,13.352941,,,,19.952381,46,,4,16.581395,,8.5,13.742857,15.333333,14.5,,12.333333,5.0204082,25.5,15,11.625,13.083333,16.142857,15.25,20.916667,15.347826,23.605263,21.127517,44.333333,29,,19.25,,5.2467532,,8,32.666667,29.472222,45.25,,5.5,0.6,0.2727273,0.2727273,11,0.49,2012,GN,2014,data/maharashtra/mumbai/dataverse_IO9SLQ/fulldata_reshaped.tab
2014-GS,,,2.5,,1.5,,,1,1.7142857,,23.636364,,2.5416667,,,26,1.7142857,2.047619,1,2.0625,,18,7,13.941176,11,,,,25.666667,,,,2,1.7272727,,,,,,,6,13.5,10.666667,1.3333333,,,12,18.5,,1.5,43.5,,11.75,2.08,8,,25.75,1.71875,,,,22.666667,,,2.5,2.5714286,,,,2,2.7142857,,13.833333,25.307692,,1.6666667,,,2,,,18.583333,23.75,17.279412,,,,,,16.833333,,7.25,21.777778,20.333333,,,,0.4444444,0.7777778,0.7777778,9,0.66,2012,GS,2014,data/maharashtra/mumbai/dataverse_IO9SLQ/fulldata_reshaped.tab
2014-HE,22.75,19.5,,22.333333,28.2,12,37.4,11,23.583333,,14.863636,,30.338983,,,16.304348,15.5,20.4,8,20.095238,25.789474,24,30,11.818182,17.5,4,12,,17.433333,,24,,22.333333,18.75,9.4,,,27,20,,,23,,10,30.454545,,,17,25.142857,18,16,,19.5,24.97619,,,24.333333,25.578947,,,,23.647059,,,,35.909091,,,22.111111,59,20.222222,,11.111111,15.458333,,14.6,30,3,20.6,,41.333333,39,16.529412,34.046512,,,,38,,15.923077,,16.4,32,6,,,22.5,0.3636364,0.5454546,0.5454546,11,0.47,2012,HE,2014,data/maharashtra/mumbai/dataverse_IO9SLQ/fulldata_reshaped.tab
2014-HW,6.7708333,21.5,3,7.6666667,5.3333333,5.5,16.333333,,9.3333333,27.142857,29.814815,,8.2993631,16,5.5,22.085714,18.166667,13.421053,3,18.555556,46.72,23.4,29,25.722222,16.233333,4.5,9,12,20.609375,16,8.625,2,6,18.142857,30.3,,,,4.6666667,,,29,25,7.3,20,,,18.5,10.923077,18.444444,21.375,,21,9.462963,25.5,12.25,20,13.666667,,22,16,31.8,,,,14.416667,17,9.5,10.511628,6.5,12.254545,,39.666667,26.509091,13,22.875,11.4,8.1,12.833333,39,11.9,28.25,28,22.666667,,,23,4,,49.5,,,30,,,,33.454545,0.4,0.6666667,0.6666667,6,0.68,2012,HW,2014,data/maharashtra/mumbai/dataverse_IO9SLQ/fulldata_reshaped.tab
2014-KE,16.190476,16.857143,,9.75,26.666667,37,31.5,13.8,27.36,24.097561,18.351351,,17.068493,28,9.5,20.876923,25.571429,19.35,,23.728395,21.848485,26.75,32.5,19.259259,20.65625,3,23,,15.698795,,29.684211,,22.333333,28.05,14,11.75,,9.8571429,17.8,,,25.833333,22,31,21.454545,,53,29,17,26.909091,23.736842,,32.5,21.72,15.5,,26.666667,29.714286,,36,,17.703704,25,,,25.325581,31.666667,,22.666667,,18.75,,31,25.660714,22.666667,24.952381,27,34,26,19.571429,27.75,26.3,17.968254,24.666667,,,,,56,37.533333,,22,59.333333,22.071429,23.172414,,46,0.2,0.7333333,0.7333333,15,0.67,2012,KE,2014,data/maharashtra/mumbai/dataverse_IO9SLQ/fulldata_reshaped.tab
2014-KW,12.875,71,20.5,29.5,16,,,,17.5,23.381818,41.222222,,26.722222,,19,32.333333,33.666667,33.666667,,31.111111,,30,24,41.416667,33.4375,13,,,29.666667,,38.714286,,48,29.75,30,,,,19,,15.333333,15.6,23,41,,,,15,,,46.933333,,24.5,26.333333,,,18.25,,,,,24,,,,,40,,5,38,35.666667,,10.333333,43.532258,,,,,,,11,16.354839,8,13.772727,,,,7,,46.08,,38,,9.5,,,87,0.25,0.3846154,0.3846154,13,0.66,2012,KW,2014,data/maharashtra/mumbai/dataverse_IO9SLQ/fulldata_reshaped.tab
2014-L,26.428571,15.083333,36,,34,26,32.666667,20,30.933333,27.533333,16.7,,31.763158,34.666667,42,23.982759,27,27.95122,,26.553191,29.025424,34.333333,,24.061538,25,37,27,27,30.022222,43.666667,31.916667,38,29.333333,24.166667,16.875,,,57.2,23,,25,31.608094,27.608696,31,30.576,24,32.657718,32.004608,31.724138,26.444898,24.371257,21.961538,20.4,32.35,42,28.206897,34.352941,25.038462,,,,32.466667,,,28.5,25.485714,26.333333,20,24.133333,23.5,31.15,,27.833333,20.089552,24,23,36.5,29.333333,28.6875,32.25,31.942857,27.775,29.875,30.742791,19.2,,11.8,51,41.333333,22.686275,,19,32.142857,29.4,35.5,,17,0.2,0.6666667,0.6666667,15,0.29,2012,L,2014,data/maharashtra/mumbai/dataverse_IO9SLQ/fulldata_reshaped.tab
2014-ME,12.181818,27.571429,,16.111111,13.6,14.8,,17,9.2,22.901626,24.8,,14.020548,12,7.8,21.5,10.785714,12.1,,16.411765,27,,24.5,30.75,8.6666667,10,28,12.666667,20.916667,,13.806452,16.25,16.666667,18.466667,29.823529,20,,,14.4,,31,17.166667,12.197479,18,24.666667,17.731272,14.625,29.061716,16.461147,13.040541,27.055404,25.72973,,14.552632,,11,,18.04,,16,19,20.916667,21,,,17.192308,34,22.5,14.178571,21.4,15.961538,,7.5,28.34434,6.6071429,8.2307692,15.875,9.4782609,15.125,,13.375,,22,23.5,,11,,,,26.75,,33,21.5,,,,,0.4615385,0.3846154,0.3846154,13,0.05,2012,ME,2014,data/maharashtra/mumbai/dataverse_IO9SLQ/fulldata_reshaped.tab
2014-MW,19.765957,2.5,,4.75,13.84375,,19.666667,23,23.571429,25.902273,3.6097561,,15.280488,13,16.5,18.8,27.5,27.428571,31,24.530612,19.8,40.666667,14.285714,3.2407407,25.285714,4.5,,8,15.948052,,18.368421,,23,27.25,4.1724138,16.5,,19.4,12.333333,,85,27.125,26.418367,15.692308,22.255639,44.085427,25.687151,21.748857,21.233579,31.816594,3.4074296,21.432432,3.6666667,14.511111,,8.4,,24.888889,,,12,15.4,,,41,26.428571,3.25,,19,12.8,16.3,,28,3.4393939,22,25.263158,7.5555556,18.625,23.333333,29,27.6,,17.4,,20.666667,,,,11,3.1923077,,6.3333333,19.230769,,,,2,0.1666667,0.75,0.75,8,0.33,2012,MW,2014,data/maharashtra/mumbai/dataverse_IO9SLQ/fulldata_reshaped.tab
2014-N,27.705882,59,,16.4,20.5,29,,11,12.176471,26.833333,43,,25.391304,,54,10.88,9.2105263,12.642857,,10.928571,11.114286,,,,20.428571,31,,5,15.776316,,16,20,26.6,11.5,,10,,,,,14,,18,6,11.352941,4,16.2,,3,14.470588,,,,9.4285714,,,,17.043478,,,,16,,,13,15.565217,,,11.75,18,6,,13.5,,,14.583333,,15,11.181818,18.4,,,21.75,,,,,,29,,,,,21.857143,8,,,0.1818182,0.5,0.5,12,0.52,2012,N,2014,data/maharashtra/mumbai/dataverse_IO9SLQ/fulldata_reshaped.tab
2014-PN,15.939394,10.25,20.166667,11.826087,15.263158,14.115385,14.833333,30.6,16.588235,11,12.802469,,14.259259,16.8,9.6,13.037736,13.2,23,,17.385417,10.910377,6,19,14,17.807692,12,15.5,25,12.069767,34,17.958333,19.8,16.555556,15.685714,10.636364,6,,12.5,16.6,,,19.727273,20.272727,10.473684,9.3333333,,30.166667,25.75,20.805556,21.289474,13.115385,13,10.230769,14.652632,9.25,9,21.333333,25,,11,,16.388889,,,,23.6,,6.75,18.8125,14.714286,20.571429,,8.3333333,13.947826,15.142857,21.555556,14.6,19.076923,25.35,18.375,16.916667,18.928571,6.9027778,21.327824,33,,,17.2,24,15.723404,,21.5,45.75,20.05,,,17.25,0.1333333,0.3125,0.3125,16,0.47,2012,PN,2014,data/maharashtra/mumbai/dataverse_IO9SLQ/fulldata_reshaped.tab
2014-PS,30.030303,32.75,3,19.8,29.545455,16.75,18.4,21.5,15.076923,25.672414,28.230769,,25.649351,31.833333,30.5,14.576923,16.214286,12.526316,11.8,12.880952,13.307692,27.333333,42.25,26.5,19,2,,,19.183673,,22.8125,57,3,25.555556,,25,,15,,,,12.7,20.75,31.75,17.888889,47,9.7272727,30.545455,24.903226,29.1,19.625,20,54,23.267857,,11.333333,18.076923,13.666667,,13,,18.9,,,19.777778,21.5,,,30.4,51,24.8125,,30.666667,19.454545,26.8,22.625,29.75,25.5,21.304348,10.444444,24.666667,13.32,8.3560606,20.721612,21.833333,31,21.5,14.357143,,38.555556,,,30.75,6.5555556,29.666667,,,0.5,0.625,0.625,8,0.59,2012,PS,2014,data/maharashtra/mumbai/dataverse_IO9SLQ/fulldata_reshaped.tab
2014-RC,13.428571,16.666667,,21.9,33,20,,,18.454545,31.363636,47.333333,,19.71875,45.052632,4,23.291667,14.785714,16.074074,16.5,12.5,26.017857,,27,16.419355,21.540541,,,,23.724638,,6.4285714,5,24,22.272727,12.666667,,,26.333333,,44,,20.666667,43,10,22.285714,,31,21.5,,21.947368,18,,23,7,,,16,21.541667,,,,21,,,,22,8,,5.6666667,34,11,,28,22.54902,,11.454545,12,,13.5,63.5,3,19.125,22.625,14.508772,,,,32.5,,28,,,26,26.25,,,,0,0.6666667,0.6666667,9,0.84,2012,RC,2014,data/maharashtra/mumbai/dataverse_IO9SLQ/fulldata_reshaped.tab
2014-RN,,,38,,17,,,6.4,15.272727,35.909091,10,,13.5,,,33.727273,11.8,11.375,,16.190476,26.068966,56,11.6,27.6,18.357143,,,,26.052632,,20.333333,,15.666667,11.142857,14.5,,,10,,,36,28.8,20,14,21,,,19.076923,21.333333,21.666667,12,,,18,,,27.8,8.5,,,,41,,,12.5,9.4166667,,,15,,7,,36.333333,19.25,,19.2,,,16,,,28.769231,17,35.122449,,,,29,,,,,17.5,,,,,0.1428571,0.5714286,0.5714286,7,0.69,2012,RN,2014,data/maharashtra/mumbai/dataverse_IO9SLQ/fulldata_reshaped.tab
2014-RS,14.304054,11,25.75,14.375,22.5,16.3,53.428571,,,23.294118,19,,20.146789,21,18.4,17.785714,,13.5,,12.5,14.266667,11,19.6,24.411765,,20.75,13,2.5,20.254545,,28.375,12,,,,,,25.25,16.25,,,17.666667,30,16,10.833333,,,14,27.194444,,,,7,22.837209,20.25,32.440678,17.444444,6,,,,24.833333,35,,,11,,45,28.434783,25.714286,35.086957,,,19.444444,17.111111,,24,24.294118,15,9,31.632258,36.5,16.777778,26.52549,,,,13.5,,12,,,15,22.545455,,,,0.5454546,0.4545455,0.4545455,11,0.54,2012,RS,2014,data/maharashtra/mumbai/dataverse_IO9SLQ/fulldata_reshaped.tab
2014-S,18.72973,37.666667,,10,22.333333,5,17.75,34.333333,18.461538,51.826087,87,,23.52459,9,,20.326923,16.7,23,21.333333,18.895833,15.906977,,,32.676923,19.5,20,,15.333333,19.614286,22,22.272727,,,33.2,53.928571,,,18.6,,,,,15.333333,31.090909,26.285714,,18,46,19.8,18.857143,29.272727,,17.4,21.806452,,,,28.277778,,6,,19.333333,,,37.5,31.384615,37,,17,4,16.875,,24,33.096774,,26.181818,15,24.5,24.2,19,14,,11.615385,30.047619,24.5,,16,,,27.5,,34,35,13.5,,,28,0.4615385,0.2307692,0.2307692,13,0.51,2012,S,2014,data/maharashtra/mumbai/dataverse_IO9SLQ/fulldata_reshaped.tab
2014-T,44,11.8,,18,28,25,,26,21,20.777778,8.2307692,,24.090909,,,11.117647,23,17.375,14,19.071429,18.805556,,29,15.547945,22.666667,,,19,8.8518519,38.5,40.384615,,30.5,19,10.25,,,,19.666667,,14.666667,34,14.666667,22,9,,14.5,19.571429,16.5,17.6,15.076923,,16.636364,18.666667,,,20.714286,18.090909,,30,,8.25,,,12,23.75,,36,28,24,45,,16.333333,9.1025641,34,14.333333,42,29.5,31,15.625,21,52.4,22.111111,38.576923,21.5,,,,,15.875,,22.4,26.5,30.952381,12,,23,0.6,0.5,0.5,6,0.76,2012,T,2014,data/maharashtra/mumbai/dataverse_IO9SLQ/fulldata_reshaped.tab
2015-A,110.11111,13,14,,112.5,70,84,,75.666667,,49.166667,,388.77778,18,76,93.833333,4,58.636364,,52.727273,165.38095,46.428571,129.75,4.5,35.5,,,,130.5,,623.33333,17.5,2,30.875,,84,,,101.2,7,,214.2,,,10,,,92.4,3,75.333333,10.5,,2,231.77778,18.5,,,17,,39,,46.5,9,,,29.142857,,47,5,,6,110.625,36.5,71.277778,40,72.8,146,34.166667,52.5,33.333333,71.666667,102.55556,43.666667,239.16667,,,,31.166667,,24.75,,,42.833333,35.222222,,,,0.5,0,0.5,4,0.58,2012,A,2015,data/maharashtra/mumbai/dataverse_IO9SLQ/fulldata_reshaped.tab
2015-B,72.666667,15,,76.5,21,51.5,,,46.8,13,73.333333,,332.73684,,71,39.8,86,87.923077,,44.272727,272.2,88.5,10,18.111111,79,62,9,,125.14286,,369.4,,,82.6,,,,,57,,,82.5,,,,,7,48.333333,19.25,87.4,,,,391.63636,38,,,,,7,24,86.25,25,,,87.111111,,5,,,,117,21.5,95.214286,,58.333333,11,88.2,44.6,27.5,47,113.625,25.166667,711.44444,,,,9,49,50.4,,43,62,145,,,,0.3333333,0,0.3333333,3,0.71,2012,B,2015,data/maharashtra/mumbai/dataverse_IO9SLQ/fulldata_reshaped.tab
2015-C,81.5,10.5,38,,21,26,,,116.66667,11,30.538462,,234.91667,,75.5,79.25,86,233.21429,,101.9,432.66667,79.6,14.5,10.555556,99.25,50,,36,62.875,,194.33333,69,,43.777778,,,,,51,43,,50.5,,,,,,186.5,,462.36364,5.25,,,141.64286,283.33333,,,72,,23.5,,49.666667,,,29,84.833333,29,,,,,88.714286,24.25,58.125,53,89.777778,95.5,81.333333,60.75,74,54.8,276.28571,108.625,719.28571,50.6,,,43,51.8,111.44444,,43,63.333333,200.875,,,3,0.3333333,0,0.5,4,0.89,2012,C,2015,data/maharashtra/mumbai/dataverse_IO9SLQ/fulldata_reshaped.tab
2015-D,177.9,24.5,,55,59,36.666667,110.5,,90.4,18.727273,120.0625,,346.33333,377.28571,221,71.115385,41.8,326,,296.22222,190.94118,79.444444,22,69.521739,271.14286,57.5,42,92.875,96.680851,,236.06667,22.333333,9.25,131,,35,,,48.25,,64,713.07692,26.5,2,15.181818,57,19,195.6,26.333333,175.13725,24,62.5,7.6666667,254.96667,58,9,10,26.6,,,,106.33333,38,,31,279.11111,77,,20.666667,,,342.77778,58.833333,101,,98.857143,112.5,43.666667,44.857143,40.857143,178.47368,235.23077,57.931034,260.95238,26.5,,,51,20.666667,37,,62,141.2,162.38462,,,,0,0,0.2857143,7,0.96,2012,D,2015,data/maharashtra/mumbai/dataverse_IO9SLQ/fulldata_reshaped.tab
2015-E,56.846154,45,51,81,153.5,109,6,,88.6,,75.823529,,1454,70,346,169.23077,21.2,212.33333,,142.55556,345.44444,92.2,14.2,71.235294,92.333333,42,69.333333,20.333333,117.51429,,403.11111,367.5,,70.166667,18,,,23.5,117,,33,211.375,,,,78,,105.11111,,92.4,31,,,493.33333,61,69.375,,34.666667,,49,,83.384615,15,,,112.77778,,48,,,,121,53.428571,118,35.5,38.6,55.428571,59,51,110.5,263.85714,281.88889,117.47059,1150.9,84.25,,,61,,82.111111,,23.333333,59.888889,195.125,,,,0.25,0,0.375,8,0.54,2012,E,2015,data/maharashtra/mumbai/dataverse_IO9SLQ/fulldata_reshaped.tab
2015-FN,76.181818,38,39.666667,32.666667,37.8,35.25,,,160.75,16,82.444444,,539.66667,55.2,61.5,77.5625,85,80.285714,,179,1702.8889,135,53,40.733333,313.25,33.5,57,12,81,,473.45455,42.333333,24.666667,115.25,21,38,,,29.25,,,151.83333,,26,,39,14,150.25,36,156.25,,69,2,443.9,63.5,113.25,,90.8,,2,,107.90909,38.5,,,157.11111,87,16.5,24,,29,86.375,47.833333,105.35714,63,107.85714,34,98.4,59.833333,32.75,287.55556,132.14286,92,628.7,44.333333,,,40,9,71.666667,,121.25,161.66667,65.5,,,,0.3333333,0,0.6,10,0.41,2012,FN,2015,data/maharashtra/mumbai/dataverse_IO9SLQ/fulldata_reshaped.tab
2015-FS,80.125,20,48,,132,,,2,111.6,17.125,73.888889,,255.56522,,41,69.733333,33,53.857143,,54.25,233.85714,76.333333,62,38.470588,107.2,58,25,32,41.6,,133.72222,49,4,81.6,93,,,15,47.25,,18,62.1,7,22.666667,12,,,100.77778,17.333333,62.4,12,7.5,,217.44444,,62,12,9.0909091,,,,73.555556,,,4,41.3125,9,,20.909091,16,9,63.666667,52.2,79.454545,,26,35,67,34.5,29.5,145,73.636364,39.190476,183.95833,69.75,,,50,,118.33333,,46,141.16667,42,,,35,0.4285714,0,0.5714286,7,0.67,2012,FS,2015,data/maharashtra/mumbai/dataverse_IO9SLQ/fulldata_reshaped.tab
2015-GN,58.928571,20,26,53.333333,55,58,15,,74.833333,22.272727,53.823529,,146.01852,54,,45.916667,45.4,66.111111,,55.083333,270,104.16667,32,45.75,300.44444,,11.25,67,56.422222,,71.783784,34.666667,14.75,98.130435,61,,,,45,7,26.5,105,,9.3333333,17.5,,6,107.63636,10.5,576.35294,9.8333333,51,5,75.270833,47.5,67,24.166667,75.75,,21,,79.222222,,,,94.761905,,9.5,17.866667,13.75,7.4545455,190.5,75,62.782609,20,61.333333,30.75,37.666667,42.583333,26.666667,148.92308,100.11765,71.243243,296.57534,28.875,42,14,44.666667,,61.609756,,49,102,34.6875,,,,0.6,0,0.2727273,11,0.49,2012,GN,2015,data/maharashtra/mumbai/dataverse_IO9SLQ/fulldata_reshaped.tab
