wardyear_num,rd_bad_patch_potholes,ws_burst_water_main_lines,bld_change_user_res_comm,strm_cleaning_of_open_swd,drain_cleaning_of_septic_tank,strm_cleaning_water_entrance,strm_cleaning_removal_of_silt,swm_clean_rep_block_channels,swm_collection_pt_not_attend,misc_complaints_miscellenous,ws_contaminated_water_supply,rd_digging_of_roads,drain_drainage_choke_blockage,gdn_fallen_tree_on_road,strm_flooding_during_monsoon,pst_fogging,swm_gbg_lorry_not_report_cove,swm_gbg_not_lifted_gully,swm_gbg_not_lifted_mun_market,swm_gbg_not_lifted_from_road,encr_hawkers,bld_heavy_leakage_from_ceiling,heal_birth_deat_cert_issue,ws_leaks_in_water_lines_meter,gdn_lifting_of_tree_cutting,mun_maint_municipal_property,mun_major_repairs_to_mun_prop,mun_minor_repairs_to_mun_prop,pst_mosquito_nuisance,encr_municipal_colony_slum,encr_municipal_land_foot_swd,encr_municipal_plot,swm_no_attend_public_toilets,swm_non_attend_nuis_detect,ws_non_receipt_water_bills,pst_nuisance_cockroaches,encr_nuisance_due_to_vagrants,pst_nuisance_due_to_white_ants,drain_odour_from_drains,shp_online_renewal_application,shp_open_beyond_permis_hours,bld_other_buildings,misc_others,drain_others_drn,encr_others_ecnr,est_others_estate,lic_others_lic,heal_others_moh,mun_others_rnt,swm_others_swm,ws_others_was,col_others_colony_officer_col,ws_overflow_overhead_tank,drain_overflowing_drn_manhole,bld_perm_temp_monsoon_shed,gdn_perm_for_tree_cutting,encr_private_land_bldg_fact,swm_dustbins,strm_provid_manhole_cover_swd,rd_providing_rd_name_plate,drain_raising_of_manhole,pst_rat_nuisance,rd_reinstatement_of_trenches,rd_relaying_and_repairs_roads,swm_removal_of_dead_animals,swm_removal_of_debris,ws_removal_of_water_meters,strm_repair_damaged_open_swd,rd_repairs_of_road_footpath,drain_repairs_to_pipe_sewers,drain_replacement_manhole,rd_resurfacing_of_road,shp_running_without_license,ws_shortage_of_water_supply,rd_signals,swm_silt_lifted_from_road,rd_speed_breakers,rd_street_lighting,swm_sweeping_of_roads,lic_trade_without_license,gdn_trimming_of_branches,bld_unauth_alteration_bldg,lic_unauth_banners_advt_road,bld_unauth_constr_development,col_unauth_constr_in_slum,est_unauth_constr_reserve_plot,col_unauth_ext_constr,fac_unauth_factory_workshop,lic_unauth_storage_explosives,ws_unauth_tapping_water_conn,pst_unauth_uncov_water_storage,ws_unauth_use_waterchange_user,heal_unauth_food_sell,lic_unauth_stalls_road_foot,lic_unauth_workshop_or_garage,swm_unhygienic_cond_toilets,ws_use_of_booster_pump,castequota_scst,gender_election,genderquota,members,hdi,term,adminward,year,source_path
2013-HW,13.297297,7,11.333333,15,10.333333,18.5,22.25,35,9.6666667,28.6,12.761905,,7.4856322,5,18.25,20.846154,11.4,13.25,,16.296296,44.8,18.4,,7.9473684,18.111111,29,18.666667,39,24.909091,,15.076923,18,24,11.1,6,,,,15.333333,,,14.5,18,7.6666667,58,,,55,16.142857,23.571429,19.5,,8,17.647059,,25,21.111111,24.666667,,,8,23,,,,15.4,,35,20.368421,26.714286,20.25,,41,12.259259,,22,27.333333,22.285714,16.2,,22,15.27027,53,17.378947,,,,13.75,15,15.076923,,11,46,34.8,,,7.8,0.4,0,0.6666667,6,0.68,2012,HW,2013,data/maharashtra/mumbai/dataverse_IO9SLQ/fulldata_reshaped.tab
2013-KE,17.758621,22.166667,22.3,20.75,25.541667,20.857143,15.7,18.5,24,12.75,16.090909,,8.4182306,,13.769231,11.679245,14.217391,23.8,,15.753623,12.595745,12.6,14,15.195652,12.222222,17,19,21,10.481013,,25.688525,10.111111,33.5,23.45,9,2,,18.857143,25.25,18,28.8,14.769231,19.470588,20.222222,22.625,,19.5,6,21.4,23.416667,14.5,,15,16.858407,3,,16,19.916667,,5.5,,8.8666667,7,,12,20.2,9.5,,22.5,9,21.4375,,12,16.564516,4,20.666667,16.714286,24.333333,19.666667,21.777778,14.4,16.145833,16.692308,16.611549,8,,,11,19,20.361111,,,5.2857143,17.862069,15.928571,,15.5,0.2,0,0.7333333,15,0.67,2012,KE,2013,data/maharashtra/mumbai/dataverse_IO9SLQ/fulldata_reshaped.tab
2013-KW,9,7.6666667,9.5,16,33,,,,10.166667,27.647059,20.923077,,3.3454834,,,23.566667,14.333333,23.333333,14,17.5,27.5,6.6666667,,13.413793,15.666667,21.5,,,22.282609,,21,37,9,7.5714286,29.666667,18,,29,26,,,13.285714,8,30.5,16,,,,,8.5,14.541667,,21.6,5.6315789,6,,14.6,,,,,27.4,,,,9.25,,,41,,3,,28.5,19.611111,,,,29,5.3333333,,,11.354839,11.25,18.963636,5,,,28.5,,22.25,,7.8333333,,,,,15.333333,0.25,0,0.3846154,13,0.66,2012,KW,2013,data/maharashtra/mumbai/dataverse_IO9SLQ/fulldata_reshaped.tab
2013-L,11.133333,20.117647,20.363636,4.5,10.2,10.2,3.8571429,24,23.333333,22.942639,11.7,,7.2129187,12.8,,22.052632,15.375,16.75,12,16.424658,21.781022,42,24.666667,18.927374,20.857143,4,,,28.722222,38,11.272727,,19.5,20.461538,5.5,,,41.375,14,,15.5,28.434214,22.081818,5.7878788,24.25,28.826087,20.458753,25.689474,8.4171627,19.643162,19.66561,19.44,16,7.6754386,,10.849057,32.75,19.55,,,,26.875,21,,25.5,17.222222,13.5,4,9.4,7.6363636,5.9,,10,17.514286,15,21.555556,8.25,8.25,13.090909,19.846154,13.076923,27.88,24.160714,29.309735,17.594595,20.666667,,26.5,27,18.375,,,25.909091,28.708333,27.785714,,30.5,0.2,0,0.6666667,15,0.29,2012,L,2013,data/maharashtra/mumbai/dataverse_IO9SLQ/fulldata_reshaped.tab
2013-ME,10.384615,11.411765,27,11.7,11.823529,6,15.428571,8,10.125,16.770426,8.9782609,,8.5418719,11.5,18,24.1875,9,5.6,,7.6818182,28.725806,21.8,23.5,11.664474,6.5555556,12.818182,8.6,10,27.542857,27,11.47619,10.8125,7.5714286,8.1333333,7.5,57,,29.666667,13.8,,,22.397996,16.113014,12.210526,32.351852,14.625906,28.821229,31.066427,13.199918,8.3817143,10.090959,26.789292,3,8.1234568,33,10.888889,37,8.7777778,,14.666667,15,15.636364,18,,2.5,10.117647,8,13.333333,15.8125,8.6,10.142857,,20.8,11.784375,5,11.25,13.714286,9.2222222,6.2857143,26.333333,13.814815,24.272727,34.571429,26.225,25.545455,23.333333,27.846154,31.4,,10.655738,,12.636364,18.75,30.807692,29,,14.714286,0.4615385,0,0.3846154,13,0.05,2012,ME,2013,data/maharashtra/mumbai/dataverse_IO9SLQ/fulldata_reshaped.tab
2013-MW,13.212766,3.8461538,14.5,14.142857,15.71875,16,16.2,21,,23.127595,2.9298246,,10.270195,16.25,9.5,16.473684,24,14,,26.333333,16.657143,23,26.367347,3.5914634,23.8,18.5,15.333333,22,17.557692,22.5,18.172414,11,,35,4.4285714,24.25,,19.571429,28,27.166667,24,22.95401,26.979592,14.058824,18.162393,24.30198,26.304487,23.138278,18.560074,25.719512,4.3455108,18.843291,3,20.180328,,17.555556,11,30.2,,,,20.692308,,,,31.333333,4.3333333,23.5,28.384615,26.8,25.142857,,10,4.0981308,,30.2,8,19.8,28,15,25.341463,21.166667,24.055556,21.869565,24.217391,25,14,14.666667,,3.4186047,,8,23.111111,25.142857,39,,,0.1666667,0,0.75,8,0.33,2012,MW,2013,data/maharashtra/mumbai/dataverse_IO9SLQ/fulldata_reshaped.tab
2013-N,19,19.25,8,18.8,19.833333,27.6,,5,7,11,10.088235,,6.4900662,,,16.428571,10.2,5.6,,8.06,12.536364,,,14.888889,13,,,,14.38806,,9,,11.6,8.3333333,,22,,14,25,,,19.333333,4,,7.8181818,,15.25,,,11.75,8.3333333,,,2.8,,,20.5,5.4166667,,,,17.888889,,,3.8,6.7916667,,,,,16,,13,12.875,,10.333333,20,,6.8461538,29.571429,,19.25,16.384615,19.679245,,,,22,38.333333,21.333333,,,,26.888889,8,,,0.1818182,0,0.5,12,0.52,2012,N,2013,data/maharashtra/mumbai/dataverse_IO9SLQ/fulldata_reshaped.tab
2013-PN,20.744898,15,11.846154,12.058824,13.933333,6.75,16.666667,,15.285714,14.96,12.142857,,11.43554,19.571429,18.5,10.242857,12.407407,19.4,19,13.58,15.233766,26.5,,10.510204,14,9,5,10.5,10.96,29,18.630769,8.3333333,,14.307692,5,,,9.5555556,17.428571,,20.5,15.454545,16.733333,14.636364,19.375,,23.25,25.1,18.705882,15.833333,13.565217,24,17.333333,13.483333,,33,14.794118,13.6,,,,9.9259259,15,,18.166667,16.36,,17,19.710526,16.133333,15.327273,,17,16.333333,26,14.555556,18.230769,32,11.928571,18,18.46875,11.653846,8.6410256,16.019347,26.6,21.166667,12.5,19.363636,,13.732143,,16.5,5,23.052632,22,,16.5,0.1333333,0,0.3125,16,0.47,2012,PN,2013,data/maharashtra/mumbai/dataverse_IO9SLQ/fulldata_reshaped.tab
2013-PS,23.258065,13,19.2,25,27.5,29.5,32.833333,15,13.25,11.98,18.333333,,10.954839,,21.166667,23.2,15,14,,16.536585,13.729412,22.875,21,18.322581,20.111111,,,,21.545455,24.333333,21.647059,,,17,34,,,,29,,21,22,18,29.714286,17.428571,,13.1,27.631579,27.285714,29.5,18,,34,19.45283,22.333333,20,24.384615,24,,,,23.625,,,16.285714,15.761905,,45,24.916667,26.4,27.413793,,25.833333,22.444444,,21.263158,13.333333,31.5,21.777778,13.181818,33.166667,20.827586,10.189655,21.441253,23.333333,10.4,8,23,18.333333,24.1,,22,30.111111,11.708333,11.913043,,25,0.5,0,0.625,8,0.59,2012,PS,2013,data/maharashtra/mumbai/dataverse_IO9SLQ/fulldata_reshaped.tab
2013-RC,23.230769,20.5,30,19.75,,15,,,26.4,16.333333,27.310345,,4.0901288,29,,29.85,26.833333,12.75,,23.318182,30.575758,16,18,18.125,27.727273,,,,27.97561,,27.857143,,11,20.75,,31,,21.5,30.5,,54,13.666667,24.5,31.333333,10,,31.5,5.5,54,18.5,28.333333,,,21.733333,24,,10.5,47,,,,36.666667,,,31,33.666667,37,,46.8,46.5,41.142857,,,21.057143,,30.266667,,,15.75,,,13.235294,22.411765,13.452381,,31,,6,,34.333333,,,11,44,,,,0,0,0.6,10,0.84,2012,RC,2013,data/maharashtra/mumbai/dataverse_IO9SLQ/fulldata_reshaped.tab
