state,body,ward_no,survey_year,councillor,councillor_woman,councillor_party,councillor_age,councillor_education,councillor_professional_education,councillor_pan_card,councillor_criminal_cases,council,councillor_spell_id,woman_reserved,reservation_raw,total_funds,funds_prop,gbm_attended,total_gbms,ward_attendance,total_ward_meetings,other_meetings,total_other_meetings,total_questions,slum,samplesize,adminward,rating_roads,rating_traffic,rating_gardens,rating_transport,rating_rations,rating_hospitals,rating_schools,rating_power,rating_water,rating_flooding,rating_pollution,rating_crime,rating_law_order,rating_sanitation,rating_recall_party,rating_recall_name,rating_accessibility,rating_satisfaction,rating_corruption,rating_quality_of_life,rating_footpaths,questions_corporation,questions_crimecorrupt,questions_culture,questions_distribution,questions_education,questions_health,questions_housing,questions_humanres,questions_license,questions_otherinfrastructure,questions_pollution,questions_recreationcommunity,questions_renaming,questions_tax,questions_transport,questions_watertoilets,questions_other,rating_flags,source_path
Maharashtra,Brihanmumbai Municipal Corporation,121,2018,Chandravati Shivaji More,1,SS,40,Graduate,,Yes,0,2017,78,1,SC-W,5165050.5,0.86084175,99,102,14,17,50,53,2,0.86,,S,53.834,55.025,65.4,61.797,,61.204,70.044,66.008,65.416,53.608,48.173,62.123,68.706,50.62,15.5,11.8,61.043335,65.83,40.5075,76.58,56.272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,satisfaction_inverted,data/maharashtra/mumbai/dataverse_IO9SLQ/mumbai_full.tab
Maharashtra,Brihanmumbai Municipal Corporation,122,2011,Shubhangi Dashrath Shirke,1,SS,,,,,,2007,79,0,,,,45,51,16,17,18,29,19,0.7,131,N,67.747,58.883,54.086,69.062,,66.837,67.166,76.281,71.656,56.166,53.597,56.073,61.949,65.785,,,,,50.545,,,0,0,0,0,0,0.10526316,0.42105263,0,0,0,0,0.15789473,0.05263158,0,0.05263158,0.21052632,0,,data/maharashtra/mumbai/dataverse_IO9SLQ/mumbai_full.tab
Maharashtra,Brihanmumbai Municipal Corporation,122,2013,Deepak Waman Hande,0,IND,44,HSC,,Yes,0,2012,80,0,,5924461,0.9874102,67,70,18,19,15,17,17,0.7,,N,68.639,52.18,57.26,66.418,55.345,75.562,78.913,83.92,87.175,61.974,63.683,67.446,69.76,67.105,4.1,81,86.27,79.63,80.4,69.48,,0,0,0,0,0,0.05882353,0.11764706,0,0,0,0,0,0.64705884,0,0.1764706,0,0,,data/maharashtra/mumbai/dataverse_IO9SLQ/mumbai_full.tab
Maharashtra,Brihanmumbai Municipal Corporation,122,2014,Deepak Waman Hande,0,IND,45,HSC,,Yes,0,2012,80,0,,1.1925E7,0.99375,64,65,11,18,12,15,32,0.7,,N,59.206,49.385,60.345,64.258,59.613,66.33,72.557,73.699,74.158,59.879,56.781,46.35,61.376,47.105,0,35.7,49.513332,54.515,56.11,68.1575,,0,0,0,0,0.03125,0.03125,0.15625,0,0,0,0.1875,0.03125,0.375,0,0.0625,0.125,0,,data/maharashtra/mumbai/dataverse_IO9SLQ/mumbai_full.tab
Maharashtra,Brihanmumbai Municipal Corporation,122,2015,Deepak Waman Hande,0,IND,46,HSC,,Yes,0,2012,80,0,,3432000,0.572,76,79,14,16,37,43,17,0.7,,N,67.127,59.704,58.422,76.601,59.224,76.79,70.268,79.484,82.905,61.662,59.634,63.799,63.848,72.27,0,56.9,67.60667,73.2075,68.165,80.805,,0,0,0,0,0,0,0.05882353,0,0,0,0.11764706,0,0.3529412,0,0.3529412,0.05882353,0.05882353,,data/maharashtra/mumbai/dataverse_IO9SLQ/mumbai_full.tab
Maharashtra,Brihanmumbai Municipal Corporation,122,2016,Deepak Waman Hande,0,IND,47,HSC,,Yes,0,2012,80,0,,8236680,0.68639,63,74,13,16,13,32,12,0.7,,N,71.28,54.945,67.221,78.012,54.845,77.22,76.3,89.001,89.298,79.299,71.379,68.1,74.349,74.448,1,96,69.636665,79.8475,71.03,69.1925,,0,0,0,0,0,0,0,0,0.083333336,0,0.083333336,0,0.5,0,0.33333334,0,0,,data/maharashtra/mumbai/dataverse_IO9SLQ/mumbai_full.tab
Maharashtra,Brihanmumbai Municipal Corporation,122,2018,Vaishali Shrikant Patil,1,BJP,42,Post Graduate,,Yes,0,2017,81,1,OBC-W,5232800.5,0.87213343,98,102,13,17,18,18,2,0.86,,S,61.533,52.255,53.086,59.303,,66.438,62.184,64.932,73.514,64.015,49.302,63.791,62.761,56.293,21.3,16,63.866665,53.405,85.895,74.585,60.354,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,satisfaction_inverted,data/maharashtra/mumbai/dataverse_IO9SLQ/mumbai_full.tab
Maharashtra,Brihanmumbai Municipal Corporation,123,2011,Ashwini Bharat Mate,1,SS,,,,,,2007,82,0,,,,48,51,8,17,68,74,18,0.7,139,N,62.034,67.957,68.231,70.193,,71.047,69.661,68.721,66.885,67.014,67.62,68.826,69.21,72.638,,,,,63.825,,,0.055555556,0,0,0.055555556,0,0.11111111,0.11111111,0.16666667,0,0,0.055555556,0,0.22222222,0,0.055555556,0.11111111,0.055555556,,data/maharashtra/mumbai/dataverse_IO9SLQ/mumbai_full.tab
Maharashtra,Brihanmumbai Municipal Corporation,123,2013,Ashwini Bharat Mate,1,SS,44,HSC,,Yes,0,2012,83,0,,4519778.5,0.75329643,68,70,15,19,43,52,17,0.7,,N,59.331,53.383,53.376,68.061,68.954,63.815,71.217,88.14,90.209,67.814,68.182,71.866,76.455,71.285,60.7,67.9,65.25,68.32,84.49,57.3525,,0.05882353,0,0,0,0,0,0.29411766,0,0,0,0.11764706,0.05882353,0,0,0.3529412,0.11764706,0,,data/maharashtra/mumbai/dataverse_IO9SLQ/mumbai_full.tab
Maharashtra,Brihanmumbai Municipal Corporation,123,2014,Ashwini Bharat Mate,1,SS,45,HSC,,Yes,0,2012,83,0,,1.013E7,0.8441667,64,65,13,18,32,43,7,0.7,,N,44.697,42.062,57.637,48.914,50.565,67.577,72.818,80.706,78.917,49.785,54.077,46.712,60.998,60.648,73,78.3,66.6,70.1675,71.1925,77.5075,,0,0,0,0.14285715,0,0,0.5714286,0,0,0,0.14285715,0,0,0,0,0,0.14285715,,data/maharashtra/mumbai/dataverse_IO9SLQ/mumbai_full.tab
