year,ward_no,serial,candidate,party,party_local,votes,electorate,valid_votes,source_path
2012,61,17,Shaikh Imran Kasam,IND,Apaksh,62,69046,31224,data/maharashtra/mumbai/2012_scanned_data.xlsx
2012,61,18,Javed Shaikh,indian union muslim ling,indian union muslim ling,96,69046,31224,data/maharashtra/mumbai/2012_scanned_data.xlsx
2012,61,19,Shaikh Mohammad Rafik Daud,IND,Apaksh,87,69046,31224,data/maharashtra/mumbai/2012_scanned_data.xlsx
2012,61,20,Shaikh Mohammad Rashid,IND,Apaksh,58,69046,31224,data/maharashtra/mumbai/2012_scanned_data.xlsx
2012,61,21,Vaghela Mahesh Shamji,republican party of india (Democretic),republican party of india (Democretic),100,69046,31224,data/maharashtra/mumbai/2012_scanned_data.xlsx
2012,62,1,Ansari Mohammad Ali,IND,Apaksh,116,41393,16425,data/maharashtra/mumbai/2012_scanned_data.xlsx
2012,62,2,Ansari Sultan M. Salim,IND,Apaksh,32,41393,16425,data/maharashtra/mumbai/2012_scanned_data.xlsx
2012,62,3,Beg Samir Salim,Samajvadi Party,Samajvadi Party,3449,41393,16425,data/maharashtra/mumbai/2012_scanned_data.xlsx
2012,62,4,Dhotre Raju Bayassa,IND,Apaksh,314,41393,16425,data/maharashtra/mumbai/2012_scanned_data.xlsx
2012,62,5,Falsamkar Arvind Govind,IND,Apaksh,107,41393,16425,data/maharashtra/mumbai/2012_scanned_data.xlsx
2012,62,6,Gaunda Somshanker Dasppa,INC,Indian National Congress,3441,41393,16425,data/maharashtra/mumbai/2012_scanned_data.xlsx
2012,62,7,M.A. Hussain,IND,Apaksh,892,41393,16425,data/maharashtra/mumbai/2012_scanned_data.xlsx
2012,62,8,Jogala Jay Dinesh,IND,Apaksh,87,41393,16425,data/maharashtra/mumbai/2012_scanned_data.xlsx
2012,62,9,Khan Fekare Aalam Chedi,janta dal (S),janta dal (S),31,41393,16425,data/maharashtra/mumbai/2012_scanned_data.xlsx
2012,62,10,Yusuf Abdulla Khan,IND,Apaksh,113,41393,16425,data/maharashtra/mumbai/2012_scanned_data.xlsx
2012,62,11,Kaulage Pankaj Abhimanyu,MNS,Maharashtra Navnirman Sena,878,41393,16425,data/maharashtra/mumbai/2012_scanned_data.xlsx
2012,62,12,Mukhtyar Ajay Kirit,IND,Apaksh,101,41393,16425,data/maharashtra/mumbai/2012_scanned_data.xlsx
2012,62,13,Amit Bhaskar Satam,BJP,bjp,6168,41393,16425,data/maharashtra/mumbai/2012_scanned_data.xlsx
2012,62,14,Sayyad Riyajuddin Sardar,BSP,Bahujan Samaj Party,86,41393,16425,data/maharashtra/mumbai/2012_scanned_data.xlsx
2012,62,15,Dhirubhai Shah,IND,Apaksh,182,41393,16425,data/maharashtra/mumbai/2012_scanned_data.xlsx
2012,62,16,Shaikh Kasim Abdul Ajij,hindustan janta party,hindustan janta party,86,41393,16425,data/maharashtra/mumbai/2012_scanned_data.xlsx
2012,62,17,Khaja Daud Shaikh,IND,Apaksh,185,41393,16425,data/maharashtra/mumbai/2012_scanned_data.xlsx
2012,62,18,Shaikh Mohammad Salim Shaikh Salim,IND,Apaksh,42,41393,16425,data/maharashtra/mumbai/2012_scanned_data.xlsx
2012,62,19,Shaikh Sayyad Hussain Haidar Ali,cpi,cpi,82,41393,16425,data/maharashtra/mumbai/2012_scanned_data.xlsx
2012,62,20,Usmani Saroj Ahamad,indian muslim congress party,indian muslim congress party,33,41393,16425,data/maharashtra/mumbai/2012_scanned_data.xlsx
2012,63,1,Bala Palkar,MNS,Maharashtra Navnirman Sena,3347,45582,17804,data/maharashtra/mumbai/2012_scanned_data.xlsx
2012,63,2,Dilip Patel,BJP,bjp,5133,45582,17804,data/maharashtra/mumbai/2012_scanned_data.xlsx
2012,63,3,Jayanti Jivabhai Siroya,INC,Indian National Congress,5081,45582,17804,data/maharashtra/mumbai/2012_scanned_data.xlsx
2012,63,4,Thakare Vijay,IND,Apaksh,2954,45582,17804,data/maharashtra/mumbai/2012_scanned_data.xlsx
2012,63,5,Yadav Shrikant Vasant,IND,Apaksh,1289,45582,17804,data/maharashtra/mumbai/2012_scanned_data.xlsx
2012,64,1,Devendra Kavita Aleks,IND,Apaksh,2939,47776,20871,data/maharashtra/mumbai/2012_scanned_data.xlsx
2012,64,2,Devendra Satya Mani,Samajvadi Party,Samajvadi Party,1151,47776,20871,data/maharashtra/mumbai/2012_scanned_data.xlsx
2012,64,3,Devendra Soniya Perumal,IND,Apaksh,170,47776,20871,data/maharashtra/mumbai/2012_scanned_data.xlsx
2012,64,4,Gupta Aasbadevi Rajesh,BJP,bjp,2038,47776,20871,data/maharashtra/mumbai/2012_scanned_data.xlsx
2012,64,5,Husen Aasifa Rafat,IND,Apaksh,587,47776,20871,data/maharashtra/mumbai/2012_scanned_data.xlsx
2012,64,6,Jain Bhavna Sikander,INC,Indian National Congress,5028,47776,20871,data/maharashtra/mumbai/2012_scanned_data.xlsx
2012,64,7,Kalandera Antonet,IND,Apaksh,48,47776,20871,data/maharashtra/mumbai/2012_scanned_data.xlsx
2012,64,8,Khoja Mumtaj Haidarali,IND,Apaksh,81,47776,20871,data/maharashtra/mumbai/2012_scanned_data.xlsx
2012,64,9,Mangela Bhavna Amit,IND,Apaksh,5356,47776,20871,data/maharashtra/mumbai/2012_scanned_data.xlsx
2012,64,10,Shaili Singh,IND,Apaksh,922,47776,20871,data/maharashtra/mumbai/2012_scanned_data.xlsx
2012,64,11,Pawar Nayana Sandip,MNS,Maharashtra Navnirman Sena,2205,47776,20871,data/maharashtra/mumbai/2012_scanned_data.xlsx
2012,64,12,Shaikh Farjana Ajmat,IND,Apaksh,94,47776,20871,data/maharashtra/mumbai/2012_scanned_data.xlsx
2012,64,13,Neha Kumar,loksatta party,loksatta party,252,47776,20871,data/maharashtra/mumbai/2012_scanned_data.xlsx
2012,65,1,Bhuta Sudha Dhanesh,Nationalist Mahashakti Party,Nationalist Mahashakti Party,234,44760,19203,data/maharashtra/mumbai/2012_scanned_data.xlsx
2012,65,2,Amita Mariyan Chetiyar,IND,Apaksh,319,44760,19203,data/maharashtra/mumbai/2012_scanned_data.xlsx
2012,65,3,Aarti Jitendra Janavale,SS,shivsena,5162,44760,19203,data/maharashtra/mumbai/2012_scanned_data.xlsx
2012,65,4,Khan Sakina Abdul Ajijh,Samajvadi Party,Samajvadi Party,378,44760,19203,data/maharashtra/mumbai/2012_scanned_data.xlsx
2012,65,5,Mhatre Manisha Pradeep,MNS,Maharashtra Navnirman Sena,3480,44760,19203,data/maharashtra/mumbai/2012_scanned_data.xlsx
2012,65,6,Dr. Ila Shaha,IND,Apaksh,813,44760,19203,data/maharashtra/mumbai/2012_scanned_data.xlsx
2012,65,7,Sawant Ujjvala Abhimanyu,IND,Apaksh,117,44760,19203,data/maharashtra/mumbai/2012_scanned_data.xlsx
2012,65,8,Heena Vidhyut Shraf,IND,Apaksh,3144,44760,19203,data/maharashtra/mumbai/2012_scanned_data.xlsx
2012,65,9,Soni Rekha Lalit,IND,Apaksh,72,44760,19203,data/maharashtra/mumbai/2012_scanned_data.xlsx
2012,65,10,Sujave Priyanka Jayprakash,IND,Apaksh,28,44760,19203,data/maharashtra/mumbai/2012_scanned_data.xlsx
2012,65,11,Binita Mehul Kora,INC,Indian National Congress,5456,44760,19203,data/maharashtra/mumbai/2012_scanned_data.xlsx
2012,73,1,,IND,apaksh,,43049,20553,data/maharashtra/mumbai/2012_scanned_data.xlsx
2012,73,2,,IND,apaksh,330,43049,20553,data/maharashtra/mumbai/2012_scanned_data.xlsx
2012,73,3,,BJP,bjp,2647,43049,20553,data/maharashtra/mumbai/2012_scanned_data.xlsx
2012,73,4,,IND,apaksh,1654,43049,20553,data/maharashtra/mumbai/2012_scanned_data.xlsx
2012,73,5,,BSP,bahujan samaj party,193,43049,20553,data/maharashtra/mumbai/2012_scanned_data.xlsx
2012,73,6,,IND,apaksh,102,43049,20553,data/maharashtra/mumbai/2012_scanned_data.xlsx
2012,73,7,,INC,indian national congress,,43049,20553,data/maharashtra/mumbai/2012_scanned_data.xlsx
2012,73,8,,Bharip Bahujan Mahasangh,Bharip Bahujan Mahasangh,253,43049,20553,data/maharashtra/mumbai/2012_scanned_data.xlsx
2012,73,9,,MNS,maharashtra navnirman sena,3352,43049,20553,data/maharashtra/mumbai/2012_scanned_data.xlsx
2012,73,10,,samajvadi party,samajvadi party,1089,43049,20553,data/maharashtra/mumbai/2012_scanned_data.xlsx
2012,74,1,Kava Sudhir Ugappa,Congress,Congress,7785,49937,22543,data/maharashtra/mumbai/2012_scanned_data.xlsx
2012,74,2,Shrimati Desai Minakshi Sakharam,BJP,bjp,211,49937,22543,data/maharashtra/mumbai/2012_scanned_data.xlsx
2012,74,3,Ruben Aagapito Fanardees,IND,apaksh,11439,49937,22543,data/maharashtra/mumbai/2012_scanned_data.xlsx
2012,74,4,Ashok Shanker Gangane,Bharip Bahujan Mahasangh,Bharip Bahujan Mahasangh,68,49937,22543,data/maharashtra/mumbai/2012_scanned_data.xlsx
2012,74,5,Amij Kautikar,IND,apaksh,59,49937,22543,data/maharashtra/mumbai/2012_scanned_data.xlsx
2012,74,6,Khawaja Bahauddin Tabrej,IND,apaksh,192,49937,22543,data/maharashtra/mumbai/2012_scanned_data.xlsx
2012,74,7,Jonh Manvel Solo,bahujan vikas aaghadi,bahujan vikas aaghadi,63,49937,22543,data/maharashtra/mumbai/2012_scanned_data.xlsx
2012,74,8,Sawant Pramod Pandurang,SS,Shivsena,9846,49937,22543,data/maharashtra/mumbai/2012_scanned_data.xlsx
2012,74,9,Sawant Rohan,MNS,maharashtra navnirman sena,2144,49937,22543,data/maharashtra/mumbai/2012_scanned_data.xlsx
2012,74,10,Sayyad Smile,IND,apaksh,200,49937,22543,data/maharashtra/mumbai/2012_scanned_data.xlsx
2012,74,11,Shaikh Abdul Hamid Aadam,R.P.I (Khobragade),R.P.I (Khobragade),154,49937,22543,data/maharashtra/mumbai/2012_scanned_data.xlsx
2012,74,12,Shinde Umesh,IND,apaksh,50,49937,22543,data/maharashtra/mumbai/2012_scanned_data.xlsx
2012,74,13,Solkar Amiruddin,samajvadi party,samajvadi party,238,49937,22543,data/maharashtra/mumbai/2012_scanned_data.xlsx
2012,74,14,Harish Nandkishor Vijan,IND,apaksh,94,49937,22543,data/maharashtra/mumbai/2012_scanned_data.xlsx
2012,75,1,Shrimati Glads Almeda,IND,apaksh,4027,43254,20204,data/maharashtra/mumbai/2012_scanned_data.xlsx
2012,75,2,Bolgar Madhuri Chandrakant,cpi,cpi,674,43254,20204,data/maharashtra/mumbai/2012_scanned_data.xlsx
2012,75,3,Mandakini Hamaji Jagtap,Bharip Bahujan Mahasangh,Bharip Bahujan Mahasangh,241,43254,20204,data/maharashtra/mumbai/2012_scanned_data.xlsx
2012,75,4,Kasare Snehal Sidheshwar,BSP,bahujan samaj party,381,43254,20204,data/maharashtra/mumbai/2012_scanned_data.xlsx
2012,75,5,Paramlosh Shital Samyual,MNS,maharashtra navnirman sena,2426,43254,20204,data/maharashtra/mumbai/2012_scanned_data.xlsx
2012,75,6,Pintobi Lavhiya Meshal,IND,apaksh,130,43254,20204,data/maharashtra/mumbai/2012_scanned_data.xlsx
2012,75,7,Roy Sushma Kamlesh,INC,indian national congress,6693,43254,20204,data/maharashtra/mumbai/2012_scanned_data.xlsx
2012,75,8,Sau. Sajida Asadali Shah,samajvadi party,samajvadi party,190,43254,20204,data/maharashtra/mumbai/2012_scanned_data.xlsx
2012,75,9,Shaikh Mariyan Hamid,R.P.I (Khobragade),R.P.I (Khobragade),29,43254,20204,data/maharashtra/mumbai/2012_scanned_data.xlsx
2012,75,10,Nurjahan Nijam Shaikh,bahujan vikas aaghadi,bahujan vikas aaghadi,186,43254,20204,data/maharashtra/mumbai/2012_scanned_data.xlsx
2012,75,11,Shrimati Shobha Vinod Shejare,IND,apaksh,346,43254,20204,data/maharashtra/mumbai/2012_scanned_data.xlsx
2012,75,12,Pranali Pradeep Vedak,SS,Shivsena,4969,43254,20204,data/maharashtra/mumbai/2012_scanned_data.xlsx
2012,76,1,Amin Jagdishwari Jagdish,Congress,Congress,8539,44983,20940,data/maharashtra/mumbai/2012_scanned_data.xlsx
2012,76,2,Karmel Ajfanso Thomas,IND,apaksh,76,44983,20940,data/maharashtra/mumbai/2012_scanned_data.xlsx
2012,76,3,Khan Jhoya Rehmat,BSP,bahujan samaj party,192,44983,20940,data/maharashtra/mumbai/2012_scanned_data.xlsx
2012,76,4,Marane Priya Yashwant,IND,apaksh,39,44983,20940,data/maharashtra/mumbai/2012_scanned_data.xlsx
2012,76,5,Deepa Deepak Moghe,MNS,maharashtra navnirman sena,2049,44983,20940,data/maharashtra/mumbai/2012_scanned_data.xlsx
2012,76,6,Sawant Smita Subhash,SS,Shivsena,9278,44983,20940,data/maharashtra/mumbai/2012_scanned_data.xlsx
2012,76,7,Nurjahan Mohammad Salim Shaikh,samajvadi party,samajvadi party,192,44983,20940,data/maharashtra/mumbai/2012_scanned_data.xlsx
2012,76,8,Sharma Sangita Tanuj,loksatta party,loksatta party,575,44983,20940,data/maharashtra/mumbai/2012_scanned_data.xlsx
2012,77,1,Bavkar Darshana Damodar,MNS,maharashtra navnirman sena,4528,43870,21653,data/maharashtra/mumbai/2012_scanned_data.xlsx
2012,77,2,Shrimati Riddhi Budhivan Dhuri,SS,Shivsena,5707,43870,21653,data/maharashtra/mumbai/2012_scanned_data.xlsx
2012,77,3,Shrimati Desoza Viliad Bostit,INC,indian national congress,5932,43870,21653,data/maharashtra/mumbai/2012_scanned_data.xlsx
2012,77,4,Sau. Hate Shivaji Sunil,BSP,bahujan samaj party,400,43870,21653,data/maharashtra/mumbai/2012_scanned_data.xlsx
2012,77,5,Sau. Deepali Deepak Jadhav,IND,apaksh,177,43870,21653,data/maharashtra/mumbai/2012_scanned_data.xlsx
2012,77,6,Kevat Rajmindra Dhanshyam,IND,apaksh,140,43870,21653,data/maharashtra/mumbai/2012_scanned_data.xlsx
2012,77,7,Aarnapini Nitin Khalachre,IND,apaksh,3478,43870,21653,data/maharashtra/mumbai/2012_scanned_data.xlsx
2012,77,8,Sau. Shital Mangesh Sawant,IND,apaksh,723,43870,21653,data/maharashtra/mumbai/2012_scanned_data.xlsx
2012,77,9,Sau. Nehal Dinesh Saha,IND,apaksh,56,43870,21653,data/maharashtra/mumbai/2012_scanned_data.xlsx
2012,77,10,Shrimati Rihana Mastan Shaikh,IND,apaksh,70,43870,21653,data/maharashtra/mumbai/2012_scanned_data.xlsx
2012,77,11,Shrimati Shinde Shobha Ramesh,Bharip Bahujan Mahasangh,Bharip Bahujan Mahasangh,118,43870,21653,data/maharashtra/mumbai/2012_scanned_data.xlsx
2012,77,12,Sau. Shalini Bharat Singh,samajvadi party,samajvadi party,324,43870,21653,data/maharashtra/mumbai/2012_scanned_data.xlsx
2012,78,1,Dhone Damini Damodar,BSP,bahujan samaj party,211,45938,19933,data/maharashtra/mumbai/2012_scanned_data.xlsx
2012,78,2,Manisha Manohar Panchal,SS,Shivsena,8304,45938,19933,data/maharashtra/mumbai/2012_scanned_data.xlsx
2012,78,3,Sunita Raghunath Parkur,MNS,maharashtra navnirman sena,6282,45938,19933,data/maharashtra/mumbai/2012_scanned_data.xlsx
2012,78,4,Rupali Ramesh Pavaskar,INC,indian national congress,4491,45938,19933,data/maharashtra/mumbai/2012_scanned_data.xlsx
2012,78,5,Kavita Mahadev Satardekar,IND,apaksh,647,45938,19933,data/maharashtra/mumbai/2012_scanned_data.xlsx
2012,79,1,Shrimati Veena Bhagvat,MNS,maharashtra navnirman sena,8723,48277,23505,data/maharashtra/mumbai/2012_scanned_data.xlsx
2012,79,2,Shrimati Renuka Karale,INC,indian national congress,3427,48277,23505,data/maharashtra/mumbai/2012_scanned_data.xlsx
2012,79,3,Shrimati Yamini Ashok Panchal,lok bharti,lok bharti,759,48277,23505,data/maharashtra/mumbai/2012_scanned_data.xlsx
2012,79,4,Shrimati Shubhada Shashikant Patkar,SS,Shivsena,10249,48277,23505,data/maharashtra/mumbai/2012_scanned_data.xlsx
2012,79,5,Shrimati Niruben Rathod,IND,apaksh,347,48277,23505,data/maharashtra/mumbai/2012_scanned_data.xlsx
2012,80,1,Jyoti Parag Alvani,IND,apaksh,8477,43734,21253,data/maharashtra/mumbai/2012_scanned_data.xlsx
2012,80,2,Bane Priti Pravin,BJP,bjp,3918,43734,21253,data/maharashtra/mumbai/2012_scanned_data.xlsx
2012,80,3,Sonali Sharad Bhatavdekar,MNS,maharashtra navnirman sena,4693,43734,21253,data/maharashtra/mumbai/2012_scanned_data.xlsx
2012,80,4,Shrimati Aasha Vitesh Patel,IND,apaksh,112,43734,21253,data/maharashtra/mumbai/2012_scanned_data.xlsx
2012,80,5,Shrimati Jyoti Velji Patel,INC,indian national congress,4053,43734,21253,data/maharashtra/mumbai/2012_scanned_data.xlsx
2012,81,1,Gurav Vishakha Vijay,IND,apaksh,702,37194,17780,data/maharashtra/mumbai/2012_scanned_data.xlsx
2012,81,2,Shaila Vasant Shirsagar,BJP,bjp,3961,37194,17780,data/maharashtra/mumbai/2012_scanned_data.xlsx
2012,81,3,Snehal Suhas Shinde,MNS,maharashtra navnirman sena,7716,37194,17780,data/maharashtra/mumbai/2012_scanned_data.xlsx
2012,81,4,Sutar Shital Vijay,INC,indian national congress,5401,37194,17780,data/maharashtra/mumbai/2012_scanned_data.xlsx
2012,82,1,Bagul Anisha Avinash,INC,indian national congress,5171,46968,24636,data/maharashtra/mumbai/2012_scanned_data.xlsx
2012,82,2,Vandana Anil Jadhav,IND,apaksh,297,46968,24636,data/maharashtra/mumbai/2012_scanned_data.xlsx
2012,82,3,Yogita Sainath Chavan,IND,apaksh,161,46968,24636,data/maharashtra/mumbai/2012_scanned_data.xlsx
2012,82,4,Parab Harshada Laxman,SS,Shivsena,8949,46968,24636,data/maharashtra/mumbai/2012_scanned_data.xlsx
2012,82,5,Sukhada Rahul Pawar,MNS,maharashtra navnirman sena,9750,46968,24636,data/maharashtra/mumbai/2012_scanned_data.xlsx
2012,82,6,Pushpa Sukhramsingh Rajaura,BSP,bahujan samaj party,308,46968,24636,data/maharashtra/mumbai/2012_scanned_data.xlsx
2012,83,1,Nilam Chandrakant Kamble,IND,apaksh,161,42945,20916,data/maharashtra/mumbai/2012_scanned_data.xlsx
2012,83,2,Kirti Sheshrav Meshram,IND,apaksh,98,42945,20916,data/maharashtra/mumbai/2012_scanned_data.xlsx
2012,83,3,Bhagyashree Chandrakant More,MNS,maharashtra navnirman sena,6754,42945,20916,data/maharashtra/mumbai/2012_scanned_data.xlsx
2012,83,4,Potnees Sunyana Sanjay,SS,Shivsena,8261,42945,20916,data/maharashtra/mumbai/2012_scanned_data.xlsx
2012,83,5,Pratiksha Virendra Ruke,BSP,bahujan samaj party,222,42945,20916,data/maharashtra/mumbai/2012_scanned_data.xlsx
2012,83,6,Shaila Krushna Thorat,INC,indian national congress,5420,42945,20916,data/maharashtra/mumbai/2012_scanned_data.xlsx
2012,84,1,Amin Vijay Narayan,IND,apaksh,35,39726,18056,data/maharashtra/mumbai/2012_scanned_data.xlsx
2012,84,2,Mirza Mujib Mehbub Beg,janta dal (S),janta dal (S),36,39726,18056,data/maharashtra/mumbai/2012_scanned_data.xlsx
2012,84,3,Mirza Ramjhan Mirza Samir Beg,IND,apaksh,29,39726,18056,data/maharashtra/mumbai/2012_scanned_data.xlsx
2012,84,4,Satish Balaji Chalake,BSP,bahujan samaj party,300,39726,18056,data/maharashtra/mumbai/2012_scanned_data.xlsx
2012,84,5,Najh Afsar Chaudhary,IND,apaksh,1146,39726,18056,data/maharashtra/mumbai/2012_scanned_data.xlsx
2012,84,6,Floind Joram Disoza (Munna),IND,apaksh,602,39726,18056,data/maharashtra/mumbai/2012_scanned_data.xlsx
2012,84,7,Farnardees Sinthiya Peetar,loksatta party,loksatta party,368,39726,18056,data/maharashtra/mumbai/2012_scanned_data.xlsx
2012,84,8,Alroy Goms,IND,apaksh,53,39726,18056,data/maharashtra/mumbai/2012_scanned_data.xlsx
2012,84,9,Viju Geppu Jagtap,cpi,cpi,89,39726,18056,data/maharashtra/mumbai/2012_scanned_data.xlsx
2012,84,10,Khan Anvar Rajhak,IND,apaksh,500,39726,18056,data/maharashtra/mumbai/2012_scanned_data.xlsx
2012,84,11,Abub Aalam Mumtaj Ahamad Khan,IND,apaksh,62,39726,18056,data/maharashtra/mumbai/2012_scanned_data.xlsx
2012,84,12,Israr Kubulla Khan,samajvadi party,samajvadi party,2121,39726,18056,data/maharashtra/mumbai/2012_scanned_data.xlsx
2012,84,13,Brayan Fransis Miranda,INC,indian national congress,3874,39726,18056,data/maharashtra/mumbai/2012_scanned_data.xlsx
2012,84,14,Surendra Mishra,IND,apaksh,33,39726,18056,data/maharashtra/mumbai/2012_scanned_data.xlsx
2012,84,15,Sachin Narona,IND,apaksh,29,39726,18056,data/maharashtra/mumbai/2012_scanned_data.xlsx
2012,84,16,Patil Nayana Bipin,IND,apaksh,327,39726,18056,data/maharashtra/mumbai/2012_scanned_data.xlsx
2012,84,17,Disvant Ashok Potpe,R.P.I,R.P.I,10,39726,18056,data/maharashtra/mumbai/2012_scanned_data.xlsx
2012,84,18,Prashant Narayan Purameri,rashtraheet party,rashtraheet party,59,39726,18056,data/maharashtra/mumbai/2012_scanned_data.xlsx
2012,84,19,Ejmantrav Vitthal Sakpal,IND,apaksh,93,39726,18056,data/maharashtra/mumbai/2012_scanned_data.xlsx
2012,84,20,Harishchandra Vitthal Sakpal,IND,apaksh,32,39726,18056,data/maharashtra/mumbai/2012_scanned_data.xlsx
2012,84,21,Subhash Mahadev Sawant,IND,apaksh,106,39726,18056,data/maharashtra/mumbai/2012_scanned_data.xlsx
2012,84,22,Sawant Shashikant Narayan,MNS,maharashtra navnirman sena,2707,39726,18056,data/maharashtra/mumbai/2012_scanned_data.xlsx
2012,84,23,Anmat Ali Habiullah Shah,IND,apaksh,125,39726,18056,data/maharashtra/mumbai/2012_scanned_data.xlsx
2012,84,24,AashaBaba Hinjada,IND,apaksh,115,39726,18056,data/maharashtra/mumbai/2012_scanned_data.xlsx
2012,84,25,Ashok Chandrama Singh,BJP,bjp,2150,39726,18056,data/maharashtra/mumbai/2012_scanned_data.xlsx
2012,84,26,Serateel Elis Jonson,IND,apaksh,1239,39726,18056,data/maharashtra/mumbai/2012_scanned_data.xlsx
2012,84,27,Sudhir Fulchand Depadhyay,IND,apaksh,1816,39726,18056,data/maharashtra/mumbai/2012_scanned_data.xlsx
2012,85,1,Aanand Harjantsingh Pritpal,cpi,cpi,163,36982,16340,data/maharashtra/mumbai/2012_scanned_data.xlsx
2012,85,2,Anavkar Bhasker Jagnnath,IND,apaksh,162,36982,16340,data/maharashtra/mumbai/2012_scanned_data.xlsx
2012,85,3,Ansar Ahamad Muktar Ahamad Ansari,IND,apaksh,61,36982,16340,data/maharashtra/mumbai/2012_scanned_data.xlsx
2012,85,4,Ansari Kamal Akhtar,IND,apaksh,95,36982,16340,data/maharashtra/mumbai/2012_scanned_data.xlsx
2012,85,5,Mohammad Ebab Ansari,BSP,bahujan samaj party,74,36982,16340,data/maharashtra/mumbai/2012_scanned_data.xlsx
2012,85,6,Vikki Rajendra Bot,IND,apaksh,524,36982,16340,data/maharashtra/mumbai/2012_scanned_data.xlsx
2012,85,7,Fransis Lorens Fanardis,IND,apaksh,85,36982,16340,data/maharashtra/mumbai/2012_scanned_data.xlsx
2012,85,8,Indrisi Kaisar Banu,IND,apaksh,24,36982,16340,data/maharashtra/mumbai/2012_scanned_data.xlsx
2012,85,9,Indrisi Shafiulla,samajvadi party,samajvadi party,2062,36982,16340,data/maharashtra/mumbai/2012_scanned_data.xlsx
2012,85,10,Khan Abrar Abdul Hak,IND,apaksh,26,36982,16340,data/maharashtra/mumbai/2012_scanned_data.xlsx
2012,85,11,Khan Afjal,IND,apaksh,18,36982,16340,data/maharashtra/mumbai/2012_scanned_data.xlsx
2012,85,12,Khan Hamid Rashid,IND,apaksh,78,36982,16340,data/maharashtra/mumbai/2012_scanned_data.xlsx
2012,85,13,Khan Rahebar Siraj (Raja),IND,apaksh,1847,36982,16340,data/maharashtra/mumbai/2012_scanned_data.xlsx
2012,85,14,Khan Vahid Nasrulla,republican party of india (A),republican party of india (A),1366,36982,16340,data/maharashtra/mumbai/2012_scanned_data.xlsx
2012,85,15,Purshottam Suresh Koli (Kiran Koli),IND,apaksh,299,36982,16340,data/maharashtra/mumbai/2012_scanned_data.xlsx
2012,85,16,Morpalli Munja Sakharam,IND,apaksh,44,36982,16340,data/maharashtra/mumbai/2012_scanned_data.xlsx
2012,85,17,Pal Bindrivasani Badrinath,loksatta party,loksatta party,119,36982,16340,data/maharashtra/mumbai/2012_scanned_data.xlsx
2012,85,18,Nasaruddin Smile Patvari,IND,apaksh,84,36982,16340,data/maharashtra/mumbai/2012_scanned_data.xlsx
2012,85,19,Kureshi Imran Salim,MNS,maharashtra navnirman sena,780,36982,16340,data/maharashtra/mumbai/2012_scanned_data.xlsx
2012,85,20,Mohammad Najaajmi Mohammad Jahir Kureshi,IND,apaksh,41,36982,16340,data/maharashtra/mumbai/2012_scanned_data.xlsx
2012,85,21,Rodrix Jaisi Vleman,IND,apaksh,360,36982,16340,data/maharashtra/mumbai/2012_scanned_data.xlsx
2012,85,22,Sankala Anis Mohd. Yunus,INC,indian national congress,3392,36982,16340,data/maharashtra/mumbai/2012_scanned_data.xlsx
2012,85,23,Abdul Rahim Abdul Jabbar Shaikh,indian union muslim leeg,indian union muslim leeg,628,36982,16340,data/maharashtra/mumbai/2012_scanned_data.xlsx
2012,85,24,Shaikh Aslam Chotumiya,IND,apaksh,56,36982,16340,data/maharashtra/mumbai/2012_scanned_data.xlsx
2012,85,25,Shaikh Eliyas Bashir,IND,apaksh,3850,36982,16340,data/maharashtra/mumbai/2012_scanned_data.xlsx
2012,85,26,Mustafa Mohammad Sardar Shaikh,IND,apaksh,102,36982,16340,data/maharashtra/mumbai/2012_scanned_data.xlsx
2012,86,1,Tahira Khan Bastivala,IND,apaksh,75,17890,17890,data/maharashtra/mumbai/2012_scanned_data.xlsx
2012,86,2,Bharade Helan Anvar,INC,indian national congress,5073,17890,17890,data/maharashtra/mumbai/2012_scanned_data.xlsx
2012,86,3,Gayakwad Vinita Vilas,MNS,maharashtra navnirman sena,4627,17890,17890,data/maharashtra/mumbai/2012_scanned_data.xlsx
2012,86,4,Mahadeshwar Puja Vishwanath,SS,Shivsena,6675,17890,17890,data/maharashtra/mumbai/2012_scanned_data.xlsx
2012,86,5,Rameshwari Jagnath Moraliya,IND,apaksh,211,17890,17890,data/maharashtra/mumbai/2012_scanned_data.xlsx
2012,86,6,Ad. Vidhya Suresh Patil,IND,apaksh,775,17890,17890,data/maharashtra/mumbai/2012_scanned_data.xlsx
2012,86,7,Jahid Shaikh,IND,apaksh,63,17890,17890,data/maharashtra/mumbai/2012_scanned_data.xlsx
2012,86,8,Shetty Reena Subhash,BSP,bahujan samaj party,304,17890,17890,data/maharashtra/mumbai/2012_scanned_data.xlsx
2012,86,9,Tadiyal Anita Bachansingh,IND,apaksh,87,17890,17890,data/maharashtra/mumbai/2012_scanned_data.xlsx
2012,87,1,Chavan Suryakant Gangaram,samajvadi party,samajvadi party,210,38625,18905,data/maharashtra/mumbai/2012_scanned_data.xlsx
2012,87,2,Sudhakar Mahadev Gurav,IND,apaksh,247,38625,18905,data/maharashtra/mumbai/2012_scanned_data.xlsx
2012,87,3,Mangesh Anant Mandake,MNS,maharashtra navnirman sena,1901,38625,18905,data/maharashtra/mumbai/2012_scanned_data.xlsx
2012,87,4,Nilesh Namdev Narvekar,IND,apaksh,166,38625,18905,data/maharashtra/mumbai/2012_scanned_data.xlsx
