year,ward_no,serial,candidate,party,party_local,votes,electorate,valid_votes,source_path
2012,2,1,Kambali Sharaddha Suryakant,MNS,Maharashtra Navnirman Sena,6367,45426,21452,data/maharashtra/mumbai/2012_scanned_data.xlsx
2012,2,2,Shital Mukesh Mhatre,SS,shivsena,10686,45426,21452,data/maharashtra/mumbai/2012_scanned_data.xlsx
2012,2,3,Patil Pushplata Ramakant,INC,Indian National Congress,4398,45426,21452,data/maharashtra/mumbai/2012_scanned_data.xlsx
2012,3,1,,SS,shivsena,5158,46730,21599,data/maharashtra/mumbai/2012_scanned_data.xlsx
2012,3,2,,IND,Apaksh,292,46730,21599,data/maharashtra/mumbai/2012_scanned_data.xlsx
2012,3,3,Chavan Surekha Jagdish,Bahujan Vikas Aaghadi,Bahujan Vikas Aaghadi,258,46730,21599,data/maharashtra/mumbai/2012_scanned_data.xlsx
2012,3,4,Gayakwad Roshani Umesh,Bharip Bahujan Mahasangh,Bharip Bahujan Mahasangh,563,46730,21599,data/maharashtra/mumbai/2012_scanned_data.xlsx
2012,3,5,Kamble Laxmi (Muktatai)Manik,BSP,Bahujan Samaj Party,1416,46730,21599,data/maharashtra/mumbai/2012_scanned_data.xlsx
2012,3,6,Hasina Nijamuddin Khan,Sardar Vallabhbhai Patel Party,Sardar Vallabhbhai Patel Party,65,46730,21599,data/maharashtra/mumbai/2012_scanned_data.xlsx
2012,3,7,Khan,Samajvadi Party,Samajvadi Party,1364,46730,21599,data/maharashtra/mumbai/2012_scanned_data.xlsx
2012,3,8,Shital Ashok Mhatre,INC,Indian National Congress,7576,46730,21599,data/maharashtra/mumbai/2012_scanned_data.xlsx
2012,3,9,Sangita Vijay Nayar,IND,Apaksh,221,46730,21599,data/maharashtra/mumbai/2012_scanned_data.xlsx
2012,3,10,gayakwad Roshani Umesh,MNS,Maharashtra Navnirman Sena,3346,46730,21599,data/maharashtra/mumbai/2012_scanned_data.xlsx
2012,3,11,Sanghavi Shital Mayank,Nationalist Mahashakti Party,Nationalist Mahashakti Party,340,46730,21599,data/maharashtra/mumbai/2012_scanned_data.xlsx
2012,4,1,Surendra Ramchandra Bhoir,IND,Apaksh,1071,48725,24840,data/maharashtra/mumbai/2012_scanned_data.xlsx
