year,ward_no,candidate,party,party_local,votes,rank,source_path
2017,10,arun dashrath belekar,IND,Independent,117,5,data/maharashtra/mumbai/mumbai_2017.csv
2017,10,NOTA,,,592,,data/maharashtra/mumbai/mumbai_2017.csv
2017,11,Riddhi Bhaskar Khursange,SS,Shivsena,13856,1,data/maharashtra/mumbai/mumbai_2017.csv
2017,11,PRAKASH YASHWANT DAREKAR,BJP,Bhartiya Janata Party,7454,2,data/maharashtra/mumbai/mumbai_2017.csv
2017,11,ASHOK MEGHAI YADAV,INC,Indian National Congress,1463,3,data/maharashtra/mumbai/mumbai_2017.csv
2017,11,Rajesh Manohar Kasar,MNS,Maharashtra Navnirman Sena,1143,4,data/maharashtra/mumbai/mumbai_2017.csv
2017,11,SHIVAJI PANDURANG CHAVAN,IND,Independent,618,5,data/maharashtra/mumbai/mumbai_2017.csv
2017,11,Krishnaji Bhaurao Rane,NCP,Nationalist Congress Party,322,6,data/maharashtra/mumbai/mumbai_2017.csv
2017,11,SUCHIT SAKHARAM MALUSHTE,IND,Independent,177,7,data/maharashtra/mumbai/mumbai_2017.csv
2017,11,Sunil Shyam Bhosle,IND,Independent,76,8,data/maharashtra/mumbai/mumbai_2017.csv
2017,11,Vijaya Sampat Jagtap,IND,Independent,40,9,data/maharashtra/mumbai/mumbai_2017.csv
2017,11,VISHWANATH GHANSHYAM TUPAT,National Black Panthar,National Black Panthar,36,10,data/maharashtra/mumbai/mumbai_2017.csv
2017,11,SUBHASH RAMESH JAISWAL,Sambhaji Brigade,Sambhaji Brigade,32,11,data/maharashtra/mumbai/mumbai_2017.csv
2017,11,NOTA,,,429,,data/maharashtra/mumbai/mumbai_2017.csv
2017,12,GEETA SANJAY SINGHAN,SS,Shivsena,9005,1,data/maharashtra/mumbai/mumbai_2017.csv
2017,12,VIKRAM SHIRISH CHOGLE,BJP,Bhartiya Janata Party,6695,2,data/maharashtra/mumbai/mumbai_2017.csv
