year,ward_no,candidate,party,party_local,votes,rank,source_path
2017,24,BINDU MANOJ JHA,IND,Independent,220,8,data/maharashtra/mumbai/mumbai_2017.csv
2017,24,asha shivkumar shukla,IND,Independent,132,9,data/maharashtra/mumbai/mumbai_2017.csv
2017,24,ANITA SANJAY JHA,IND,Independent,89,10,data/maharashtra/mumbai/mumbai_2017.csv
2017,24,NOTA,,,513,,data/maharashtra/mumbai/mumbai_2017.csv
2017,25,madhuri yogesh bhoir,SS,Shivsena,7185,1,data/maharashtra/mumbai/mumbai_2017.csv
2017,25,Nisha Suresh Bangera,BJP,Bhartiya Janata Party,6792,2,data/maharashtra/mumbai/mumbai_2017.csv
2017,25,BHOOMI SUNIL MANKAR,INC,Indian National Congress,778,3,data/maharashtra/mumbai/mumbai_2017.csv
2017,25,ASHWINI ASHOK MORYE,MNS,Maharashtra Navnirman Sena,275,4,data/maharashtra/mumbai/mumbai_2017.csv
2017,25,Geeta Suresh Beloshe,NCP,Nationalist Congress Party,105,5,data/maharashtra/mumbai/mumbai_2017.csv
2017,25,PRITI PRASHANT KHARATMAL,IND,Independent,53,6,data/maharashtra/mumbai/mumbai_2017.csv
2017,25,SANGITA ANIL MANE,Bhartiya Shetkari Kamgar Paksh,Bhartiya Shetkari Kamgar Paksh,25,7,data/maharashtra/mumbai/mumbai_2017.csv
2017,25,NOTA,,,253,,data/maharashtra/mumbai/mumbai_2017.csv
2017,26,PREETAM GAUTAM PANDAGLE,BJP,Bhartiya Janata Party,3948,1,data/maharashtra/mumbai/mumbai_2017.csv
2017,26,BHARTI RAM PANDAGLE,SS,Shivsena,3129,2,data/maharashtra/mumbai/mumbai_2017.csv
2017,26,RAKSHA DEEPAK WAGH,INC,Indian National Congress,2345,3,data/maharashtra/mumbai/mumbai_2017.csv
2017,26,Vandana Ramdas Nandgaonkar,Bharip Bahujan Mahasangh,Bharip Bahujan Mahasangh,1565,4,data/maharashtra/mumbai/mumbai_2017.csv
2017,26,VIDYA ATUL GAIKWAD,MNS,Maharashtra Navnirman Sena,1250,5,data/maharashtra/mumbai/mumbai_2017.csv
2017,26,SUNITA RAJESH NARWADE,NCP,Nationalist Congress Party,929,6,data/maharashtra/mumbai/mumbai_2017.csv
2017,26,BHARATI SAMBHAJI KHOPE,BSP,Bahujan Samaj Party,595,7,data/maharashtra/mumbai/mumbai_2017.csv
2017,26,SUNITA PANDURANG PAKHARE,Republican Party of India (A),Republican Party of India (A),267,8,data/maharashtra/mumbai/mumbai_2017.csv
2017,26,Prema Gorakhnath Admane,Bahujan Mukti Party,Bahujan Mukti Party,149,9,data/maharashtra/mumbai/mumbai_2017.csv
2017,26,JYOTI ARJUN BOBADE,bahujan republican sociolist party,bahujan republican sociolist party,70,10,data/maharashtra/mumbai/mumbai_2017.csv
2017,26,NOTA,,,350,,data/maharashtra/mumbai/mumbai_2017.csv
2017,27,SUREKHA MANOJKUMAR PATIL,BJP,Bhartiya Janata Party,7347,1,data/maharashtra/mumbai/mumbai_2017.csv
2017,27,Anupama Prakash Ambekar,SS,Shivsena,4098,2,data/maharashtra/mumbai/mumbai_2017.csv
2017,27,PRIYANKA SUBHASH YADAV,INC,Indian National Congress,3152,3,data/maharashtra/mumbai/mumbai_2017.csv
2017,27,KESHAR SHRIHARI GHULE,MNS,Maharashtra Navnirman Sena,765,4,data/maharashtra/mumbai/mumbai_2017.csv
2017,27,NOTA,,,367,,data/maharashtra/mumbai/mumbai_2017.csv
2017,28,RAJPATI BARGUN YADAV,INC,Indian National Congress,8241,1,data/maharashtra/mumbai/mumbai_2017.csv
