state,year,district,body,ward_no,ward_name,tier,woman_reserved,reservation_raw,caste_reservation_known,winner,party,party_local,votes,votes_polled,reservation_source_path,source_path
Maharashtra,2007,Mumbai,Brihanmumbai Municipal Corporation,1,Kandarpada - I.C. Colony,ulb_ward,1,W,0,Sheetal A Mahtre,INC,CONG,7901,14915,data/maharashtra/mumbai/dataverse_IO9SLQ/mumbai_full.tab,data/maharashtra/mumbai/BMC-2007_raw.xlsx
Maharashtra,2007,Mumbai,Brihanmumbai Municipal Corporation,2,Gaondevi - Dahisar ( E ),ulb_ward,0,,0,Bhalchandra C Mhatre,SS,SENA,10054,17580,data/maharashtra/mumbai/dataverse_IO9SLQ/mumbai_full.tab,data/maharashtra/mumbai/BMC-2007_raw.xlsx
Maharashtra,2007,Mumbai,Brihanmumbai Municipal Corporation,3,Ketakipada - Shailendra Nagar,ulb_ward,0,,0,R B Chaube,INC,CONG,7107,16824,data/maharashtra/mumbai/dataverse_IO9SLQ/mumbai_full.tab,data/maharashtra/mumbai/BMC-2007_raw.xlsx
Maharashtra,2007,Mumbai,Brihanmumbai Municipal Corporation,4,Vaishali Nagar,ulb_ward,1,W,0,Bhavana B Bhagat,SS,SENA,7114,17304,data/maharashtra/mumbai/dataverse_IO9SLQ/mumbai_full.tab,data/maharashtra/mumbai/BMC-2007_raw.xlsx
Maharashtra,2007,Mumbai,Brihanmumbai Municipal Corporation,5,Ashokvan - Chintamani Nagar,ulb_ward,1,W,0,Sujata U Patekar,SS,SENA,5610,16963,data/maharashtra/mumbai/dataverse_IO9SLQ/mumbai_full.tab,data/maharashtra/mumbai/BMC-2007_raw.xlsx
Maharashtra,2007,Mumbai,Brihanmumbai Municipal Corporation,6,Ambawadi -Ovaripada,ulb_ward,0,,0,Prakash K Karkar,SS,SENA,8283,18275,data/maharashtra/mumbai/dataverse_IO9SLQ/mumbai_full.tab,data/maharashtra/mumbai/BMC-2007_raw.xlsx
Maharashtra,2007,Mumbai,Brihanmumbai Municipal Corporation,7,Mandapeshwar,ulb_ward,0,,0,Dr. Shubha U Raul,SS,SENA,9003,17853,data/maharashtra/mumbai/dataverse_IO9SLQ/mumbai_full.tab,data/maharashtra/mumbai/BMC-2007_raw.xlsx
Maharashtra,2007,Mumbai,Brihanmumbai Municipal Corporation,8,Gorai - M.H.B. Colony (old),ulb_ward,0,,0,Sadanand N surve,SS,SENA,5179,13828,data/maharashtra/mumbai/dataverse_IO9SLQ/mumbai_full.tab,data/maharashtra/mumbai/BMC-2007_raw.xlsx
Maharashtra,2007,Mumbai,Brihanmumbai Municipal Corporation,9,Govind Nagar,ulb_ward,0,,0,Vinod P Ghedia,BJP,BJP,8952,18407,data/maharashtra/mumbai/dataverse_IO9SLQ/mumbai_full.tab,data/maharashtra/mumbai/BMC-2007_raw.xlsx
Maharashtra,2007,Mumbai,Brihanmumbai Municipal Corporation,10,Daulat Nagar - Nancy Colony,ulb_ward,0,,0,Bhaskar N Khursange,NCP,NCP,6947,18499,data/maharashtra/mumbai/dataverse_IO9SLQ/mumbai_full.tab,data/maharashtra/mumbai/BMC-2007_raw.xlsx
Maharashtra,2007,Mumbai,Brihanmumbai Municipal Corporation,11,Bansi Nagar - Tata Power House,ulb_ward,0,,0,Shirish C Chogale,MNS,MNS,6460,17229,data/maharashtra/mumbai/dataverse_IO9SLQ/mumbai_full.tab,data/maharashtra/mumbai/BMC-2007_raw.xlsx
