year,ward_no,candidate,symbol,gender,votes,won,incumbent,source_path
2002,1,Kanojiya Geetabai Chhedilal,Hand,F,4581,W,0,data/maharashtra/mumbai/BMC 2002.xls
2002,1,Keny Hemlata Manoj,Bicycle,F,887,L,0,data/maharashtra/mumbai/BMC 2002.xls
2002,1,Dhanu Bharti Bhuvaneshwar,Clock,F,2117,L,0,data/maharashtra/mumbai/BMC 2002.xls
2002,1,Patil Nilam Manohar,Bow and Arrow,F,3921,L,0,data/maharashtra/mumbai/BMC 2002.xls
2002,1,Seepal Nanda Narayan,Bungalow,F,1271,L,0,data/maharashtra/mumbai/BMC 2002.xls
2002,2,Indolia Atul Kumar,Kite,M,277,L,0,data/maharashtra/mumbai/BMC 2002.xls
2002,2,Gour Vasantkumar Lalman,Bungalow,M,44,L,0,data/maharashtra/mumbai/BMC 2002.xls
2002,2,Chauhan Chaman Vitthalal,Bicycle,M,250,L,0,data/maharashtra/mumbai/BMC 2002.xls
2002,2,John Varghese Joseph,Car,M,7,L,0,data/maharashtra/mumbai/BMC 2002.xls
2002,2,Tiwari Rajkumar Suryamani,Whistle,M,18,L,0,data/maharashtra/mumbai/BMC 2002.xls
2002,2,Doshi Puran Mohanalal,Hand,M,1403,W,0,data/maharashtra/mumbai/BMC 2002.xls
2002,2,Narvekar Suresh Murari,Bow and Arrow,M,956,L,1,data/maharashtra/mumbai/BMC 2002.xls
2002,2,Yadav Ramnath Shree Jagdish,Comb,M,43,L,0,data/maharashtra/mumbai/BMC 2002.xls
2002,2,Rane Arvind Dattaram,Ceiling Fan,M,472,L,0,data/maharashtra/mumbai/BMC 2002.xls
2002,2,Shekh Mohd Hassan Aboobacker,Bus,M,78,L,0,data/maharashtra/mumbai/BMC 2002.xls
2002,2,Sagaya Mary Lazarus,Clock,F,308,L,0,data/maharashtra/mumbai/BMC 2002.xls
2002,2,Sathe Vijay Maruti,Aeroplane,M,15,L,0,data/maharashtra/mumbai/BMC 2002.xls
2002,3,Ayare Devendra Shriram,Bus,M,106,L,0,data/maharashtra/mumbai/BMC 2002.xls
2002,3,Kanojiya Rakesh Shivram,Lock and Key,M,9,L,0,data/maharashtra/mumbai/BMC 2002.xls
2002,3,Kanojiya Suresh Shivram,Bicycle,M,182,L,0,data/maharashtra/mumbai/BMC 2002.xls
2002,3,Khan Aslam Shabaz,Book,M,134,L,0,data/maharashtra/mumbai/BMC 2002.xls
2002,3,Gavdar Rajaswami,Flaming Torch,M,49,L,0,data/maharashtra/mumbai/BMC 2002.xls
2002,3,Jadhav Kailash Kashinath,State,M,104,L,0,data/maharashtra/mumbai/BMC 2002.xls
2002,3,Thakkar Deepak Hemraj,Kite,M,28,L,0,data/maharashtra/mumbai/BMC 2002.xls
2002,3,Patil Ravindra Lalu,Coconut,M,432,L,0,data/maharashtra/mumbai/BMC 2002.xls
2002,3,Mishra Dinesh Ramshiromani,Clock,M,1995,L,0,data/maharashtra/mumbai/BMC 2002.xls
2002,3,Yelve Anesh Vishram,Bungalow,M,208,L,0,data/maharashtra/mumbai/BMC 2002.xls
2002,3,Ramaiyya Dinesh Vallabhdas,Gas Cylinder,M,56,L,0,data/maharashtra/mumbai/BMC 2002.xls
2002,3,Ruke Arjun Ganpat,Railway Engine,M,72,L,0,data/maharashtra/mumbai/BMC 2002.xls
