source_pdf,tier,reservation_raw,caste_reservation_local,caste_reservation,woman_reserved,count,min_match_score
block_member_bharuch_tps_2020.pdf,block_member,સામાન્ય સ્ત્રી,સામાન્ય સ્ત્રી,NONE,1,4,1.0
block_member_bharuch_tps_2020.pdf,block_member,સામાન્ય સ્ત્રી * .,સામાન્ય સ્ત્રી,NONE,1,1,1.0
block_member_bharuch_tps_2020.pdf,block_member,સામાન્યસ્ત્રી *,સામાન્ય સ્ત્રી,NONE,1,1,1.0
block_member_bharuch_tps_2020.pdf,block_member,સામાન્યસ્ત્રી . .,સામાન્ય સ્ત્રી,NONE,1,1,1.0
block_member_bharuch_tps_2020.pdf,block_member,સામાન્યસ્રી,સામાન્ય સ્ત્રી,NONE,1,1,0.9167
block_member_bhavnagar_tps_2020.pdf,block_member,' સામાન્ય સ્ત્રી,સામાન્ય સ્ત્રી,NONE,1,1,1.0
block_member_bhavnagar_tps_2020.pdf,block_member,_ અનુસૂચિત આદિજાતિ,અનુસૂચિત આદિજાતિ,ST,0,1,1.0
block_member_bhavnagar_tps_2020.pdf,block_member,_ બિનઅનામત સામાન્ય,બિન અનામત સામાન્ય,NONE,0,1,1.0
block_member_bhavnagar_tps_2020.pdf,block_member,અનુસૂચિત જાતિ સ્ત્રી,અનુસૂચિત જાતિ સ્ત્રી,SC,1,1,1.0
block_member_bhavnagar_tps_2020.pdf,block_member,બિનઅનામત સામાન્ય,બિન અનામત સામાન્ય,NONE,0,5,1.0
block_member_bhavnagar_tps_2020.pdf,block_member,બિનઅનામત સામાન્ય *,બિન અનામત સામાન્ય,NONE,0,1,1.0
block_member_bhavnagar_tps_2020.pdf,block_member,બિનઅનામત સામાન્ય -,બિન અનામત સામાન્ય,NONE,0,1,1.0
block_member_bhavnagar_tps_2020.pdf,block_member,સા.શૈ.પછાતવર્ગ *,સા.શૈ.પછાતવર્ગ,BC,0,1,1.0
block_member_bhavnagar_tps_2020.pdf,block_member,સા.શૈ.પછાતવર્ગ સ્ત્રી,સા.શૈ.પછાતવર્ગ સ્ત્રી,BC,1,1,1.0
block_member_bhavnagar_tps_2020.pdf,block_member,સામાન્યસ્ત્રી,સામાન્ય સ્ત્રી,NONE,1,7,1.0
block_member_choryasi_tps_2020.pdf,block_member,* “'સામાન્યસ્ત્રી,સામાન્ય સ્ત્રી,NONE,1,1,1.0
block_member_choryasi_tps_2020.pdf,block_member,-. સામાન્ય સ્ત્રી,સામાન્ય સ્ત્રી,NONE,1,1,1.0
block_member_choryasi_tps_2020.pdf,block_member,. બિન અનામત સામાન્ય _,બિન અનામત સામાન્ય,NONE,0,1,1.0
block_member_choryasi_tps_2020.pdf,block_member,_ અનુસૂચિત આદિજાતિસ્ત્રી,અનુસૂચિત આદિજાતિ સ્ત્રી,ST,1,1,1.0
block_member_choryasi_tps_2020.pdf,block_member,_ અનુસૂચિત જાતિ સ્ત્રી,અનુસૂચિત જાતિ સ્ત્રી,SC,1,1,1.0
