state,year,district,body,ward_no,ward_name,tier,tier_local,reservation,caste_reservation,caste_reservation_local,woman_reserved,reservation_raw,winner,winner_basis,party,party_local,votes,valid_votes,electorate,total_candidates_stated,listing_scope,script,result_source_path,source_path,source_page,source_pdf,source_url,source_capture
Maharashtra,2017,Mumbai,Brihanmumbai Municipal Corporation,1,,ulb_ward,corporator,Woman,NONE,,1,W,TEJASVEE ABHISHEK GHOSALKAR,published,SS,Shivsena,4913,,,12,all_seats,latin,data/maharashtra/mumbai/mumbai_2017.csv,data/maharashtra/mumbai/dataverse_IO9SLQ/mumbai_full.tab,,mumbai_full.tab,https://dataverse.harvard.edu/api/access/datafile/7345308,
Maharashtra,2017,Mumbai,Brihanmumbai Municipal Corporation,2,,ulb_ward,corporator,Other than Woman,NONE,,0,G,JAGDISH KARUNASHANKAR OZA,published,BJP,Bhartiya Janata Party,10719,,,11,all_seats,latin,data/maharashtra/mumbai/mumbai_2017.csv,data/maharashtra/mumbai/dataverse_IO9SLQ/mumbai_full.tab,,mumbai_full.tab,https://dataverse.harvard.edu/api/access/datafile/7345308,
Maharashtra,2017,Mumbai,Brihanmumbai Municipal Corporation,3,,ulb_ward,corporator,Other than Woman,NONE,,0,G,BALKRISHNA JAYSING BRID,published,SS,Shivsena,5193,,,22,all_seats,latin,data/maharashtra/mumbai/mumbai_2017.csv,data/maharashtra/mumbai/dataverse_IO9SLQ/mumbai_full.tab,,mumbai_full.tab,https://dataverse.harvard.edu/api/access/datafile/7345308,
Maharashtra,2017,Mumbai,Brihanmumbai Municipal Corporation,4,,ulb_ward,corporator,Woman,NONE,,1,W,SUJATA UDESH PATEKAR,published,SS,Shivsena,11078,,,9,all_seats,latin,data/maharashtra/mumbai/mumbai_2017.csv,data/maharashtra/mumbai/dataverse_IO9SLQ/mumbai_full.tab,,mumbai_full.tab,https://dataverse.harvard.edu/api/access/datafile/7345308,
Maharashtra,2017,Mumbai,Brihanmumbai Municipal Corporation,5,,ulb_ward,corporator,BC Other than Woman,BC,OBC,0,OBC,SANJAY SHANKAR GHADI,published,SS,Shivsena,11659,,,5,all_seats,latin,data/maharashtra/mumbai/mumbai_2017.csv,data/maharashtra/mumbai/dataverse_IO9SLQ/mumbai_full.tab,,mumbai_full.tab,https://dataverse.harvard.edu/api/access/datafile/7345308,
Maharashtra,2017,Mumbai,Brihanmumbai Municipal Corporation,6,,ulb_ward,corporator,BC Other than Woman,BC,OBC,0,OBC,HARSHAD PRAKASH KARKAR,published,SS,Shivsena,11355,,,5,all_seats,latin,data/maharashtra/mumbai/mumbai_2017.csv,data/maharashtra/mumbai/dataverse_IO9SLQ/mumbai_full.tab,,mumbai_full.tab,https://dataverse.harvard.edu/api/access/datafile/7345308,
Maharashtra,2017,Mumbai,Brihanmumbai Municipal Corporation,7,,ulb_ward,corporator,Woman,NONE,,1,W,Sheetal Mukesh Mhatre,published,SS,Shivsena,8205,,,7,all_seats,latin,data/maharashtra/mumbai/mumbai_2017.csv,data/maharashtra/mumbai/dataverse_IO9SLQ/mumbai_full.tab,,mumbai_full.tab,https://dataverse.harvard.edu/api/access/datafile/7345308,
Maharashtra,2017,Mumbai,Brihanmumbai Municipal Corporation,8,,ulb_ward,corporator,Other than Woman,NONE,,0,G,Harish Ravji Chheda,published,BJP,Bhartiya Janata Party,8534,,,6,all_seats,latin,data/maharashtra/mumbai/mumbai_2017.csv,data/maharashtra/mumbai/dataverse_IO9SLQ/mumbai_full.tab,,mumbai_full.tab,https://dataverse.harvard.edu/api/access/datafile/7345308,
Maharashtra,2017,Mumbai,Brihanmumbai Municipal Corporation,9,,ulb_ward,corporator,BC Other than Woman,BC,OBC,0,OBC,SWETA SHARAD KORGAONKAR,published,INC,Indian National Congress,9654,,,5,all_seats,latin,data/maharashtra/mumbai/mumbai_2017.csv,data/maharashtra/mumbai/dataverse_IO9SLQ/mumbai_full.tab,,mumbai_full.tab,https://dataverse.harvard.edu/api/access/datafile/7345308,
Maharashtra,2017,Mumbai,Brihanmumbai Municipal Corporation,10,,ulb_ward,corporator,BC Other than Woman,BC,OBC,0,OBC,Jitendra Ambalal Patel,published,BJP,Bhartiya Janata Party,15585,,,6,all_seats,latin,data/maharashtra/mumbai/mumbai_2017.csv,data/maharashtra/mumbai/dataverse_IO9SLQ/mumbai_full.tab,,mumbai_full.tab,https://dataverse.harvard.edu/api/access/datafile/7345308,
Maharashtra,2017,Mumbai,Brihanmumbai Municipal Corporation,11,,ulb_ward,corporator,Other than Woman,NONE,,0,G,Riddhi Bhaskar Khursange,published,SS,Shivsena,13856,,,12,all_seats,latin,data/maharashtra/mumbai/mumbai_2017.csv,data/maharashtra/mumbai/dataverse_IO9SLQ/mumbai_full.tab,,mumbai_full.tab,https://dataverse.harvard.edu/api/access/datafile/7345308,
Maharashtra,2017,Mumbai,Brihanmumbai Municipal Corporation,12,,ulb_ward,corporator,Other than Woman,NONE,,0,G,GEETA SANJAY SINGHAN,published,SS,Shivsena,9005,,,12,all_seats,latin,data/maharashtra/mumbai/mumbai_2017.csv,data/maharashtra/mumbai/dataverse_IO9SLQ/mumbai_full.tab,,mumbai_full.tab,https://dataverse.harvard.edu/api/access/datafile/7345308,
Maharashtra,2017,Mumbai,Brihanmumbai Municipal Corporation,13,,ulb_ward,corporator,Other than Woman,NONE,,0,G,Vidyarthi Balister Singh,published,BJP,Bhartiya Janata Party,13113,,,14,all_seats,latin,data/maharashtra/mumbai/mumbai_2017.csv,data/maharashtra/mumbai/dataverse_IO9SLQ/mumbai_full.tab,,mumbai_full.tab,https://dataverse.harvard.edu/api/access/datafile/7345308,
Maharashtra,2017,Mumbai,Brihanmumbai Municipal Corporation,14,,ulb_ward,corporator,Woman,NONE,,1,W,Asawari Anil Patil,published,BJP,Bhartiya Janata Party,8321,,,7,all_seats,latin,data/maharashtra/mumbai/mumbai_2017.csv,data/maharashtra/mumbai/dataverse_IO9SLQ/mumbai_full.tab,,mumbai_full.tab,https://dataverse.harvard.edu/api/access/datafile/7345308,
Maharashtra,2017,Mumbai,Brihanmumbai Municipal Corporation,15,,ulb_ward,corporator,Other than Woman,NONE,,0,G,PRAVIN RIKHAVCHAND SHAH,published,BJP,Bhartiya Janata Party,22860,,,8,all_seats,latin,data/maharashtra/mumbai/mumbai_2017.csv,data/maharashtra/mumbai/dataverse_IO9SLQ/mumbai_full.tab,,mumbai_full.tab,https://dataverse.harvard.edu/api/access/datafile/7345308,
Maharashtra,2017,Mumbai,Brihanmumbai Municipal Corporation,16,,ulb_ward,corporator,Woman,NONE,,1,W,Anjali Arun Khedkar,published,BJP,Bhartiya Janata Party,9465,,,7,all_seats,latin,data/maharashtra/mumbai/mumbai_2017.csv,data/maharashtra/mumbai/dataverse_IO9SLQ/mumbai_full.tab,,mumbai_full.tab,https://dataverse.harvard.edu/api/access/datafile/7345308,
Maharashtra,2017,Mumbai,Brihanmumbai Municipal Corporation,17,,ulb_ward,corporator,Woman,NONE,,1,W,BINA PARESH DOSHI,published,BJP,Bhartiya Janata Party,14414,,,6,all_seats,latin,data/maharashtra/mumbai/mumbai_2017.csv,data/maharashtra/mumbai/dataverse_IO9SLQ/mumbai_full.tab,,mumbai_full.tab,https://dataverse.harvard.edu/api/access/datafile/7345308,
Maharashtra,2017,Mumbai,Brihanmumbai Municipal Corporation,18,,ulb_ward,corporator,Other than Woman,NONE,,0,G,Sandhya Vipul Doshi,published,SS,Shivsena,9815,,,9,all_seats,latin,data/maharashtra/mumbai/mumbai_2017.csv,data/maharashtra/mumbai/dataverse_IO9SLQ/mumbai_full.tab,,mumbai_full.tab,https://dataverse.harvard.edu/api/access/datafile/7345308,
Maharashtra,2017,Mumbai,Brihanmumbai Municipal Corporation,19,,ulb_ward,corporator,Woman,NONE,,1,W,Shubhada Subhash Gudekar,published,SS,Shivsena,10817,,,8,all_seats,latin,data/maharashtra/mumbai/mumbai_2017.csv,data/maharashtra/mumbai/dataverse_IO9SLQ/mumbai_full.tab,,mumbai_full.tab,https://dataverse.harvard.edu/api/access/datafile/7345308,
