Candidate,Party Name ,Ward Number,Constituency Name,Votes Polled,Election Outcome,Reservation Status,Real Assets,Real Liabilities,Asset Error,My Neta Criminal Cases,Ward Number,Direction,Age,Marital Status,Dependents,Other Dependents,PAN ,Returns Filed,Spouse PAN,Spouse Returns Filed,Pending Criminal Cases(Affidavit),Convictions,Spouse Assets,Occupation,Spouse Occupation,EDUCATION,Number of  Voters,Votes Polled ,percentage polled,percent of Votes Polled,percent  of Total Votes,
Parveen Gupta,BSP,1,Narela (G),5070,Winner,,,,,,,,,,,,,,,,,,,,,,40733,20739,50.91,24.45,12.45,
Neel Daman,BJP,1,Narela (G),4506,Lost,,,,,,,,,,,,,,,,,,,,,,,,,21.73,11.06,
Amit Malik,INC,1,Narela (G),4336,Lost,,,,,,,,,,,,,,,,,,,,,,,,,20.91,10.64,
Jagdish Khatri,IND,1,Narela (G),3928,Lost,,,,,,,,,,,,,,,,,,,,,,,,,18.94,9.64,
Surinder,IND,1,Narela (G),863,Lost,,,,,,,,,,,,,,,,,,,,,,,,,4.16,2.12,
Shyam Sunder,NCP,1,Narela (G),551,Lost,,,,,,,,,,,,,,,,,,,,,,,,,2.66,1.35,
Yakub,RJD,1,Narela (G),395,Lost,,,,,,,,,,,,,,,,,,,,,,,,,1.9,0.97,
Rajan Sharma,IND,1,Narela (G),386,Lost,,,,,,,,,,,,,,,,,,,,,,,,,1.86,0.95,
Sudama,IND,1,Narela (G),255,Lost,,,,,,,,,,,,,,,,,,,,,,,,,1.23,0.63,
Nanak Chand,IND,1,Narela (G),183,Lost,,,,,,,,,,,,,,,,,,,,,,,,,0.88,0.45,
Atul,IND,1,Narela (G),151,Lost,,,,,,,,,,,,,,,,,,,,,,,,,0.73,0.37,
Dharambir,INLD,1,Narela (G),84,Lost,,,,,,,,,,,,,,,,,,,,,,,,,0.41,0.21,
Ashok Kumar,IND,1,Narela (G),31,Lost,,,,,,,,,,,,,,,,,,,,,,,,,0.15,0.08,
Mohan Parsad Bhardwaj,BJP,2,Bankner,5209,Winner,,,,,,,,,,,,,,,,,,,,,,34207,18370,53.7,28.36,15.23,
Ram Gopal Sharma,INC,2,Bankner,3691,Lost,,,,,,,,,,,,,,,,,,,,,,,,,20.09,10.79,
Chand Singh,BSP,2,Bankner,3400,Lost,,,,,,,,,,,,,,,,,,,,,,,,,18.51,9.94,
Jora Singh,INLD,2,Bankner,1551,Lost,,,,,,,,,,,,,,,,,,,,,,,,,8.44,4.53,
Jai Bhagwan Saini,RJD,2,Bankner,1035,Lost,,,,,,,,,,,,,,,,,,,,,,,,,5.63,3.03,
Raj Singh Khatri,IND,2,Bankner,913,Lost,,,,,,,,,,,,,,,,,,,,,,,,,4.97,2.67,
Vijay Kumar,IND,2,Bankner,851,Lost,,,,,,,,,,,,,,,,,,,,,,,,,4.63,2.49,
Shiv Charan,LJP,2,Bankner,805,Lost,,,,,,,,,,,,,,,,,,,,,,,,,4.38,2.35,
Jai Bhagwan,IND,2,Bankner,444,Lost,,,,,,,,,,,,,,,,,,,,,,,,,2.42,1.3,
SatPal Singh,IND,2,Bankner,162,Lost,,,,,,,,,,,,,,,,,,,,,,,,,0.88,0.47,
Ram Niwas,NCP,2,Bankner,133,Lost,,,,,,,,,,,,,,,,,,,,,,,,,0.72,0.39,
Nanu Ram,IND,2,Bankner,119,Lost,,,,,,,,,,,,,,,,,,,,,,,,,0.65,0.35,
Vivek Ranjan,IND,2,Bankner,57,Lost,,,,,,,,,,,,,,,,,,,,,,,,,0.31,0.17,
Nisha Rani,BJP,3,Alipur,8630,Winner,,,,,,,,,,,,,,,,,,,,,,54781,30486,55.65,28.31,15.75,
Jagamati,IND,3,Alipur,7652,Lost,,,,,,,,,,,,,,,,,,,,,,,,,25.1,13.97,
Archana Saini,BSP,3,Alipur,4679,Lost,,,,,,,,,,,,,,,,,,,,,,,,,15.35,8.54,
Sakun Mann,INC,3,Alipur,4020,Lost,,,,,,,,,,,,,,,,,,,,,,,,,13.19,7.34,
Raj Rani,INLD,3,Alipur,1683,Lost,,,,,,,,,,,,,,,,,,,,,,,,,5.52,3.07,
Nirmala,NCP,3,Alipur,1299,Lost,,,,,,,,,,,,,,,,,,,,,,,,,4.26,2.37,
Mohani Devi,CPI,3,Alipur,841,Lost,,,,,,,,,,,,,,,,,,,,,,,,,2.76,1.54,
Babita Kumari,IND,3,Alipur,464,Lost,,,,,,,,,,,,,,,,,,,,,,,,,1.52,0.85,
Laxmi Anand,LJP,3,Alipur,391,Lost,,,,,,,,,,,,,,,,,,,,,,,,,1.28,0.71,
Rekha Devi,IND,3,Alipur,350,Lost,,,,,,,,,,,,,,,,,,,,,,,,,1.15,0.64,
Durga Bai,IND,3,Alipur,168,Lost,,,,,,,,,,,,,,,,,,,,,,,,,0.55,0.31,
Urmila Devi,IND,3,Alipur,151,Lost,,,,,,,,,,,,,,,,,,,,,,,,,0.5,0.28,
Harsha Rani,SS,3,Alipur,89,Lost,,,,,,,,,,,,,,,,,,,,,,,,,0.29,0.16,
Mamta,IND,3,Alipur,69,Lost,,,,,,,,,,,,,,,,,,,,,,,,,0.23,0.13,
Sharad Kumar,BSP,4,Bakhtawar Pur,6593,Winner,,,,,,,,,,,,,,,,,,,,,,35814,23030,64.3,28.63,18.41,
Sukhram,IND,4,Bakhtawar Pur,4998,Lost,,,,,,,,,,,,,,,,,,,,,,,,,21.7,13.96,
Virender,INC,4,Bakhtawar Pur,4928,Lost,,,,,,,,,,,,,,,,,,,,,,,,,21.4,13.76,
Raj Pal Singh,BJP,4,Bakhtawar Pur,4450,Lost,,,,,,,,,,,,,,,,,,,,,,,,,19.32,12.43,
Rattan Kumar,IND,4,Bakhtawar Pur,386,Lost,,,,,,,,,,,,,,,,,,,,,,,,,1.68,1.08,
Joginder,SS,4,Bakhtawar Pur,382,Lost,,,,,,,,,,,,,,,,,,,,,,,,,1.66,1.07,
Hawa Singh,IND,4,Bakhtawar Pur,356,Lost,,,,,,,,,,,,,,,,,,,,,,,,,1.55,0.99,
Surender Kumar,IND,4,Bakhtawar Pur,202,Lost,,,,,,,,,,,,,,,,,,,,,,,,,0.88,0.56,
Bijender,IND,4,Bakhtawar Pur,187,Lost,,,,,,,,,,,,,,,,,,,,,,,,,0.81,0.52,
Kitab Singh,IND,4,Bakhtawar Pur,151,Lost,,,,,,,,,,,,,,,,,,,,,,,,,0.66,0.42,
