Candidate,Constituency Name,Ward Number,Party,Valid Votes Polled,Election Outcome,Total Valid Votes,Total Voters,Direction,Reservation Status,Real Assets,Real Liabilities,Asset Error,Age,Marital Status,Dependents,Other Dependents,PAN ,Returns Filed,Spouse PAN,Spouse Returns Filed,Pending Criminal Cases(Affidavit),Convictions,Spouse Assets,Occupation,Spouse Occupation,Votes Polled(Old Data),EDUCATION
Abdul Wajid Khan,ABUL FAZAL ENCLAVE,102-S,AAM AADMI PARTY,10374,Winner,26397,60475,S,General,10127982,289624,Correct,36,married,2,0,yes,yes,yes,o,3,0,911870,Professional,housewife,10374,10th Pass
Anita,MAYUR VIHAR PHASE-I,1-E,AAM AADMI PARTY,8362,Lost,,,E,SCW,3067407,0,,,,,,,,,,,,,,,8362,Graduate
Tara,MAYUR VIHAR PHASE-I,1-E,BAHUJAN SAMAJ PARTY,2428,Lost,,,E,SCW,1201377,0,,,,,,,,,,,,,,,,5th Pass
PARVEEN DEVI MASSEY,MAYUR VIHAR PHASE-I,1-E,INDIAN NATIONAL CONGRESS,2236,Lost,,,E,SCW,11000000,0,,,,,,,,,,,,,,,,12th Pass
NOTA,MAYUR VIHAR PHASE-I,1-E,,172,,,,E,SCW,,,,,,,,,,,,,,,,,,
Laxmi Devi,MAYUR VIHAR PHASE-I,1-E,INDEPENDENT,121,Lost,,,E,SCW,1235000,0,,,,,,,,,,,,,,,,Illiterate
Sheetal,MAYUR VIHAR PHASE-I,1-E,INDEPENDENT,56,Lost,,,E,SCW,61200,0,,,,,,,,,,,,,,,,8th Pass
Sonam,MAYUR VIHAR PHASE-I,1-E,INDEPENDENT,45,Lost,,,E,SCW,26000,0,,,,,,,,,,,,,,,,5th Pass
Garima Gupta,ADARSH NAGAR,17-N,BHARATIYA JANATA PARTY,13427,Winner,30683,59214,N,Women,12702637,500000,Correct,30,Married,1,0,yes,yes,yes,yes,0,0,8539617,self-employed,business,13427,Graduate Professional
Kavita,NARELA,1-N,AAM AADMI PARTY,7627,Lost,,,N,Women,16023016,0,,,,,,,,,,,,,,,7627,10th Pass
