state,year,tier,check_id,appeals_to,status,observed,expected,detail
Jammu & Kashmir,2010,gp_ward,blank_share_within_tolerance,declared,pass,,,0 column(s) over tolerance
Jammu & Kashmir,2010,gp_ward,coverage_vs_published,external,skip,7340,,"No reliable published total, and the holdings are an ad-hoc subset of districts rather than a full corpus. Mea"
Jammu & Kashmir,2010,gp_ward,women_share_vs_statute,external,pass,48.3%,floor 33%,
Jammu & Kashmir,2010,gp_ward,women_share_by_block,external,skip,,,only applies where the share is an exact split
Jammu & Kashmir,2010,gp_ward,caste_share_vs_population,external,skip,0,,no population columns in this source
Jammu & Kashmir,2010,gp_ward,label_agrees,internal,pass,0,0,"the label is written separately from the two fields it summarises, so they can disagree"
Jammu & Kashmir,2010,gp_ward,alias_family_exclusive,internal,pass,0,0,"one of ['gram_panchayat', 'halqa']"
Jammu & Kashmir,2010,gp_ward,seat_key_unique,internal,warn,510,0,"largest group 27 at ('Udhampur', 'Ghordi', '', '4', '')"
Jammu & Kashmir,2010,gp_ward,tier_local_maps_to_one_tier,internal,pass,ward,gp_ward,
Jammu & Kashmir,2010,gp_ward,year_constant,internal,pass,2010,2010,
Jammu & Kashmir,2010,gp_ward,provenance_resolves,internal,pass,0,0,54 documents
Jammu & Kashmir,2016,gp_head,rows_in_band,declared,pass,410,100..4500,
Jammu & Kashmir,2016,gp_head,caste_scheme_respected,declared,pass,"NONE,SC,ST","NONE,SC,ST",sc_st_only
Jammu & Kashmir,2016,gp_head,blank_share_within_tolerance,declared,warn,halqa 15%>10%,,1 column(s) over tolerance
Jammu & Kashmir,2016,gp_head,coverage_vs_published,external,skip,410,,As above.
Jammu & Kashmir,2016,gp_head,women_share_vs_statute,external,pass,33.4%,floor 33%,
Jammu & Kashmir,2016,gp_head,women_share_by_block,external,skip,,,only applies where the share is an exact split
Jammu & Kashmir,2016,gp_head,caste_share_vs_population,external,pass,SC seats 68.2% vs others 14.2%,SC-reserved seats sit where more SC people live,
Jammu & Kashmir,2016,gp_head,label_agrees,internal,pass,0,0,"the label is written separately from the two fields it summarises, so they can disagree"
Jammu & Kashmir,2016,gp_head,alias_family_exclusive,internal,pass,0,0,"one of ['gram_panchayat', 'halqa']"
Jammu & Kashmir,2016,gp_head,seat_key_unique,internal,warn,114,0,"largest group 49 at ('Jammu', 'Publication Jammu B', '', '', '')"
Jammu & Kashmir,2016,gp_head,tier_local_maps_to_one_tier,internal,pass,sarpanch,gp_head,
Jammu & Kashmir,2016,gp_head,year_constant,internal,pass,2016,2016,
Jammu & Kashmir,2016,gp_head,provenance_resolves,internal,pass,0,0,12 documents
Jammu & Kashmir,2016,gp_ward,rows_in_band,declared,pass,2326,500..35000,
Jammu & Kashmir,2016,gp_ward,caste_scheme_respected,declared,pass,"NONE,SC,ST","NONE,SC,ST",sc_st_only
Jammu & Kashmir,2016,gp_ward,blank_share_within_tolerance,declared,pass,,,0 column(s) over tolerance
Jammu & Kashmir,2016,gp_ward,coverage_vs_published,external,skip,2326,,As above.
Jammu & Kashmir,2016,gp_ward,women_share_vs_statute,external,pass,31.8%,floor 33%,
Jammu & Kashmir,2016,gp_ward,women_share_by_block,external,skip,,,only applies where the share is an exact split
Jammu & Kashmir,2016,gp_ward,caste_share_vs_population,external,pass,SC seats 74.5% vs others 7.2%,SC-reserved seats sit where more SC people live,
Jammu & Kashmir,2016,gp_ward,label_agrees,internal,pass,0,0,"the label is written separately from the two fields it summarises, so they can disagree"
Jammu & Kashmir,2016,gp_ward,alias_family_exclusive,internal,pass,0,0,"one of ['gram_panchayat', 'halqa']"
Jammu & Kashmir,2016,gp_ward,seat_key_unique,internal,warn,418,0,"largest group 8 at ('Jammu', 'Publication Jammu B', '', '1', '')"
Jammu & Kashmir,2016,gp_ward,tier_local_maps_to_one_tier,internal,pass,ward,gp_ward,
Jammu & Kashmir,2016,gp_ward,year_constant,internal,pass,2016,2016,
Jammu & Kashmir,2016,gp_ward,provenance_resolves,internal,pass,0,0,12 documents
Jammu & Kashmir,2018,gp_ward,rows_in_band,declared,pass,1432,500..35000,
Jammu & Kashmir,2018,gp_ward,caste_scheme_respected,declared,pass,"NONE,ST","NONE,SC,ST",sc_st_only
Jammu & Kashmir,2018,gp_ward,blank_share_within_tolerance,declared,pass,,,0 column(s) over tolerance
Jammu & Kashmir,2018,gp_ward,coverage_vs_published,external,skip,1432,,"As above, and these documents list only the reserved wards, so a completeness figure would not mean what it lo"
Jammu & Kashmir,2018,gp_ward,women_share_vs_statute,external,skip,1181/1432,,"the document is a reserved_only listing, so its share is a property of the document rather than of the state"
Jammu & Kashmir,2018,gp_ward,women_share_by_block,external,skip,,,only applies where the share is an exact split
Jammu & Kashmir,2018,gp_ward,caste_share_vs_population,external,skip,0,,no population columns in this source
Jammu & Kashmir,2018,gp_ward,label_agrees,internal,pass,0,0,"the label is written separately from the two fields it summarises, so they can disagree"
Jammu & Kashmir,2018,gp_ward,alias_family_exclusive,internal,pass,0,0,"one of ['gram_panchayat', 'halqa']"
Jammu & Kashmir,2018,gp_ward,seat_key_unique,internal,warn,210,0,"largest group 3 at ('Kupwara', 'Keran', 'Aloosa', 'PC-II', '')"
Jammu & Kashmir,2018,gp_ward,tier_local_maps_to_one_tier,internal,pass,ward,gp_ward,
Jammu & Kashmir,2018,gp_ward,year_constant,internal,pass,2018,2018,
Jammu & Kashmir,2018,gp_ward,provenance_resolves,internal,pass,0,0,13 documents
Jharkhand,2015,block_member,rows_in_band,declared,pass,3409,1000..5500,
Jharkhand,2015,block_member,caste_scheme_respected,declared,pass,"BC,NONE,SC,ST","BC,NONE,SC,ST",sc_st_bc
Jharkhand,2015,block_member,blank_share_within_tolerance,declared,warn,gram_panchayat 94%>10%; gp_no 94%>60%,,2 column(s) over tolerance
Jharkhand,2015,block_member,coverage_vs_published,external,warn,3409 (63%),5423 seats,seats
Jharkhand,2015,block_member,women_share_vs_statute,external,pass,52.0%,floor 50%,
Jharkhand,2015,block_member,women_share_by_block,external,skip,,,only applies where the share is an exact split
Jharkhand,2015,block_member,caste_share_vs_population,external,skip,0,,no population columns in this source
Jharkhand,2015,block_member,label_agrees,internal,pass,0,0,"the label is written separately from the two fields it summarises, so they can disagree"
Jharkhand,2015,block_member,alias_family_exclusive,internal,pass,0,0,"one of ['gram_panchayat', 'halqa']"
Jharkhand,2015,block_member,seat_key_unique,internal,warn,249,0,"largest group 22 at ('Hazaribag', '', 'बड़कागा¡व', '', '')"
Jharkhand,2015,block_member,tier_local_maps_to_one_tier,internal,pass,panchayat_samiti,block_member,
Jharkhand,2015,block_member,year_constant,internal,pass,2015,2015,
Jharkhand,2015,block_member,provenance_resolves,internal,pass,0,0,24 documents
Jharkhand,2015,gp_head,rows_in_band,declared,pass,2637,1000..4400,
Jharkhand,2015,gp_head,caste_scheme_respected,declared,pass,"BC,NONE,SC,ST","BC,NONE,SC,ST",sc_st_bc
Jharkhand,2015,gp_head,blank_share_within_tolerance,declared,warn,block 35%>35%; gp_no 63%>60%; seat_no 99%>90%,,3 column(s) over tolerance
Jharkhand,2015,gp_head,coverage_vs_published,external,warn,2637 (61%),4345 gram panchayats,seats
Jharkhand,2015,gp_head,women_share_vs_statute,external,pass,52.0%,floor 50%,
Jharkhand,2015,gp_head,women_share_by_block,external,skip,,,only applies where the share is an exact split
