state,slices,rows,years,tiers,women_share,caste_scheme
Andhra Pradesh,2,60352,2020,"gp_head,gp_ward",0.4672,sc_st_bc
Bihar,6,219117,2016,"block_member,gp_head,gp_ward,kachahari_head,kachahari_member,zp_member",0.4344,sc_st_obc
Goa,3,2948,"2012,2017,2022",gp_ward,0.3277,sc_st_bc
Haryana,4,135218,"2016,2022","gp_head,gp_ward",0.4204,sc_st_bca_only
Jammu & Kashmir,4,11508,"2010,2016,2018","gp_head,gp_ward",0.487,sc_st_only
Jharkhand,4,19862,2015,"block_member,gp_head,gp_ward,zp_member",0.5245,sc_st_bc
Karnataka,5,26548,"1993,2000,2002,2005,2007",gp_head,0.3385,sc_st_bca_bcb
Kerala,9,55725,"2010,2015,2020","block_member,gp_ward,zp_member",0.5159,sc_st_only
Rajasthan,4,39520,"2005,2010,2015,2020",gp_head,0.4478,sc_st_obc
Telangana,2,61841,2019,"gp_head,gp_ward",0.5088,sc_st_bc
Uttar Pradesh,3,153505,"2005,2010,2021",gp_head,0.1925,sc_st_obc
Uttarakhand,15,29592,"2008,2010,2014,2015,2019","block_member,gp_head,zp_member",0.4995,sc_st_obc
