wardyear_num	rd_bad_patch_potholes	ws_burst_water_main_lines	bld_change_user_res_comm	strm_cleaning_of_open_swd	drain_cleaning_of_septic_tank	strm_cleaning_water_entrance	strm_cleaning_removal_of_silt	swm_clean_rep_block_channels	swm_collection_pt_not_attend	misc_complaints_miscellenous	ws_contaminated_water_supply	rd_digging_of_roads	drain_drainage_choke_blockage	gdn_fallen_tree_on_road	strm_flooding_during_monsoon	pst_fogging	swm_gbg_lorry_not_report_cove	swm_gbg_not_lifted_gully	swm_gbg_not_lifted_mun_market	swm_gbg_not_lifted_from_road	encr_hawkers	bld_heavy_leakage_from_ceiling	heal_birth_deat_cert_issue	ws_leaks_in_water_lines_meter	gdn_lifting_of_tree_cutting	mun_maint_municipal_property	mun_major_repairs_to_mun_prop	mun_minor_repairs_to_mun_prop	pst_mosquito_nuisance	encr_municipal_colony_slum	encr_municipal_land_foot_swd	encr_municipal_plot	swm_no_attend_public_toilets	swm_non_attend_nuis_detect	ws_non_receipt_water_bills	pst_nuisance_cockroaches	encr_nuisance_due_to_vagrants	pst_nuisance_due_to_white_ants	drain_odour_from_drains	shp_online_renewal_application	shp_open_beyond_permis_hours	bld_other_buildings	misc_others	drain_others_drn	encr_others_ecnr	est_others_estate	lic_others_lic	heal_others_moh	mun_others_rnt	swm_others_swm	ws_others_was	col_others_colony_officer_col	ws_overflow_overhead_tank	drain_overflowing_drn_manhole	bld_perm_temp_monsoon_shed	gdn_perm_for_tree_cutting	encr_private_land_bldg_fact	swm_dustbins	strm_provid_manhole_cover_swd	rd_providing_rd_name_plate	drain_raising_of_manhole	pst_rat_nuisance	rd_reinstatement_of_trenches	rd_relaying_and_repairs_roads	swm_removal_of_dead_animals	swm_removal_of_debris	ws_removal_of_water_meters	strm_repair_damaged_open_swd	rd_repairs_of_road_footpath	drain_repairs_to_pipe_sewers	drain_replacement_manhole	rd_resurfacing_of_road	shp_running_without_license	ws_shortage_of_water_supply	rd_signals	swm_silt_lifted_from_road	rd_speed_breakers	rd_street_lighting	swm_sweeping_of_roads	lic_trade_without_license	gdn_trimming_of_branches	bld_unauth_alteration_bldg	lic_unauth_banners_advt_road	bld_unauth_constr_development	col_unauth_constr_in_slum	est_unauth_constr_reserve_plot	col_unauth_ext_constr	fac_unauth_factory_workshop	lic_unauth_storage_explosives	ws_unauth_tapping_water_conn	pst_unauth_uncov_water_storage	ws_unauth_use_waterchange_user	heal_unauth_food_sell	lic_unauth_stalls_road_foot	lic_unauth_workshop_or_garage	swm_unhygienic_cond_toilets	ws_use_of_booster_pump	castequota_scst	gender_election	genderquota	members	hdi	term	adminward	year
"2013-HW"	13.297297	7.0	11.333333	15.0	10.333333	18.5	22.25	35.0	9.6666667	28.6	12.761905		7.4856322	5.0	18.25	20.846154	11.4	13.25		16.296296	44.8	18.4		7.9473684	18.111111	29.0	18.666667	39.0	24.909091		15.076923	18.0	24.0	11.1	6.0				15.333333			14.5	18.0	7.6666667	58.0			55.0	16.142857	23.571429	19.5		8.0	17.647059		25.0	21.111111	24.666667			8.0	23.0				15.4		35.0	20.368421	26.714286	20.25		41.0	12.259259		22.0	27.333333	22.285714	16.2		22.0	15.27027	53.0	17.378947				13.75	15.0	15.076923		11.0	46.0	34.8			7.8	0.4	0.0	0.6666667	6	0.68	2012	"HW"	2013
"2013-KE"	17.758621	22.166667	22.3	20.75	25.541667	20.857143	15.7	18.5	24.0	12.75	16.090909		8.4182306		13.769231	11.679245	14.217391	23.8		15.753623	12.595745	12.6	14.0	15.195652	12.222222	17.0	19.0	21.0	10.481013		25.688525	10.111111	33.5	23.45	9.0	2.0		18.857143	25.25	18.0	28.8	14.769231	19.470588	20.222222	22.625		19.5	6.0	21.4	23.416667	14.5		15.0	16.858407	3.0		16.0	19.916667		5.5		8.8666667	7.0		12.0	20.2	9.5		22.5	9.0	21.4375		12.0	16.564516	4.0	20.666667	16.714286	24.333333	19.666667	21.777778	14.4	16.145833	16.692308	16.611549	8.0			11.0	19.0	20.361111			5.2857143	17.862069	15.928571		15.5	0.2	0.0	0.7333333	15	0.67	2012	"KE"	2013
"2013-KW"	9.0	7.6666667	9.5	16.0	33.0				10.166667	27.647059	20.923077		3.3454834			23.566667	14.333333	23.333333	14.0	17.5	27.5	6.6666667		13.413793	15.666667	21.5			22.282609		21.0	37.0	9.0	7.5714286	29.666667	18.0		29.0	26.0			13.285714	8.0	30.5	16.0					8.5	14.541667		21.6	5.6315789	6.0		14.6					27.4				9.25			41.0		3.0		28.5	19.611111				29.0	5.3333333			11.354839	11.25	18.963636	5.0			28.5		22.25		7.8333333					15.333333	0.25	0.0	0.3846154	13	0.66	2012	"KW"	2013
"2013-L"	11.133333	20.117647	20.363636	4.5	10.2	10.2	3.8571429	24.0	23.333333	22.942639	11.7		7.2129187	12.8		22.052632	15.375	16.75	12.0	16.424658	21.781022	42.0	24.666667	18.927374	20.857143	4.0			28.722222	38.0	11.272727		19.5	20.461538	5.5			41.375	14.0		15.5	28.434214	22.081818	5.7878788	24.25	28.826087	20.458753	25.689474	8.4171627	19.643162	19.66561	19.44	16.0	7.6754386		10.849057	32.75	19.55				26.875	21.0		25.5	17.222222	13.5	4.0	9.4	7.6363636	5.9		10.0	17.514286	15.0	21.555556	8.25	8.25	13.090909	19.846154	13.076923	27.88	24.160714	29.309735	17.594595	20.666667		26.5	27.0	18.375			25.909091	28.708333	27.785714		30.5	0.2	0.0	0.6666667	15	0.29	2012	"L"	2013
"2013-ME"	10.384615	11.411765	27.0	11.7	11.823529	6.0	15.428571	8.0	10.125	16.770426	8.9782609		8.5418719	11.5	18.0	24.1875	9.0	5.6		7.6818182	28.725806	21.8	23.5	11.664474	6.5555556	12.818182	8.6	10.0	27.542857	27.0	11.47619	10.8125	7.5714286	8.1333333	7.5	57.0		29.666667	13.8			22.397996	16.113014	12.210526	32.351852	14.625906	28.821229	31.066427	13.199918	8.3817143	10.090959	26.789292	3.0	8.1234568	33.0	10.888889	37.0	8.7777778		14.666667	15.0	15.636364	18.0		2.5	10.117647	8.0	13.333333	15.8125	8.6	10.142857		20.8	11.784375	5.0	11.25	13.714286	9.2222222	6.2857143	26.333333	13.814815	24.272727	34.571429	26.225	25.545455	23.333333	27.846154	31.4		10.655738		12.636364	18.75	30.807692	29.0		14.714286	0.4615385	0.0	0.3846154	13	0.05	2012	"ME"	2013
"2013-MW"	13.212766	3.8461538	14.5	14.142857	15.71875	16.0	16.2	21.0		23.127595	2.9298246		10.270195	16.25	9.5	16.473684	24.0	14.0		26.333333	16.657143	23.0	26.367347	3.5914634	23.8	18.5	15.333333	22.0	17.557692	22.5	18.172414	11.0		35.0	4.4285714	24.25		19.571429	28.0	27.166667	24.0	22.95401	26.979592	14.058824	18.162393	24.30198	26.304487	23.138278	18.560074	25.719512	4.3455108	18.843291	3.0	20.180328		17.555556	11.0	30.2				20.692308				31.333333	4.3333333	23.5	28.384615	26.8	25.142857		10.0	4.0981308		30.2	8.0	19.8	28.0	15.0	25.341463	21.166667	24.055556	21.869565	24.217391	25.0	14.0	14.666667		3.4186047		8.0	23.111111	25.142857	39.0			0.1666667	0.0	0.75	8	0.33	2012	"MW"	2013
"2013-N"	19.0	19.25	8.0	18.8	19.833333	27.6		5.0	7.0	11.0	10.088235		6.4900662			16.428571	10.2	5.6		8.06	12.536364			14.888889	13.0				14.38806		9.0		11.6	8.3333333		22.0		14.0	25.0			19.333333	4.0		7.8181818		15.25			11.75	8.3333333			2.8			20.5	5.4166667				17.888889			3.8	6.7916667					16.0		13.0	12.875		10.333333	20.0		6.8461538	29.571429		19.25	16.384615	19.679245				22.0	38.333333	21.333333				26.888889	8.0			0.1818182	0.0	0.5	12	0.52	2012	"N"	2013
"2013-PN"	20.744898	15.0	11.846154	12.058824	13.933333	6.75	16.666667		15.285714	14.96	12.142857		11.43554	19.571429	18.5	10.242857	12.407407	19.4	19.0	13.58	15.233766	26.5		10.510204	14.0	9.0	5.0	10.5	10.96	29.0	18.630769	8.3333333		14.307692	5.0			9.5555556	17.428571		20.5	15.454545	16.733333	14.636364	19.375		23.25	25.1	18.705882	15.833333	13.565217	24.0	17.333333	13.483333		33.0	14.794118	13.6				9.9259259	15.0		18.166667	16.36		17.0	19.710526	16.133333	15.327273		17.0	16.333333	26.0	14.555556	18.230769	32.0	11.928571	18.0	18.46875	11.653846	8.6410256	16.019347	26.6	21.166667	12.5	19.363636		13.732143		16.5	5.0	23.052632	22.0		16.5	0.1333333	0.0	0.3125	16	0.47	2012	"PN"	2013
"2013-PS"	23.258065	13.0	19.2	25.0	27.5	29.5	32.833333	15.0	13.25	11.98	18.333333		10.954839		21.166667	23.2	15.0	14.0		16.536585	13.729412	22.875	21.0	18.322581	20.111111				21.545455	24.333333	21.647059			17.0	34.0				29.0		21.0	22.0	18.0	29.714286	17.428571		13.1	27.631579	27.285714	29.5	18.0		34.0	19.45283	22.333333	20.0	24.384615	24.0				23.625			16.285714	15.761905		45.0	24.916667	26.4	27.413793		25.833333	22.444444		21.263158	13.333333	31.5	21.777778	13.181818	33.166667	20.827586	10.189655	21.441253	23.333333	10.4	8.0	23.0	18.333333	24.1		22.0	30.111111	11.708333	11.913043		25.0	0.5	0.0	0.625	8	0.59	2012	"PS"	2013
"2013-RC"	23.230769	20.5	30.0	19.75		15.0			26.4	16.333333	27.310345		4.0901288	29.0		29.85	26.833333	12.75		23.318182	30.575758	16.0	18.0	18.125	27.727273				27.97561		27.857143		11.0	20.75		31.0		21.5	30.5		54.0	13.666667	24.5	31.333333	10.0		31.5	5.5	54.0	18.5	28.333333			21.733333	24.0		10.5	47.0				36.666667			31.0	33.666667	37.0		46.8	46.5	41.142857			21.057143		30.266667			15.75			13.235294	22.411765	13.452381		31.0		6.0		34.333333			11.0	44.0				0.0	0.0	0.6	10	0.84	2012	"RC"	2013
"2013-RN"		7.0						8.0			26.428571		4.9285714			18.0	4.0	12.5		11.714286	22.911765		18.0	14.095238	8.3636364								14.0	7.0	35.0							21.0			28.0			12.0		5.25	22.0			5.0	21.0			16.666667				12.0				10.7								9.0588235		11.0			16.8			25.0	17.9	27.228571						19.428571			4.4	23.0			7.0	0.1428571	0.0	0.5714286	7	0.69	2012	"RN"	2013
"2013-RS"	13.352381	25.8	12.8	21.111111	18.0	16.2	11.333333	16.2	10.166667	24.166667	20.5		11.702222	16.8	27.333333	17.695652	13.428571	16.096774	4.0	17.527273	21.796296	13.75	19.0	19.972222	17.409091	12.5		5.3333333	21.085714		19.291139	25.6	14.5	27.846154	5.0			9.0	23.714286			17.333333	15.0	20.2	22.857143		35.0	14.736842	25.09375	16.666667	30.333333			13.382353		14.358209	15.0	24.5		6.5	5.0	14.75	14.666667			16.166667		11.8	15.78125	17.444444	14.060606		18.0	15.84		20.666667	25.636364	18.285714	12.714286	22.0	14.924324	28.857143	32.510204	15.147541				19.0		14.857143		21.0	19.444444	35.5	28.0			0.5454546	0.0	0.4545455	11	0.54	2012	"RS"	2013
"2013-S"	14.484848	10.5		18.8	12.769231	15.0	28.777778		33.0	16.25	11.163265		12.647059		13.6	23.0625		10.0		15.75	18.317073			13.0			60.0		24.470588		25.0	16.0		6.2	7.0	64.0		66.0				7.0	20.0	17.8	19.7				23.333333	20.0	8.0		12.0	22.761905			29.0	9.0				19.0			2.0	12.0	5.0		27.833333	34.666667	22.375		24.0	8.8076923		4.3333333	40.0	19.714286	19.0	7.0		17.666667	29.0	21.775281				12.0	37.5	11.75		5.0			38.0			0.4615385	0.0	0.2307692	13	0.51	2012	"S"	2013
"2013-T"	14.0	7.6666667		12.0	11.0	14.25	13.8		9.0	29.230769	7.5		7.1027397	18.0	16.75	9.0	14.333333	12.5		6.3333333	20.545455		22.5	11.245614	8.4	18.0			9.65		16.204545				7.6			2.0			7.0	24.0	24.0		20.5		39.0	58.0	14.8	11.6	8.4444444		15.0	9.1875				19.75		14.0		10.111111				19.375	14.5		13.785714	34.0	12.0		11.0	10.857143		15.0	14.0	13.25	2.5	45.0	17.5		28.0	15.333333					49.0	8.1		11.333333		19.333333	22.0		17.0	0.6	0.0	0.5	6	0.76	2012	"T"	2013
"2014-A"	29.207547	7.5	28.0		5.3333333	2.0		2.0	3.2592593	25.0	6.6363636		3.8922156	53.0	4.5	39.571429	4.1666667	3.4583333	2.3333333	3.8030303	13.481013	34.125	7.5	10.25	6.5555556		16.0	21.0	31.254237		20.588235	28.0	5.0	3.4615385	7.0				4.25		44.0	28.777778		5.2	12.125		8.0	5.5714286	23.888889	2.95	5.2		16.0	4.0		34.0	34.0	4.106383		17.5	5.0	5.0				2.8965517	5.0	13.0	20.575758	7.6666667	6.1428571		11.333333	6.7179487	46.0	5.2	19.166667	5.8333333	3.92	22.714286	20.666667	20.956522	19.818182	30.854545		18.0		29.0		7.3333333			11.666667	20.653846	24.5			0.5	0.5	0.5	4	0.58	2012	"A"	2014
"2014-B"	34.0		17.0	23.0		22.0			13.166667	28.142857	3.9		26.294118	18.0		11.666667	16.090909	13.431034		15.090909	30.986842	17.0	2.0	3.4	13.0		33.5		16.285714		66.5			12.909091					17.2		31.666667	14.75	11.0	16.4	31.666667		26.166667		29.0	11.4	4.2	27.5	5.75	22.289474	39.333333	29.0	42.0	9.5714286				22.6				20.736842	7.0			30.0	34.0		11.666667	4.2352941	19.0	13.0			20.0	37.555556	28.166667	23.0	46.5	30.55			45.6		49.0	3.5454545			32.0	33.0			3.3333333	0.3333333	0.3333333	0.3333333	3	0.71	2012	"B"	2014
"2014-C"	26.0	3.0						10.0	19.0		5.9047619		20.7					25.235294	19.0	17.475	30.2		24.0	4.1111111	19.0						28.0		53.0	22.5							26.0			38.5	32.0			18.0	35.0	18.571429	5.8571429		4.6	15.6				25.333333								30.214286			35.0				21.0	5.3684211		26.571429		9.0	29.333333				25.0							6.4		5.0	15.0				8.5	0.3333333	0.5	0.5	4	0.89	2012	"C"	2014
"2014-D"	24.522727	10.333333	17.0	40.0	32.0		16.0		30.25	16.30303	3.9666667		21.964706	18.333333	17.0	18.119048	44.0	41.2		34.870968	17.644928	16.555556	46.0	5.9545455		18.6		29.857143	26.59854		28.4	16.0		34.0	5.0							18.227723	21.0	36.625	30.837838		26.611111	27.928571	31.192308	24.492424	8.3225806		4.1666667	24.546875			37.666667	50.333333				25.357143	50.0			25.703704		25.0	27.693878	31.666667	41.166667		21.5	4.1320755		36.5	48.0	49.5	27.272727	22.0	18.043478	21.052632	24.521739	21.945946	38.0					4.0		9.0	32.0	16.625	19.0		8.0	0.0	0.2857143	0.2857143	7	0.96	2012	"D"	2014
"2014-E"		17.0			25.0				13.666667	24.0	18.542857		16.071429			18.041667	19.0	19.956522	34.0	15.424242	1.0		21.2	16.22449					19.496403					15.0	8.75	11.0		11.0			40.0		32.0	18.0				27.166667		29.705882	14.222222		13.0	29.333333				11.666667				16.274194				24.6					10.0		39.6	16.519481		9.0			24.0	16.0		31.0	19.0	23.777778					18.0	18.32		8.0	25.0	8.0			33.5	0.25	0.375	0.375	8	0.54	2012	"E"	2014
"2014-FN"	27.0		30.0	38.2	32.0	20.0				15.5	9.0		22.693694	10.5	13.666667	15.96					37.4		22.666667	18.25				25.0	26.68	75.0									28.142857			32.0		23.5	40.0		5.0	22.058824			4.6666667		40.0	25.877551			42.25				18.0	44.666667								42.0	31.592593			16.5			33.5	25.0		24.5	30.833333	1.0	24.0	27.2	36.0					16.5			37.5	19.75	12.0			0.3333333	0.6	0.6	10	0.41	2012	"FN"	2014
"2014-FS"	18.944444		7.5		37.0			20.0	5.5555556	26.285714	17.75		24.945946		18.75	15.131579	5.8	10.0	3.5	9.9032258	27.75	23.0	9.0	23.5	25.5	18.5	33.0	20.75	20.246753	29.0	31.142857	46.2	4.0	9.75				19.0			23.0	18.888889	32.5	23.5					30.6	6.4444444	6.75		8.5	22.217391	6.0		39.0	6.9				19.769231	10.0			16.266667			16.8	7.5				26.368421	16.0	8.0	36.0		7.1875			18.0	20.133333	15.638889	42.0				9.0	17.0		8.0		25.666667			10.0	0.4285714	0.5714286	0.5714286	7	0.67	2012	"FS"	2014
"2014-GN"	14.263158		20.5	11.444444	15.285714	17.166667	30.0		15.066667	30.307692	9.6666667		15.32716		17.2	13.306122	16.3	11.333333	17.4	12.403509	37.548387	10.2	16.0	5.1176471	17.653846				16.449612	19.0	23.939394	12.0	18.375	12.4	4.0				12.8		17.0	17.117647	18.2	15.25	25.833333	12.0	13.833333	26.111111	10.555556	11.04	7.4166667		7.1666667	17.281818	7.0	3.0	26.785714	13.352941				19.952381	46.0		4.0	16.581395		8.5	13.742857	15.333333	14.5		12.333333	5.0204082	25.5	15.0	11.625	13.083333	16.142857	15.25	20.916667	15.347826	23.605263	21.127517	44.333333	29.0		19.25		5.2467532		8.0	32.666667	29.472222	45.25		5.5	0.6	0.2727273	0.2727273	11	0.49	2012	"GN"	2014
"2014-GS"			2.5		1.5			1.0	1.7142857		23.636364		2.5416667			26.0	1.7142857	2.047619	1.0	2.0625		18.0	7.0	13.941176	11.0				25.666667				2.0	1.7272727							6.0	13.5	10.666667	1.3333333			12.0	18.5		1.5	43.5		11.75	2.08	8.0		25.75	1.71875				22.666667			2.5	2.5714286				2.0	2.7142857		13.833333	25.307692		1.6666667			2.0			18.583333	23.75	17.279412						16.833333		7.25	21.777778	20.333333				0.4444444	0.7777778	0.7777778	9	0.66	2012	"GS"	2014
"2014-HE"	22.75	19.5		22.333333	28.2	12.0	37.4	11.0	23.583333		14.863636		30.338983			16.304348	15.5	20.4	8.0	20.095238	25.789474	24.0	30.0	11.818182	17.5	4.0	12.0		17.433333		24.0		22.333333	18.75	9.4			27.0	20.0			23.0		10.0	30.454545			17.0	25.142857	18.0	16.0		19.5	24.97619			24.333333	25.578947				23.647059				35.909091			22.111111	59.0	20.222222		11.111111	15.458333		14.6	30.0	3.0	20.6		41.333333	39.0	16.529412	34.046512				38.0		15.923077		16.4	32.0	6.0			22.5	0.3636364	0.5454546	0.5454546	11	0.47	2012	"HE"	2014
"2014-HW"	6.7708333	21.5	3.0	7.6666667	5.3333333	5.5	16.333333		9.3333333	27.142857	29.814815		8.2993631	16.0	5.5	22.085714	18.166667	13.421053	3.0	18.555556	46.72	23.4	29.0	25.722222	16.233333	4.5	9.0	12.0	20.609375	16.0	8.625	2.0	6.0	18.142857	30.3				4.6666667			29.0	25.0	7.3	20.0			18.5	10.923077	18.444444	21.375		21.0	9.462963	25.5	12.25	20.0	13.666667		22.0	16.0	31.8				14.416667	17.0	9.5	10.511628	6.5	12.254545		39.666667	26.509091	13.0	22.875	11.4	8.1	12.833333	39.0	11.9	28.25	28.0	22.666667			23.0	4.0		49.5			30.0				33.454545	0.4	0.6666667	0.6666667	6	0.68	2012	"HW"	2014
"2014-KE"	16.190476	16.857143		9.75	26.666667	37.0	31.5	13.8	27.36	24.097561	18.351351		17.068493	28.0	9.5	20.876923	25.571429	19.35		23.728395	21.848485	26.75	32.5	19.259259	20.65625	3.0	23.0		15.698795		29.684211		22.333333	28.05	14.0	11.75		9.8571429	17.8			25.833333	22.0	31.0	21.454545		53.0	29.0	17.0	26.909091	23.736842		32.5	21.72	15.5		26.666667	29.714286		36.0		17.703704	25.0			25.325581	31.666667		22.666667		18.75		31.0	25.660714	22.666667	24.952381	27.0	34.0	26.0	19.571429	27.75	26.3	17.968254	24.666667					56.0	37.533333		22.0	59.333333	22.071429	23.172414		46.0	0.2	0.7333333	0.7333333	15	0.67	2012	"KE"	2014
