ward	reservation_status	party	sex	name	age	education_level	professional_education	pan_card	no_of_criminal_cases	new_fir	total_funds	score	gbm_attended	total_gbms	ward_attendance	total_ward_meetings	other_meetings	total_other_meetings	year	chargesheet	dob	votes	data_discrepancy	runner_up_party	margin	conditionofroads	trafficjamscongestionofroads	availabilityofpublicgardensopenp	availabilityofpublictransportfac	availabilityoffoodthroughrations	hospitalsandothermedicalfaciliti	appropriateschoolsandcolleges	powersupply	watersupply	waterloggingduringrainyseason	pollutionproblems	instancesofcrime	lawordersituation	cleanlinesssanitationfacilities	recallforpartynametowhichthecorp	recallfornameofthecorporator	accesibilityofthecorporator	satisfactionwiththecorporator	curruption	improvmentinlifestyle	samplesize	availabilityoffootpathsandpedest	animalhusbandry	buildings	mmrda	mhada	colonyofficer	disastermanagement	drainage	estate	footpaths	garden	license	firebrigaderelated	mcgmrelated	municipalpropertycolonies	negligenceindutyofmcgmofficialss	compensationrehabilitation	govermentmunicipalplotmarketrela	humanresourcesrelated	infrastructureequipmentsgovernme	infrastructuredevelopementunderd	issueofbirthdeathcertificates	miscellaneousissuesrelated	mmrdarelated	nuisanceduetostraydogsmonkeysetc	unauthorizedslaughterofanimals	pestcontrol	pollution	roads	shopandestablishment	solidwastemanagementswm	stormwaterdrainageswd	toilet	v83	schemespoliciesincivicissues	foodrationingschemes	schemespoliciesincommunitywelfar	anganwadibalwadicrecherelated	cemeteriescrematoriumrelated	communitydevelopmentrelated	communitytemple	constructionandmaintaininggymnas	constructionofcommunityhall	constructionimprovementofcommuni	playgroundmeterialequipmentrelat	playgroundrelated	providingandfixingprotectiveandc	providingandfixingshahabadladi	recreationalgroundrelated	repairandconstructionoflibraryst	slumdevelopementrelated	slumrehabilitationauthoritysrare	sportscomplexsportsrelated	washingplaces	seniorcitizensdisabledpersonsrel	crime	educationother	municipalschool	schemespoliciesineducation	electricity	energyother	forest	healthinfrastructureequipmentsfa	healthother	schemespoliciesonhealthmortality	sensitivediseases	industries	irrigation	legalsystem	mining	otherissuesrelated	schemespoliciesinotherissuesrela	revenueother	directtax	octroi	taxevasions	taxexemption	taxrelated	scamscorruption	schemespolicies	socialculturalconcernsother	namingrenamingofroadschowksmonum	roadtransport	tansportother	term	newid	adminward	slum	woman	reservation_facebook	genderquota	caste_quota	castenum	lowcaste	criminal	attend_corp	attend_ward	total_attend	funds_prop	attend_univ	pancard	Importanceofquestionsaskedby	QuestionsaskedcomparedtoCiti	q_corporation	q_crimecorrupt	q_culture	q_distribution	q_education	q_health	q_housing	q_humanres	q_license	q_otherinfrastructure	q_pollution	q_recreationcommunity	q_renaming	q_tax	q_transport	q_watertoilets	q_other	total_questions	party_grouped	partynum	sena	rich	richgender	poor	poorgender	slum_gender
1	"W"	"INC"	"Female"	"Sheetal Ashok Mhatre"									27	51	11	19	0	0	2011			"7901"		"SS"	"3877"	73.837	66.214	70.83	71.156		74.897	74.933	75.647	72.249	62.865	61.757	64.661	68.669	67.922					74.49		133		0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2007.0	1.0	"R/N"	0.47	1.0		1.0	"G"	1	0.0		0.5294118	0.57894737	0.54285717				12.0	5.688545688545688	0.0	0.0	0.0	0.0	0.0	0.0	0.33333334	0.0	0.33333334	0.0	0.0	0.0	0.0	0.0	0.33333334	0.0	0.0	3.0	"INC"	2	0.0	1.0	1.0	0.0	0.0	0.47
1		"SS"	"Male"	"Abhishek Vinod Ghosalkar"	30	"HSC"	"Maharashtra Board Technical Education"	"Yes"	0		5959462.0		56	70	19	19	19	29	2013			"8275"		"NCP"	"1900"	60.819	56.096	53.886	72.03	58.348	58.095	61.446	76.378	76.293	53.249	49.813	50.852	54.341	53.183	1.5	32.2	50.28	64.135	61.0475	72.0325			0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	6	0	0	1	0		0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	6	0	0	2012.0	2.0	"R/N"	0.47	0.0	"G"	0.0	"G"	1	0.0	0.0	0.8	1.0	0.8703704	0.9932437	1.0	1.0	16.42857142857143	1.6281823564239195	0.0	0.04761905	0.0	0.0	0.0	0.0	0.04761905	0.0	0.04761905	0.0	0.04761905	0.14285715	0.2857143	0.0	0.2857143	0.0	0.0952381	21.0	"SS"	5	1.0	1.0	0.0	0.0	0.0	0.0
1		"SS"	"Male"	"Abhishek Vinod Ghosalkar"	31	"HSC"	"Maharashtra Board Technical Education"	"Yes"	0		1.1965E7		53	65	11	17	17	24	2014							45.64	42.198	38.447	52.177	41.887	48.3	49.307	51.507	49.305	41.868	39.069	41.162	41.581	39.984	1.2	10.0	43.66	48.53	66.1425	61.6525			0	2	0	0	0	0	1	0	0	1	3	0	5	0	0	2	1	3	0	1	0	0	0	0	0	0	0	11	1	1	1	0	3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	2012.0	2.0	"R/N"	0.47	0.0	"G"	0.0	"G"	1	0.0	0.0	0.8153846	0.64705884	0.8181818	0.9970833	1.0	1.0	16.195121951219512	6.07178978302769	0.12195122	0.024390243	0.0	0.024390243	0.0	0.0	0.17073171	0.07317073	0.07317073	0.07317073	0.048780486	0.0	0.0	0.024390243	0.2682927	0.07317073	0.024390243	41.0	"SS"	5	1.0	1.0	0.0	0.0	0.0	0.0
1		"SS"	"Male"	"Abhishek Vinod Ghosalkar"	32	"HSC"	"Maharashtra Board Technical Education"	"Yes"	0		4494000.0		61	79	6	19	15	22	2015							70.464	72.932	66.741	77.479	49.875	70.953	78.756	83.996	76.975	63.294	70.496	67.465	70.729	78.173	64.1	65.1	70.05666	77.3075	76.535	72.99			0	6	0	0	0	0	0	0	0	1	0	0	1	0	0	1	7	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1		1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	1	0	0	0	0	1	3	5	1	0	0	0	0	0	0	2	0	0	0	0	0	0	1	5	0	0	0	2012.0	2.0	"R/N"	0.47	0.0	"G"	0.0	"G"	1	0.0	0.0	0.7721519	0.31578946	0.7256637	0.749	1.0	1.0	13.2	3.0191366266132618	0.022222223	0.0	0.11111111	0.044444446	0.13333334	0.22222222	0.33333334	0.0	0.0	0.0	0.022222223	0.022222223	0.0	0.044444446	0.022222223	0.022222223	0.0	45.0	"SS"	5	1.0	1.0	0.0	0.0	0.0	0.0
1		"SS"	"Male"	"Abhishek Vinod Ghosalkar"	33	"HSC"	"Maharashtra Board Technical Education"	"Yes"	0		6322697.0		60	74	16	18	13	18	2016							80.09	69.053	76.375	81.033	64.648	76.093	75.082	76.291	75.436	75.607	77.331	76.569	74.993	75.81	40.2	54.7	63.246666	77.7725	72.985	71.8125			1	0	0	0	0	2	0	0	0	0	2	1	2	0	0	0	1	8	1	0	0	0	0	1	0	0	0	2	0	0	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	3	0	0	0	2012.0	2.0	"R/N"	0.47	0.0	"G"	0.0	"G"	1	0.0	0.0	0.8108108	0.8888889	0.84761906	0.5268914	1.0	1.0	13.0	3.8639432815665082	0.0625	0.0	0.09375	0.0	0.03125	0.03125	0.03125	0.25	0.0625	0.0	0.09375	0.0	0.0	0.0	0.0625	0.0625	0.21875	32.0	"SS"	5	1.0	1.0	0.0	0.0	0.0	0.0
1	"W"	"SS"	"Female"	"Tejasvee Abhishek Ghosalkar"	31	"Graduate"		"Yes"	0		5579523.5		91	102	31	36	23	30	2018		32138	"4913"		"Ind"	"1824"	59.022	60.578	61.025	66.42		68.747	68.8	71.486	77.819	58.433	61.913	62.176	71.913	59.655	67.1	41.0	57.616665	61.695	71.755	71.8475		61.295	0	3	0	0	0	3	0	0	0	1	4	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	2017.0	3.0	"R/N"	0.47	1.0		1.0	"G"	1	0.0	0.0	0.89215684	0.8611111	0.9006211	0.92992055	1.0	1.0	10.145717391304348	5.256554307116105	0.0	0.0	0.0	0.0	0.04347826	0.13043478	0.17391305	0.04347826	0.17391305	0.0	0.0	0.0	0.17391305	0.0	0.08695652	0.04347826	0.13043478	23.0	"SS"	5	1.0	1.0	1.0			0.47
2		"SS"	"Male"	"Bhalchandra Chintaman Mhatre "									48	51	14	19	9	13	2011			"10055"		"INC"	"4858"	72.527	68.656	68.691	67.708		73.314	70.381	71.676	65.854	65.515	65.571	65.462	64.6	66.741					69.2575		184		0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	2007.0	334.0	"R/N"	0.47	0.0		0.0			1.0		0.9411765	0.7368421	0.89873415				14.0	2.7413127413127416	0.0	0.0	0.0	0.0	0.0	0.0	0.22222222	0.0	0.0	0.0	0.0	0.0	0.44444445	0.0	0.11111111	0.22222222	0.0	9.0	"SS"	5	1.0	1.0	0.0	0.0	0.0	0.0
2	"W"	"SS"	"Female"	"Sheetal Mukesh Mhatre"	39	"B.A."	"Public Relation and Journalism"	"Yes"	0		5624456.5		63	70	15	19	14	18	2013			"10686"		"MNS"	"4319"	73.654	60.699	59.821	77.911	71.434	74.667	72.173	83.398	81.396	64.272	59.57	59.62	63.847	64.711	25.9	71.0	65.77333	69.8575	63.165	70.8675			0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	8	0	0	2012.0	335.0	"R/N"	0.47	1.0	"OBC-W"	1.0	"OBC"	2	1.0	0.0	0.9	0.7894737	0.89320385	0.9374094	1.0	1.0	9.0	0.21314387211367675	0.0	0.0	0.14285715	0.0952381	0.04761905	0.23809524	0.0952381	0.0	0.0	0.0	0.0	0.0	0.3809524	0.0	0.0	0.0	0.0	21.0	"SS"	5	1.0	1.0	1.0	0.0	0.0	0.47
2	"W"	"SS"	"Female"	"Sheetal Mukesh Mhatre"	40	"B.A."	"Public Relation and Journalism"	"Yes"	0		1.1462E7		60	65	12	17	15	17	2014							54.225	54.424	44.551	54.705	47.507	53.038	55.103	58.628	54.349	50.504	49.914	47.444	50.965	45.017	8.1	14.2	56.906666	58.1725	62.605	67.655			0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	4	0	0	0	0	0	0	0	0	0	0	3	0	0	1	0		0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	3	0	3	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	2012.0	335.0	"R/N"	0.47	1.0	"OBC-W"	1.0	"OBC"	2	1.0	0.0	0.9230769	0.7058824	0.8969072	0.95516664	1.0	1.0	14.2	2.8326876959970484	0.04	0.0	0.08	0.04	0.04	0.32	0.2	0.0	0.0	0.0	0.04	0.0	0.0	0.0	0.12	0.0	0.12	25.0	"SS"	5	1.0	1.0	1.0	0.0	0.0	0.47
2	"W"	"SS"	"Female"	"Sheetal Mukesh Mhatre"	41	"B.A."	"Public Relation and Journalism"	"Yes"	0		3495000.0		67	79	17	19	15	24	2015							67.361	62.555	57.629	75.89	51.167	75.523	78.003	84.843	70.468	53.025	65.187	65.4	71.061	67.736	80.8	89.0	72.416664	74.805	81.035	73.595			0	0	0	0	0	0	1	0	0	1	2	0	2	0	0	3	0	1	0	0	0	0	0	0	0	0	1	1	0	2	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	1	2	1	0	0	0	0	0	1	0	0	0	0	0	0	1	2	2	0	0	2012.0	335.0	"R/N"	0.47	1.0	"OBC-W"	1.0	"OBC"	2	1.0	0.0	0.84810126	0.8947368	0.8761062	0.5825	1.0	1.0	12.6	3.3177570093457938	0.06666667	0.0	0.06666667	0.033333335	0.033333335	0.13333334	0.16666667	0.033333335	0.06666667	0.0	0.13333334	0.06666667	0.06666667	0.033333335	0.033333335	0.033333335	0.033333335	30.0	"SS"	5	1.0	1.0	1.0	0.0	0.0	0.47
