state,year,district,block,seat_no,seat_id_printed,tier,tier_local,reservation,caste_reservation,woman_reserved,reservation_raw,printings_agree,script,source_path,source_page
West Bengal,2018,Cooch Behar,Mekhliganj,1,Mekhliganj/ZP-1,zp_member,zilla parishad member,Woman,NONE,1,WOMEN,,latin,data/wb/2018/1671-SEC-Gazette Notification-Delimitation and reservation-Cooch Behar.pdf,1
West Bengal,2018,Cooch Behar,Mekhliganj,2,Mekhliganj/ZP-2,zp_member,zilla parishad member,Woman,NONE,1,WOMEN,,latin,data/wb/2018/1671-SEC-Gazette Notification-Delimitation and reservation-Cooch Behar.pdf,1
West Bengal,2018,Cooch Behar,Haldibari,3,Haldibari/ZP-3,zp_member,zilla parishad member,Woman,NONE,1,WOMEN,,latin,data/wb/2018/1671-SEC-Gazette Notification-Delimitation and reservation-Cooch Behar.pdf,2
West Bengal,2018,Cooch Behar,Haldibari,4,Haldibari/ZP-4,zp_member,zilla parishad member,SC Other than Woman,SC,0,SC,,latin,data/wb/2018/1671-SEC-Gazette Notification-Delimitation and reservation-Cooch Behar.pdf,2
West Bengal,2018,Cooch Behar,Mathabhanga-II,5,Mathabhanga-II/ZP-5,zp_member,zilla parishad member,SC Woman,SC,1,SC WOMEN,,latin,data/wb/2018/1671-SEC-Gazette Notification-Delimitation and reservation-Cooch Behar.pdf,2
West Bengal,2018,Cooch Behar,Mathabhanga-II,6,Mathabhanga-II/ZP-6,zp_member,zilla parishad member,SC Other than Woman,SC,0,SC,,latin,data/wb/2018/1671-SEC-Gazette Notification-Delimitation and reservation-Cooch Behar.pdf,2
West Bengal,2018,Cooch Behar,Mathabhanga-II,7,Mathabhanga-II/ZP-7,zp_member,zilla parishad member,Woman,NONE,1,WOMEN,,latin,data/wb/2018/1671-SEC-Gazette Notification-Delimitation and reservation-Cooch Behar.pdf,2
West Bengal,2018,Cooch Behar,Mathabhanga-I,8,Mathabhanga-I/ZP-8,zp_member,zilla parishad member,SC Woman,SC,1,SC WOMEN,,latin,data/wb/2018/1671-SEC-Gazette Notification-Delimitation and reservation-Cooch Behar.pdf,2
West Bengal,2018,Cooch Behar,Mathabhanga-I,9,Mathabhanga-I/ZP-9,zp_member,zilla parishad member,SC Other than Woman,SC,0,SC,,latin,data/wb/2018/1671-SEC-Gazette Notification-Delimitation and reservation-Cooch Behar.pdf,2
West Bengal,2018,Cooch Behar,Mathabhanga-I,10,Mathabhanga-I/ZP-10,zp_member,zilla parishad member,SC Woman,SC,1,SC WOMEN,,latin,data/wb/2018/1671-SEC-Gazette Notification-Delimitation and reservation-Cooch Behar.pdf,2
West Bengal,2018,Cooch Behar,Cooch Behar-II,11,Cooch Behar-II/ZP-11,zp_member,zilla parishad member,Woman,NONE,1,WOMEN,,latin,data/wb/2018/1671-SEC-Gazette Notification-Delimitation and reservation-Cooch Behar.pdf,2
West Bengal,2018,Cooch Behar,Cooch Behar-II,12,Cooch Behar-II/ZP-12,zp_member,zilla parishad member,SC Other than Woman,SC,0,SC,,latin,data/wb/2018/1671-SEC-Gazette Notification-Delimitation and reservation-Cooch Behar.pdf,2
West Bengal,2018,Cooch Behar,Cooch Behar-II,13,Cooch Behar-II/ZP-13,zp_member,zilla parishad member,Other than Woman,NONE,0,,,latin,data/wb/2018/1671-SEC-Gazette Notification-Delimitation and reservation-Cooch Behar.pdf,2
West Bengal,2018,Cooch Behar,Cooch Behar-I,14,Cooch Behar-I/ZP-14,zp_member,zilla parishad member,Other than Woman,NONE,0,,,latin,data/wb/2018/1671-SEC-Gazette Notification-Delimitation and reservation-Cooch Behar.pdf,2
West Bengal,2018,Cooch Behar,Cooch Behar-I,15,Cooch Behar-I/ZP-15,zp_member,zilla parishad member,Other than Woman,NONE,0,,,latin,data/wb/2018/1671-SEC-Gazette Notification-Delimitation and reservation-Cooch Behar.pdf,2
West Bengal,2018,Cooch Behar,Cooch Behar-I,16,Cooch Behar-I/ZP-16,zp_member,zilla parishad member,Other than Woman,NONE,0,,,latin,data/wb/2018/1671-SEC-Gazette Notification-Delimitation and reservation-Cooch Behar.pdf,2
