source_id,state,year,government_level,tier,language,document_format,district,body,file,url,landing_url,retrieved_at,sha256,bytes
assam_sec_pri_reservation_2025,Assam,2025,rural_local,multiple,Assamese; English,scan,Barpeta,,barpeta.pdf,https://sec.assam.gov.in/pdf/panchayat-election/reservation/Barpeta.pdf,https://sec.assam.gov.in/panchayat-election-2025,2026-08-26T05:27:00.768287+00:00,4f7082893f03912b539b7648fe6efdd2e97ac27887bb71ff5c1604df9b73b980,21546276
assam_sec_pri_reservation_2025,Assam,2025,rural_local,multiple,Assamese; English,scan,Biswanath,,biswanath.pdf,https://sec.assam.gov.in/pdf/panchayat-election/reservation/Biswanath.pdf,https://sec.assam.gov.in/panchayat-election-2025,2026-08-26T05:27:04.616333+00:00,c1b882c5ae248beaee8a5c9d1b4d996a0e478400cd180f58994f437210f124fd,18292436
assam_sec_pri_reservation_2025,Assam,2025,rural_local,multiple,Assamese; English,scan,Bongaigaon,,bongaigaon.pdf,https://sec.assam.gov.in/pdf/panchayat-election/reservation/Bongaigaon.pdf,https://sec.assam.gov.in/panchayat-election-2025,2026-08-26T05:27:09.863165+00:00,9240dd5b9018d4c306c5ca1da5e99afd130619389e0398ae56767dedca7f9cfb,18903707
assam_sec_pri_reservation_2025,Assam,2025,rural_local,multiple,Assamese; English,scan,Cachar,,cachar.pdf,https://sec.assam.gov.in/pdf/panchayat-election/reservation/cachar.pdf,https://sec.assam.gov.in/panchayat-election-2025,2026-08-26T05:28:38.809636+00:00,fe2eca87c50062434d4dc48788fe0cd02a81a94499f911a64a0de69d95ccdf4a,15285394
assam_sec_pri_reservation_2025,Assam,2025,rural_local,multiple,Assamese; English,scan,Charaideo,,charaideo_reservation.pdf,https://sec.assam.gov.in/pdf/panchayat-election/reservation/charaideo-reservation.pdf,https://sec.assam.gov.in/panchayat-election-2025,2026-08-26T05:28:42.181840+00:00,acce736f20e0fb2f1b9d7780332ea933b9a1009a72bc635691109af1fe0d9c91,4422422
assam_sec_pri_reservation_2025,Assam,2025,rural_local,multiple,Assamese; English,scan,Darrang,,darrang_reservation.pdf,https://sec.assam.gov.in/pdf/panchayat-election/reservation/darrang-reservation.pdf,https://sec.assam.gov.in/panchayat-election-2025,2026-08-26T05:28:47.414703+00:00,12b0b2ea22bed184d0d8f883595dee75516e8041032f88e53c8f187549bf1967,27085486
assam_sec_pri_reservation_2025,Assam,2025,rural_local,multiple,Assamese; English,scan,Dhemaji,,dhemaji.pdf,https://sec.assam.gov.in/pdf/panchayat-election/reservation/dhemaji.pdf,https://sec.assam.gov.in/panchayat-election-2025,2026-08-26T05:28:49.783954+00:00,054207ca478b38060c74dcb380e106b022326cd7e9086f88d691961edd1a8e73,11045575
assam_sec_pri_reservation_2025,Assam,2025,rural_local,multiple,Assamese; English,scan,Dibrugarh,,dibrugarh.pdf,https://sec.assam.gov.in/pdf/panchayat-election/reservation/Dibrugarh.pdf,https://sec.assam.gov.in/panchayat-election-2025,2026-08-26T05:27:19.088452+00:00,c3dacb68f6b9733d82e05e4fa70f172fd04cdce41421603139c3827423ce50e7,15600960
assam_sec_pri_reservation_2025,Assam,2025,rural_local,multiple,Assamese; English,scan,Goalpara,,goalpara.pdf,https://sec.assam.gov.in/pdf/panchayat-election/reservation/Goalpara.pdf,https://sec.assam.gov.in/panchayat-election-2025,2026-08-26T05:27:30.312134+00:00,c43b13bfbd57dfd9c63a1de59c5029c9d3664d445d747ed3eeb6a05d5e2de9f1,23319982
assam_sec_pri_reservation_2025,Assam,2025,rural_local,multiple,Assamese; English,scan,Golaghat,,golaghat_reservation.pdf,https://sec.assam.gov.in/pdf/panchayat-election/reservation/golaghat-reservation.pdf,https://sec.assam.gov.in/panchayat-election-2025,2026-08-26T05:28:57.569138+00:00,67ed18d0194139182d0a29debf3bae3c4f323ba936b541d23c921e6ae469a8e9,31629826
